SOSR_CODE_2021,P_Mng_0,P_Mng_1_19,P_Mng_20_29,P_Mng_30_34,P_Mng_35_39,P_Mng_40_44,P_Mng_45_49,P_Mng_50_over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_19,P_Pro_20_29,P_Pro_30_34,P_Pro_35_39,P_Pro_40_44,P_Pro_45_49,P_Pro_50_over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_19,P_TTW_20_29,P_TTW_30_34,P_TTW_35_39,P_TTW_40_44,P_TTW_45_49,P_TTW_50_over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_19,P_CPS_20_29,P_CPS_30_34,P_CPS_35_39,P_CPS_40_44,P_CPS_45_49,P_CPS_50_over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_19,P_CA_20_29,P_CA_30_34,P_CA_35_39,P_CA_40_44,P_CA_45_49,P_CA_50_over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_19,P_Sal_20_29,P_Sal_30_34,P_Sal_35_39,P_Sal_40_44,P_Sal_45_49,P_Sal_50_over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_19,P_MOD_20_29,P_MOD_30_34,P_MOD_35_39,P_MOD_40_44,P_MOD_45_49,P_MOD_50_over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_19,P_Lab_20_29,P_Lab_30_34,P_Lab_35_39,P_Lab_40_44,P_Lab_45_49,P_Lab_50_over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_24,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
SOSR501,3445,5811,7119,6139,21759,32158,12776,30970,804,120974,10604,24326,25555,20068,50406,62676,18005,32952,1535,246123,6166,10450,10563,8047,29585,37490,12516,31969,2209,148990,5765,31701,25056,14213,18891,14187,4051,7749,1765,123372,5052,17607,18410,11215,34424,25602,6065,8613,932,127920,2842,28890,15215,6334,11574,8867,2484,4482,881,81572,4177,5962,5531,3608,12252,12128,5477,19780,1418,70332,3702,24912,14309,7151,12644,11106,3347,9761,1585,88524,759,1683,1177,784,2608,2689,708,1978,4489,16875,42518,151333,122938,77567,194134,206899,65423,148248,15614,1024680
SOSR511,108,136,175,149,508,712,356,867,15,3023,291,622,655,575,1079,1272,419,749,28,5683,355,405,341,260,1048,1587,604,1767,84,6448,229,936,917,592,682,421,117,259,58,4208,191,592,618,394,1020,677,151,303,26,3979,149,1059,561,310,467,299,102,158,29,3131,271,206,201,121,396,639,372,1283,61,3555,223,1077,556,347,669,620,258,594,72,4415,36,48,27,23,72,94,32,92,130,553,1848,5086,4053,2766,5948,6323,2410,6069,496,34998
SOSR512,215,308,320,272,863,1294,551,1673,48,5538,486,929,923,840,1687,1931,755,1441,54,9043,483,583,587,479,1558,2216,1038,3064,152,10153,351,1463,1280,925,1155,999,296,543,102,7132,295,881,844,625,1543,1085,294,466,44,6074,204,1570,883,461,849,546,179,272,45,5015,427,374,326,198,464,732,580,2524,108,5732,289,1737,1016,573,810,783,305,799,130,6442,70,82,58,30,103,114,41,131,218,859,2821,7922,6237,4401,9025,9702,4036,10918,911,55980
SOSR513,144,145,160,148,589,799,382,1239,35,3650,374,355,417,411,1077,1288,414,893,45,5275,396,318,266,218,795,1378,716,2473,137,6712,237,620,495,402,698,612,179,355,63,3668,182,415,455,324,997,805,258,462,36,3933,103,648,307,186,416,300,99,194,33,2299,279,181,134,91,321,419,346,1596,76,3428,172,655,432,240,410,469,189,737,76,3374,42,55,28,22,67,118,44,170,206,761,1921,3394,2698,2041,5375,6193,2626,8125,721,33096
SOSR514,69,109,108,115,206,317,135,340,9,1405,139,249,222,200,307,367,138,246,13,1890,167,165,175,135,409,605,192,509,42,2397,103,393,337,199,193,171,54,106,26,1579,66,254,233,117,241,164,35,52,7,1189,51,356,223,112,161,136,27,45,16,1135,89,65,65,42,93,242,105,334,14,1060,95,443,282,147,240,261,63,182,37,1754,13,30,12,10,23,25,11,34,55,208,792,2063,1669,1085,1876,2299,762,1851,221,12611
SOSR515,190,257,227,206,598,917,372,1259,60,4076,334,532,547,496,1023,1193,421,885,53,5486,467,467,451,368,1109,1662,736,2268,130,7664,290,946,836,576,751,745,205,423,78,4846,251,654,616,386,983,766,215,331,36,4235,130,830,497,269,434,367,129,186,47,2896,462,286,253,131,536,594,436,2123,102,4925,286,1203,703,463,875,867,265,755,159,5578,66,76,38,48,89,114,43,149,237,856,2466,5254,4177,2932,6389,7226,2827,8387,906,40565
SOSR521,108,115,101,102,198,361,183,622,30,1823,107,201,170,142,319,440,135,352,24,1888,141,186,179,122,352,501,252,748,62,2544,127,325,282,204,260,281,75,172,45,1784,90,252,246,124,306,271,78,133,23,1522,47,266,152,92,138,112,35,88,15,942,173,148,103,44,194,270,148,820,55,1964,126,492,305,149,268,317,110,278,71,2116,37,29,17,3,30,38,18,46,121,335,961,2009,1561,989,2067,2601,1038,3255,442,14926
SOSR522,68,72,62,56,138,208,97,403,9,1099,60,94,112,80,140,248,70,182,11,1006,63,87,85,83,179,257,94,340,28,1210,78,169,168,121,170,149,39,85,22,1009,48,142,111,76,153,133,41,53,6,761,22,89,82,31,56,69,28,49,12,440,72,71,55,35,117,145,81,341,18,936,45,225,150,105,123,179,63,140,24,1055,19,21,10,7,14,22,0,17,87,206,477,963,833,598,1094,1416,518,1607,216,7723
SOSR531,743,1338,1380,992,1336,3260,1397,8213,332,18991,704,1355,1303,930,1474,1994,711,1770,81,10329,779,973,857,661,1652,2505,989,4261,223,12899,438,1597,1250,734,821,780,237,545,107,6510,370,1582,1356,793,1410,1216,298,735,80,7848,197,1350,737,351,494,455,144,369,72,4167,765,548,472,255,671,1038,560,3742,170,8214,460,2032,1083,684,1012,1289,540,1995,228,9320,128,134,102,75,125,173,51,256,468,1511,4595,10898,8540,5471,8991,12716,4920,21891,1763,79789
SOSR579,0,0,0,0,0,0,0,7,0,9,0,0,0,0,0,0,0,29,0,33,4,3,0,0,0,4,0,67,0,83,0,0,0,0,0,0,0,4,0,9,0,0,0,0,5,0,0,8,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,23,0,31,3,8,0,0,0,0,4,76,5,98,0,0,0,0,0,0,0,7,0,6,13,14,5,3,5,5,11,220,5,277
