SOSR_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SOSR501,3123,13340,19559,16527,13842,13147,13887,7706,2583,103724,2112,14720,28100,21945,19468,16502,11718,4943,1662,121175,1093,12972,36824,29497,25399,21911,11075,3520,981,143275,448,7795,31407,25898,21839,17538,7196,1922,480,114529,230,4295,27881,25626,21745,16878,5721,1544,534,104459,103,1966,19440,21210,18353,12865,3781,807,225,78754,115,2393,30531,44224,38612,25275,6167,1207,351,148884,22,354,6298,11844,10627,6596,1722,418,120,38002,67,303,5846,18916,21317,12934,3790,1170,311,64649,5584,8005,20220,17499,14727,11713,9551,8679,7536,103516,118535,128352,295897,297929,263686,229678,182320,99540,39936,1655875
SOSR511,190,471,681,647,690,582,628,345,112,4355,130,623,984,820,804,700,444,189,50,4753,54,463,1074,967,995,840,464,128,25,5012,18,256,850,797,790,683,226,65,17,3705,13,162,678,831,798,631,165,42,21,3343,4,86,587,670,673,564,110,28,6,2729,0,130,899,1381,1376,1016,170,19,14,4995,0,13,170,314,337,236,48,10,10,1132,6,11,144,343,436,282,98,18,8,1347,241,287,815,771,682,606,482,329,256,4461,4649,3838,9322,9920,9801,9377,7670,4119,1523,60227
SOSR512,357,790,999,979,1000,1015,989,558,167,6848,271,862,1313,1206,1234,1253,769,283,121,7314,130,771,1665,1520,1647,1507,706,227,53,8224,62,452,1279,1274,1351,1093,417,102,32,6053,42,325,1245,1159,1357,1063,317,113,55,5680,6,170,948,976,1108,846,238,52,11,4362,15,214,1480,2048,2183,1548,360,69,25,7934,0,35,370,527,528,362,87,11,3,1918,3,22,256,553,630,443,137,51,16,2113,570,620,1589,1478,1337,1204,1001,811,628,9233,7185,6283,14681,15102,15690,15229,12592,7165,2918,96858
SOSR513,166,311,526,468,384,286,213,109,27,2495,119,372,788,650,504,391,181,69,21,3088,102,388,1041,867,705,564,217,37,10,3941,45,315,908,828,684,520,135,24,11,3465,28,219,1030,889,736,487,118,18,7,3522,14,129,866,805,647,479,137,11,4,3091,8,206,1529,1907,1569,920,146,24,3,6326,5,37,468,558,429,254,52,9,0,1812,5,26,505,905,629,376,79,27,0,2562,554,594,1756,1556,1299,971,426,268,146,7567,3837,3483,11408,11301,9050,6923,3599,1677,503,51774
SOSR514,59,147,250,319,263,229,260,138,43,1706,25,173,367,355,343,270,220,74,14,1858,24,131,396,482,407,341,203,54,16,2053,11,67,307,312,289,248,97,37,6,1361,11,50,213,268,266,218,76,29,5,1134,0,35,154,235,226,141,51,6,0,848,3,19,269,446,443,298,68,9,0,1557,0,8,39,103,129,67,10,4,0,369,0,3,36,115,138,86,38,13,3,440,171,111,314,360,349,271,257,186,134,2155,1625,1148,3227,3973,3760,3470,3298,1624,567,22690
SOSR515,206,486,798,699,737,742,682,328,103,4770,159,583,1011,912,946,841,501,230,80,5253,94,501,1273,1039,1074,1090,512,142,24,5753,40,349,973,876,866,718,293,65,10,4187,22,237,1004,846,857,725,230,64,28,4006,10,117,666,780,776,597,180,33,9,3171,14,158,1272,1531,1555,1145,257,28,7,5971,4,31,308,441,416,302,50,19,9,1577,3,15,247,485,442,287,108,25,11,1618,707,607,1560,1489,1438,1235,962,687,413,9100,5095,4481,11923,11851,11838,11810,9832,5083,1831,73743
SOSR521,85,170,292,274,261,304,351,152,51,1940,62,195,344,321,386,377,224,88,37,2037,36,154,376,369,450,467,221,73,20,2165,11,102,314,291,337,374,123,30,7,1592,9,59,294,339,312,355,121,33,11,1530,4,44,210,234,269,244,60,4,0,1075,3,58,388,484,531,486,103,14,5,2067,0,11,112,135,119,112,23,9,3,525,7,10,71,147,162,118,47,14,7,585,257,252,574,598,677,680,509,352,145,4034,1926,1740,4346,4477,4984,5562,4668,2347,754,30808
SOSR522,31,75,157,150,140,172,173,99,20,1014,34,94,197,159,193,236,130,44,12,1099,18,91,222,186,221,262,106,43,10,1155,6,74,172,137,163,196,79,18,3,846,0,38,131,130,156,142,50,21,6,682,0,24,100,101,142,119,38,5,3,528,0,30,161,198,235,241,67,4,3,952,0,0,30,63,60,47,13,6,0,219,0,0,25,66,69,57,30,3,0,252,199,143,324,314,332,380,336,186,87,2299,1206,1168,2556,2419,2606,3061,2656,1336,375,17404
SOSR531,366,723,887,1055,1345,1596,1375,561,108,8023,254,815,1198,1322,1649,1914,1295,445,73,8968,154,795,1596,1612,2162,2446,1249,337,50,10409,66,535,1239,1459,1747,1826,787,196,19,7889,38,342,1183,1427,1883,1788,648,156,28,7492,33,238,912,1223,1655,1398,439,121,17,6020,23,331,1682,2476,3249,2622,715,147,22,11270,4,57,478,765,928,726,215,39,7,3224,11,40,424,1028,1432,1087,429,128,23,4598,1058,1497,3905,3891,3777,3280,2127,1001,191,20737,8927,7726,17368,20805,25420,27127,19970,8074,1649,137066
SOSR579,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,6,4,3,5,7,5,0,0,0,27,0,6,8,4,9,0,0,0,0,20,0,0,10,5,7,0,0,0,0,22,0,3,3,9,4,3,0,0,0,25,0,3,17,32,15,12,0,0,0,80,0,3,3,14,0,0,0,0,0,26,0,0,9,17,16,4,0,0,0,49,5,16,46,74,48,21,8,0,0,217,6,31,116,170,109,62,18,0,0,516
