SOSR_CODE_2021,M_Arthritis_0_14,M_Arthritis_15_24,M_Arthritis_25_34,M_Arthritis_35_44,M_Arthritis_45_54,M_Arthritis_55_64,M_Arthritis_65_74,M_Arthritis_75_84,M_Arthritis_85_over,M_Arthritis_Tot,M_Asthma_0_14,M_Asthma_15_24,M_Asthma_25_34,M_Asthma_35_44,M_Asthma_45_54,M_Asthma_55_64,M_Asthma_65_74,M_Asthma_75_84,M_Asthma_85_over,M_Asthma_Tot,M_Cancer_0_14,M_Cancer_15_24,M_Cancer_25_34,M_Cancer_35_44,M_Cancer_45_54,M_Cancer_55_64,M_Cancer_65_74,M_Cancer_75_84,M_Cancer_85_over,M_Cancer_Tot,M_Dementia_0_14,M_Dementia_15_24,M_Dementia_25_34,M_Dementia_35_44,M_Dementia_45_54,M_Dementia_55_64,M_Dementia_65_74,M_Dementia_75_84,M_Dementia_85_over,M_Dementia_Tot,M_Diabetes_0_14,M_Diabetes_15_24,M_Diabetes_25_34,M_Diabetes_35_44,M_Diabetes_45_54,M_Diabetes_55_64,M_Diabetes_65_74,M_Diabetes_75_84,M_Diabetes_85_over,M_Diabetes_Tot,M_Heart_disease_0_14,M_Heart_disease_15_24,M_Heart_disease_25_34,M_Heart_disease_35_44,M_Heart_disease_45_54,M_Heart_disease_55_64,M_Heart_disease_65_74,M_Heart_disease_75_84,M_Heart_disease_85_over,M_Heart_disease_Tot,M_Kidney_disease_0_14,M_Kidney_disease_15_24,M_Kidney_disease_25_34,M_Kidney_disease_35_44,M_Kidney_disease_45_54,M_Kidney_disease_55_64,M_Kidney_disease_65_74,M_Kidney_disease_75_84,M_Kidney_disease_85_over,M_Kidney_disease_Tot,M_Lung_cond_0_14,M_Lung_cond_15_24,M_Lung_cond_25_34,M_Lung_cond_35_44,M_Lung_cond_45_54,M_Lung_cond_55_64,M_Lung_cond_65_74,M_Lung_cond_75_84,M_Lung_cond_85_over,M_Lung_cond_Tot,M_Mental_health_cond_0_14,M_Mental_health_cond_15_24,M_Mental_health_cond_25_34,M_Mental_health_cond_35_44,M_Mental_health_cond_45_54,M_Mental_health_cond_55_64,M_Mental_health_cond_65_74,M_Mental_health_cond_75_84,M_Mental_health_cond_85_over,M_Mental_health_cond_Tot,M_Stroke_0_14,M_Stroke_15_24,M_Stroke_25_34,M_Stroke_35_44,M_Stroke_45_54,M_Stroke_55_64,M_Stroke_65_74,M_Stroke_75_84,M_Stroke_85_over,M_Stroke_Tot,M_Other_0_14,M_Other_15_24,M_Other_25_34,M_Other_35_44,M_Other_45_54,M_Other_55_64,M_Other_65_74,M_Other_75_84,M_Other_85_over,M_Other_Tot,M_None_0_14,M_None_15_24,M_None_25_34,M_None_35_44,M_None_45_54,M_None_55_64,M_None_65_74,M_None_75_84,M_None_85_over,M_None_Tot,M_NS_0_14,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_over,M_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_Arthritis_0_14,F_Arthritis_15_24,F_Arthritis_25_34,F_Arthritis_35_44,F_Arthritis_45_54,F_Arthritis_55_64,F_Arthritis_65_74,F_Arthritis_75_84,F_Arthritis_85_over,F_Arthritis_Tot,F_Asthma_0_14,F_Asthma_15_24,F_Asthma_25_34,F_Asthma_35_44,F_Asthma_45_54,F_Asthma_55_64,F_Asthma_65_74,F_Asthma_75_84,F_Asthma_85_over,F_Asthma_Tot,F_Cancer_0_14,F_Cancer_15_24,F_Cancer_25_34,F_Cancer_35_44,F_Cancer_45_54,F_Cancer_55_64,F_Cancer_65_74,F_Cancer_75_84,F_Cancer_85_over,F_Cancer_Tot,F_Dementia_0_14,F_Dementia_15_24,F_Dementia_25_34,F_Dementia_35_44,F_Dementia_45_54,F_Dementia_55_64,F_Dementia_65_74,F_Dementia_75_84,F_Dementia_85_over,F_Dementia_Tot,F_Diabetes_0_14,F_Diabetes_15_24,F_Diabetes_25_34,F_Diabetes_35_44,F_Diabetes_45_54,F_Diabetes_55_64,F_Diabetes_65_74,F_Diabetes_75_84,F_Diabetes_85_over,F_Diabetes_Tot,F_Heart_disease_0_14,F_Heart_disease_15_24,F_Heart_disease_25_34,F_Heart_disease_35_44,F_Heart_disease_45_54,F_Heart_disease_55_64,F_Heart_disease_65_74,F_Heart_disease_75_84,F_Heart_disease_85_over,F_Heart_disease_Tot
SOSR501,145,471,1532,3232,6253,11460,15274,10975,3995,53339,12622,9151,10003,10115,8283,6447,5177,2767,867,65433,207,259,543,1060,2081,4784,8327,6519,2241,26024,3,19,22,44,97,288,940,2224,1972,5596,304,611,1271,3426,7010,11051,13870,8616,2383,48545,271,246,462,1109,3630,8738,14009,11169,4315,43947,201,154,247,489,709,1228,1890,2065,1041,8029,269,159,256,472,1135,2632,4492,3876,1441,14729,4010,9159,12158,11760,10639,8501,5608,2608,972,65414,45,59,101,302,650,1397,2460,2623,1181,8807,9415,5907,6079,7591,9522,10843,9845,5351,2374,66923,161306,93283,104253,102625,81485,57724,32311,12072,2747,647799,13576,9974,13693,13094,11827,8957,5474,3198,1742,81543,199184,125463,144955,147237,130284,111637,86701,46197,15377,1007026,212,802,2271,4928,11216,20217,27203,20550,10057,97459,8718,9888,13318,13305,11910,10861,9319,5039,1837,84190,170,230,664,1870,4081,6435,8108,5493,2216,29253,12,21,15,30,57,254,871,2819,4109,8182,290,670,1321,2860,5273,8629,10896,7158,2914,40016,201,229,329,703,1760,4122,7371,7742,5180,27638
SOSR511,8,29,70,163,304,564,776,517,151,2591,753,353,402,368,341,244,237,132,33,2871,7,7,15,48,78,226,351,251,82,1065,0,0,0,4,0,16,35,103,75,234,19,26,47,117,302,459,639,354,94,2054,12,14,22,46,122,328,559,437,185,1720,5,5,14,13,39,51,76,84,37,335,12,8,10,17,54,124,216,194,47,689,211,379,478,461,462,440,302,117,44,2898,0,0,9,9,24,60,116,88,38,346,409,222,200,259,323,460,380,205,77,2529,5879,2935,2945,3098,2716,2147,1279,481,107,21594,624,461,628,627,586,476,290,145,67,3896,7763,4269,4567,4882,4750,4551,3690,1901,584,36962,17,33,116,266,633,1070,1308,872,409,4728,464,415,509,585,498,485,427,202,66,3652,3,4,26,77,162,277,352,234,87,1222,0,0,3,0,8,17,45,123,166,364,14,34,68,126,224,394,483,287,127,1752,9,11,10,30,68,171,299,313,212,1116
SOSR512,13,35,90,224,496,870,1212,857,349,4139,955,580,527,546,477,493,369,200,74,4228,12,9,36,45,157,330,616,459,180,1845,0,0,0,7,10,23,79,194,152,460,27,32,95,186,432,832,937,627,177,3328,19,14,31,48,219,571,900,799,360,2962,16,5,18,22,50,101,156,156,91,624,21,4,10,9,80,230,397,301,113,1163,245,533,660,642,753,703,466,210,88,4305,0,4,3,11,36,113,177,197,98,636,583,352,301,382,505,663,574,381,144,3887,8899,4773,4854,4600,4356,3507,2182,825,194,34194,1326,834,1109,1077,990,871,548,310,110,7165,11900,6935,7417,7407,7607,7498,6098,3357,1143,59351,17,37,135,326,818,1499,1909,1504,757,7000,621,610,791,800,831,780,667,395,159,5653,10,9,31,106,252,409,580,405,174,1974,0,0,0,3,11,31,68,229,353,691,16,38,96,188,380,676,801,523,216,2928,11,13,23,47,130,334,531,501,408,2002
SOSR513,3,11,52,99,199,362,303,182,45,1260,439,226,320,335,243,217,108,44,9,1944,3,4,13,37,59,148,157,104,45,576,0,0,3,0,0,15,21,38,31,105,17,26,52,103,247,365,261,139,23,1232,13,9,16,39,103,260,254,173,56,931,12,6,29,19,27,44,50,37,11,227,18,9,7,8,36,100,98,69,21,372,133,202,304,301,272,242,113,46,21,1629,0,0,5,10,17,35,58,53,15,185,306,117,173,187,261,232,174,101,43,1593,6311,2600,3618,3763,2773,1744,682,187,39,21704,1243,704,943,963,847,633,215,104,19,5684,8401,3815,5376,5664,4739,3721,1823,814,207,34557,5,19,69,146,331,482,445,294,101,1879,312,250,479,460,358,305,200,88,24,2476,0,7,16,81,128,128,107,93,24,588,0,0,0,0,3,5,21,60,77,165,15,15,63,94,177,245,215,121,46,996,18,10,18,25,79,126,138,131,62,610
SOSR514,0,9,18,49,98,209,303,207,55,957,209,110,111,144,114,97,91,42,13,947,3,4,11,15,18,84,153,112,29,432,0,0,0,0,0,11,21,40,21,94,4,13,12,38,72,156,262,133,22,716,4,0,11,14,48,106,234,174,57,650,3,9,4,8,13,20,39,26,7,121,5,0,3,7,18,57,103,53,17,265,58,106,118,168,157,159,120,43,16,940,0,0,0,3,16,19,54,47,11,149,139,67,63,74,126,138,169,84,36,899,2253,1030,1082,1207,1089,833,584,213,44,8326,339,194,220,238,258,191,130,71,31,1674,2967,1491,1583,1850,1829,1670,1657,777,226,14058,3,4,23,82,191,349,500,331,140,1635,143,103,168,200,177,146,163,80,30,1215,4,0,8,27,63,102,133,76,20,445,0,0,0,0,0,3,16,43,53,119,3,3,24,42,83,140,186,98,28,618,7,0,6,10,36,68,139,107,63,436
SOSR515,8,19,77,164,356,767,987,604,197,3183,589,363,361,394,336,374,277,153,45,2896,3,9,24,25,79,256,435,347,106,1289,0,0,0,0,4,7,45,104,89,254,16,41,67,141,321,660,713,490,114,2557,23,6,22,55,201,450,757,560,181,2250,10,6,7,14,39,85,103,126,47,445,17,13,11,25,58,198,281,222,64,900,171,344,402,473,492,516,337,155,50,2940,6,3,10,10,32,66,149,135,54,458,394,204,189,267,372,500,473,261,97,2755,7234,3339,3904,3649,3454,2725,1729,603,134,26776,1399,751,901,913,904,784,560,305,109,6626,9751,4949,5755,5755,5998,5946,4934,2547,755,46388,20,35,86,238,610,1143,1481,959,434,4992,429,396,575,602,615,598,534,236,73,4056,8,3,31,72,171,301,392,290,76,1340,0,0,0,3,8,13,61,120,175,376,15,27,65,137,316,504,585,308,129,2091,9,13,14,45,116,235,399,326,199,1359
SOSR521,6,6,20,67,140,369,552,289,85,1545,251,132,149,159,152,177,170,73,13,1281,3,4,6,3,31,135,216,156,48,605,0,0,0,3,7,5,24,39,28,110,8,20,29,60,169,265,414,201,46,1218,3,14,9,28,82,250,358,235,74,1059,4,0,7,10,27,42,65,46,14,208,3,0,8,14,31,108,206,126,30,521,86,112,160,206,210,247,198,68,21,1304,0,0,0,7,12,46,76,64,17,227,145,73,67,102,161,257,236,103,37,1192,2725,1322,1354,1320,1376,1256,764,282,67,10451,521,240,341,337,421,416,276,153,38,2743,3704,1870,2075,2137,2513,2859,2418,1177,320,19079,3,16,46,100,256,544,704,427,182,2271,170,157,204,213,251,295,267,126,32,1709,0,7,11,38,79,149,167,106,38,596,0,0,0,0,0,9,21,38,54,131,5,9,34,68,149,249,301,153,52,1012,12,14,12,32,55,128,194,156,85,686
SOSR522,0,3,16,24,81,200,295,174,37,830,100,69,66,81,98,99,102,46,7,669,3,4,0,6,18,80,107,109,19,342,0,0,0,0,0,4,25,18,11,69,5,15,23,56,106,192,237,137,27,793,3,3,12,19,53,140,225,158,46,660,4,5,0,6,11,22,27,31,12,113,8,0,0,5,21,53,106,76,19,293,41,71,82,104,132,125,111,36,12,716,0,0,4,3,4,25,55,37,8,145,82,40,37,68,107,150,142,57,12,688,1560,866,900,732,727,664,459,159,40,6105,337,156,174,178,205,219,166,86,28,1548,2114,1187,1263,1202,1348,1543,1432,688,176,10961,4,3,23,56,129,278,387,224,64,1162,56,69,102,112,136,161,146,56,16,871,0,0,5,14,34,81,93,62,17,300,0,0,0,0,4,5,12,25,19,65,6,9,20,69,133,173,158,90,23,676,10,9,12,23,44,75,111,87,39,404
SOSR531,4,51,95,259,672,1571,1955,1013,215,5822,847,563,529,704,764,753,603,248,43,5050,12,11,23,54,205,569,956,597,111,2533,0,3,0,5,8,22,40,134,54,255,24,42,75,158,559,1022,1315,631,108,3933,17,25,27,57,333,941,1468,928,218,4016,14,9,22,29,63,134,176,152,49,652,15,13,13,20,97,329,529,345,66,1428,292,487,483,640,861,923,621,206,28,4534,3,5,7,11,53,129,244,198,49,712,518,340,275,456,728,1044,935,372,80,4748,10737,6351,5691,6566,7690,7200,4232,1313,196,49974,1539,1718,3039,2985,2806,2246,1326,530,104,16293,13828,9381,10059,11495,13733,14468,11045,4509,841,89366,10,41,138,341,1017,2154,2416,1194,325,7642,549,536,578,789,1041,1083,819,317,60,5777,16,10,26,121,343,669,705,355,65,2304,0,3,0,0,4,28,66,117,104,326,18,30,72,145,366,611,757,406,111,2506,15,15,26,44,142,387,613,481,166,1885
SOSR579,0,0,0,0,0,0,0,0,0,11,0,0,0,8,4,4,0,0,0,15,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,15,54,75,45,23,0,0,0,218,0,14,44,70,43,20,4,0,0,204,0,30,99,157,103,55,14,0,0,455,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
