SOSR_CODE_2021,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
SOSR501,886,1719,4248,4173,3418,2220,682,180,39,17565,28619,47486,111712,111734,101583,72375,17809,1540,99,492968,232,442,1208,1229,1249,1043,519,155,10,6094,420,3435,17231,19762,15674,8838,1542,99,5,67009,2049,3899,10514,12649,12598,9498,2254,252,10,53721,150,512,2403,3179,2772,1934,371,18,0,11339,3060,7679,22444,22471,18021,12915,3034,240,13,89882,681,1805,5360,6365,6126,4395,1124,135,11,25998,14302,16543,18641,14556,13363,10584,3127,328,24,91461,19645,12887,13581,8944,6065,4208,1123,106,9,66560,865,3047,9689,10749,10136,8885,2655,235,9,46273,421,901,2166,2164,1702,1118,311,55,0,8833,162,1283,5796,7273,6133,3640,995,157,12,25457,225,985,3065,3420,3358,2613,1224,274,27,15190,657,5699,20050,23034,17064,10355,3684,510,30,81083,903,3024,7659,7312,6396,5073,1552,173,10,32112,535,3302,12700,15195,14920,11603,2646,228,10,61143,2293,5695,16926,20578,22556,17448,4775,389,15,90677,2100,11949,35037,33905,30987,24671,6689,505,15,145863,2300,2818,4195,3406,2590,1865,725,122,8,18023
SOSR511,33,51,99,119,74,64,28,6,0,469,1292,1357,3234,3767,3893,2777,611,46,3,16983,24,49,109,75,92,90,50,17,0,509,24,162,576,738,684,446,63,0,0,2696,142,287,674,836,742,477,87,3,0,3249,11,42,131,162,174,164,21,5,0,706,155,377,834,865,751,642,158,11,0,3792,24,51,112,139,163,101,25,3,0,618,597,398,696,661,628,506,100,15,0,3595,913,279,367,321,259,145,37,8,0,2334,23,77,201,253,343,363,113,12,0,1389,33,29,58,41,31,18,15,0,0,221,4,20,91,102,125,78,26,6,0,448,16,27,87,85,101,82,29,9,3,433,21,61,249,311,262,193,101,11,0,1194,23,59,159,205,215,178,55,3,0,906,26,89,292,382,459,362,81,6,0,1709,53,96,436,680,886,653,165,5,0,2964,127,394,1031,1202,1206,987,230,6,0,5189,60,39,81,54,47,41,11,0,0,337
SOSR512,63,73,130,176,181,126,46,15,5,805,2046,2153,4978,5656,6236,4774,1209,108,11,27169,59,100,218,236,248,273,177,40,18,1371,129,464,1531,1549,1401,894,134,4,0,6105,141,217,531,542,467,384,108,5,0,2412,10,34,92,151,143,145,25,0,0,604,264,494,1121,1022,935,844,214,16,0,4909,36,108,260,280,307,209,58,10,0,1275,1110,687,962,924,1011,890,255,30,0,5879,1329,523,758,714,566,439,140,18,0,4489,52,115,354,441,696,708,261,19,0,2648,31,36,65,61,46,46,13,0,0,297,6,45,114,144,166,119,29,0,0,629,23,77,161,130,181,137,54,14,0,776,59,123,425,450,469,362,143,17,0,2063,50,118,302,334,388,342,78,7,0,1615,47,114,479,691,846,678,169,10,0,3032,78,228,784,1096,1401,1074,251,31,0,4934,164,528,1493,1718,1896,1677,410,25,0,7905,73,45,97,98,107,87,24,9,0,541
SOSR513,38,59,139,154,97,59,22,4,0,579,904,1104,4020,4016,3085,1981,435,37,3,15573,29,44,151,115,114,98,54,11,4,625,51,261,1283,1572,961,519,58,0,0,4707,58,78,282,252,213,114,21,7,0,1016,19,29,116,160,136,97,11,0,0,562,124,245,826,741,577,418,108,0,0,3047,40,51,181,194,158,119,17,0,0,770,461,250,513,480,437,328,72,10,5,2560,467,217,536,363,265,198,65,5,0,2115,57,117,532,585,549,415,97,4,0,2366,11,22,39,35,33,28,6,0,0,171,9,15,70,91,51,38,9,0,0,277,14,48,138,127,123,76,20,4,0,556,24,51,233,258,170,129,30,0,0,898,40,79,273,287,243,167,45,5,0,1131,40,91,475,572,530,330,77,0,0,2118,38,146,695,865,736,421,97,5,0,2997,104,260,980,978,779,658,148,6,0,3918,41,21,70,84,70,49,14,0,0,345
SOSR514,15,16,33,67,51,25,13,6,0,224,390,368,1099,1576,1445,1001,269,26,0,6175,3,22,85,58,71,44,30,12,0,320,11,56,201,285,290,159,33,0,0,1044,51,67,227,259,195,110,23,3,0,932,5,23,46,76,76,53,12,0,0,294,69,83,242,327,262,195,39,6,0,1212,3,12,42,39,69,37,15,0,0,223,197,125,171,250,252,216,61,4,0,1282,288,140,325,293,199,136,54,0,0,1440,4,20,48,54,76,107,47,3,0,351,0,0,8,11,15,9,8,0,0,51,0,8,25,46,41,28,9,0,0,158,0,10,22,33,56,37,24,0,0,176,4,18,86,131,121,81,28,3,0,469,19,19,78,128,124,75,23,3,0,470,10,35,86,146,137,139,28,4,0,579,17,28,157,284,295,208,54,6,0,1038,35,47,251,337,327,294,84,8,0,1382,21,9,34,33,29,12,10,3,0,154
SOSR515,51,53,142,104,151,112,39,17,0,672,1111,1411,4045,4220,4139,3379,876,98,7,19294,97,178,458,370,319,318,211,72,6,2031,69,272,1232,1541,1290,829,116,3,0,5349,123,206,505,502,481,381,93,12,0,2315,17,26,115,124,137,126,24,0,0,581,185,287,753,666,656,575,190,14,0,3317,51,80,185,178,174,168,41,11,0,883,580,332,614,617,634,561,174,22,0,3530,548,252,455,407,379,345,96,20,0,2496,55,124,303,318,414,426,174,17,3,1825,14,18,42,38,18,19,10,0,0,152,5,31,83,85,83,59,12,0,0,361,12,31,90,95,90,82,42,9,0,449,13,83,252,271,231,176,67,9,0,1107,45,91,283,295,307,248,72,13,0,1356,49,160,541,628,686,601,156,7,0,2822,42,201,702,857,916,724,182,15,0,3643,98,282,1000,926,1040,1012,299,28,0,4683,27,32,81,95,64,69,26,9,0,411
SOSR521,19,22,47,61,58,60,26,9,0,301,349,428,1295,1422,1605,1456,392,54,3,7011,48,97,253,161,166,170,158,49,4,1102,20,99,403,468,413,335,48,3,0,1786,59,74,165,203,191,139,33,0,0,862,5,9,25,31,52,46,13,0,0,183,53,97,211,232,250,276,74,0,0,1197,14,48,84,70,93,62,22,5,0,387,139,105,183,156,216,225,68,11,0,1099,185,74,185,143,159,175,66,15,0,1008,6,25,67,111,137,230,93,14,0,690,3,0,9,14,12,12,0,0,0,53,0,8,16,25,32,22,5,4,0,100,4,8,24,23,26,33,11,0,0,131,7,18,55,65,77,76,27,0,0,329,16,27,58,83,126,112,33,3,0,466,19,56,207,230,334,305,76,6,0,1231,24,57,262,320,323,295,74,4,0,1364,38,72,250,321,366,408,90,8,0,1546,10,15,30,23,38,32,10,0,0,153
SOSR522,7,7,28,24,22,22,15,5,0,131,164,284,674,696,753,776,225,32,0,3609,40,52,169,149,127,161,81,27,4,807,7,42,138,133,145,113,34,0,0,607,16,26,56,63,79,47,16,0,0,311,0,4,10,22,26,25,5,0,0,93,28,31,85,113,91,122,34,0,0,510,8,20,57,40,33,45,10,0,0,214,51,53,83,83,108,102,35,3,0,521,58,75,117,93,83,107,38,5,0,584,10,22,62,55,93,117,58,11,0,420,0,0,4,10,5,6,4,0,0,29,0,5,8,17,11,9,0,0,0,47,3,0,4,3,9,11,6,0,0,40,7,4,26,27,20,32,23,5,0,138,8,19,53,39,59,50,18,0,0,245,9,46,125,136,204,191,49,4,0,756,13,58,177,176,200,204,65,4,0,893,20,39,127,146,163,185,48,0,0,732,14,6,20,19,33,24,13,0,0,127
SOSR531,83,82,160,240,325,290,133,50,0,1368,2027,2139,4769,6690,8680,7890,2551,433,27,35194,460,823,2106,2713,3413,3719,2454,848,115,16645,118,572,1776,2092,2156,1494,238,13,0,8460,257,258,484,694,957,895,287,50,5,3897,12,27,79,164,202,211,56,5,0,755,329,516,1059,1441,1645,1564,416,34,3,7014,116,140,273,329,418,414,128,18,0,1833,825,505,498,585,960,900,280,33,0,4603,1008,365,578,487,614,627,258,36,6,3971,50,90,311,462,827,882,374,42,0,3038,11,14,40,58,62,58,23,0,0,272,12,38,118,172,196,164,43,9,0,744,27,40,107,144,199,217,99,15,0,858,46,153,378,586,662,608,262,41,0,2736,65,131,290,337,495,434,154,23,0,1921,83,306,542,672,1075,1023,224,24,0,3944,110,234,670,1248,1668,1499,385,15,0,5830,119,325,808,1143,1642,1661,457,44,0,6196,97,106,169,166,208,194,79,16,0,1032
SOSR579,0,0,0,0,0,0,0,0,0,5,0,5,8,9,5,0,0,0,0,29,3,4,12,9,3,0,0,0,0,41,0,0,9,34,19,12,0,0,0,74,0,0,0,0,0,0,0,0,0,4,0,0,4,4,0,0,0,0,0,5,0,0,13,16,8,0,0,0,0,38,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,0,5,10,12,13,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,4,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR599,0,0,14,6,4,7,0,0,0,30,33,84,234,138,91,102,18,0,0,715,0,16,43,9,8,14,0,0,0,101,0,14,56,41,48,30,0,0,0,188,3,0,27,18,7,7,0,0,0,67,0,0,6,0,5,0,0,0,0,12,4,7,47,43,39,16,3,0,0,168,0,5,6,3,7,0,0,0,0,22,3,17,28,10,9,10,6,0,0,88,22,42,91,23,27,25,0,0,0,231,6,13,21,15,14,15,0,0,0,88,0,6,8,0,0,0,0,0,0,17,0,0,6,7,5,0,0,0,0,16,0,0,0,0,3,5,0,0,0,9,0,9,28,38,9,7,0,0,0,92,0,14,26,19,3,7,3,0,0,62,5,3,17,23,14,14,5,0,0,66,0,7,15,13,11,10,3,0,0,69,4,16,38,38,25,31,3,0,0,157,3,3,9,3,0,3,0,0,0,25
