SOSR_CODE_2021,M_Neg_Nil_income_15_19_yrs,M_Neg_Nil_income_20_24_yrs,M_Neg_Nil_income_25_34_yrs,M_Neg_Nil_income_35_44_yrs,M_Neg_Nil_income_45_54_yrs,M_Neg_Nil_income_55_64_yrs,M_Neg_Nil_income_65_74_yrs,M_Neg_Nil_income_75_84_yrs,M_Negtve_Nil_incme_85_yrs_ovr,M_Neg_Nil_income_Tot,M_1_149_15_19_yrs,M_1_149_20_24_yrs,M_1_149_25_34_yrs,M_1_149_35_44_yrs,M_1_149_45_54_yrs,M_1_149_55_64_yrs,M_1_149_65_74_yrs,M_1_149_75_84_yrs,M_1_149_85ov,M_1_149_Tot,M_150_299_15_19_yrs,M_150_299_20_24_yrs,M_150_299_25_34_yrs,M_150_299_35_44_yrs,M_150_299_45_54_yrs,M_150_299_55_64_yrs,M_150_299_65_74_yrs,M_150_299_75_84_yrs,M_150_299_85ov,M_150_299_Tot,M_300_399_15_19_yrs,M_300_399_20_24_yrs,M_300_399_25_34_yrs,M_300_399_35_44_yrs,M_300_399_45_54_yrs,M_300_399_55_64_yrs,M_300_399_65_74_yrs,M_300_399_75_84_yrs,M_300_399_85ov,M_300_399_Tot,M_400_499_15_19_yrs,M_400_499_20_24_yrs,M_400_499_25_34_yrs,M_400_499_35_44_yrs,M_400_499_45_54_yrs,M_400_499_55_64_yrs,M_400_499_65_74_yrs,M_400_499_75_84_yrs,M_400_499_85ov,M_400_499_Tot,M_500_649_15_19_yrs,M_500_649_20_24_yrs,M_500_649_25_34_yrs,M_500_649_35_44_yrs,M_500_649_45_54_yrs,M_500_649_55_64_yrs,M_500_649_65_74_yrs,M_500_649_75_84_yrs,M_500_649_85ov,M_500_649_Tot,M_650_799_15_19_yrs,M_650_799_20_24_yrs,M_650_799_25_34_yrs,M_650_799_35_44_yrs,M_650_799_45_54_yrs,M_650_799_55_64_yrs,M_650_799_65_74_yrs,M_650_799_75_84_yrs,M_650_799_85ov,M_650_799_Tot,M_800_999_15_19_yrs,M_800_999_20_24_yrs,M_800_999_25_34_yrs,M_800_999_35_44_yrs,M_800_999_45_54_yrs,M_800_999_55_64_yrs,M_800_999_65_74_yrs,M_800_999_75_84_yrs,M_800_999_85ov,M_800_999_Tot,M_1000_1249_15_19_yrs,M_1000_1249_20_24_yrs,M_1000_1249_25_34_yrs,M_1000_1249_35_44_yrs,M_1000_1249_45_54_yrs,M_1000_1249_55_64_yrs,M_1000_1249_65_74_yrs,M_1000_1249_75_84_yrs,M_1000_1249_85ov,M_1000_1249_Tot,M_1250_1499_15_19_yrs,M_1250_1499_20_24_yrs,M_1250_1499_25_34_yrs,M_1250_1499_35_44_yrs,M_1250_1499_45_54_yrs,M_1250_1499_55_64_yrs,M_1250_1499_65_74_yrs,M_1250_1499_75_84_yrs,M_1250_1499_85ov,M_1250_1499_Tot,M_1500_1749_15_19_yrs,M_1500_1749_20_24_yrs,M_1500_1749_25_34_yrs,M_1500_1749_35_44_yrs,M_1500_1749_45_54_yrs,M_1500_1749_55_64_yrs,M_1500_1749_65_74_yrs,M_1500_1749_75_84_yrs,M_1500_1749_85ov,M_1500_1749_Tot,M_1750_1999_15_19_yrs,M_1750_1999_20_24_yrs,M_1750_1999_25_34_yrs,M_1750_1999_35_44_yrs,M_1750_1999_45_54_yrs,M_1750_1999_55_64_yrs,M_1750_1999_65_74_yrs,M_1750_1999_75_84_yrs,M_1750_1999_85ov,M_1750_1999_Tot,M_2000_2999_15_19_yrs,M_2000_2999_20_24_yrs,M_2000_2999_25_34_yrs,M_2000_2999_35_44_yrs,M_2000_2999_45_54_yrs,M_2000_2999_55_64_yrs,M_2000_2999_65_74_yrs,M_2000_2999_75_84_yrs,M_2000_2999_85ov,M_2000_2999_Tot,M_3000_3499_15_19_yrs,M_3000_3499_20_24_yrs,M_3000_3499_25_34_yrs,M_3000_3499_35_44_yrs,M_3000_3499_45_54_yrs,M_3000_3499_55_64_yrs,M_3000_3499_65_74_yrs,M_3000_3499_75_84_yrs,M_3000_3499_85ov,M_3000_3499_Tot,M_3500_more_15_19_yrs,M_3500_more_20_24_yrs,M_3500_more_25_34_yrs,M_3500_more_35_44_yrs,M_3500_more_45_54_yrs,M_3500_more_55_64_yrs,M_3500_more_65_74_yrs,M_3500_more_75_84_yrs,M_3500_more_85ov,M_3500_more_Tot,M_PI_NS_15_19_yrs,M_PI_NS_ns_20_24_yrs,M_PI_NS_ns_25_34_yrs,M_PI_NS_ns_35_44_yrs,M_PI_NS_ns_45_54_yrs,M_PI_NS_ns_55_64_yrs,M_PI_NS_ns_65_74_yrs,M_PI_NS_ns_75_84_yrs,M_PI_NS_ns_85_yrs_ovr,M_PI_NS_ns_Tot,M_Tot_15_19_yrs,M_Tot_20_24_yrs,M_Tot_25_34_yrs,M_Tot_35_44_yrs,M_Tot_45_54_yrs,M_Tot_55_64_yrs,M_Tot_65_74_yrs,M_Tot_75_84_yrs,M_Tot_85ov,M_Tot_Tot,F_Neg_Nil_income_15_19_yrs,F_Neg_Nil_income_20_24_yrs,F_Neg_Nil_income_25_34_yrs,F_Neg_Nil_income_35_44_yrs,F_Neg_Nil_income_45_54_yrs,F_Neg_Nil_income_55_64_yrs,F_Neg_Nil_income_65_74_yrs,F_Neg_Nil_income_75_84_yrs,F_Neg_Nil_incme_85_yrs_ovr,F_Neg_Nil_income_Tot,F_1_149_15_19_yrs,F_1_149_20_24_yrs,F_1_149_25_34_yrs,F_1_149_35_44_yrs,F_1_149_45_54_yrs,F_1_149_55_64_yrs,F_1_149_65_74_yrs,F_1_149_75_84_yrs,F_1_149_85ov,F_1_149_Tot,F_150_299_15_19_yrs,F_150_299_20_24_yrs,F_150_299_25_34_yrs,F_150_299_35_44_yrs,F_150_299_45_54_yrs,F_150_299_55_64_yrs,F_150_299_65_74_yrs,F_150_299_75_84_yrs,F_150_299_85ov,F_150_299_Tot
SOSR501,26732,5509,4510,3154,3424,5511,6042,2487,711,58087,11758,2672,994,689,800,1563,2437,988,312,22206,6677,5606,3176,2193,2407,3325,4850,2752,802,31792,2698,4982,4480,3188,3515,4959,11890,9949,3106,48754,2454,4364,3784,2592,3017,4253,10028,7456,2865,40803,2819,5893,5310,3357,3388,4242,8679,5583,1579,40865,1892,6582,6811,4361,3546,4363,6488,3965,1156,39161,1324,7588,12615,8129,6804,6738,6141,2685,736,52753,744,6956,18862,13961,11075,10493,6532,2213,500,71340,292,4123,16389,13481,10532,9039,4449,1243,248,59794,156,2495,14931,14406,11515,9560,3587,942,262,57846,80,1342,11226,12957,10785,7844,2450,492,131,47298,84,1756,20740,30182,25544,17379,4330,786,188,100983,18,268,4836,9165,8142,5046,1278,240,62,29044,37,209,4618,14843,16870,10536,2896,735,171,50908,2874,4464,11682,10586,8926,6791,4631,3675,2573,56200,60648,64814,144955,147237,130284,111637,86701,46197,15377,807849,22342,4742,13217,14929,11076,14838,9816,3096,1248,95298,13908,2979,3168,3937,2974,3991,3808,1374,480,36619,8338,6481,5655,5885,4750,6129,6975,3510,1164,48886
SOSR511,879,116,102,76,93,182,188,66,20,1728,475,27,23,27,19,57,79,35,5,747,221,90,103,83,75,121,215,102,38,1047,103,105,158,116,133,207,649,501,140,2114,106,95,96,92,127,188,451,339,132,1624,167,137,147,120,116,187,399,243,59,1578,95,219,204,124,142,177,316,176,42,1493,81,311,395,243,239,262,232,104,19,1887,38,257,542,445,379,399,298,80,11,2444,11,140,475,430,382,364,166,44,11,2016,10,95,403,516,426,399,109,26,10,2000,4,61,408,459,450,413,73,20,5,1888,0,108,718,1066,1052,787,146,15,4,3889,0,11,156,268,293,207,42,4,3,976,4,6,117,286,367,228,72,14,5,1100,131,174,532,536,459,370,251,136,91,2671,2312,1951,4567,4882,4750,4551,3690,1901,584,29199,785,113,430,394,353,632,325,101,36,3174,590,48,136,155,110,162,122,51,10,1387,297,132,227,223,184,290,267,137,32,1797
SOSR512,1218,167,160,131,173,297,306,118,43,2619,692,41,33,28,50,103,151,71,33,1210,384,156,189,147,147,241,371,176,73,1873,128,134,225,190,209,362,952,823,265,3291,190,142,169,177,200,337,775,595,180,2759,255,247,225,193,236,304,655,399,106,2618,208,372,303,211,220,363,497,280,84,2539,147,450,589,397,386,487,408,148,55,3068,83,396,852,685,664,736,429,142,25,4009,46,236,710,659,660,585,254,64,16,3224,23,208,715,655,735,634,217,61,25,3275,7,125,639,599,668,547,173,35,7,2801,7,171,1122,1536,1546,1152,260,41,9,5851,0,35,318,457,422,296,65,8,0,1596,0,19,206,449,499,357,94,31,13,1680,310,346,966,886,798,685,497,367,203,5054,3694,3238,7417,7407,7607,7498,6098,3357,1143,47455,936,190,617,508,402,774,508,159,65,4168,924,72,167,173,130,212,228,69,51,2032,451,167,322,324,259,394,426,247,111,2701
SOSR513,697,95,96,72,96,136,103,37,0,1321,313,16,16,15,19,31,32,20,3,458,176,73,75,56,72,87,89,40,10,681,69,59,98,88,102,136,279,185,42,1052,67,53,63,65,80,95,207,131,35,800,111,103,68,65,65,101,139,84,21,743,97,148,137,85,79,95,97,61,11,810,69,168,262,156,151,136,87,43,12,1088,58,186,439,317,255,257,126,24,6,1666,25,146,415,346,310,272,85,14,6,1621,15,128,490,467,391,273,74,11,0,1840,5,87,430,491,377,311,89,9,0,1796,4,156,1082,1345,1081,686,93,21,4,4471,5,29,385,469,382,213,40,4,0,1518,4,23,422,777,540,323,55,12,0,2153,301,334,901,857,745,585,225,123,56,4123,2021,1796,5376,5664,4739,3721,1823,814,207,26160,545,82,504,406,269,325,153,42,12,2339,377,39,104,109,54,76,43,25,5,826,206,69,200,165,113,124,123,46,5,1055
SOSR514,305,30,32,30,27,62,89,29,6,605,197,22,13,10,10,15,37,17,3,325,65,36,51,36,56,58,86,46,6,431,35,38,54,47,68,101,286,189,37,854,46,24,37,49,44,92,223,124,55,700,43,47,63,59,42,97,151,90,22,605,30,69,89,49,56,84,147,68,27,629,15,77,164,116,120,119,137,36,8,796,22,87,223,239,184,182,126,35,9,1105,11,36,174,168,152,134,60,20,0,756,7,32,126,169,150,134,49,14,4,689,0,30,108,159,144,99,42,4,0,583,0,14,211,348,337,219,50,7,0,1177,0,8,39,88,118,57,10,5,0,311,0,0,31,99,115,65,27,11,0,357,100,60,180,194,214,152,129,84,48,1160,876,616,1583,1850,1829,1670,1657,777,226,11094,234,32,116,109,107,191,127,31,8,960,202,12,52,70,33,49,64,17,8,509,73,20,70,103,74,126,107,54,13,646
SOSR515,948,129,130,118,133,213,278,103,34,2080,437,33,24,29,43,97,119,54,17,854,213,130,133,163,148,216,280,153,51,1486,93,90,139,146,207,370,848,639,172,2705,108,87,131,124,180,321,670,443,130,2203,160,148,167,131,195,237,503,286,74,1888,105,233,251,168,195,290,338,172,52,1796,91,305,421,321,348,386,277,131,29,2324,58,265,630,464,477,557,324,97,9,2888,28,184,490,424,455,375,197,41,10,2202,16,142,587,469,485,442,166,32,10,2350,7,77,418,476,495,397,118,24,9,2020,9,115,939,1141,1116,860,170,20,6,4377,4,21,255,378,347,253,41,8,6,1322,0,14,210,404,361,236,77,13,6,1322,383,313,829,805,809,692,507,336,146,4822,2657,2289,5755,5755,5998,5946,4934,2547,755,36634,815,132,548,430,324,619,374,110,48,3395,489,52,154,138,110,180,147,48,22,1336,228,126,282,275,245,362,366,148,52,2079
SOSR521,362,52,56,64,60,124,127,49,13,908,122,14,13,13,23,40,53,22,5,298,100,88,128,108,109,125,150,70,17,898,32,68,107,90,148,202,430,285,72,1437,41,25,61,74,110,158,388,242,66,1165,57,38,58,55,80,120,206,123,28,769,49,74,70,69,77,119,187,85,25,751,39,124,135,109,140,174,140,52,18,925,22,89,196,157,201,254,151,42,8,1124,11,61,171,146,197,220,86,13,3,908,5,39,186,194,175,222,86,15,4,930,0,29,133,156,173,173,43,0,0,713,4,47,298,364,388,342,77,9,0,1531,0,8,100,116,98,98,21,0,3,436,4,6,61,125,130,97,28,3,6,461,128,124,305,309,398,393,261,164,46,2134,977,897,2075,2137,2513,2859,2418,1177,320,15377,360,62,211,147,163,287,201,49,22,1505,146,30,71,67,57,97,67,22,9,567,93,95,170,148,162,215,140,56,25,1109
SOSR522,250,32,31,18,30,62,71,19,6,520,39,12,18,17,8,19,38,11,5,165,101,125,190,158,131,96,89,51,13,950,21,57,102,89,93,132,252,181,25,957,25,21,32,39,55,97,218,146,32,661,32,17,43,44,55,66,128,56,20,469,12,33,52,28,45,69,95,54,12,402,28,45,99,75,71,102,86,21,4,531,17,60,108,96,106,147,71,35,6,633,8,36,96,76,92,121,46,10,0,495,0,20,75,70,105,95,43,14,6,422,0,19,67,63,100,80,31,0,0,360,0,22,121,143,159,167,46,5,0,663,0,0,26,47,53,37,9,0,0,170,0,0,19,47,51,47,28,3,0,203,109,61,178,179,190,202,184,94,39,1248,632,557,1263,1202,1348,1543,1432,688,176,8847,200,36,68,45,76,149,75,23,6,686,80,21,27,30,20,49,36,15,3,280,82,109,159,162,154,133,106,48,11,963
SOSR531,1711,188,196,228,399,662,653,222,30,4295,696,84,50,65,99,200,314,131,22,1666,361,243,250,274,285,490,647,264,68,2885,167,160,215,251,354,590,1449,876,170,4233,231,174,215,190,318,578,1222,642,161,3727,347,287,265,246,393,663,979,454,83,3716,229,395,334,309,416,639,718,339,51,3431,169,458,562,497,627,914,752,274,37,4289,98,468,861,771,1015,1313,850,212,39,5633,41,338,706,800,924,1034,542,135,12,4528,34,228,730,839,1085,1078,425,110,15,4534,26,178,603,830,1017,923,289,75,8,3946,23,260,1317,1845,2320,1865,510,98,13,8251,4,49,410,626,740,583,154,25,7,2612,13,37,368,842,1132,842,321,94,15,3662,585,1089,2973,2878,2606,2100,1231,547,110,14120,4741,4644,10059,11495,13733,14468,11045,4509,841,75535,1455,172,576,697,888,1453,881,199,65,6388,913,105,237,311,277,409,346,104,23,2729,436,260,446,520,524,713,669,269,57,3899
SOSR579,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,3,0,3,0,0,0,17,0,3,3,4,0,0,0,0,0,14,0,0,8,5,7,0,0,0,0,24,0,3,3,5,9,3,0,0,0,21,0,0,17,31,12,14,0,0,0,77,0,3,3,14,0,0,0,0,0,26,0,0,9,17,16,4,0,0,0,50,3,13,44,71,42,20,7,0,0,197,7,25,99,157,103,55,14,0,0,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
