SOSR_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
SOSR501,9981,32199,9057,13073,1560,79482,16370,7444,50383,20292,25134,3505,123130,996,408,4099,2030,3529,360,11419,1468,617,5063,4951,16673,882,29645,2823,627,7896,4340,10928,3898,30508,81356,33568,240616,115276,237069,24631,732509
SOSR511,344,1014,334,703,47,2627,334,202,1485,689,1460,119,4287,0,5,38,33,107,9,199,37,21,106,138,736,21,1058,18,10,88,86,426,127,758,1011,824,4911,3356,12470,811,23383
SOSR512,507,1677,550,1046,78,4224,559,366,2183,1190,1922,194,6417,17,4,57,68,171,21,337,37,32,129,222,1296,47,1767,28,10,116,150,603,176,1080,1739,1345,7454,5476,18662,1298,35974
SOSR513,314,1049,303,583,54,2538,294,234,1119,581,809,109,3146,16,14,52,42,82,9,216,23,13,104,145,655,31,970,45,18,145,99,497,168,978,1106,876,4864,3523,11262,952,22591
SOSR514,118,361,89,223,24,883,105,72,383,230,323,23,1135,3,0,25,26,36,3,94,4,3,33,48,250,14,357,7,9,51,49,155,45,315,381,302,1944,1283,4072,317,8303
SOSR515,339,1262,360,762,73,2991,260,250,1163,676,1158,139,3651,15,9,51,47,128,13,258,29,13,101,137,790,34,1111,24,9,103,90,472,185,879,977,869,5077,3678,13613,1183,25407
SOSR521,124,454,104,274,44,1086,75,54,370,235,379,46,1158,4,0,25,17,35,7,89,5,4,28,36,274,12,363,10,3,39,37,193,71,365,346,296,1764,1289,4659,500,8852
SOSR522,64,255,62,178,20,648,31,30,155,112,174,23,533,0,0,15,6,32,6,62,0,0,17,17,143,7,193,8,0,24,12,95,37,169,182,139,882,638,2300,241,4387
SOSR531,549,1953,641,1245,135,4902,363,308,1810,1013,1324,202,5026,29,15,161,93,279,36,609,41,16,160,233,1424,75,1950,67,24,287,251,895,345,1875,2030,1648,11167,7958,24221,2476,49508
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,17,3,31,3,3,35,29,110,12,199
SOSR599,3,21,14,8,0,60,6,14,55,21,37,7,130,0,0,13,0,4,0,17,0,0,5,3,25,0,40,4,0,9,4,23,10,52,82,42,305,175,483,45,1126
