SOSR_CODE_2021,P_15_19_Num_chld_evr_brn_Nne,P_15_19_Num_chld_evr_brn_1,P_15_19_Num_chld_evr_brn_2,P_15_19_Num_chld_evr_brn_3,P_15_19_Num_chld_evr_brn_4,P_15_19_Num_chld_evr_brn_5,P_15_19_Num_chd_evr_brn_6_mr,P_15_19_Num_chld_evr_brn_ns,P_15_19_yrs_Total,P_20_24_Num_chld_evr_brn_Nne,P_20_24_Num_chld_evr_brn_1,P_20_24_Num_chld_evr_brn_2,P_20_24_Num_chld_evr_brn_3,P_20_24_Num_chld_evr_brn_4,P_20_24_Num_chld_evr_brn_5,P_20_24_Num_chd_evr_brn_6_mr,P_20_24_Num_chld_evr_brn_ns,P_20_24_yrs_Total,P_25_29_Num_chld_evr_brn_Nne,P_25_29_Num_chld_evr_brn_1,P_25_29_Num_chld_evr_brn_2,P_25_29_Num_chld_evr_brn_3,P_25_29_Num_chld_evr_brn_4,P_25_29_Num_chld_evr_brn_5,P_25_29_Num_chd_evr_brn_6_mr,P_25_29_Num_chld_evr_brn_ns,P_25_29_yrs_Total,P_30_34_Num_chld_evr_brn_Nne,P_30_34_Num_chld_evr_brn_1,P_30_34_Num_chld_evr_brn_2,P_30_34_Num_chld_evr_brn_3,P_30_34_Num_chld_evr_brn_4,P_30_34_Num_chld_evr_brn_5,P_30_34_Num_chd_evr_brn_6_mr,P_30_34_Num_chld_evr_brn_ns,P_30_34_yrs_Total,P_35_39_Num_chld_evr_brn_Nne,P_35_39_Num_chld_evr_brn_1,P_35_39_Num_chld_evr_brn_2,P_35_39_Num_chld_evr_brn_3,P_35_39_Num_chld_evr_brn_4,P_35_39_Num_chld_evr_brn_5,P_35_39_Num_chd_evr_brn_6_mr,P_35_39_Num_chld_evr_brn_ns,P_35_39_yrs_Total,P_40_44_Num_chld_evr_brn_Nne,P_40_44_Num_chld_evr_brn_1,P_40_44_Num_chld_evr_brn_2,P_40_44_Num_chld_evr_brn_3,P_40_44_Num_chld_evr_brn_4,P_40_44_Num_chld_evr_brn_5,P_40_44_Num_chd_evr_brn_6_mr,P_40_44_Num_chld_evr_brn_ns,P_40_44_yrs_Total,P_45_49_Num_chld_evr_brn_Nne,P_45_49_Num_chld_evr_brn_1,P_45_49_Num_chld_evr_brn_2,P_45_49_Num_chld_evr_brn_3,P_45_49_Num_chld_evr_brn_4,P_45_49_Num_chld_evr_brn_5,P_45_49_Num_chd_evr_brn_6_mr,P_45_49_Num_chld_evr_brn_ns,P_45_49_yrs_Total,P_50_54_Num_chld_evr_brn_Nne,P_50_54_Num_chld_evr_brn_1,P_50_54_Num_chld_evr_brn_2,P_50_54_Num_chld_evr_brn_3,P_50_54_Num_chld_evr_brn_4,P_50_54_Num_chld_evr_brn_5,P_50_54_Num_chd_evr_brn_6_mr,P_50_54_Num_chld_evr_brn_ns,P_50_54_yrs_Total,P_55_59_Num_chld_evr_brn_Nne,P_55_59_Num_chld_evr_brn_1,P_55_59_Num_chld_evr_brn_2,P_55_59_Num_chld_evr_brn_3,P_55_59_Num_chld_evr_brn_4,P_55_59_Num_chld_evr_brn_5,P_55_59_Num_chd_evr_brn_6_mr,P_55_59_Num_chld_evr_brn_ns,P_55_59_yrs_Total,P_60_64_Num_chld_evr_brn_Nne,P_60_64_Num_chld_evr_brn_1,P_60_64_Num_chld_evr_brn_2,P_60_64_Num_chld_evr_brn_3,P_60_64_Num_chld_evr_brn_4,P_60_64_Num_chld_evr_brn_5,P_60_64_Num_chd_evr_brn_6_mr,P_60_64_Num_chld_evr_brn_ns,P_60_64_yrs_Total,P_65_69_Num_chld_evr_brn_Nne,P_65_69_Num_chld_evr_brn_1,P_65_69_Num_chld_evr_brn_2,P_65_69_Num_chld_evr_brn_3,P_65_69_Num_chld_evr_brn_4,P_65_69_Num_chld_evr_brn_5,P_65_69_Num_chd_evr_brn_6_mr,P_65_69_Num_chld_evr_brn_ns,P_65_69_yrs_Total,P_70_74_Num_chld_evr_brn_Nne,P_70_74_Num_chld_evr_brn_1,P_70_74_Num_chld_evr_brn_2,P_70_74_Num_chld_evr_brn_3,P_70_74_Num_chld_evr_brn_4,P_70_74_Num_chld_evr_brn_5,P_70_74_Num_chd_evr_brn_6_mr,P_70_74_Num_chld_evr_brn_ns,P_70_74_yrs_Total,P_75_79_Num_chld_evr_brn_Nne,P_75_79_Num_chld_evr_brn_1,P_75_79_Num_chld_evr_brn_2,P_75_79_Num_chld_evr_brn_3,P_75_79_Num_chld_evr_brn_4,P_75_79_Num_chld_evr_brn_5,P_75_79_Num_chd_evr_brn_6_mr,P_75_79_Num_chld_evr_brn_ns,P_75_79_yrs_Total,P_80_84_Num_chld_evr_brn_Nne,P_80_84_Num_chld_evr_brn_1,P_80_84_Num_chld_evr_brn_2,P_80_84_Num_chld_evr_brn_3,P_80_84_Num_chld_evr_brn_4,P_80_84_Num_chld_evr_brn_5,P_80_84_Num_chd_evr_brn_6_mr,P_80_84_Num_chld_evr_brn_ns,P_80_84_yrs_Total,P_85_ov_Num_chld_evr_brn_Nne,P_85_ov_Num_chld_evr_brn_1,P_85_ov_Num_chld_evr_brn_2,P_85_ov_Num_chld_evr_brn_3,P_85_ov_Num_chld_evr_brn_4,P_85_ov_Num_chld_evr_brn_5,P_85_ov_Num_chd_evr_brn_6_mr,P_85_ov_Num_chld_evr_brn_ns,P_85ov_Total,Tot_Nmbr_child_ever_born_None,Tot_Nmbr_children_ever_born_1,Tot_Nmbr_children_ever_born_2,Tot_Nmbr_children_ever_born_3,Tot_Nmbr_children_ever_born_4,Tot_Nmbr_children_ever_born_5,Tot_Nmbr_chidrn_ever_brn_6_mr,Tot_Nmbr_childrn_ever_born_Ns,Total_Total
SOSR501,53482,283,20,4,0,0,11,4093,57892,54687,2906,1036,238,26,3,10,4633,63540,47857,9454,5837,1803,449,107,46,4966,70520,33053,17772,17359,5613,1610,418,232,4365,80424,18385,15603,28253,10331,2881,838,514,3771,80585,11765,11064,27512,11791,3440,1028,709,2797,70109,10136,9930,26580,12461,3723,1155,790,2756,67538,9544,9318,26053,12399,3899,1217,828,2611,65867,8313,7846,23824,12684,4266,1156,801,2433,61322,6693,6611,21823,12996,4514,1241,683,2163,56717,5258,5571,19816,12187,4319,1138,683,2169,51141,3684,4215,17561,10909,4074,1080,621,2338,44473,2226,2378,10789,8144,3340,994,629,2202,30707,1410,1430,6177,6138,3353,1150,778,2208,22639,1390,1474,5439,5700,3767,1665,1473,3652,24562,267884,105860,238085,123391,43655,13199,8800,47161,848032
SOSR511,2161,18,0,0,0,0,0,153,2329,1437,237,67,16,0,0,0,133,1888,1141,440,302,112,41,11,3,179,2225,685,508,757,311,87,36,11,147,2532,392,406,1002,477,135,44,25,113,2589,279,343,954,491,187,53,30,113,2449,288,286,997,524,188,61,31,105,2473,282,328,1000,548,203,59,25,118,2574,259,226,913,574,206,46,30,116,2368,207,201,925,635,250,78,43,116,2459,159,125,766,583,206,65,47,119,2067,137,125,735,505,206,57,29,108,1909,69,61,412,374,188,63,29,104,1309,40,50,222,238,151,75,39,94,913,26,34,143,226,177,98,74,158,942,7558,3371,9198,5613,2233,753,437,1868,31028
SOSR512,3082,32,0,0,0,0,0,371,3487,2237,327,113,23,4,4,3,328,3044,1801,607,527,172,47,14,4,347,3521,1077,704,987,450,156,42,19,300,3746,672,561,1345,699,260,74,55,312,3976,471,477,1303,735,296,97,68,275,3722,523,473,1436,817,306,97,78,251,3976,546,496,1410,853,343,100,78,280,4104,482,390,1249,908,360,113,61,282,3853,417,360,1318,913,401,123,79,273,3885,328,276,1251,898,343,84,53,239,3469,240,212,1008,827,340,100,47,242,3024,146,138,662,573,285,107,55,189,2168,90,77,340,440,311,113,89,183,1641,80,111,297,396,339,170,140,251,1776,12191,5256,13250,8704,3800,1238,833,4119,49404
SOSR513,1488,27,0,0,0,0,0,301,1813,1163,177,67,14,0,0,3,265,1686,1407,403,338,121,38,13,0,406,2720,982,592,765,342,117,36,14,464,3308,574,458,974,511,186,55,34,412,3199,370,288,736,443,198,60,42,292,2430,304,260,714,426,172,52,47,281,2258,281,234,595,392,177,57,50,269,2054,198,190,536,388,147,66,39,209,1772,132,132,429,339,151,57,35,162,1436,102,92,305,229,117,33,29,105,1012,47,47,262,176,98,31,20,79,760,26,28,159,150,69,28,20,69,547,18,11,70,71,50,23,22,46,320,15,12,51,49,56,33,32,51,300,7098,2947,6012,3646,1566,551,381,3420,25619
SOSR514,647,10,0,0,0,0,0,88,744,392,47,22,6,0,0,0,63,533,384,113,102,34,10,0,0,66,709,326,166,209,111,34,12,7,75,930,183,186,377,180,46,14,5,92,1084,161,132,383,184,74,21,11,68,1039,120,142,395,204,66,15,15,72,1027,124,114,332,167,68,23,13,65,908,108,102,301,193,69,29,11,66,869,91,84,318,254,87,25,15,54,927,84,64,298,214,94,33,11,59,855,44,58,279,228,79,25,15,56,788,43,37,145,147,64,25,11,72,544,24,10,59,81,48,25,12,47,307,17,12,59,70,56,38,27,66,346,2742,1260,3281,2079,790,272,150,1018,11600
SOSR515,1994,36,7,0,0,0,0,402,2441,1476,245,121,23,4,0,0,332,2191,1382,509,422,183,56,7,3,352,2917,939,544,772,399,136,43,17,402,3251,524,439,967,566,204,64,42,380,3180,378,349,958,540,234,64,67,320,2908,365,325,877,531,255,85,68,322,2833,363,372,951,600,216,94,82,322,3005,377,275,930,636,269,103,55,297,2942,290,233,952,717,317,97,59,249,2922,245,207,865,604,294,99,57,248,2616,160,170,738,575,292,65,45,235,2281,96,72,419,384,209,61,56,182,1485,46,40,226,267,204,73,45,157,1061,49,48,175,230,193,98,86,190,1077,8682,3868,9374,6272,2883,955,689,4393,37107
SOSR521,757,21,6,0,0,0,0,165,953,528,114,64,10,4,0,0,133,847,456,187,172,75,17,7,0,124,1046,311,212,297,167,47,22,14,151,1227,179,166,354,216,110,26,30,141,1221,170,121,306,195,105,35,48,135,1115,159,143,332,174,82,36,37,133,1087,192,145,418,255,125,41,36,165,1390,176,139,388,292,129,45,53,146,1373,150,116,392,295,156,49,31,149,1332,108,89,376,295,125,56,35,140,1228,69,70,319,254,121,38,34,108,1014,51,48,179,177,94,33,26,98,712,14,19,87,128,82,36,24,65,457,16,8,58,96,97,39,38,73,436,3345,1599,3753,2620,1307,459,413,1939,15431
SOSR522,441,17,0,0,0,0,0,113,577,354,104,51,15,0,0,0,90,612,264,119,106,52,6,0,0,79,632,188,94,162,89,35,15,6,78,667,99,79,159,136,49,33,14,80,649,92,61,143,99,66,19,21,60,572,83,76,161,110,38,34,19,72,599,80,75,181,131,58,37,28,72,661,100,75,190,160,75,25,22,108,757,77,67,227,161,86,14,26,95,756,46,58,179,168,85,21,21,84,662,50,34,185,132,53,23,19,64,563,25,17,96,92,57,18,14,51,370,17,11,43,69,41,17,25,50,275,5,9,19,47,33,21,28,43,201,1931,892,1902,1457,694,282,245,1146,8560
SOSR531,3583,23,0,0,0,0,8,580,4187,2373,179,57,13,0,0,0,449,3081,1853,467,383,123,36,8,3,457,3324,1187,641,951,502,146,43,17,495,3987,745,543,1425,920,315,67,42,490,4545,581,473,1617,1102,345,97,64,490,4765,682,521,1972,1178,421,115,75,563,5535,754,600,2187,1316,508,143,92,539,6149,744,553,2155,1556,629,175,90,577,6486,641,483,2023,1593,653,181,81,512,6176,433,378,1667,1327,576,157,71,454,5063,242,240,1316,1003,459,147,73,379,3860,126,137,707,632,336,101,44,265,2350,42,45,267,324,217,109,65,146,1210,31,34,144,202,143,104,68,78,805,14022,5320,16873,11814,4790,1447,789,6476,61530
SOSR579,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,5,11,3,0,0,0,0,0,0,3,7,5,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5,5,0,3,0,0,20,61
