SOSR_CODE_2021,Ag_For_Fish_OcMngr,Ag_For_Fish_OcProf,Ag_For_Fish_OcTechTrdW,Ag_For_Fish_OcComPerS,Ag_For_Fish_OcClericAdm,Ag_For_Fish_OcSalesWk,Ag_For_Fish_OcMacOp_Driv,Ag_For_Fish_OcLab,Ag_For_Fish_OcID_NS,Agri_for_fish_Tot,Mining_OcMngr,Mining_OcProf,Mining_OcTechTrdW,Mining_OcComPerS,Mining_OcClericAdm,Mining_OcSalesWk,Mining_OcMacOp_Driv,Mining_OcLab,Mining_OcID_NS,Mining_Tot,Manufact_OcMngr,Manufact_OcProf,Manufact_OcTechTrdW,Manufact_OcComPerS,Manufact_OcClericAdm,Manufact_OcSalesWk,Manufact_OcMacOp_Driv,Manufact_OcLab,Manufact_OcID_NS,Manufacturing_Tot,El_Gas_W_W_OcMngr,El_Gas_W_W_OcProf,El_Gas_W_W_OcTechTrdW,El_Gas_W_W_OcComPerS,El_Gas_W_W_OcClericAdm,El_Gas_W_W_OcSalesWk,El_Gas_W_W_OcMacOp_Driv,El_Gas_W_W_OcLab,El_Gas_W_W_OcID_NS,El_Gas_W_W_Tot,Construc_OcMngr,Construc_OcProf,Construc_OcTechTrdW,Construc_OcComPerS,Construc_OcClericAdm,Construc_OcSalesWk,Construc_OcMacOp_Driv,Construc_OcLab,Construc_OcID_NS,Construction_Tot,WhlesaleTde_OcMngr,WhlesaleTde_OcProf,WhlesaleTde_OcTechTrdW,WhlesaleTde_OcComPerS,WhlesaleTde_OcClericAdm,WhlesaleTde_OcSalesWk,WhlesaleTde_OcMacOp_Driv,WhlesaleTde_OcLab,WhlesaleTde_OcID_NS,WhlesaleTde_Tot,RetTde_OcMngr,RetTde_OcProf,RetTde_OcTechTrdW,RetTde_OcComPerS,RetTde_OcClericAdm,RetTde_OcSalesWk,RetTde_OcMacOp_Driv,RetTde_OcLab,RetTde_OcID_NS,RetTde_Tot,Acom_food_OcMngr,Acom_food_OcProf,Acom_food_OcTechTrdW,Acom_food_OcComPerS,Acom_food_OcClericAdm,Acom_food_OcSalesWk,Acom_food_OcMacOp_Driv,Acom_food_OcLab,Acom_food_OcID_NS,Acom_food_scs_Tot,Trans_po_wh_OcMngr,Trans_po_wh_OcProf,Trans_po_wh_OcTechTrdW,Trans_po_wh_OcComPerS,Trans_po_wh_OcClericAdm,Trans_po_wh_OcSalesWk,Trans_po_wh_OcMacOp_Driv,Trans_po_wh_OcLab,Trans_po_wh_OcID_NS,Trans_po_wh_Tot,Infon_med_tel_OcMngr,Infon_med_tel_OcProf,Infon_med_tel_OcTechTrdW,Infon_med_tel_OcComPerS,Infon_med_tel_OcClericAdm,Infon_med_tel_OcSalesWk,Infon_med_tel_OcMacOp_Driv,Infon_med_tel_OcLab,Infon_med_tel_OcID_NS,Infon_med_tel_Tot,Fin_and_ins_s_OcMngr,Fin_and_ins_s_OcProf,Fin_and_ins_s_OcTechTrdW,Fin_and_ins_s_OcComPerS,Fin_and_ins_s_OcClericAdm,Fin_and_ins_s_OcSalesWk,Fin_and_ins_s_OcMacOp_Driv,Fin_and_ins_s_OcLab,Fin_and_ins_s_OcID_NS,Fin_and_ins_s_Tot,Rent_hi_re_es_OcMngr,Rent_hi_re_es_OcProf,Rent_hi_re_es_OcTechTrdW,Rent_hi_re_es_OcComPerS,Rent_hi_re_es_OcClericAdm,Rent_hi_re_es_OcSalesWk,Rent_hi_re_es_OcMacOp_Driv,Rent_hi_re_es_OcLab,Rent_hi_re_es_OcID_NS,Rent_hi_re_es_Tot,Prof_sci_tec_OcMngr,Prof_sci_tec_OcProf,Prof_sci_tec_OcTechTrdW,Prof_sci_tec_OcComPerS,Prof_sci_tec_OcClericAdm,Prof_sci_tec_OcSalesWk,Prof_sci_tec_OcMacOp_Driv,Prof_sci_tec_OcLab,Prof_sci_tec_OcID_NS,Prof_sci_tec_Tot,Admin_sup_s_OcMngr,Admin_sup_s_OcProf,Admin_sup_s_OcTechTrdW,Admin_sup_s_OcComPerS,Admin_sup_s_OcClericAdm,Admin_sup_s_OcSalesWk,Admin_sup_s_OcMacOp_Driv,Admin_sup_s_OcLab,Admin_sup_s_OcID_NS,Admin_sup_s_Tot,Pub_adm_sfty_OcMngr,Pub_adm_sfty_OcProf,Pub_adm_sfty_OcTechTrdW,Pub_adm_sfty_OcComPerS,Pub_adm_sfty_OcClericAdm,Pub_adm_sfty_OcSalesWk,Pub_adm_sfty_OcMacOp_Driv,Pub_adm_sfty_OcLab,Pub_adm_sfty_OcID_NS,Pub_adm_sfty_Tot,Educ_training_OcMngr,Educ_training_OcProf,Educ_training_OcTechTrdW,Educ_training_OcComPerS,Educ_training_OcClericAdm,Educ_training_OcSalesWk,Educ_training_OcMacOp_Driv,Educ_training_OcLab,Educ_training_OcID_NS,Educ_training_Tot,Hlth_care_soc_OcMngr,Hlth_care_soc_OcProf,Hlth_care_soc_OcTechTrdW,Hlth_care_soc_OcComPerS,Hlth_care_soc_OcClericAdm,Hlth_care_soc_OcSalesWk,Hlth_care_soc_OcMacOp_Driv,Hlth_care_soc_OcLab,Hlth_care_soc_OcID_NS,Hlth_care_soc_Tot,ArtRecreatOcMngr,ArtRecreatOcProf,ArtRecreatOcTechTrdW,ArtRecreatOcComPerS,ArtRecreatOcClericAdm,ArtRecreatOcSalesWk,ArtRecreatOcMacOp_Driv,ArtRecreatOcLab,ArtRecreatOcID_NS,ArtRecreatTot,Other_scs_OcMngr,Other_scs_OcProf,Other_scs_OcTechTrdW,Other_scs_OcCom_PS_W,Other_scs_OcClericAdmin,Other_scs_OcSalesWk,Other_scs_OcMacOp_Driv,Other_scs_OcLab,Other_scs_OcID_NS,Other_scs_Tot,ID_NS_OcMngr,ID_NS_OcProf,ID_NS_OcTechTrdW,ID_NS_OcComPerS,ID_NS_OcClericAdm,ID_NS_OcSalesWk,ID_NS_OcMacOp_Driv,ID_NS_OcLab,ID_NS_OcID_NS,ID_NS_Tot
SOSR501,1807,469,547,20,557,205,465,1930,95,6094,8931,17728,16137,546,5544,209,13513,3449,957,67009,8492,5315,15741,789,5576,2657,7334,7204,614,53721,1821,2727,2034,56,1981,225,1451,813,238,11339,11210,6522,40981,378,9709,1318,6374,12332,1047,89882,5221,3532,3407,93,4042,3518,4226,1666,305,25998,13625,4436,4905,938,4883,48801,4411,9015,451,91461,9739,873,9410,19364,1879,8646,1718,14564,367,66560,4482,3692,2199,1645,9450,1345,20767,2172,508,46273,1355,3160,1582,78,1112,1026,118,314,85,8833,3624,9356,314,192,10424,886,57,96,512,25457,2257,1516,798,143,3040,6173,375,686,205,15190,10661,45310,9587,308,12094,797,825,862,649,81083,3076,4085,3307,2452,3788,498,1225,13346,330,32112,7698,14969,4337,14953,14521,233,783,2561,1099,61143,6983,50051,3035,19422,7342,237,148,3050,400,90677,7733,58570,5658,45691,20465,763,1111,4981,899,145863,2884,3465,1495,6101,1668,877,124,1203,197,18023,3537,3637,16164,7807,3948,615,599,3228,253,39786,5854,6697,7353,2399,5897,2551,4710,5033,7669,48169
SOSR511,108,32,51,0,43,11,81,180,7,509,183,257,983,17,127,6,922,153,46,2696,328,243,982,26,215,112,653,652,38,3249,59,68,270,0,89,3,108,88,23,706,302,153,1719,13,374,45,476,673,37,3792,114,42,105,6,91,126,108,36,5,618,477,92,214,32,194,1985,126,464,11,3595,296,9,246,578,74,375,70,665,17,2334,111,62,102,15,268,32,691,94,13,1389,26,70,30,0,21,53,0,11,0,221,44,134,4,0,233,21,0,0,0,448,41,15,28,4,118,185,21,22,0,433,90,524,254,4,262,22,9,28,5,1194,69,95,97,55,74,8,38,458,10,906,143,312,124,378,515,11,24,166,33,1709,181,1515,104,763,217,7,6,166,3,2964,217,1784,200,1928,760,40,43,176,32,5189,53,51,37,104,39,13,3,29,9,337,90,134,660,228,120,25,30,139,7,1428,94,90,249,53,145,64,150,196,241,1278
SOSR512,440,120,123,4,89,28,108,429,20,1371,388,729,1936,32,337,20,2277,319,72,6105,332,136,774,31,208,124,364,414,33,2412,61,32,205,0,86,9,129,65,15,604,446,92,2580,20,513,63,476,676,49,4909,197,107,263,4,178,228,213,68,17,1275,831,134,382,45,308,3213,222,729,20,5879,664,21,593,1096,214,560,97,1218,25,4489,233,147,202,52,452,68,1315,150,30,2648,48,93,46,0,25,58,8,14,5,297,71,191,10,7,318,29,4,4,9,629,81,39,73,3,183,313,31,48,5,776,139,861,425,14,462,26,36,73,21,2063,103,138,182,101,133,15,68,866,9,1615,328,525,208,1027,571,12,66,246,46,3032,352,2541,174,1229,343,14,5,246,29,4934,407,2790,291,2810,1098,44,54,372,44,7905,75,85,64,177,44,24,3,57,5,541,188,138,1215,342,274,45,33,194,11,2435,161,126,416,131,236,116,223,249,401,2058
SOSR513,199,43,59,5,47,30,58,168,9,625,321,378,1924,32,319,8,1321,268,131,4707,114,71,451,16,78,62,134,79,12,1016,69,33,146,0,90,10,131,60,15,562,315,61,1440,11,341,20,367,452,51,3047,115,59,162,0,102,120,147,50,19,770,398,68,169,24,130,1319,89,357,13,2560,376,29,284,467,144,242,31,536,10,2115,269,275,250,67,392,64,820,190,36,2366,28,53,43,0,20,15,7,0,0,171,44,56,0,0,160,13,0,0,5,277,81,17,73,4,111,201,15,43,5,556,84,345,179,16,207,12,22,21,10,898,93,81,187,60,108,6,49,529,7,1131,296,370,159,675,435,8,52,75,37,2118,259,1532,94,731,241,8,0,128,17,2997,256,1502,142,1198,607,32,22,128,19,3918,62,72,36,86,39,20,3,20,8,345,114,77,612,187,172,35,27,101,8,1329,145,150,308,79,193,74,138,176,341,1599
SOSR514,73,18,38,3,17,12,20,134,3,320,44,91,333,10,30,0,456,65,16,1044,138,96,255,35,49,67,82,203,3,932,22,18,132,0,44,5,34,34,9,294,126,22,661,5,103,11,92,200,6,1212,48,17,24,0,38,49,37,11,0,223,207,39,73,15,46,698,32,170,13,1282,276,16,244,351,82,117,21,335,10,1440,35,19,14,10,62,16,167,32,0,351,3,16,17,0,5,6,0,0,0,51,17,46,0,0,84,4,0,0,0,158,18,23,5,0,33,82,8,5,5,176,29,228,82,4,95,5,6,13,6,469,36,24,74,43,32,4,18,234,6,470,69,89,40,162,105,3,25,69,10,579,68,526,29,286,70,3,6,51,0,1038,62,495,38,505,188,15,7,65,5,1382,20,42,19,31,13,7,0,10,0,154,45,19,219,85,48,4,10,44,5,481,57,43,93,42,43,29,46,77,107,539
SOSR515,558,80,237,6,120,35,186,783,22,2031,274,286,1943,39,240,4,2201,243,110,5349,240,84,603,54,149,94,338,713,40,2315,65,32,175,0,65,5,131,96,14,581,303,47,1551,8,328,17,495,545,33,3317,111,66,177,0,104,207,135,72,14,883,542,73,247,33,182,1850,120,474,16,3530,443,11,357,653,150,189,26,653,20,2496,166,148,126,55,349,74,787,108,14,1825,18,43,45,5,14,14,0,10,4,152,51,86,4,0,190,16,0,12,4,361,42,11,42,3,104,175,23,36,10,449,83,425,261,18,228,14,24,30,9,1107,77,98,182,93,115,13,121,638,10,1356,315,471,248,770,599,19,126,246,36,2822,287,1691,164,946,262,11,9,249,20,3643,247,1497,181,1763,645,38,19,254,37,4683,60,95,58,82,45,7,5,42,12,411,76,107,797,209,182,15,20,129,13,1546,121,126,264,103,164,84,160,254,425,1704
SOSR521,342,40,124,4,55,24,100,401,12,1102,134,144,554,22,103,5,732,79,28,1786,107,39,291,11,66,29,152,146,12,862,13,3,61,0,18,0,50,35,5,183,114,22,468,6,114,12,238,214,11,1197,64,26,76,0,57,82,53,21,3,387,165,40,88,13,48,576,30,136,7,1099,213,6,139,230,54,58,13,302,4,1008,82,26,32,21,129,25,347,27,5,690,0,13,13,0,11,7,0,0,0,53,21,16,0,0,54,3,0,0,7,100,8,4,10,4,40,53,7,3,0,131,34,120,51,0,90,4,6,15,0,329,23,33,66,33,44,7,29,230,6,466,156,133,89,316,245,6,117,152,23,1231,132,614,55,365,73,0,4,121,0,1364,73,472,55,642,187,6,9,84,9,1546,23,40,27,22,14,6,0,15,0,153,48,42,236,53,57,7,6,39,6,497,68,57,109,44,62,32,84,90,194,743
SOSR522,284,45,94,0,40,8,76,258,3,807,40,47,172,6,36,3,253,40,0,607,39,15,92,3,30,8,50,60,0,311,5,0,40,0,0,0,15,22,6,93,42,5,218,3,41,4,120,75,0,510,34,22,30,0,32,47,34,13,6,214,115,20,45,12,13,256,16,47,4,521,145,7,87,136,36,27,6,119,4,584,60,20,24,13,65,17,206,22,5,420,0,10,6,0,5,3,0,0,0,29,11,9,0,0,27,0,0,0,0,47,7,0,3,0,5,10,4,4,3,40,13,64,13,0,46,0,3,0,0,138,31,19,37,36,24,7,14,74,0,245,80,61,80,154,149,3,113,104,11,756,86,357,47,260,54,0,9,81,8,893,40,221,31,310,82,9,3,40,0,732,18,42,13,22,17,0,0,23,0,127,24,16,131,33,33,6,4,33,6,278,23,19,49,20,22,15,25,46,139,358
SOSR531,11156,257,604,28,701,85,676,3033,111,16645,667,874,2683,77,383,16,3092,548,116,8460,717,292,1167,79,406,177,470,545,55,3897,102,70,214,3,115,9,145,76,17,755,841,185,2932,13,775,56,1117,1018,78,7014,375,159,281,0,277,349,241,119,28,1833,815,133,346,51,269,2378,140,456,20,4603,882,40,483,891,196,327,77,1045,32,3971,403,170,196,70,538,76,1419,123,35,3038,53,62,65,7,40,32,4,6,0,272,128,232,4,3,316,32,5,5,19,744,129,49,70,3,159,340,40,64,10,858,304,1273,427,16,582,19,41,52,21,2736,198,125,354,116,172,27,113,806,20,1921,500,660,417,972,806,22,219,297,59,3944,533,2796,309,1452,426,11,24,246,27,5830,316,2310,254,2075,912,29,34,207,53,6196,141,270,163,209,73,23,14,125,14,1032,253,114,1416,308,346,42,39,158,21,2699,489,253,510,127,366,135,313,380,777,3337
SOSR579,0,3,3,0,0,0,0,28,0,41,0,11,40,0,0,0,12,17,0,74,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,5,0,0,13,0,0,0,12,13,0,38,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,6,0,9,5,0,0,0,6,16,3,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,7,0,0,0,3,16,0,35
