SOSR_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
SOSR501,11340,11329,22665,17658,13760,31416,137,76,213,31,15,48,2014,1684,3698,339125,297081,636206,19826,25500,45325,4879,159,5040,2480,252,2729,5259,1498,6758,11423,2800,14229,8091,7748,15845,422255,361907,784160,6730,6523,13255,12,7,24,0,4,5,4524,4122,8641,653,910,1563,494,188,688,12419,11751,24171,23,6,32,8,8,15,763,769,1535,483,880,1364,689,397,1084,1962,2068,4025,4342,2174,6517,18727,15991,34718,2125,2513,4636,518,260,776,254,101,356,2900,2873,5769,33855,43357,77216,51613,67213,118823,2365,1625,3993,531710,492968,1024680
SOSR511,10,8,17,460,131,591,0,0,3,0,0,0,34,41,76,12308,11772,24072,1053,1040,2095,158,8,164,62,10,70,154,42,196,298,75,377,262,273,534,14808,13393,28205,0,0,0,0,0,0,0,0,0,10,4,7,4,3,7,0,0,0,14,3,17,0,0,0,0,0,0,171,42,211,19,16,31,26,0,31,210,60,276,214,78,296,441,149,593,4,3,7,22,5,32,13,3,13,36,11,50,480,897,1378,2154,2482,4637,92,43,136,18015,16983,34998
SOSR512,11,3,14,599,165,769,14,4,18,0,0,0,86,93,178,19994,18908,38899,1706,1801,3504,355,18,380,165,22,183,351,126,479,419,116,535,633,628,1256,24336,21886,46218,0,0,4,0,0,0,0,0,0,4,8,13,0,0,0,0,0,0,8,8,17,0,0,0,0,0,0,80,29,104,13,10,26,30,10,38,119,45,166,252,145,398,386,204,584,0,0,0,31,6,39,17,4,18,48,8,53,765,1504,2274,3139,3470,6607,143,104,243,28812,27169,55980
SOSR513,29,40,66,332,100,425,6,0,9,0,5,8,40,36,81,11942,10465,22403,975,978,1951,214,10,225,203,57,263,217,147,361,322,105,427,452,588,1040,14731,12515,27250,33,23,56,0,0,0,0,0,0,43,37,82,3,7,6,0,3,5,81,71,149,0,0,0,0,0,0,16,12,29,7,12,18,11,4,16,38,24,63,172,75,246,290,164,455,16,15,33,8,0,9,5,4,10,27,20,51,394,899,1287,1946,1882,3828,136,95,225,17522,15573,33096
SOSR514,3,0,3,117,26,142,0,0,0,0,0,0,3,17,18,3991,3951,7938,388,327,716,56,0,60,15,5,18,87,33,122,170,43,215,209,218,426,5046,4615,9662,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,5,4,10,0,0,0,0,0,0,9,0,10,0,0,0,8,3,10,16,7,22,87,25,116,106,41,144,0,0,0,4,0,6,4,0,6,15,3,10,317,598,913,915,891,1804,44,35,83,6436,6175,12611
SOSR515,26,17,40,904,260,1163,4,5,11,0,0,0,25,17,42,13242,12281,25522,1210,1122,2331,337,12,349,110,35,144,240,185,423,425,159,579,848,1064,1914,17367,15156,32525,11,10,21,0,0,0,0,0,0,26,22,42,6,0,6,0,0,0,42,30,66,0,0,0,0,0,0,66,34,102,7,5,14,14,8,22,87,50,141,197,124,320,329,201,529,4,8,17,24,3,33,15,6,19,48,21,66,630,1159,1788,2709,2608,5321,188,148,337,21270,19294,40565
SOSR521,5,5,13,344,98,441,0,0,0,0,0,0,6,6,9,4765,4206,8971,380,384,761,162,5,158,27,5,34,63,57,121,211,44,254,468,647,1113,6424,5453,11879,0,0,4,0,0,0,0,0,0,7,14,24,0,0,0,0,0,0,12,17,26,0,0,0,0,0,0,15,5,21,9,0,6,8,0,9,33,8,36,80,27,111,120,53,171,3,0,5,7,0,11,7,0,7,18,7,26,283,500,787,948,908,1853,117,97,212,7915,7011,14926
SOSR522,9,3,8,112,45,157,4,0,4,0,0,0,0,0,0,2375,1906,4278,213,201,416,101,0,102,5,0,5,63,35,98,108,36,140,439,618,1061,3428,2847,6275,0,5,0,0,0,0,0,0,0,8,3,7,0,0,0,0,0,0,10,5,15,0,0,0,0,0,0,3,6,7,4,0,4,0,0,0,5,6,11,40,26,62,55,33,83,0,0,0,4,0,4,4,0,0,10,0,10,157,222,374,392,455,845,75,57,131,4113,3609,7723
SOSR531,121,114,230,1854,403,2257,8,3,15,0,3,6,59,16,74,22818,19300,42118,1714,1389,3103,1163,66,1226,184,32,214,113,46,157,2018,548,2560,2793,1900,4692,32840,23814,56655,16,22,37,0,0,0,0,0,0,124,131,250,10,12,18,3,0,3,152,165,310,0,0,0,0,0,0,46,20,69,14,15,31,118,19,135,182,47,233,497,175,674,828,386,1212,29,37,69,70,15,81,48,9,54,149,58,209,5988,6173,12164,4295,4439,8740,485,323,806,44592,35194,79789
SOSR579,0,0,0,39,0,38,0,3,3,0,0,0,0,0,0,13,0,13,3,0,3,0,0,0,0,0,0,0,0,0,138,20,155,32,8,34,228,26,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,9,5,11,10,5,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,4,246,29,277
SOSR599,12,6,22,65,25,86,0,0,0,0,0,0,11,3,11,302,239,536,76,56,134,10,3,13,3,0,3,14,11,23,54,13,72,91,111,201,629,470,1098,4,6,10,0,0,0,0,0,0,4,4,7,0,0,0,0,0,0,8,11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3,3,4,11,7,15,19,20,44,4,0,7,0,0,5,0,0,0,8,3,10,54,52,108,176,158,334,7,8,17,899,715,1614
