SOSR_CODE_2021,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
SOSR501,2408,55408,2829,60648,2845,57688,4282,64814,7039,126064,11847,144955,11145,125344,10755,147237,14225,107433,8625,130284,15040,90247,6347,111637,10460,72122,4117,86701,5106,37945,3146,46197,1536,11872,1972,15377,69814,684119,53912,807849,2726,52419,2746,57892,3769,56352,3420,63540,11270,131026,8646,150941,18433,125222,7036,150691,24113,103772,5523,133403,25813,87728,4499,118041,16147,75242,4225,95610,6038,43213,4095,53346,1185,19851,3523,24562,109497,694824,43713,848032,5137,107825,5580,118535,6615,114036,7699,128352,18309,257091,20495,295897,29579,250566,17785,297929,38334,211207,14144,263686,40856,177975,10845,229678,26607,147370,8343,182320,11145,81157,7241,99540,2721,31725,5493,39936,179305,1378942,97628,1655875
SOSR511,84,2109,127,2312,74,1711,173,1951,231,3793,540,4567,401,3947,533,4882,485,3830,436,4750,601,3618,331,4551,427,3019,240,3690,206,1563,135,1901,44,444,92,584,2556,24034,2608,29199,130,2095,105,2329,103,1670,115,1888,408,4044,306,4762,756,4050,233,5039,925,3895,225,5044,1088,3530,209,4828,626,3141,211,3978,253,1785,189,2221,43,728,166,942,4335,24947,1748,31028,215,4204,232,4649,176,3379,284,3838,635,7840,845,9322,1164,7999,765,9920,1413,7728,658,9801,1690,7149,542,9377,1055,6162,453,7670,458,3351,315,4119,89,1179,257,1523,6889,48980,4352,60227
SOSR512,151,3233,308,3694,125,2778,338,3238,320,6141,963,7417,552,5959,899,7407,766,6043,796,7607,919,5915,665,7498,617,5035,447,6098,351,2713,288,3357,126,870,145,1143,3926,38687,4840,47455,161,3042,286,3487,152,2621,272,3044,611,6029,625,7268,1082,6021,601,7697,1376,6180,524,8081,1551,5702,482,7735,978,5061,455,6500,459,3002,351,3805,104,1443,238,1776,6469,39106,3833,49404,317,6270,593,7185,273,5400,612,6283,928,12173,1586,14681,1628,11980,1497,15102,2144,12224,1320,15690,2470,11621,1145,15229,1598,10102,900,12592,812,5715,640,7165,227,2316,380,2918,10390,77793,8669,96858
SOSR513,68,1655,300,2021,61,1406,328,1796,203,4277,893,5376,351,4431,875,5664,309,3676,759,4739,284,2874,559,3721,159,1454,215,1823,52,647,112,814,15,160,24,207,1511,20575,4071,26160,76,1474,270,1813,83,1344,265,1686,379,4774,878,6031,571,4354,711,5635,517,3246,551,4315,445,2402,360,3205,235,1363,176,1774,100,654,103,860,9,245,43,300,2414,19854,3351,25619,145,3129,566,3837,145,2746,593,3483,591,9054,1767,11408,926,8783,1589,11301,829,6915,1307,9050,731,5277,921,6923,393,2820,392,3599,151,1304,222,1677,31,404,69,503,3930,40428,7420,51774
SOSR514,45,732,99,876,30,529,63,616,77,1315,190,1583,123,1534,196,1850,184,1441,207,1829,184,1333,150,1670,159,1372,122,1657,89,608,82,777,21,159,44,226,918,9027,1150,11094,23,644,76,744,28,441,59,533,143,1369,128,1637,278,1679,166,2123,331,1459,143,1933,341,1341,113,1797,249,1291,104,1645,105,640,102,849,21,262,62,346,1515,9124,955,11600,68,1378,180,1625,50,976,123,1148,222,2679,319,3227,396,3210,360,3973,519,2899,355,3760,529,2673,270,3470,410,2664,223,3298,188,1255,182,1624,42,419,112,567,2430,18151,2110,22690
SOSR515,125,2156,372,2657,91,1901,297,2289,305,4627,817,5755,468,4495,793,5755,527,4691,778,5998,641,4639,659,5946,451,4005,476,4934,257,1995,290,2547,68,556,133,755,2939,29078,4615,36634,125,1983,338,2441,115,1767,312,2191,487,4949,732,6169,772,4602,716,6095,909,4315,611,5835,1040,4312,508,5868,724,3753,422,4901,293,1942,303,2538,48,808,219,1077,4521,28430,4164,37107,253,4141,708,5095,206,3671,612,4481,798,9574,1548,11923,1241,9104,1507,11851,1437,9009,1395,11838,1682,8960,1171,11810,1176,7755,901,9832,550,3937,591,5083,114,1365,351,1831,7454,57513,8776,73743
SOSR521,55,801,121,977,40,735,116,897,127,1647,298,2075,175,1666,301,2137,229,1891,387,2513,299,2207,358,2859,234,1942,241,2418,108,907,166,1177,31,237,43,320,1300,12035,2038,15377,60,768,122,953,55,670,114,847,217,1780,277,2271,334,1719,282,2332,385,1814,277,2473,451,1967,285,2706,329,1695,217,2245,121,870,174,1169,15,344,68,436,1970,11635,1821,15431,113,1565,244,1926,95,1406,236,1740,342,3432,573,4346,509,3387,581,4477,617,3708,662,4984,753,4172,638,5562,563,3642,461,4668,226,1777,345,2347,55,589,117,754,3273,23671,3863,30808
SOSR522,53,490,89,632,49,450,56,557,117,994,147,1263,164,875,156,1202,178,996,176,1348,175,1177,195,1543,137,1126,168,1432,66,542,87,688,12,121,39,176,950,6775,1123,8847,47,442,86,577,79,471,66,612,172,982,135,1292,236,866,118,1218,229,904,130,1262,263,1091,165,1517,183,914,132,1225,77,469,101,648,11,147,48,201,1304,6284,971,8560,96,936,172,1206,136,917,119,1168,294,1978,287,2556,395,1744,280,2419,404,1900,303,2606,438,2263,359,3061,315,2040,301,2656,146,1005,184,1336,27,271,84,375,2255,13057,2093,17404
SOSR531,208,3984,549,4741,198,3386,1055,4644,420,6716,2927,10059,755,7876,2859,11495,1322,9911,2501,13733,1697,10813,1949,14468,1086,8830,1127,11045,435,3569,504,4509,97,650,98,841,6208,55743,13581,75535,196,3539,459,4187,192,2495,396,3081,635,5775,901,7309,1203,7116,988,9310,2144,8457,1080,11683,2663,8936,1056,12660,1360,6794,764,8919,384,2793,388,3563,55,670,84,805,8840,46570,6115,61530,401,7514,1006,8927,390,5878,1453,7726,1047,12491,3828,17368,1965,14994,3849,20805,3464,18370,3586,25420,4365,19756,3006,27127,2448,15629,1895,19970,815,6370,889,8074,150,1324,176,1649,15052,102312,19694,137066
SOSR579,0,3,7,7,0,9,13,25,0,54,44,99,6,82,71,157,0,54,46,103,0,30,20,55,0,6,4,14,0,0,0,0,0,0,0,0,15,243,202,455,0,0,0,3,0,5,5,11,0,8,3,14,0,9,3,11,0,5,8,9,0,5,0,3,0,5,0,4,0,0,0,0,0,0,0,0,0,39,19,61,0,5,3,6,0,15,15,31,0,67,46,116,6,90,80,170,0,61,48,109,0,35,21,62,0,9,3,18,0,0,0,0,0,0,0,0,15,280,222,516
SOSR599,12,65,44,118,14,157,133,295,27,402,391,822,38,359,531,926,36,297,514,842,29,303,331,667,25,269,152,444,3,64,48,118,0,7,9,14,175,1922,2149,4247,12,74,60,147,12,141,103,256,21,404,266,692,55,277,284,613,38,213,219,468,43,278,160,477,24,197,95,316,0,23,14,38,0,5,12,16,205,1613,1215,3030,22,137,104,261,24,297,237,562,51,803,659,1512,88,637,809,1543,67,508,737,1313,70,578,493,1144,50,467,243,758,5,92,61,155,0,12,23,30,380,3536,3360,7285
