SOSR_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SOSR501,26422,18779,24389,22707,20687,16328,11181,7254,4593,152348,387885,246891,295897,297929,263686,229678,182320,99540,39936,2043762
SOSR511,1217,810,1025,970,940,821,566,342,204,6899,14972,8488,9322,9920,9801,9377,7670,4119,1523,75196
SOSR512,2610,1565,1867,1856,1776,1584,1084,630,302,13283,23290,13466,14681,15102,15690,15229,12592,7165,2918,120142
SOSR513,2357,1260,1859,1778,1476,1054,425,193,56,10472,16415,7312,11408,11301,9050,6923,3599,1677,503,68192
SOSR514,679,339,386,443,419,346,267,153,79,3116,5782,2766,3227,3973,3760,3470,3298,1624,567,28471
SOSR515,2634,1445,1711,1713,1609,1416,1053,593,264,12442,18781,9582,11923,11851,11838,11810,9832,5083,1831,92523
SOSR521,1024,488,652,632,734,737,513,322,98,5192,7118,3665,4346,4477,4984,5562,4668,2347,754,37925
SOSR522,703,307,325,319,348,409,317,169,63,2958,4182,2376,2556,2419,2606,3061,2656,1336,375,21588
SOSR531,2959,2652,4040,4116,4157,3589,2279,937,177,24904,26586,16650,17368,20805,25420,27127,19970,8074,1649,163652
SOSR579,0,22,46,76,51,27,3,0,0,226,0,42,116,170,109,62,18,0,0,514
SOSR599,190,352,661,811,748,503,245,69,15,3591,772,820,1512,1543,1313,1144,758,155,30,8055
