SOSR_CODE_2021,M_PGrad_Deg_15_24,M_PGrad_Deg_25_34,M_PGrad_Deg_35_44,M_PGrad_Deg_45_54,M_PGrad_Deg_55_64,M_PGrad_Deg_65_74,M_PGrad_Deg_75_84,M_PGrad_Deg_85ov,M_PGrad_Deg_Total,M_GradDip_and_GradCert_15_24,M_GradDip_and_GradCert_25_34,M_GradDip_and_GradCert_35_44,M_GradDip_and_GradCert_45_54,M_GradDip_and_GradCert_55_64,M_GradDip_and_GradCert_65_74,M_GradDip_and_GradCert_75_84,M_GradDip_and_GradCert_85ov,M_GradDip_and_GradCert_Total,M_BachDeg_15_24,M_BachDeg_25_34,M_BachDeg_35_44,M_BachDeg_45_54,M_BachDeg_55_64,M_BachDeg_65_74,M_BachDeg_75_84,M_BachDeg_85ov,M_BachDeg_Total,M_AdvDip_and_Dip_15_24,M_AdvDip_and_Dip_25_34,M_AdvDip_and_Dip_35_44,M_AdvDip_and_Dip_45_54,M_AdvDip_and_Dip_55_64,M_AdvDip_and_Dip_65_74,M_AdvDip_and_Dip_75_84,M_AdvDip_and_Dip_85ov,M_AdvDip_and_Dip_Total,M_Cert_III_IV_15_24,M_Cert_III_IV_25_34,M_Cert_III_IV_35_44,M_Cert_III_IV_45_54,M_Cert_III_IV_55_64,M_Cert_III_IV_65_74,M_Cert_III_IV_75_84,M_Cert_III_IV_85ov,M_Cert_III_IV_Total,M_Cert_I_II_15_24,M_Cert_I_II_25_34,M_Cert_I_II_35_44,M_Cert_I_II_45_54,M_Cert_I_II_55_64,M_Cert_I_II_65_74,M_Cert_I_II_75_84,M_Cert_I_II_85ov,M_Cert_I_II_Total,M_Cert_Levl_nfd_15_24,M_Cert_Levl_nfd_25_34,M_Cert_Levl_nfd_35_44,M_Cert_Levl_nfd_45_54,M_Cert_Levl_nfd_55_64,M_Cert_Levl_nfd_65_74,M_Cert_Levl_nfd_75_84,M_Cert_Levl_nfd_85ov,M_Cert_Levl_nfd_Total,M_Cert_Lev_Tot_15_24,M_Cert_Lev_Tot_25_34,M_Cert_Lev_Tot_35_44,M_Cert_Lev_Tot_45_54,M_Cert_Lev_Tot_55_64,M_Cert_Lev_Tot_65_74,M_Cert_Lev_Tot_75_84,M_Cert_Lev_Tot_85ov,M_Cert_Lev_Tot_Total,M_Lev_Edu_IDes_15_24,M_Lev_Edu_IDes_25_34,M_Lev_Edu_IDes_35_44,M_Lev_Edu_IDes_45_54,M_Lev_Edu_IDes_55_64,M_Lev_Edu_IDes_65_74,M_Lev_Edu_IDes_75_84,M_Lev_Edu_IDes_85ov,M_Lev_Edu_IDes_Total,M_Lev_Edu_NS_15_24,M_Lev_Edu_NS_25_34,M_Lev_Edu_NS_35_44,M_Lev_Edu_NS_45_54,M_Lev_Edu_NS_55_64,M_Lev_Edu_NS_65_74,M_Lev_Edu_NS_75_84,M_Lev_Edu_NS_85ov,M_Lev_Edu_NS_Total,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Total,F_PGrad_Deg_15_24,F_PGrad_Deg_25_34,F_PGrad_Deg_35_44,F_PGrad_Deg_45_54,F_PGrad_Deg_55_64,F_PGrad_Deg_65_74,F_PGrad_Deg_75_84,F_PGrad_Deg_85ov,F_PGrad_Deg_Total,F_GradDip_and_GradCert_15_24,F_GradDip_and_GradCert_25_34,F_GradDip_and_GradCert_35_44,F_GradDip_and_GradCert_45_54,F_GradDip_and_GradCert_55_64,F_GradDip_and_GradCert_65_74,F_GradDip_and_GradCert_75_84,F_GradDip_and_GradCert_85ov,F_GradDip_and_GradCert_Total,F_BachDeg_15_24,F_BachDeg_25_34,F_BachDeg_35_44,F_BachDeg_45_54,F_BachDeg_55_64,F_BachDeg_65_74,F_BachDeg_75_84,F_BachDeg_85ov,F_BachDeg_Total,F_AdvDip_and_Dip_15_24,F_AdvDip_and_Dip_25_34,F_AdvDip_and_Dip_35_44,F_AdvDip_and_Dip_45_54,F_AdvDip_and_Dip_55_64,F_AdvDip_and_Dip_65_74,F_AdvDip_and_Dip_75_84,F_AdvDip_and_Dip_85ov,F_AdvDip_and_Dip_Total,F_Cert_III_IV_15_24,F_Cert_III_IV_25_34,F_Cert_III_IV_35_44,F_Cert_III_IV_45_54,F_Cert_III_IV_55_64,F_Cert_III_IV_65_74,F_Cert_III_IV_75_84,F_Cert_III_IV_85ov,F_Cert_III_IV_Total,F_Cert_I_II_15_24,F_Cert_I_II_25_34,F_Cert_I_II_35_44,F_Cert_I_II_45_54,F_Cert_I_II_55_64,F_Cert_I_II_65_74,F_Cert_I_II_75_84,F_Cert_I_II_85ov,F_Cert_I_II_Total,F_Cert_Levl_nfd_15_24,F_Cert_Levl_nfd_25_34,F_Cert_Levl_nfd_35_44,F_Cert_Levl_nfd_45_54,F_Cert_Levl_nfd_55_64,F_Cert_Levl_nfd_65_74,F_Cert_Levl_nfd_75_84,F_Cert_Levl_nfd_85ov,F_Cert_Levl_nfd_Total,F_Cert_Lev_Tot_15_24,F_Cert_Lev_Tot_25_34,F_Cert_Lev_Tot_35_44,F_Cert_Lev_Tot_45_54,F_Cert_Lev_Tot_55_64,F_Cert_Lev_Tot_65_74,F_Cert_Lev_Tot_75_84,F_Cert_Lev_Tot_85ov,F_Cert_Lev_Tot_Total,F_Lev_Edu_IDes_15_24,F_Lev_Edu_IDes_25_34,F_Lev_Edu_IDes_35_44,F_Lev_Edu_IDes_45_54,F_Lev_Edu_IDes_55_64,F_Lev_Edu_IDes_65_74,F_Lev_Edu_IDes_75_84,F_Lev_Edu_IDes_85ov,F_Lev_Edu_IDes_Total,F_Lev_Edu_NS_15_24,F_Lev_Edu_NS_25_34,F_Lev_Edu_NS_35_44,F_Lev_Edu_NS_45_54,F_Lev_Edu_NS_55_64,F_Lev_Edu_NS_65_74,F_Lev_Edu_NS_75_84,F_Lev_Edu_NS_85ov,F_Lev_Edu_NS_Total,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Total,P_PGrad_Deg_15_24,P_PGrad_Deg_25_34
SOSR501,821,10595,14433,10248,7210,4779,1973,400,50468,188,2433,3385,3339,2727,1701,582,88,14441,8721,32423,33367,24234,16516,11680,4540,1058,132548,4144,12221,15643,14080,11507,9099,4207,986,71879,15350,36375,34054,30966,29332,20887,10270,2781,180026,5116,2101,1171,804,579,398,145,25,10343,877,1324,1677,1900,1764,1623,874,229,10259,21343,39799,36907,33679,31676,22897,11287,3034,200628,494,959,1260,1127,901,889,649,238,6521,6695,11372,10901,9355,7362,5537,4466,2697,58396,42403,109800,115899,96065,77910,56591,27710,8501,534878,865,13995,15712,9423,5611,2934,787,145,49477,624,5732,6982,6131,4653,2660,774,138,27697,12213,47571,45657,30203,18487,11804,4661,1260,171851,5574,16098,18814,18318,15822,10080,4235,1306,90255,14697,22914,20039,17597,13267,6497,1876,521,97407,5020,2483,2126,1840,1614,1086,422,93,14680,1252,1797,2847,4043,3986,2994,1511,543,18969,20966,27192,25017,23485,18862,10580,3803,1152,131058,425,999,1200,1133,1152,1329,872,312,7423,6134,9405,8156,6940,6832,7382,7119,5430,57402,46797,121000,121539,95637,71427,46768,22250,9744,535158,1685,24587
SOSR511,3,77,153,150,110,89,25,12,613,0,32,61,76,74,60,9,4,324,67,417,512,488,393,294,107,27,2312,58,255,410,418,386,288,130,25,1973,719,1782,1810,1618,1501,1046,446,102,9023,289,113,48,35,26,20,4,0,534,35,38,64,64,86,65,33,9,387,1036,1934,1918,1712,1613,1129,486,112,9944,3,21,36,24,34,31,27,4,183,248,375,396,384,368,291,184,109,2365,1423,3116,3487,3262,2976,2177,979,293,17712,16,137,173,146,117,67,12,0,659,15,117,177,178,134,87,24,0,738,160,901,1062,835,545,350,149,42,4048,94,471,590,576,599,403,153,50,2939,914,1262,1149,1013,734,353,84,17,5522,271,196,133,111,83,53,12,6,870,51,70,126,181,181,116,44,9,783,1244,1525,1407,1306,1002,524,139,32,7172,5,25,29,32,32,42,22,9,208,226,323,290,288,326,347,324,200,2323,1761,3501,3733,3355,2754,1822,832,339,18099,19,211
SOSR512,21,190,241,214,148,122,55,8,997,10,64,103,114,94,82,14,7,482,107,670,764,672,542,437,148,39,3390,61,365,580,588,675,507,223,44,3036,1136,2813,2614,2545,2247,1573,735,196,13866,430,159,105,66,63,42,10,5,873,49,59,91,114,115,120,47,16,612,1613,3036,2809,2719,2422,1737,795,217,15355,8,39,43,42,38,41,30,11,255,571,803,776,768,722,539,415,207,4807,2400,5162,5313,5128,4639,3461,1689,536,28319,26,252,320,228,176,92,25,6,1137,21,199,284,293,243,145,37,7,1231,324,1367,1522,1234,867,566,262,62,6210,226,701,930,1007,936,625,278,79,4777,930,1641,1533,1465,1087,519,149,39,7362,502,253,168,175,127,70,23,7,1326,77,119,137,248,230,185,72,21,1089,1515,2009,1841,1881,1451,768,246,65,9771,20,46,37,58,49,70,52,22,345,551,649,657,627,708,703,612,470,4970,2678,5219,5589,5334,4423,2973,1516,709,28433,46,445
SOSR513,6,135,157,107,68,29,9,5,515,0,57,85,72,39,14,3,0,276,52,517,546,372,220,119,38,3,1873,37,268,518,438,310,136,52,12,1759,572,2054,2083,1599,1138,493,178,31,8140,181,83,46,27,27,7,0,0,377,33,53,71,68,56,23,13,4,321,783,2186,2200,1698,1223,526,191,29,8842,14,17,32,36,23,19,12,4,157,635,904,884,759,604,258,147,48,4230,1534,4084,4425,3477,2480,1095,449,100,17654,9,230,242,146,85,48,9,0,763,20,192,222,153,93,43,8,0,727,187,1289,1126,644,346,148,60,9,3808,109,588,679,527,391,158,53,13,2505,408,1044,908,641,379,131,35,5,3556,206,170,157,79,51,23,11,0,696,32,75,99,127,89,41,10,7,486,655,1290,1163,846,521,201,54,10,4740,11,27,33,21,25,17,15,6,150,519,918,761,625,439,236,192,88,3778,1498,4535,4226,2959,1902,841,399,121,16478,13,372
SOSR514,0,36,43,48,39,51,26,4,241,0,8,33,27,16,26,6,0,108,19,177,237,189,134,151,71,19,990,11,87,172,134,122,111,59,7,707,199,588,623,604,543,387,126,35,3115,79,31,19,18,7,7,4,0,161,10,17,36,27,37,39,11,3,178,289,634,678,651,589,434,152,38,3457,6,8,12,10,13,17,10,4,79,168,197,206,225,170,143,118,55,1291,488,1135,1386,1282,1084,933,440,127,6878,3,52,94,42,28,39,12,0,268,6,47,80,60,53,39,10,0,290,31,330,481,342,190,172,82,17,1643,29,183,259,257,230,162,73,16,1202,179,317,403,335,221,114,22,5,1598,74,48,49,41,28,31,4,0,268,15,30,40,52,58,47,17,5,269,264,396,493,427,308,188,50,14,2136,4,11,16,10,21,19,11,0,96,134,158,180,162,154,165,151,106,1220,473,1170,1604,1306,977,787,384,158,6857,3,84
SOSR515,0,106,112,98,95,83,29,7,533,0,48,68,67,62,40,16,3,302,101,494,450,433,335,285,106,16,2212,55,252,371,413,366,323,143,24,1943,777,2097,2039,1873,1797,1197,492,122,10396,232,121,71,46,61,25,12,0,569,38,47,78,66,92,102,45,12,479,1044,2265,2183,1989,1944,1326,550,138,11444,13,34,18,31,27,37,27,5,187,720,876,840,857,750,587,394,176,5192,1941,4065,4037,3886,3580,2677,1259,366,21810,14,167,199,121,98,77,12,0,681,13,161,177,166,135,84,28,5,771,209,1141,1063,749,540,349,149,46,4250,111,561,657,679,626,475,182,37,3335,629,1246,1179,941,764,380,90,17,5242,326,208,126,114,110,62,13,0,963,51,87,129,146,163,104,48,15,732,1005,1541,1436,1204,1037,542,153,25,6941,10,32,46,42,39,46,35,7,255,649,782,773,729,630,690,477,290,5019,2012,4395,4351,3687,3112,2270,1034,411,21253,13,269
SOSR521,3,27,39,37,43,27,10,0,194,0,10,16,22,36,15,0,0,101,26,145,157,148,111,94,38,11,721,16,75,137,157,171,162,57,6,779,225,687,672,666,797,556,212,37,3844,87,39,16,27,19,12,4,0,205,5,17,20,25,33,33,16,6,174,320,741,707,722,849,602,231,46,4218,0,3,9,13,4,17,7,4,63,247,320,332,436,408,302,203,55,2306,618,1325,1401,1536,1627,1206,543,124,8384,4,58,55,49,51,28,8,0,251,4,51,55,61,53,39,9,0,269,56,358,358,286,265,143,74,23,1564,23,173,213,229,253,214,63,23,1184,220,436,394,347,346,164,32,16,1952,107,78,50,42,52,20,7,0,357,20,44,47,58,64,47,16,0,298,349,553,491,445,454,235,56,16,2601,0,13,18,13,13,16,22,7,100,251,304,310,325,350,335,240,110,2221,697,1499,1498,1412,1434,1013,470,172,8187,8,87
SOSR522,0,18,11,25,13,20,8,0,99,0,3,9,11,18,5,5,0,48,7,82,83,69,52,84,28,5,403,9,43,68,66,91,91,34,0,403,139,339,320,350,366,299,108,24,1948,39,32,15,15,18,13,0,0,133,9,13,16,17,28,20,0,4,107,182,386,354,383,410,334,118,28,2192,0,7,7,8,12,11,4,0,44,155,166,173,199,235,216,120,40,1306,359,696,702,763,826,762,315,70,4492,0,28,36,22,28,18,3,0,136,0,26,19,26,35,26,6,0,138,46,182,165,121,124,86,35,6,761,11,92,99,109,139,87,38,13,593,104,205,196,182,187,82,25,0,975,44,40,38,24,25,19,0,0,185,16,12,28,30,38,25,18,0,169,159,260,257,237,243,129,41,4,1328,0,3,9,3,9,13,3,0,51,161,141,146,144,206,192,133,56,1184,381,736,739,661,791,549,264,74,4191,0,49
SOSR531,11,126,190,216,302,241,122,14,1230,0,44,90,135,152,109,20,8,557,238,893,1010,1128,1030,850,271,32,5448,125,429,675,1039,1089,915,329,49,4658,1457,3053,3514,3903,4022,2591,810,100,19452,416,155,114,88,79,51,15,3,918,50,76,130,191,220,215,86,20,984,1917,3283,3756,4184,4327,2852,910,124,21348,24,54,60,75,97,94,41,3,456,1372,2074,2054,2172,1899,1269,625,137,11615,3698,6901,7839,8957,8901,6340,2313,367,45319,19,221,348,348,333,192,38,6,1502,16,195,299,394,369,230,37,9,1555,328,1575,2065,2072,1569,997,284,49,8944,202,672,1039,1403,1682,993,310,56,6358,973,1419,1701,1762,1461,610,129,14,8066,382,192,242,233,197,110,31,0,1386,84,93,209,356,385,257,83,11,1488,1438,1706,2146,2350,2045,976,238,33,10939,25,32,59,82,100,100,46,13,462,881,956,1077,1254,1351,1130,614,108,7376,2909,5356,7051,7898,7459,4617,1570,273,37138,34,349
SOSR579,0,0,0,3,0,0,0,0,5,0,0,3,0,0,0,0,0,3,4,9,10,10,6,0,0,0,36,0,5,6,3,0,3,0,0,24,7,27,39,15,7,0,0,0,100,0,0,0,0,0,0,0,0,3,0,6,4,0,3,0,0,0,8,7,30,36,21,9,4,0,0,110,0,0,3,4,0,0,0,0,10,14,40,70,41,20,3,0,0,204,24,82,135,83,47,7,0,0,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,9,0,4,0,4,0,0,0,0,7,4,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,8,3,3,8,0,0,0,0,20,13,12,6,7,3,5,0,0,48,0,0
