SOSR_CODE_2021,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
SOSR501,195,51,554,313,800,88,2007,4778,1031,11018,4516,18857,969,41170,1686,389,5114,3615,15243,748,26793,732,182,1680,802,2484,131,6005,1815,454,7180,6267,34933,1485,52125,902,178,2718,1610,5605,307,11320,1558,306,5561,3047,8335,728,19528,848,151,3766,3511,6221,596,15088,1803,429,5094,4535,8523,917,21296,436,117,1538,794,1152,109,4132,1370,582,4412,2043,1143,229,9772,414,128,1822,1160,1778,177,5476,8120,1749,20754,5272,4773,931,41588,790,213,2484,1582,3942,366,9373,3012,1430,7486,5153,7720,692,25495,5182,2358,8152,1750,2620,374,20429,5197,1352,11236,3195,4407,718,26107,479,147,1849,957,1818,192,5450,766,223,2046,1652,9616,373,14666,1792,311,4536,2445,8201,2162,19443,41872,11763,108984,54219,148170,12261,377274,116,47,447,226,345,72,1255,1703,596,4684,1574,2656,269,11482,748,279,2798,1733,2634,370,8569,369,131,956,391,574,61,2494,643,303,3025,2049,3157,380,9565,388,175,1648,928,1539,208,4897,1626,465,7123,4695,9850,1117,24880,927,250,4901,3464
SOSR511,14,0,21,22,91,15,158,42,14,160,189,1221,30,1656,56,14,221,180,1187,44,1709,16,7,38,58,317,9,447,20,11,121,200,1741,62,2162,6,4,20,30,191,4,254,8,0,74,70,394,18,572,8,7,47,46,202,16,332,21,7,63,74,384,36,588,3,0,20,17,33,0,81,12,6,29,48,27,6,127,5,0,17,35,66,4,114,33,21,194,96,169,21,534,5,0,26,21,130,8,194,42,24,133,125,269,14,596,52,85,233,57,108,4,541,124,34,309,86,200,22,773,0,0,11,9,34,3,63,23,9,36,30,409,11,512,4,4,55,45,324,59,492,502,251,1822,1443,7491,399,11897,0,6,26,21,48,8,106,12,6,63,42,152,11,283,17,16,106,61,206,16,415,4,0,18,15,40,3,83,11,4,48,71,201,14,355,0,0,14,19,54,3,87,18,14,143,158,673,49,1056,11,5,114,88
SOSR512,15,7,70,66,353,34,546,158,37,391,288,2413,84,3380,18,13,138,123,804,36,1126,5,4,19,45,267,8,341,9,12,104,232,2372,65,2791,8,4,40,56,437,11,554,15,10,99,113,742,36,1018,24,3,105,140,496,31,790,23,13,91,147,704,41,1022,3,3,28,14,39,5,97,9,6,39,68,42,5,177,0,0,22,47,142,11,233,80,25,309,135,222,22,791,5,5,33,59,262,13,377,66,52,232,275,559,38,1217,139,117,395,118,200,12,980,186,51,440,167,340,39,1227,9,0,25,16,82,7,132,24,14,48,58,811,20,975,14,6,45,59,446,104,672,809,382,2677,2230,11738,614,18440,7,3,41,34,72,17,174,50,18,168,106,299,32,667,4,12,65,73,172,19,354,4,0,12,17,36,0,74,11,4,56,90,255,18,433,0,9,33,26,120,3,193,38,23,186,219,900,71,1429,24,13,230,218
SOSR513,5,0,33,34,145,23,242,61,30,218,280,2109,69,2760,20,10,62,54,401,19,561,15,4,31,33,185,8,275,14,4,65,149,1471,68,1767,3,0,26,45,265,18,358,17,7,65,68,271,19,453,22,3,83,96,247,20,472,30,18,159,180,636,39,1061,0,0,17,12,28,0,63,3,0,22,16,14,0,62,0,3,22,27,97,6,154,22,14,121,64,116,9,357,9,5,31,44,189,12,285,47,38,194,192,311,27,812,69,73,223,57,127,11,559,81,23,181,88,162,26,553,7,4,12,13,23,0,67,14,4,32,43,425,21,538,24,7,67,48,390,87,624,462,246,1669,1532,7624,478,12019,4,3,25,23,40,7,99,23,17,170,131,349,26,715,5,0,42,35,66,6,152,8,4,26,17,44,0,101,5,0,51,73,146,13,291,3,3,23,21,64,7,119,28,9,139,131,348,52,703,24,3,183,146
SOSR514,0,0,32,17,41,7,102,4,11,63,54,473,15,615,11,5,101,35,234,9,403,0,0,4,12,156,3,181,5,0,42,76,596,25,738,0,0,9,15,57,0,86,4,0,45,22,123,10,200,11,5,50,68,166,15,314,0,0,12,20,107,4,150,5,3,7,0,8,0,24,8,5,14,14,0,0,35,4,0,17,17,20,0,57,22,5,75,31,46,3,189,0,0,27,7,77,0,112,15,7,30,36,99,9,198,27,33,90,13,33,0,188,39,8,70,28,51,0,198,0,0,8,6,14,0,42,3,0,10,9,145,5,168,0,0,23,22,117,19,177,167,84,739,503,2554,138,4187,0,0,18,13,13,0,44,3,0,14,15,43,3,87,10,16,80,40,70,9,216,0,0,5,5,26,0,39,0,6,25,22,48,0,100,0,0,10,12,17,3,45,7,3,84,69,196,24,381,11,11,94,77
SOSR515,13,5,116,70,404,52,649,45,17,182,232,2291,91,2850,18,8,128,88,640,68,956,7,0,23,29,242,10,306,10,9,66,132,1518,52,1785,6,3,33,28,282,9,357,10,0,64,63,394,34,564,16,0,69,65,276,18,459,13,8,48,109,469,18,657,8,3,7,9,37,3,69,3,0,17,9,23,0,67,0,0,12,34,65,3,116,37,12,134,79,173,8,432,6,4,37,24,216,13,296,67,42,220,242,458,27,1051,54,90,280,49,147,8,635,61,28,215,70,197,27,604,7,3,17,16,59,0,102,24,7,40,43,501,15,619,9,0,42,38,350,102,555,413,241,1764,1417,8734,565,13135,12,4,79,60,131,32,313,28,17,119,121,364,20,677,4,10,97,60,143,27,343,3,0,10,13,31,3,63,9,3,34,58,132,12,239,0,6,25,23,76,9,135,16,11,128,163,525,81,931,20,8,147,134
SOSR521,5,3,48,33,189,36,315,25,10,81,90,686,26,926,5,4,25,36,283,18,371,0,0,6,5,79,3,93,3,0,32,41,513,25,615,0,0,22,11,119,4,151,10,0,31,19,104,15,179,3,0,15,30,100,10,162,7,3,17,35,141,14,211,0,0,0,0,13,0,24,0,0,8,10,5,0,19,0,0,0,9,24,0,33,12,4,38,28,40,10,116,3,4,12,17,59,9,105,18,14,70,100,200,15,420,29,19,86,13,45,9,200,23,8,61,36,68,0,209,0,0,8,12,18,0,42,4,3,15,8,167,6,202,5,0,14,21,141,50,225,140,83,585,543,3001,255,4605,4,3,63,22,65,13,162,5,7,45,41,71,10,183,4,0,28,18,70,4,129,0,0,0,0,10,0,17,3,9,15,33,51,4,101,0,0,13,8,27,0,52,7,0,47,52,160,27,290,11,9,62,52
SOSR522,0,0,40,18,176,21,253,12,0,22,36,215,10,296,6,0,7,11,103,4,131,0,0,0,0,50,4,58,3,3,7,18,216,13,261,0,0,10,7,57,3,76,5,0,12,13,52,0,86,4,0,16,22,71,5,124,0,0,9,17,92,6,119,0,0,0,3,3,0,9,0,4,3,5,0,0,6,0,0,0,3,7,0,13,4,0,31,12,8,0,58,0,0,6,15,44,0,69,8,7,29,53,131,13,235,14,17,56,7,35,3,136,10,3,33,11,25,4,83,0,0,6,3,11,3,26,0,0,11,6,103,3,122,4,0,9,11,73,25,116,70,32,304,271,1469,133,2278,0,5,23,17,39,10,94,3,0,15,21,42,3,84,0,0,12,12,23,5,47,0,0,0,0,4,0,4,0,0,8,5,22,0,33,0,0,7,6,20,0,37,3,4,32,16,67,7,125,7,0,38,22
SOSR531,100,44,983,760,2693,304,4895,149,67,599,531,3365,153,4870,40,24,220,212,1197,55,1763,0,5,42,59,291,12,413,42,19,210,375,2965,137,3745,14,9,83,82,465,20,671,15,6,113,110,491,39,771,20,9,149,108,415,64,769,15,11,93,158,738,44,1050,0,3,31,28,59,4,121,13,6,75,58,42,11,207,6,5,38,66,139,9,265,135,37,462,180,251,40,1098,7,6,71,73,375,28,562,56,42,227,286,690,42,1349,102,99,328,110,221,15,874,74,36,267,99,179,25,683,4,11,53,29,136,13,250,18,6,46,61,988,29,1152,38,8,119,127,636,167,1091,861,438,4219,3521,16340,1219,26595,94,129,984,593,954,210,2966,57,23,214,168,383,49,894,35,22,184,146,306,37,731,8,6,27,21,42,9,113,17,17,126,185,336,32,710,11,9,70,75,180,18,358,30,24,253,251,656,89,1311,27,18,275,226
SOSR579,0,0,5,0,12,5,23,4,0,8,9,30,3,54,0,0,0,0,3,0,4,0,0,0,0,4,0,9,0,0,0,0,19,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,15,4,6,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,17,4,22,5,3,33,18,106,13,179,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
