SOSR_CODE_2021,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Brazil_0_4,M_Brazil_5_14,M_Brazil_15_24,M_Brazil_25_44,M_Brazil_45_54,M_Brazil_55_64,M_Brazil_65_74,M_Brazil_75_84,M_Brazil_85ov,M_Brazil_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_SAR_Ch_0_4,M_Hong_Kong_SAR_Ch_5_14,M_Hong_Kong_SAR_Ch_15_24,M_Hong_Kong_SAR_Ch_25_44,M_Hong_Kong_SAR_Ch_45_54,M_Hong_Kong_SAR_Ch_55_64,M_Hong_Kong_SAR_Ch_65_74,M_Hong_Kong_SAR_Ch_75_84,M_Hong_Kong_SAR_Ch_85ov,M_Hong_Kong_SAR_Ch_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot
SOSR501,19,147,409,1760,394,227,89,18,3,3074,60716,111081,86153,153197,65902,53596,41639,19956,6369,598604,7,97,124,756,260,74,64,14,0,1399,6,3,20,514,206,307,195,92,13,1359,13,92,98,1347,148,58,13,14,3,1787,4,37,42,157,127,82,68,18,7,555,33,172,203,708,432,367,226,92,22,2243,3,32,44,310,165,137,108,43,8,851,52,620,1532,5288,1676,1245,864,250,118,11641,0,10,11,345,190,334,552,433,162,2037,5,122,157,344,144,141,175,125,35,1251,211,2805,5833,15774,14293,17835,12945,8867,2768,81324,0,11,48,176,106,79,55,21,0,495,14,69,118,905,246,180,126,52,20,1731,16,75,153,922,608,506,875,643,130,3931,0,16,23,61,63,136,238,284,147,965,31,182,396,1215,348,319,292,94,26,2899,226,1838,2908,16741,3472,1998,1682,975,275,30110,68,349,671,2047,743,385,461,182,39,4940,7,175,262,1554,553,330,198,87,27,3200
SOSR511,0,0,0,3,0,0,0,0,0,4,2229,4795,3515,6892,3244,2984,2471,1224,322,27682,0,0,0,14,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,3,0,17,14,8,3,0,0,47,0,0,0,3,0,4,0,0,0,13,0,4,7,42,6,5,0,0,0,68,0,0,0,0,0,0,4,5,0,13,0,0,0,12,0,0,0,0,0,16,0,49,98,247,322,483,391,285,80,1964,0,0,0,11,4,0,0,0,0,14,0,0,0,10,0,5,4,0,5,24,0,0,4,11,7,20,41,20,3,104,0,0,0,0,0,0,3,4,4,12,0,0,0,13,0,0,0,0,0,19,0,31,17,186,43,13,9,9,3,314,0,7,8,18,4,0,0,0,0,39,0,4,0,13,0,0,0,0,0,26
SOSR512,0,0,6,36,4,9,0,0,0,61,3338,7117,5629,10382,5237,5099,4222,2044,709,43785,0,0,0,6,0,0,0,0,0,10,0,0,0,4,0,0,6,3,0,12,0,5,0,20,0,0,0,0,0,31,0,0,0,3,0,0,0,0,0,4,3,15,5,21,17,13,7,3,5,93,0,0,0,7,6,7,3,0,0,21,4,8,13,85,19,7,8,0,0,145,0,0,0,9,4,8,10,4,0,27,0,3,0,5,0,3,6,6,0,21,4,46,96,359,346,675,614,528,169,2831,0,7,3,39,11,3,3,0,0,70,0,0,3,35,11,9,5,0,0,71,0,4,0,35,22,18,54,39,7,183,0,0,0,0,0,3,0,3,3,13,0,0,4,14,6,0,0,0,0,22,6,29,32,262,66,23,14,21,5,464,0,15,13,35,11,3,6,5,3,81,0,0,3,17,7,0,0,0,0,30
SOSR513,0,0,4,3,5,0,0,0,0,11,2509,4525,2748,6771,2815,2059,1096,447,119,23081,0,5,0,11,0,0,0,0,0,15,0,0,0,3,5,0,0,0,0,9,0,0,0,17,0,0,0,0,0,25,0,3,0,10,0,0,0,0,0,14,3,0,11,20,4,3,0,0,0,37,0,0,0,10,0,0,4,0,0,17,0,0,8,59,3,4,4,0,0,81,0,0,0,4,0,5,4,6,0,17,0,6,0,9,0,0,0,0,0,21,4,70,121,450,329,375,196,131,33,1720,0,0,4,12,12,5,0,0,0,32,0,0,11,45,5,9,0,0,0,67,0,0,3,32,13,14,22,18,5,107,0,0,0,4,3,0,5,0,0,14,0,3,0,17,3,0,0,0,0,26,3,27,10,215,44,22,9,4,0,326,0,12,10,25,12,9,0,0,0,66,0,0,0,10,0,0,0,0,0,8
SOSR514,0,0,0,0,0,0,0,0,0,3,813,1837,1238,2347,1259,1142,1104,473,124,10336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,15,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,3,5,4,0,34,0,0,0,10,0,0,0,0,0,14,0,0,0,4,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,4,0,18,25,150,113,181,181,111,26,801,0,0,0,0,0,0,0,0,0,0,0,0,0,37,7,9,0,0,0,50,0,0,5,25,8,8,28,18,7,92,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,32,8,7,3,4,0,73,0,9,0,4,0,0,0,0,0,17,0,4,0,0,3,0,0,0,0,4
SOSR515,0,8,16,34,21,15,4,0,0,97,2749,5611,3868,7743,4016,3855,3235,1483,444,33002,0,0,0,8,3,0,0,0,0,17,0,0,0,0,0,0,4,0,0,6,0,3,0,8,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,8,0,3,4,18,9,15,12,0,0,58,0,0,0,11,3,3,0,0,0,17,0,8,10,52,13,9,0,0,0,89,0,0,0,0,0,0,10,3,3,24,3,4,0,5,0,0,0,4,0,13,4,36,65,320,315,569,507,395,102,2314,0,0,5,30,5,3,0,0,0,44,0,0,10,25,7,3,4,5,0,61,0,0,4,22,21,18,44,39,6,146,0,0,0,0,0,0,6,0,6,10,0,0,0,4,3,6,0,0,0,13,0,14,9,106,15,12,5,8,0,174,0,7,3,15,9,4,0,0,0,46,0,0,3,4,0,0,0,0,0,8
SOSR521,0,0,0,5,0,0,0,0,0,8,1071,2168,1532,2928,1665,1887,1642,709,203,13816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,8,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,5,7,5,0,28,0,0,0,5,0,0,3,0,0,7,0,0,0,3,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,23,111,145,257,232,157,43,978,0,0,0,9,0,3,0,0,0,20,0,0,0,11,0,4,0,0,0,17,0,0,3,13,5,8,22,21,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,3,4,30,6,3,0,0,4,54,0,0,0,3,4,0,0,0,0,11,0,0,0,7,0,0,0,0,0,8
SOSR522,0,0,0,0,0,0,0,0,0,3,621,1268,1021,1903,996,1083,962,439,107,8402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,4,3,0,10,0,0,0,0,0,0,0,0,0,0,0,9,14,62,67,136,152,102,19,560,0,0,0,0,3,4,0,0,0,7,0,0,0,5,0,0,4,0,0,10,0,0,0,3,0,3,6,5,0,25,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,22,4,3,5,0,0,40,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
SOSR531,0,0,0,34,6,9,0,0,0,47,3465,8994,7465,14203,9108,9148,7090,2623,504,62603,0,0,0,17,3,0,0,0,0,21,0,0,0,5,3,0,0,3,0,18,0,0,0,33,4,0,0,0,0,38,0,0,0,5,0,0,0,0,0,9,0,8,10,40,18,38,15,9,3,146,0,0,0,12,0,5,3,0,0,17,0,0,7,81,28,12,7,5,0,140,0,0,3,8,3,20,21,25,5,75,0,0,0,3,0,0,8,3,0,17,0,65,208,598,889,1548,1149,693,122,5280,0,0,0,41,8,6,0,0,0,59,0,3,15,72,13,14,10,9,0,144,0,5,23,52,51,59,108,56,3,355,0,0,0,4,0,5,10,5,9,24,0,3,3,21,3,5,3,0,0,41,0,0,7,100,33,39,29,29,3,243,0,9,9,27,7,6,11,4,0,73,0,0,3,42,5,7,4,0,0,64
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,7,80,28,10,3,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0
