SOSR_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SOSR501,18854,5466,39936,355602,455374,186237,138256,424023,96390,1655875
SOSR511,657,272,1523,11637,16627,7491,5931,14220,4323,60227
SOSR512,1366,374,2918,18420,26053,11547,8912,23293,8639,96858
SOSR513,238,81,503,10048,13530,4978,3982,11866,7367,51774
SOSR514,230,109,567,4183,6079,2860,2388,5087,2093,22690
SOSR515,769,345,1831,13254,18946,8762,7479,16640,8666,73743
SOSR521,349,111,754,5511,7547,3635,3328,7001,3784,30808
SOSR522,145,86,375,3265,4312,2175,1816,3752,2091,17404
SOSR531,618,172,1649,24533,34068,17355,15033,26461,19615,137066
SOSR579,0,0,0,33,21,10,15,214,222,516
SOSR599,10,23,30,870,963,339,278,1476,3362,7285
