SOSR_CODE_2021,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
SOSR501,381284,236434,277301,282555,248932,215014,171134,94852,38316,1945823,284,218,308,317,293,421,458,323,146,2761,62,202,288,244,219,222,199,66,11,1518,91,137,276,224,215,284,240,64,9,1534,42,72,154,188,205,252,152,29,3,1104,16,32,85,93,139,114,69,25,5,570,5940,7515,7818,6042,5486,5123,4101,2534,1381,45952,20,20,44,44,57,93,125,28,7,434,34,29,74,65,44,48,28,8,0,319,20,23,56,33,23,21,15,4,0,188,10,4,8,10,10,17,17,5,0,77,6234,8028,8789,6936,6400,6178,4942,2763,1420,51692,6519,8244,9097,7254,6693,6600,5398,3089,1563,54455,387804,244676,286403,289808,255624,221618,176529,97942,39885,2000278
SOSR511,14649,7998,8637,9287,9076,8382,6787,3797,1420,70040,10,14,18,5,17,27,28,28,10,152,0,3,3,0,4,5,6,0,0,35,0,5,10,6,9,14,11,0,5,56,4,0,0,8,5,7,9,0,0,40,4,0,5,0,0,0,0,0,0,12,252,388,386,335,347,381,208,83,76,2466,0,0,0,0,8,5,10,0,0,23,0,3,6,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,268,396,409,358,368,423,253,93,77,2651,275,407,428,360,385,452,280,116,91,2799,14925,8404,9066,9652,9467,8839,7068,3914,1511,72840
SOSR512,22642,12641,13563,14045,14427,13770,11120,6556,2743,111513,14,20,21,30,41,46,55,46,16,286,10,8,18,20,9,41,50,12,0,160,11,0,19,22,13,41,116,7,0,227,9,9,26,16,18,60,59,0,0,193,0,6,6,13,8,33,61,10,0,135,567,854,1102,988,960,1202,816,389,133,7013,0,5,7,7,10,20,23,6,0,79,0,0,0,9,6,14,6,4,0,35,0,0,0,0,3,0,7,0,0,8,0,0,0,0,0,0,0,0,0,0,601,885,1191,1067,1019,1412,1126,427,136,7859,618,905,1212,1098,1057,1459,1178,467,153,8146,23259,13549,14779,15147,15483,15223,12300,7025,2895,119662
SOSR513,15894,6742,10528,10605,8264,6271,3231,1524,458,63515,42,30,33,26,22,40,26,13,8,238,78,32,64,88,113,153,159,30,7,722,112,18,71,99,102,239,316,63,5,1014,42,12,79,117,134,182,153,18,3,754,20,12,31,41,57,108,125,27,0,422,566,782,1854,1743,1942,2141,2100,764,80,11967,14,4,18,15,17,49,46,15,0,173,3,6,32,18,12,27,7,6,0,112,10,0,0,7,0,10,8,0,0,40,0,0,0,0,0,0,0,0,0,0,840,866,2161,2131,2372,2899,2917,924,96,15205,880,897,2190,2161,2394,2941,2944,943,100,15443,16768,7637,12717,12761,10658,9210,6176,2466,563,78955
SOSR514,5553,2520,2899,3598,3419,3062,2901,1479,533,25968,16,10,13,15,9,11,20,13,3,115,3,6,0,4,0,7,3,0,0,19,3,0,0,0,3,3,5,0,0,19,0,0,8,4,6,13,12,3,0,51,0,4,0,4,6,4,5,6,0,24,157,147,236,186,193,298,248,87,28,1570,0,0,0,0,0,7,0,0,0,14,0,0,3,0,3,0,0,0,0,7,0,6,0,0,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,160,158,250,199,215,334,280,94,28,1713,176,168,259,217,219,344,297,108,27,1833,5727,2686,3163,3817,3638,3411,3201,1587,561,27798
SOSR515,18159,8852,10906,10950,10843,10604,8765,4667,1737,85480,32,31,36,40,41,49,71,34,12,349,41,21,47,58,56,134,221,14,0,584,74,11,64,64,83,174,251,36,0,749,23,15,32,47,56,142,153,18,0,482,14,12,18,31,38,111,128,31,0,388,640,824,1507,1214,1517,1998,2281,884,152,11012,4,10,9,13,13,41,41,10,0,134,11,3,9,11,14,29,8,0,0,88,10,0,0,5,4,12,8,0,0,48,0,0,0,0,0,0,0,0,0,0,812,890,1683,1439,1779,2636,3085,995,153,13481,847,921,1721,1480,1823,2684,3158,1028,164,13826,19012,9772,12625,12427,12665,13292,11923,5689,1898,99305
SOSR521,6899,3366,4043,4174,4494,5016,4173,2163,697,35032,19,12,15,14,31,23,26,24,11,171,5,5,28,11,17,48,62,9,0,187,7,13,13,18,13,98,114,6,3,294,21,4,18,26,30,58,75,9,0,249,9,0,17,10,12,38,78,10,0,174,268,357,857,723,830,1015,881,290,33,5253,4,0,4,0,4,14,13,0,0,35,3,3,6,8,15,16,9,0,0,54,5,0,0,4,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,320,379,954,800,918,1283,1240,323,37,6256,342,393,970,819,952,1307,1263,342,46,6428,7239,3761,5007,4996,5446,6323,5435,2507,738,41457
SOSR522,4012,2175,2329,2254,2347,2729,2377,1195,350,19760,29,19,40,23,28,39,31,19,7,229,3,5,8,7,8,36,42,10,0,125,23,12,11,18,8,46,85,12,0,212,3,3,0,12,7,40,41,11,0,121,6,0,18,8,5,16,37,4,0,97,208,258,465,448,501,707,754,244,20,3603,0,8,15,15,3,16,12,0,0,66,3,9,6,4,3,10,3,0,0,41,0,0,4,0,0,0,7,0,0,19,0,0,0,0,0,0,0,0,0,0,247,293,529,517,542,877,980,272,20,4284,275,312,567,541,568,915,1012,292,25,4512,4291,2486,2895,2793,2915,3647,3384,1481,369,24271
SOSR531,25613,15037,15992,19385,23326,24522,17961,7439,1515,150795,40,75,74,60,88,96,108,53,9,596,176,61,239,264,210,368,380,41,0,1744,313,67,168,307,299,494,549,62,3,2259,119,79,258,347,355,537,452,54,0,2198,83,59,115,147,209,265,247,45,0,1170,1279,3245,8843,8051,8259,7219,3987,970,121,41988,32,14,39,54,74,108,65,0,0,383,25,15,74,58,54,47,29,5,0,306,19,10,9,18,14,20,14,0,0,114,0,0,0,0,0,0,0,0,0,3,2048,3554,9750,9238,9468,9067,5718,1174,129,50156,2092,3631,9820,9300,9558,9160,5825,1223,141,50751,27702,18668,25814,28684,32883,33687,23786,8666,1662,201544
SOSR579,0,42,113,170,111,60,13,0,0,511,0,0,0,0,0,0,0,0,0,0,0,7,3,24,59,23,22,0,0,134,0,4,8,11,32,21,8,0,0,82,0,4,24,68,28,40,24,0,0,192,0,0,11,20,13,16,3,0,0,64,0,81,342,647,628,346,104,29,0,2175,0,0,4,3,18,18,5,0,0,42,0,0,17,10,8,6,0,0,0,47,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,93,403,785,784,472,161,32,0,2739,3,93,403,785,784,472,161,32,0,2739,3,137,518,957,896,533,176,32,0,3250
SOSR599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
