SOSR_CODE_2021,F_Kidney_disease_0_14,F_Kidney_disease_15_24,F_Kidney_disease_25_34,F_Kidney_disease_35_44,F_Kidney_disease_45_54,F_Kidney_disease_55_64,F_Kidney_disease_65_74,F_Kidney_disease_75_84,F_Kidney_disease_85_over,F_Kidney_disease_Tot,F_Lung_cond_0_14,F_Lung_cond_15_24,F_Lung_cond_25_34,F_Lung_cond_35_44,F_Lung_cond_45_54,F_Lung_cond_55_64,F_Lung_cond_65_74,F_Lung_cond_75_84,F_Lung_cond_85_over,F_Lung_cond_Tot,F_Mental_health_cond_0_14,F_Mental_health_cond_15_24,F_Mental_health_cond_25_34,F_Mental_health_cond_35_44,F_Mental_health_cond_45_54,F_Mental_health_cond_55_64,F_Mental_health_cond_65_74,F_Mental_health_cond_75_84,F_Mental_health_cond_85_over,F_Mental_health_cond_Tot,F_Stroke_0_14,F_Stroke_15_24,F_Stroke_25_34,F_Stroke_35_44,F_Stroke_45_54,F_Stroke_55_64,F_Stroke_65_74,F_Stroke_75_84,F_Stroke_85_over,F_Stroke_Tot,F_Other_0_14,F_Other_15_24,F_Other_25_34,F_Other_35_44,F_Other_45_54,F_Other_55_64,F_Other_65_74,F_Other_75_84,F_Other_85_over,F_Other_Tot,F_None_0_14,F_None_15_24,F_None_25_34,F_None_35_44,F_None_45_54,F_None_55_64,F_None_65_74,F_None_75_84,F_None_85_over,F_None_Tot,F_NS_0_14,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_over,F_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_Arthritis_0_14,P_Arthritis_15_24,P_Arthritis_25_34,P_Arthritis_35_44,P_Arthritis_45_54,P_Arthritis_55_64,P_Arthritis_65_74,P_Arthritis_75_84,P_Arthritis_85_over,P_Arthritis_Tot,P_Asthma_0_14,P_Asthma_15_24,P_Asthma_25_34,P_Asthma_35_44,P_Asthma_45_54,P_Asthma_55_64,P_Asthma_65_74,P_Asthma_75_84,P_Asthma_85_over,P_Asthma_Tot,P_Cancer_0_14,P_Cancer_15_24,P_Cancer_25_34,P_Cancer_35_44,P_Cancer_45_54,P_Cancer_55_64,P_Cancer_65_74,P_Cancer_75_84,P_Cancer_85_over,P_Cancer_Tot,P_Dementia_0_14,P_Dementia_15_24,P_Dementia_25_34,P_Dementia_35_44,P_Dementia_45_54,P_Dementia_55_64,P_Dementia_65_74,P_Dementia_75_84,P_Dementia_85_over,P_Dementia_Tot,P_Diabetes_0_14,P_Diabetes_15_24,P_Diabetes_25_34,P_Diabetes_35_44,P_Diabetes_45_54,P_Diabetes_55_64,P_Diabetes_65_74,P_Diabetes_75_84,P_Diabetes_85_over,P_Diabetes_Tot,P_Heart_disease_0_14,P_Heart_disease_15_24,P_Heart_disease_25_34,P_Heart_disease_35_44,P_Heart_disease_45_54,P_Heart_disease_55_64,P_Heart_disease_65_74,P_Heart_disease_75_84,P_Heart_disease_85_over,P_Heart_disease_Tot,P_Kidney_disease_0_14,P_Kidney_disease_15_24,P_Kidney_disease_25_34,P_Kidney_disease_35_44,P_Kidney_disease_45_54,P_Kidney_disease_55_64,P_Kidney_disease_65_74,P_Kidney_disease_75_84,P_Kidney_disease_85_over,P_Kidney_disease_Tot,P_Lung_cond_0_14,P_Lung_cond_15_24,P_Lung_cond_25_34,P_Lung_cond_35_44,P_Lung_cond_45_54,P_Lung_cond_55_64,P_Lung_cond_65_74,P_Lung_cond_75_84,P_Lung_cond_85_over,P_Lung_cond_Tot,P_Mental_health_cond_0_14,P_Mental_health_cond_15_24,P_Mental_health_cond_25_34,P_Mental_health_cond_35_44,P_Mental_health_cond_45_54,P_Mental_health_cond_55_64,P_Mental_health_cond_65_74,P_Mental_health_cond_75_84,P_Mental_health_cond_85_over,P_Mental_health_cond_Tot,P_Stroke_0_14,P_Stroke_15_24,P_Stroke_25_34,P_Stroke_35_44,P_Stroke_45_54,P_Stroke_55_64,P_Stroke_65_74,P_Stroke_75_84,P_Stroke_85_over,P_Stroke_Tot,P_Other_0_14,P_Other_15_24,P_Other_25_34,P_Other_35_44,P_Other_45_54,P_Other_55_64,P_Other_65_74,P_Other_75_84,P_Other_85_over,P_Other_Tot,P_None_0_14,P_None_15_24,P_None_25_34,P_None_35_44,P_None_45_54,P_None_55_64,P_None_65_74,P_None_75_84,P_None_85_over,P_None_Tot
SOSR501,138,165,274,459,670,1028,1546,1688,1194,7165,205,146,259,483,1336,3170,4937,4122,1779,16426,3590,18120,22169,18649,15979,13003,7749,3901,2452,105616,52,47,113,301,631,1080,1725,2035,1520,7505,6261,7273,10325,12172,13133,14560,12498,7441,4522,88174,158292,82594,101306,99937,79213,58335,35825,13057,3612,632172,12841,8811,10698,9610,8854,7374,5711,4057,2854,70807,188701,121434,150941,150691,133403,118041,95610,53346,24562,1036733,352,1274,3802,8155,17467,31680,42474,31525,14053,150792,21343,19036,23320,23415,20191,17302,14498,7806,2709,149625,370,486,1207,2926,6165,11223,16436,12011,4454,55273,15,39,37,69,152,545,1810,5039,6084,13782,593,1284,2588,6282,12284,19682,24769,15773,5302,88559,472,476,792,1813,5391,12853,21377,18919,9498,71588,340,323,526,948,1377,2251,3435,3753,2229,15191,467,305,514,952,2465,5806,9428,7999,3222,31153,7601,27282,34331,30412,26625,21504,13357,6506,3424,171025,90,109,215,602,1275,2479,4181,4662,2699,16314,15675,13174,16400,19762,22654,25406,22339,12790,6888,155098,319602,175883,205558,202562,160692,116058,68140,25129,6350,1279967
SOSR511,5,3,4,20,34,52,64,58,56,291,15,10,9,25,54,169,246,177,66,774,179,787,895,799,785,637,383,160,109,4736,0,0,12,12,25,52,92,90,57,345,286,253,370,440,503,628,487,277,187,3444,5748,2639,2846,3038,2728,2128,1349,563,137,21169,595,353,403,339,357,354,281,195,133,3003,7208,4218,4762,5039,5044,4828,3978,2221,942,38239,22,66,193,431,939,1634,2090,1392,562,7317,1215,764,908,960,841,732,661,335,100,6522,15,13,46,122,237,499,705,484,166,2284,0,0,4,8,9,34,82,220,241,596,28,60,115,240,526,854,1120,639,220,3804,23,23,33,71,190,501,860,749,388,2838,9,3,23,35,71,102,141,146,91,629,24,16,24,41,115,292,462,366,119,1461,395,1165,1373,1260,1250,1079,685,285,152,7631,0,0,17,22,54,113,215,174,99,694,694,475,571,697,830,1091,868,482,265,5977,11624,5574,5792,6133,5443,4277,2631,1045,248,42762
SOSR512,9,8,22,28,53,98,141,139,106,593,10,13,6,31,101,256,369,277,127,1193,232,1003,1235,1167,1174,946,611,340,205,6917,0,5,10,23,45,68,157,167,128,600,398,364,520,648,777,896,765,514,290,5169,8957,4142,4342,4558,4339,3476,2256,925,254,33232,1284,732,764,776,788,713,540,322,193,6118,11392,6534,7268,7697,8081,7735,6500,3805,1776,60792,31,70,221,546,1321,2364,3122,2363,1111,11137,1571,1195,1322,1343,1306,1279,1041,598,233,9884,21,17,73,155,410,736,1194,866,348,3815,0,0,0,4,21,44,142,423,501,1144,41,66,196,372,812,1505,1733,1150,390,6262,32,27,54,94,344,903,1432,1303,772,4965,29,14,37,51,103,200,295,292,195,1214,30,16,17,45,183,478,765,578,239,2355,477,1537,1898,1806,1929,1655,1081,550,291,11221,0,11,16,33,83,182,329,360,230,1227,978,719,825,1031,1283,1550,1341,896,428,9058,17855,8917,9193,9152,8697,6977,4435,1743,450,67424
SOSR513,3,0,10,26,44,33,28,40,10,197,14,0,7,15,39,99,97,86,17,368,124,358,677,586,421,283,110,71,45,2676,5,0,0,8,29,31,26,17,25,148,225,135,296,309,343,297,174,113,83,1976,6243,2279,3836,3479,2331,1524,622,218,31,20567,1120,559,914,811,627,425,212,89,35,4786,8012,3503,6031,5635,4315,3205,1774,860,300,33632,13,26,124,248,530,843,752,470,141,3139,756,479,791,794,603,522,306,138,34,4423,6,7,34,110,185,279,267,200,70,1165,0,0,3,0,3,15,36,104,113,275,33,44,112,196,423,605,474,258,73,2221,31,28,35,67,185,384,392,305,121,1540,15,8,40,46,71,82,80,74,23,428,29,8,15,24,73,203,195,160,39,742,256,563,980,887,694,527,222,116,65,4305,5,0,6,13,47,67,86,68,39,330,531,248,466,493,601,536,348,212,126,3567,12557,4884,7451,7240,5104,3260,1311,397,76,42267
SOSR514,3,4,3,8,13,12,29,22,11,112,3,0,0,3,23,52,100,49,31,270,60,175,258,305,290,239,147,49,30,1556,0,0,3,7,14,20,32,41,29,148,79,62,102,164,176,183,151,117,50,1088,2189,825,1020,1285,1076,852,588,203,58,8110,339,152,162,209,164,152,135,83,45,1444,2817,1276,1637,2123,1933,1797,1645,849,346,14412,7,16,48,129,292,555,809,544,198,2595,353,212,281,352,292,249,260,126,41,2161,7,4,18,46,82,185,287,192,48,873,0,0,0,0,0,11,34,83,74,210,7,18,38,85,154,303,455,231,48,1339,6,5,13,23,89,181,374,279,113,1086,10,5,6,17,24,32,73,44,17,228,9,3,8,11,37,110,203,106,48,531,125,281,374,472,455,396,264,94,43,2497,3,0,8,13,29,40,92,84,38,300,222,131,167,237,305,328,322,196,86,1986,4444,1849,2103,2498,2166,1681,1175,421,101,16439
SOSR515,8,3,9,31,58,70,103,105,46,428,7,5,8,21,92,208,282,175,67,879,159,626,878,848,795,720,411,164,91,4686,0,0,0,16,31,63,88,113,73,385,222,216,353,468,593,628,544,289,179,3488,7013,2925,3805,3540,2989,2623,1674,570,166,25315,1235,686,814,804,705,628,495,294,155,5812,9029,4637,6169,6095,5835,5868,4901,2538,1077,46132,27,51,170,399,962,1908,2471,1564,630,8178,1017,757,935,994,952,971,815,386,122,6952,11,12,55,96,253,559,829,637,183,2626,0,0,0,3,10,22,101,229,263,633,34,61,129,282,634,1165,1295,799,239,4643,33,15,41,100,313,684,1153,882,377,3611,20,13,24,47,100,148,206,226,86,877,27,19,24,51,151,412,562,404,130,1779,332,968,1280,1317,1285,1235,747,319,135,7627,7,5,9,27,63,130,237,247,123,842,614,414,538,733,963,1128,1016,551,269,6242,14249,6263,7710,7184,6447,5350,3407,1179,300,52090
SOSR521,3,0,7,10,17,37,41,43,22,179,0,4,3,14,43,102,161,86,29,437,58,218,294,319,333,341,197,79,31,1865,0,0,0,14,24,24,61,40,29,191,81,72,117,176,244,274,204,118,69,1360,2611,1151,1420,1357,1226,1145,730,278,65,9984,510,245,306,290,311,318,234,165,59,2444,3415,1795,2271,2332,2473,2706,2245,1169,436,18844,7,28,68,173,393,908,1256,721,267,3814,420,282,356,377,407,470,434,201,48,2990,3,6,20,45,108,289,381,263,84,1201,0,0,6,6,8,17,45,76,83,241,10,29,61,127,317,512,712,350,96,2228,18,25,19,60,141,375,548,397,164,1740,10,0,13,17,41,75,111,96,37,395,11,4,7,26,75,207,357,209,57,960,135,331,456,525,540,587,400,148,49,3173,0,0,4,17,34,72,133,108,47,422,232,152,184,278,403,536,439,223,107,2547,5328,2475,2773,2677,2601,2401,1494,557,132,20432
SOSR522,0,0,4,12,16,19,30,18,12,122,3,0,0,8,25,60,82,40,6,232,20,94,145,148,152,180,102,36,4,891,0,0,0,0,14,21,19,31,10,94,66,54,70,110,133,182,105,68,24,811,1557,846,855,697,628,629,384,158,39,5790,359,147,151,145,137,189,146,84,39,1406,2070,1197,1292,1218,1262,1517,1225,648,201,10626,5,9,34,78,216,481,684,397,104,1998,156,130,168,197,242,260,251,98,26,1537,3,3,9,18,46,161,201,165,34,645,0,0,0,0,6,8,31,45,33,132,7,21,44,124,240,364,388,223,53,1472,12,12,18,42,94,217,338,246,83,1059,6,3,9,17,27,40,60,50,23,233,12,0,0,12,51,118,186,117,30,517,60,166,229,252,282,303,212,75,23,1606,0,0,4,3,23,48,74,63,17,238,143,93,104,178,238,327,242,126,36,1495,3113,1705,1751,1437,1363,1290,843,314,80,11896
SOSR531,6,5,12,32,64,93,123,102,38,470,22,8,8,35,89,258,376,215,45,1063,207,829,904,1096,1228,1187,593,176,52,6269,3,4,7,22,43,85,143,116,38,453,361,327,431,633,968,1235,858,347,112,5275,10243,4858,4590,5734,6672,6215,3470,1011,153,42952,1422,937,1002,1135,1351,1340,952,404,74,8615,12755,7272,7309,9310,11683,12660,8919,3563,805,74281,16,90,231,596,1686,3729,4364,2211,545,13471,1399,1100,1106,1492,1804,1838,1417,563,102,10828,26,23,46,172,547,1243,1661,947,173,4841,0,5,3,5,12,43,104,250,161,582,42,70,148,301,921,1633,2070,1036,212,6443,36,35,56,105,475,1329,2080,1408,377,5901,20,12,33,61,130,230,294,260,84,1122,34,26,22,49,187,587,908,560,109,2486,501,1307,1393,1733,2083,2106,1209,383,76,10806,9,5,11,35,106,212,381,319,88,1168,881,665,702,1092,1699,2282,1792,718,193,10018,20982,11212,10280,12298,14358,13415,7709,2329,349,92926
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,5,4,5,5,4,0,0,30,0,8,3,3,8,0,0,0,0,20,0,13,14,11,9,3,4,0,0,58,0,0,0,0,0,0,0,0,0,14,0,0,0,8,4,4,0,0,0,16,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,22,60,84,56,24,8,0,0,248
