SOSR_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
SOSR501,155978,227894,66818,6595,457290,108218,17371,582882,17323,11597,8236,1061,38215,37207,3607,79026,8458,5333,2960,520,17267,11466,2225,30958,25778,16931,11192,1576,55482,48674,5829,109986,3918,1674,1229,262,7085,10779,1024,18883,3403,1047,765,201,5406,7990,969,14370,4726,1219,749,187,6881,8219,1023,16121,3116,877,396,133,4515,4097,692,9300,177,138,65,13,392,323,21,735,15331,4954,3204,791,24282,31403,3725,59408,185,27,33,4,245,589,19,851,248,17,38,7,303,614,12,927,18,8,0,0,25,34,0,66,108,47,18,8,179,132,39,355,558,97,96,17,761,1372,65,2198,158,113,56,10,333,384,23,744,197803,249984,81371,8993,538147,190056,27014,755215
SOSR511,7124,7945,3060,203,18335,4887,655,23878,523,159,279,22,982,1708,79,2775,132,55,39,0,226,179,30,438,652,213,323,23,1208,1889,109,3206,82,33,26,4,148,292,17,450,10,8,13,5,35,65,5,104,4,0,0,0,5,8,0,15,17,4,0,0,21,12,0,32,0,0,0,0,0,5,0,9,119,39,39,8,204,387,18,610,36,0,5,0,46,90,0,133,28,3,0,0,32,55,0,90,0,0,0,0,0,7,0,12,4,0,0,0,3,3,0,12,69,6,9,0,84,157,0,238,13,6,0,0,17,27,3,50,7975,8209,3430,237,19856,7338,790,27979
SOSR512,11543,11470,4554,375,27935,9199,1090,38228,839,380,391,49,1664,2681,140,4488,222,119,55,3,401,273,32,712,1056,500,453,57,2063,2956,175,5195,55,22,27,7,116,244,14,378,0,0,0,0,0,13,0,15,12,0,0,0,12,13,0,20,0,0,0,0,0,0,0,0,13,10,6,0,27,22,3,55,82,30,36,7,151,289,24,461,41,3,5,0,47,77,0,133,83,3,8,0,104,187,0,287,5,3,0,0,12,5,0,18,7,11,0,0,23,18,0,42,145,27,11,0,181,287,5,473,19,14,8,0,37,45,5,88,12846,12038,5057,434,30377,12771,1292,44443
SOSR513,4569,6990,2032,174,13776,3383,579,17733,415,367,233,32,1050,980,72,2101,178,121,54,0,356,264,44,665,591,491,287,36,1405,1245,118,2764,119,47,30,0,200,331,31,565,46,7,10,4,62,78,5,148,32,17,4,0,53,58,6,114,32,10,5,0,40,85,6,137,0,0,0,0,4,4,0,12,229,84,44,3,360,556,48,967,90,20,7,0,116,107,5,232,12,3,0,0,12,25,0,42,0,0,0,0,5,14,0,20,16,7,3,0,28,10,6,43,119,37,14,3,165,146,17,328,30,15,3,0,50,69,3,127,5541,7619,2385,217,15765,5400,761,21923
SOSR514,2759,2725,1186,77,6738,2392,317,9451,98,77,43,3,225,280,23,530,45,32,18,0,95,55,6,162,147,114,59,4,321,336,30,689,33,9,3,0,48,82,3,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,38,9,3,0,57,89,3,141,12,0,3,0,14,14,0,30,5,0,0,0,5,16,14,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,3,0,22,28,17,60,6,7,3,0,14,15,5,37,2958,2853,1259,85,7150,2859,376,10381
SOSR515,8949,8616,3206,267,21036,7449,757,29247,399,164,178,21,764,1363,69,2185,55,33,11,3,107,109,14,231,458,199,187,23,870,1468,79,2415,69,24,31,3,127,226,15,367,8,3,0,0,13,12,4,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,9,76,32,36,3,145,239,15,397,136,26,13,0,172,225,9,409,30,3,0,0,39,72,0,113,6,6,0,0,17,13,0,31,24,24,0,0,48,22,3,73,201,57,18,5,273,331,14,623,36,25,4,0,71,91,0,159,9720,8924,3451,299,22399,9580,868,32849
SOSR521,3831,3116,1465,155,8574,3654,309,12540,89,33,61,18,195,325,14,543,7,9,3,0,19,30,0,54,97,42,61,18,216,360,14,589,16,13,7,5,42,99,3,146,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,9,22,11,7,5,40,111,5,153,62,7,8,0,75,95,3,175,6,7,3,0,10,16,0,23,0,0,0,0,4,10,0,15,9,10,3,0,25,24,4,54,82,14,17,0,118,146,8,267,19,4,7,5,28,66,3,100,4049,3189,1564,177,8983,4335,343,13658
SOSR522,2073,1661,828,112,4679,2153,162,6988,41,13,18,3,77,140,6,223,3,0,0,0,12,3,0,11,48,13,18,3,86,142,7,233,12,5,3,0,15,38,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,5,3,0,15,40,0,55,36,8,0,0,49,79,3,129,3,0,0,0,9,11,0,17,3,0,0,0,0,5,0,7,12,6,0,0,16,8,0,21,58,13,4,0,77,95,6,174,21,4,4,0,27,54,3,83,2210,1707,855,116,4880,2478,180,7539
SOSR531,18027,16237,3399,345,38005,9207,877,48095,105,90,33,0,231,82,7,323,15,10,3,0,26,5,0,36,121,99,31,0,261,90,12,357,8,7,7,0,30,33,4,65,0,5,0,0,5,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4,35,18,8,0,55,34,4,92,44,32,8,5,89,68,6,163,267,59,32,5,365,443,30,838,112,18,8,5,139,201,6,347,47,34,13,3,90,74,8,169,43,29,14,6,89,36,9,132,470,135,63,13,680,748,55,1485,198,124,32,10,363,261,16,635,18858,16632,3533,376,39395,10371,964,50741
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
