SOSR_CODE_2021,M_Current_ADF_Regular_15_24,M_Current_ADF_Regular_25_34,M_Current_ADF_Regular_35_44,M_Current_ADF_Regular_45_54,M_Current_ADF_Regular_55_64,M_Current_ADF_Regular_65_74,M_Current_ADF_Regular_75_84,M_Current_ADF_Regular_85_ov,M_Current_ADF_Regular_Tot,M_Current_ADF_Reserves_15_24,M_Current_ADF_Reserves_25_34,M_Current_ADF_Reserves_35_44,M_Current_ADF_Reserves_45_54,M_Current_ADF_Reserves_55_64,M_Current_ADF_Reserves_65_74,M_Current_ADF_Reserves_75_84,M_Current_ADF_Reserves_85_ov,M_Current_ADF_Reserves_Tot,M_Prev_ADF_Ncs_15_24,M_Prev_ADF_Ncs_25_34,M_Prev_ADF_Ncs_35_44,M_Prev_ADF_Ncs_45_54,M_Prev_ADF_Ncs_55_64,M_Prev_ADF_Ncs_65_74,M_Prev_ADF_Ncs_75_84,M_Prev_ADF_Ncs_85_ov,M_Prev_ADF_Ncs_Tot,M_Tot_ADF_ev_ser_15_24,M_Tot_ADF_ev_ser_25_34,M_Tot_ADF_ev_ser_35_44,M_Tot_ADF_ev_ser_45_54,M_Tot_ADF_ev_ser_55_64,M_Tot_ADF_ev_ser_65_74,M_Tot_ADF_ev_ser_75_84,M_Tot_ADF_ev_ser_85_ov,M_Tot_ADF_ev_ser_Tot,M_never_served_15_24,M_never_served_25_34,M_never_served_35_44,M_never_served_45_54,M_never_served_55_64,M_never_served_65_74,M_never_served_75_84,M_never_served_85_ov,M_never_served_Tot,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_ov,M_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_ov,M_Tot_Tot,F_Current_ADF_Regular_15_24,F_Current_ADF_Regular_25_34,F_Current_ADF_Regular_35_44,F_Current_ADF_Regular_45_54,F_Current_ADF_Regular_55_64,F_Current_ADF_Regular_65_74,F_Current_ADF_Regular_75_84,F_Current_ADF_Regular_85_ov,F_Current_ADF_Regular_Tot,F_Current_ADF_Reserves_15_24,F_Current_ADF_Reserves_25_34,F_Current_ADF_Reserves_35_44,F_Current_ADF_Reserves_45_54,F_Current_ADF_Reserves_55_64,F_Current_ADF_Reserves_65_74,F_Current_ADF_Reserves_75_84,F_Current_ADF_Reserves_85_ov,F_Current_ADF_Reserves_Tot,F_Prev_ADF_Ncs_15_24,F_Prev_ADF_Ncs_25_34,F_Prev_ADF_Ncs_35_44,F_Prev_ADF_Ncs_45_54,F_Prev_ADF_Ncs_55_64,F_Prev_ADF_Ncs_65_74,F_Prev_ADF_Ncs_75_84,F_Prev_ADF_Ncs_85_ov,F_Prev_ADF_Ncs_Tot,F_Tot_ADF_ev_ser_15_24,F_Tot_ADF_ev_ser_25_34,F_Tot_ADF_ev_ser_35_44,F_Tot_ADF_ev_ser_45_54,F_Tot_ADF_ev_ser_55_64,F_Tot_ADF_ev_ser_65_74,F_Tot_ADF_ev_ser_75_84,F_Tot_ADF_ev_ser_85_ov,F_Tot_ADF_ev_ser_Tot,F_never_served_15_24,F_never_served_25_34,F_never_served_35_44,F_never_served_45_54,F_never_served_55_64,F_never_served_65_74,F_never_served_75_84,F_never_served_85_ov,F_never_served_Tot,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_ov,F_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_ov,F_Tot_Tot,P_Current_ADF_Regular_15_24,P_Current_ADF_Regular_25_34,P_Current_ADF_Regular_35_44,P_Current_ADF_Regular_45_54,P_Current_ADF_Regular_55_64,P_Current_ADF_Regular_65_74,P_Current_ADF_Regular_75_84,P_Current_ADF_Regular_85_ov,P_Current_ADF_Regular_Tot,P_Current_ADF_Reserves_15_24,P_Current_ADF_Reserves_25_34,P_Current_ADF_Reserves_35_44,P_Current_ADF_Reserves_45_54,P_Current_ADF_Reserves_55_64,P_Current_ADF_Reserves_65_74,P_Current_ADF_Reserves_75_84,P_Current_ADF_Reserves_85_ov,P_Current_ADF_Reserves_Tot,P_Prev_ADF_Ncs_15_24,P_Prev_ADF_Ncs_25_34,P_Prev_ADF_Ncs_35_44,P_Prev_ADF_Ncs_45_54,P_Prev_ADF_Ncs_55_64,P_Prev_ADF_Ncs_65_74,P_Prev_ADF_Ncs_75_84,P_Prev_ADF_Ncs_85_ov,P_Prev_ADF_Ncs_Tot,P_Tot_ADF_ev_ser_15_24,P_Tot_ADF_ev_ser_25_34,P_Tot_ADF_ev_ser_35_44,P_Tot_ADF_ev_ser_45_54,P_Tot_ADF_ev_ser_55_64,P_Tot_ADF_ev_ser_65_74,P_Tot_ADF_ev_ser_75_84,P_Tot_ADF_ev_ser_85_ov,P_Tot_ADF_ev_ser_Tot,P_never_served_15_24,P_never_served_25_34,P_never_served_35_44,P_never_served_45_54,P_never_served_55_64,P_never_served_65_74,P_never_served_75_84,P_never_served_85_ov,P_never_served_Tot,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_ov,P_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_ov,P_Tot_Tot
SOSR501,402,1255,740,421,167,0,0,0,2984,203,470,366,326,256,0,0,0,1624,267,1753,3105,5235,6326,9077,6116,3078,34951,874,3474,4203,5978,6754,9077,6116,3078,39554,118393,130671,133340,116453,99072,73991,37280,10383,719577,6196,10809,9692,7842,5815,3639,2797,1918,48709,125463,144955,147237,130284,111637,86701,46197,15377,807849,216,320,162,67,28,0,0,0,794,52,122,89,80,34,0,0,0,381,103,375,722,1294,1378,1088,688,428,6079,372,822,975,1441,1440,1088,688,428,7247,115808,142418,143545,127119,112631,90850,48805,20599,801772,5249,7698,6175,4849,3971,3678,3849,3537,39014,121434,150941,150691,133403,118041,95610,53346,24562,848032,618,1576,900,488,191,0,0,0,3777,256,594,452,403,293,0,0,0,2003,368,2128,3827,6528,7702,10162,6806,3505,41031,1241,4298,5175,7419,8191,10162,6806,3505,46804,234202,273089,276886,243573,211701,164840,86086,30976,1521352,11449,18512,15868,12691,9787,7313,6648,5457,87720,246891,295897,297929,263686,229678,182320,99540,39936,1655875
SOSR511,0,4,4,3,3,0,0,0,8,4,4,8,5,7,0,0,0,28,13,41,102,213,262,488,300,134,1555,17,47,112,219,276,488,300,134,1591,3983,4001,4266,4120,3957,2982,1490,363,25163,267,515,503,410,325,224,110,89,2443,4269,4567,4882,4750,4551,3690,1901,584,29199,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,16,21,45,70,59,31,12,259,5,19,28,45,68,59,31,12,272,4032,4464,4808,4796,4562,3730,2024,764,29174,187,276,208,205,191,187,165,159,1581,4218,4762,5039,5044,4828,3978,2221,942,31028,0,0,7,3,5,0,0,0,16,9,8,5,5,7,0,0,0,32,17,56,120,262,334,547,332,148,1816,23,65,138,267,345,547,332,148,1865,8014,8473,9074,8912,8522,6714,3512,1123,54347,451,791,713,620,512,408,271,252,4020,8488,9322,9920,9801,9377,7670,4119,1523,60227
SOSR512,3,7,3,3,4,0,0,0,25,12,18,13,15,12,0,0,0,74,10,69,137,313,410,723,441,298,2395,24,99,158,336,423,723,441,298,2494,6311,6403,6398,6530,6449,4973,2671,722,40457,600,916,851,737,619,405,252,125,4503,6935,7417,7407,7607,7498,6098,3357,1143,47455,3,3,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,9,5,14,28,82,80,111,52,35,410,12,17,29,82,80,111,52,35,423,6018,6667,7110,7515,7194,5989,3466,1523,45482,505,577,557,483,461,401,292,223,3495,6534,7268,7697,8081,7735,6500,3805,1776,49404,8,10,7,3,4,0,0,0,34,12,24,19,17,12,0,0,0,85,16,84,165,399,494,829,492,334,2807,35,117,186,420,511,829,492,334,2922,12329,13067,13510,14049,13646,10963,6132,2244,85938,1109,1494,1411,1217,1082,807,543,343,8000,13466,14681,15102,15690,15229,12592,7165,2918,96858
SOSR513,9,15,17,12,0,0,0,0,51,4,27,12,11,6,0,0,0,56,3,67,142,200,209,191,80,35,936,17,107,173,225,217,191,80,35,1051,3209,4416,4657,3807,2963,1437,634,139,21271,593,854,835,707,536,199,103,27,3840,3815,5376,5664,4739,3721,1823,814,207,26160,0,0,3,4,0,0,0,0,10,0,8,6,6,0,0,0,0,16,9,9,38,38,45,23,12,5,169,7,17,46,53,41,23,12,5,198,2995,5198,4902,3726,2812,1591,759,250,22230,496,823,683,530,347,165,96,44,3188,3503,6031,5635,4315,3205,1774,860,300,25619,5,15,24,23,0,0,0,0,67,4,34,14,16,7,0,0,0,77,14,81,181,238,250,214,93,39,1110,25,123,222,275,263,214,93,39,1249,6204,9612,9560,7536,5783,3026,1391,389,43500,1088,1676,1517,1235,882,364,197,77,7027,7312,11408,11301,9050,6923,3599,1677,503,51774
SOSR514,0,0,0,3,0,0,0,0,7,0,3,0,0,3,0,0,0,12,0,9,33,63,100,178,118,59,559,8,18,33,63,107,178,118,59,575,1338,1389,1630,1575,1423,1369,594,125,9447,144,184,186,197,135,111,71,43,1071,1491,1583,1850,1829,1670,1657,777,226,11094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,25,14,14,0,78,0,0,6,15,25,14,14,0,80,1150,1509,1964,1782,1668,1524,738,278,10617,123,128,150,138,107,103,93,62,901,1276,1637,2123,1933,1797,1645,849,346,11600,0,0,0,3,0,0,0,0,7,0,3,4,0,3,0,0,0,14,0,14,40,74,128,195,128,61,638,3,17,45,72,130,195,128,61,657,2494,2898,3595,3359,3094,2892,1336,401,20062,274,313,335,334,244,209,161,104,1974,2766,3227,3973,3760,3470,3298,1624,567,22690
SOSR515,38,34,11,14,8,0,0,0,99,4,14,18,13,7,0,0,0,51,3,78,146,266,376,616,319,158,1963,46,130,174,290,383,616,319,158,2119,4267,4857,4828,4965,4931,3892,1962,477,30182,632,765,752,746,619,432,265,124,4336,4949,5755,5755,5998,5946,4934,2547,755,36634,10,10,4,3,0,0,0,0,25,0,3,0,4,0,0,0,0,11,0,12,46,70,74,79,29,26,333,15,24,50,75,72,79,29,26,373,4030,5455,5380,5186,5323,4430,2231,849,32883,597,685,668,566,469,389,278,204,3852,4637,6169,6095,5835,5868,4901,2538,1077,37107,49,48,12,19,7,0,0,0,127,4,19,20,19,3,0,0,0,64,11,90,192,332,446,696,351,185,2295,61,152,222,365,463,696,351,185,2487,8297,10315,10207,10154,10257,8319,4195,1324,63070,1222,1455,1419,1316,1088,821,540,325,8184,9582,11923,11851,11838,11810,9832,5083,1831,73743
SOSR521,4,0,0,3,0,0,0,0,12,4,3,8,0,5,0,0,0,17,0,24,54,101,181,324,138,72,905,8,30,60,108,187,324,138,72,927,1637,1755,1797,2034,2327,1876,892,217,12538,229,290,280,370,347,221,144,32,1907,1870,2075,2137,2513,2859,2418,1177,320,15377,0,0,0,3,0,0,0,0,6,0,4,0,0,0,0,0,0,4,0,3,9,34,37,24,14,6,131,3,8,15,36,37,24,14,6,142,1571,2001,2062,2182,2411,2003,1002,362,13587,224,257,265,259,250,215,156,73,1699,1795,2271,2332,2473,2706,2245,1169,436,15431,3,0,4,5,0,0,0,0,16,4,8,8,3,5,0,0,0,20,0,29,67,130,225,351,149,80,1037,8,33,78,144,227,351,149,80,1070,3208,3759,3862,4221,4734,3876,1895,573,26130,447,547,543,629,593,432,305,108,3610,3665,4346,4477,4984,5562,4668,2347,754,30808
SOSR522,0,6,0,3,0,0,0,0,13,0,0,0,0,0,0,0,0,3,0,8,22,58,87,184,84,33,469,3,14,22,59,95,184,84,33,488,1049,1107,1033,1120,1270,1088,526,106,7295,136,144,151,167,182,168,81,40,1064,1187,1263,1202,1348,1543,1432,688,176,8847,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,3,8,13,17,15,12,0,72,0,3,10,13,19,15,12,0,77,1053,1173,1095,1127,1346,1086,549,153,7583,136,121,117,118,154,122,87,48,902,1197,1292,1218,1262,1517,1225,648,201,8560,0,6,0,3,0,0,0,0,14,0,0,0,0,3,0,0,0,5,4,10,27,70,108,198,93,33,540,3,15,26,71,110,198,93,33,559,2106,2277,2129,2249,2608,2172,1070,262,14882,275,265,261,282,343,287,170,85,1968,2376,2556,2419,2606,3061,2656,1336,375,17404
SOSR531,157,99,45,26,10,0,0,0,331,6,21,13,30,15,0,0,0,87,14,93,227,562,703,1187,475,193,3453,173,214,287,616,728,1187,475,193,3875,7650,6968,8418,10674,11873,8818,3589,561,58551,1553,2878,2787,2450,1867,1039,450,86,13107,9381,10059,11495,13733,14468,11045,4509,841,75535,57,22,13,9,0,0,0,0,96,4,3,7,5,0,0,0,0,23,10,17,72,139,165,111,46,15,575,66,41,86,149,175,111,46,15,692,6405,6402,8292,10496,11483,8076,3173,719,55051,796,864,934,1035,1002,737,344,73,5784,7272,7309,9310,11683,12660,8919,3563,805,61530,207,127,53,29,10,0,0,0,430,12,26,25,37,19,0,0,0,116,19,108,298,706,871,1297,524,207,4025,242,256,375,769,899,1297,524,207,4568,14057,13368,16711,21169,23361,16898,6757,1280,113603,2347,3742,3720,3480,2871,1779,793,161,18888,16650,17368,20805,25420,27127,19970,8074,1649,137066
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,8,0,0,4,3,0,0,0,0,8,20,56,91,51,26,10,0,0,247,14,44,69,46,20,4,0,0,197,30,99,157,103,55,14,0,0,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,8,4,5,5,5,0,0,35,9,3,3,8,0,0,0,0,19,13,14,11,9,3,4,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,11,0,0,3,3,0,0,0,0,13,27,66,90,55,34,14,0,0,281,21,46,74,51,21,3,0,0,221,42,116,170,109,62,18,0,0,516
