SOSR_CODE_2021,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Brazil_0_4,F_Brazil_5_14,F_Brazil_15_24,F_Brazil_25_44,F_Brazil_45_54,F_Brazil_55_64,F_Brazil_65_74,F_Brazil_75_84,F_Brazil_85ov,F_Brazil_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot
SOSR501,44,482,804,2113,1136,1011,881,331,86,6889,78,994,2637,5931,3905,2688,1438,549,120,18343,21,252,483,1847,774,430,379,189,49,4433,20,65,58,794,96,39,49,11,0,1144,37,478,627,768,160,62,47,8,3,2200,7,36,44,302,146,118,51,27,6,736,116,464,542,1200,574,618,477,202,44,4229,46,321,518,2095,1629,1462,835,241,99,7245,9,90,205,695,538,540,471,306,87,2939,4,157,617,1693,1115,887,406,133,34,5046,235,2410,3635,14006,5474,4663,3465,2061,590,36550,2049,4506,5053,17532,7384,5785,3883,2766,1617,50572,64683,134500,125463,292188,130284,111637,86701,46197,15377,1007026,10,146,370,1185,304,167,83,35,0,2305,57397,105712,84012,153556,67890,57105,47418,25016,11432,609524,5,120,102,774,132,64,54,11,0,1265,0,8,24,521,254,387,208,70,28,1505,16,94,110,1809,238,108,53,24,4,2461,7,37,47,362,156,118,74,14,10,829,35,162,234,1225,488,411,223,79,33,2896
SOSR511,0,7,4,9,6,12,7,0,0,50,3,53,110,181,154,116,45,22,5,693,0,3,3,14,5,4,0,0,0,32,0,0,0,45,0,0,0,0,0,53,0,11,8,7,3,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,4,6,15,15,15,21,6,0,90,0,0,3,12,10,5,9,0,0,35,0,0,5,10,10,15,17,3,0,60,0,13,21,48,52,50,34,5,3,224,6,39,27,145,72,83,61,30,10,479,80,206,187,623,314,301,209,112,77,2115,2348,5413,4269,9451,4750,4551,3690,1901,584,36962,0,0,0,4,0,0,0,0,0,4,2056,4493,3490,6915,3516,3294,2732,1447,588,28540,0,0,5,14,3,0,0,0,0,24,0,0,0,4,0,0,0,0,0,3,0,0,3,18,0,0,0,0,0,22,0,0,0,3,0,0,0,0,0,8,0,0,5,29,7,8,4,0,3,64
SOSR512,0,4,0,13,17,13,0,3,0,45,4,67,104,232,179,99,55,22,14,756,4,6,4,29,15,4,7,3,0,77,0,4,0,23,0,0,0,0,0,28,0,45,38,30,8,0,0,0,0,120,0,0,0,7,0,0,0,0,0,13,0,13,10,33,21,25,25,15,5,147,0,5,8,38,23,10,7,5,0,102,0,0,0,16,19,26,21,15,3,95,0,13,30,98,68,44,24,5,0,280,10,51,61,274,150,105,91,83,33,856,216,566,469,1329,652,630,438,284,113,4688,3616,8281,6935,14820,7607,7498,6098,3357,1143,59351,0,5,6,12,5,0,0,0,0,21,3206,6776,5322,10306,5698,5250,4485,2426,1150,44616,0,0,0,8,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,8,0,3,0,27,9,0,0,0,0,47,0,0,4,5,0,0,0,0,0,15,5,7,12,53,23,30,13,4,3,139
SOSR513,0,11,0,20,8,6,10,4,0,53,4,38,52,169,106,58,22,9,0,466,0,10,4,38,18,6,0,0,0,83,0,0,0,22,0,0,0,0,0,20,0,19,24,14,0,5,0,0,0,61,0,0,0,10,0,5,0,0,0,12,0,6,3,28,12,12,10,3,0,72,0,11,7,25,4,3,0,0,0,40,0,0,10,17,4,10,9,6,3,49,0,6,12,57,46,29,6,3,0,162,0,31,39,234,89,87,38,19,4,542,287,627,512,1611,687,545,203,98,18,4580,2837,5568,3815,11040,4739,3721,1823,814,207,34557,0,0,0,5,0,0,0,0,0,6,2334,4415,2517,6894,2508,1833,1037,510,185,22227,0,0,0,4,0,0,0,0,0,9,0,0,0,6,0,0,0,0,0,8,0,0,5,26,0,4,0,0,0,37,0,0,0,10,0,0,0,0,0,11,0,0,4,49,18,9,3,0,0,81
SOSR514,0,0,0,3,0,5,0,0,0,11,0,5,4,35,28,12,18,5,4,115,0,3,0,6,0,0,0,0,0,15,0,0,0,13,0,0,0,0,0,17,0,4,4,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,3,6,8,7,14,12,3,0,55,0,0,0,9,0,4,0,0,0,14,0,0,0,10,0,7,7,9,0,38,0,0,0,0,4,0,8,4,0,21,5,8,13,84,31,35,26,11,6,210,70,148,131,354,214,155,116,67,37,1286,898,2074,1491,3433,1829,1670,1657,777,226,14058,0,0,0,0,0,0,0,0,0,0,740,1731,1066,2537,1366,1222,1137,548,218,10571,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,17,5,3,0,0,0,21,0,0,0,3,0,0,0,0,0,4,0,0,5,27,12,6,7,0,0,55
SOSR515,3,0,12,18,16,3,5,3,0,49,0,16,34,114,86,60,32,19,5,356,0,0,0,28,7,8,3,6,0,42,0,4,0,21,0,0,0,0,0,31,0,17,30,19,4,0,0,0,0,74,0,0,0,0,0,0,0,3,0,3,0,10,7,40,24,19,20,12,0,137,0,8,0,31,12,12,4,0,0,63,0,0,0,16,11,20,10,4,0,74,0,5,13,43,24,27,14,8,0,136,6,22,48,279,94,76,95,67,9,691,310,726,590,1540,784,706,505,270,95,5523,3111,6642,4949,11511,5998,5946,4934,2547,755,46388,0,0,13,27,5,4,0,0,0,51,2567,5162,3602,8169,3845,3752,3217,1507,685,32500,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,7,0,5,0,15,5,0,0,0,0,26,0,0,0,13,0,0,0,0,0,16,0,8,0,48,8,12,12,5,0,89
SOSR521,0,0,0,0,6,3,5,0,0,17,5,16,12,37,32,28,10,4,0,144,0,0,0,4,0,0,0,0,0,4,0,0,0,17,0,0,0,0,0,17,4,4,3,10,0,5,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,3,4,5,0,29,0,3,4,9,0,0,0,0,0,12,0,0,0,4,9,8,9,4,0,33,0,0,0,6,12,7,8,6,0,44,0,8,15,85,28,34,39,28,4,238,110,233,199,579,388,395,263,157,46,2365,1203,2504,1870,4212,2513,2859,2418,1177,320,19079,0,0,0,0,0,0,0,0,0,0,1000,1951,1467,3131,1656,1758,1494,753,291,13502,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,7,0,0,0,3,0,0,0,0,0,11,0,0,0,15,4,9,6,0,0,33
SOSR522,0,0,0,0,0,0,0,0,0,3,0,6,0,13,10,10,9,3,0,52,0,0,0,3,0,0,0,0,0,7,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,3,0,0,25,0,0,0,4,0,0,0,0,0,11,0,0,0,0,6,4,4,0,3,14,0,0,0,7,0,3,0,0,0,15,0,3,0,31,9,12,17,14,3,93,51,138,111,278,159,187,158,85,29,1197,685,1432,1187,2466,1348,1543,1432,688,176,10961,0,0,0,0,0,0,0,0,0,0,568,1262,1013,1934,942,1020,824,408,128,8105,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,14
SOSR531,0,9,11,19,27,18,19,8,0,96,6,45,92,268,209,165,92,31,6,914,0,0,4,24,5,5,7,0,0,53,0,0,0,25,0,5,0,0,0,31,0,15,11,12,3,0,0,0,0,44,0,0,0,9,4,4,0,0,0,13,5,12,23,46,30,68,57,22,6,264,0,8,11,79,64,47,22,4,0,236,0,0,6,17,24,42,37,13,0,143,0,6,14,80,69,75,49,12,0,302,0,19,76,521,205,296,235,111,20,1479,241,798,1148,3676,1988,1766,1145,490,95,11338,3737,10087,9381,21551,13733,14468,11045,4509,841,89366,0,0,0,9,0,0,0,0,0,9,3230,8246,6008,11519,7886,7947,5587,2082,475,52983,0,0,0,4,0,6,0,0,0,5,0,0,0,9,0,0,0,3,0,19,0,0,0,23,6,0,3,0,0,32,0,0,0,3,0,0,0,0,0,6,0,8,12,68,34,46,26,3,0,194
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,5,0,0,0,14,0,0,14,110,46,25,4,0,0,197,0,0,30,262,103,55,14,0,0,455,0,0,0,0,0,0,0,0,0,0,0,0,4,14,0,3,4,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR599,0,0,0,0,0,0,0,0,0,3,0,3,0,14,8,4,4,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,6,4,0,0,21,0,0,0,4,5,0,0,0,0,5,0,0,0,0,0,0,0,3,0,9,0,0,0,3,6,0,0,0,0,6,3,0,10,49,9,15,7,3,0,102,31,31,87,456,250,169,93,35,9,1156,149,244,414,1753,842,667,444,118,14,4639,5,0,0,0,0,0,0,0,0,13,119,194,247,755,298,267,167,20,4,2061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,3,0,0,6,0,0,0,0,0,13
