SOSR_CODE_2021,D_0_4_FPEFT_MPEFT,D_0_4_FPEFT_MPEPT,D_0_4_FPEFT_MPEAW,D_0_4_FPEFT_MPEHNS,D_0_4_FPEFT_MPET,D_0_4_FPEFT_MPULFTW,D_0_4_FPEFT_MPULPTW,D_0_4_FPEFT_MPUT,D_0_4_FPEFT_MPTLF,D_0_4_FPEFT_MPNLF,D_0_4_FPEFT_MPLFSNS,D_0_4_FPEFT_T,D_0_4_FPEPT_MPEFT,D_0_4_FPEPT_MPEPT,D_0_4_FPEPT_MPEAW,D_0_4_FPEPT_MPEHNS,D_0_4_FPEPT_MPET,D_0_4_FPEPT_MPULFTW,D_0_4_FPEPT_MPULPTW,D_0_4_FPEPT_MPUT,D_0_4_FPEPT_MPTLF,D_0_4_FPEPT_MPNLF,D_0_4_FPEPT_MPLFSNS,D_0_4_FPEPT_T,D_0_4_FPEAW_MPEFT,D_0_4_FPEAW_MPEPT,D_0_4_FPEAW_MPEAW,D_0_4_FPEAW_MPEHNS,D_0_4_FPEAW_MPET,D_0_4_FPEAW_MPULFTW,D_0_4_FPEAW_MPULPTW,D_0_4_FPEAW_MPUT,D_0_4_FPEAW_MPTLF,D_0_4_FPEAW_MPNLF,D_0_4_FPEAW_MPLFSNS,D_0_4_FPEAW_T,D_0_4_FPHNS_MPEFT,D_0_4_FPHNS_MPEPT,D_0_4_FPHNS_MPEAW,D_0_4_FPHNS_MPEHNS,D_0_4_FPHNS_MPET,D_0_4_FPHNS_MPULFTW,D_0_4_FPHNS_MPULPTW,D_0_4_FPHNS_MPUT,D_0_4_FPHNS_MPTLF,D_0_4_FPHNS_MPNLF,D_0_4_FPHNS_MPLFSNS,D_0_4_FPHNS_T,D_0_4_FPET_MPEFT,D_0_4_FPET_MPEPT,D_0_4_FPET_MPEAW,D_0_4_FPET_MPEHNS,D_0_4_FPET_MPET,D_0_4_FPET_MPULFTW,D_0_4_FPET_MPULPTW,D_0_4_FPET_MPUT,D_0_4_FPET_MPTLF,D_0_4_FPET_MPNLF,D_0_4_FPET_MPLFSNS,D_0_4_FPET_T,D_0_4_FPULFTW_MPEFT,D_0_4_FPULFTW_MPEPT,D_0_4_FPULFTW_MP_EAW,D_0_4_FPULFTW_MP_E_HW_NS,D_0_4_FPULFTW_MPET,D_0_4_FPULFTW_MPULFTW,D_0_4_FPULFTW_MPULPTW,D_0_4_FPULFTW_MPUT,D_0_4_FPULFTW_MPTLF,D_0_4_FPULFTW_MPNLF,D_0_4_FPULFTW_MPLFSNS,D_0_4_FPULFTW_T,D_0_4_FPULPTW_MPEFT,D_0_4_FPULPTW_MPEPT,D_0_4_FPULPTW_MPEAW,D_0_4_FPULPTW_MPEm_HW_NS,D_0_4_FPULPTW_MPET,D_0_4_FPULPTW_MPULFTW,D_0_4_FPULPTW_MPULPTW,D_0_4_FPULPTW_MPUT,D_0_4_FPULPTW_MPTLF,D_0_4_FPULPTW_MPNLF,D_0_4_FPULPTW_MPLFSNS,D_0_4_FPULPTW_T,D_0_4_FPUT_MPEFT,D_0_4_FPUT_MPEPT,D_0_4_FPUT_MPEAW,D_0_4_FPUT_MP_E_HNS,D_0_4_FPUT_MPET,D_0_4_FPUT_MPULFTW,D_0_4_FPUT_MPULPTW,D_0_4_FPUT_MPUT,D_0_4_FPUT_MPTLF,D_0_4_FPUT_MPNLF,D_0_4_FPUT_MPLFSNS,D_0_4_FPUT_T,D_0_4_FPTLF_MPEFT,D_0_4_FPTLF_MPEPT,D_0_4_FPTLF_MPEAW,D_0_4_FPTLF_MPEHNS,D_0_4_FPTLF_MPET,D_0_4_FPTLF_MPULFTW,D_0_4_FPTLF_MPULPTW,D_0_4_FPTLF_MPUT,D_0_4_FPTLF_MPTLF,D_0_4_FPTLF_MPNLF,D_0_4_FPTLF_MPLFSNS,D_0_4_FPTLF_T,D_0_4_FPNLF_MPEFT,D_0_4_FPNLF_MPEPT,D_0_4_FPNLF_MPEAW,D_0_4_FPNLF_MP_E_HNS,D_0_4_FPNLF_MPET,D_0_4_FPNLF_MPUEmpLfFTW,D_0_4_FPNLF_MPUEmpLfPTW,D_0_4_FPNLF_MPUT,D_0_4_FPNLF_MPTLF,D_0_4_FPNLF_MPNLF,D_0_4_FPNLF_MPLFSNS,D_0_4_FPNLF_T,D_0_4_FPLFSNS_MPEFT,D_0_4_FPLFSNS_MPEPT,D_0_4_FPLFSNS_MPEAW,D_0_4_FPLFSNS_MP_E_HNS,D_0_4_FPLFSNS_MPET,D_0_4_FPLFSNS_MPULFTW,D_0_4_FPLFSNS_MPULPTW,D_0_4_FPLFSNS_MPUT,D_0_4_FPLFSNS_MPTLF,D_0_4_FPLFSNS_MPNLF,D_0_4_FPLFSNS_MPLFSNS,D_0_4_FPLFSNS_T,D_0_4_FPT_MPEFT,D_0_4_FPT_MPEPT,D_0_4_FPT_MPEAW,D_0_4_FPT_MPEHNS,D_0_4_FPT_MPET,D_0_4_FPT_MPULFTW,D_0_4_FPT_MPULPTW,D_0_4_FPT_MPUT,D_0_4_FPT_MPTLF,D_0_4_FPT_MPNLF,D_0_4_FPT_MPLFSNS,D_0_4_FPT_T,D_5_9_FPEFT_MPEFT,D_5_9_FPEFT_MPEPT,D_5_9_FPEFT_MPEAW,D_5_9_FPEFT_MPEHNS,D_5_9_FPEFT_MPET,D_5_9_FPEFT_MPULFTW,D_5_9_FPEFT_MPULPTW,D_5_9_FPEFT_MPUT,D_5_9_FPEFT_MPTLF,D_5_9_FPEFT_MPNLF,D_5_9_FPEFT_MPLFSNS,D_5_9_FPEFT_T,D_5_9_FPEPT_MPEFT,D_5_9_FPEPT_MPEPT,D_5_9_FPEPT_MPEAW,D_5_9_FPEPT_MPEHNS,D_5_9_FPEPT_MPET,D_5_9_FPEPT_MPULFTW,D_5_9_FPEPT_MPULPTW,D_5_9_FPEPT_MPUT,D_5_9_FPEPT_MPTLF,D_5_9_FPEPT_MPNLF,D_5_9_FPEPT_MPLFSNS,D_5_9_FPEPT_T,D_5_9_FPEAW_MPEFT,D_5_9_FPEAW_MPEPT,D_5_9_FPEAW_MPEAW,D_5_9_FPEAW_MPEHNS,D_5_9_FPEAW_MPET,D_5_9_FPEAW_MPULFTW,D_5_9_FPEAW_MPULPTW,D_5_9_FPEAW_MPUT,D_5_9_FPEAW_MPTLF,D_5_9_FPEAW_MPNLF,D_5_9_FPEAW_MPLFSNS,D_5_9_FPEAW_T,D_5_9_FPHNS_MPEFT,D_5_9_FPHNS_MPEPT,D_5_9_FPHNS_MPEAW,D_5_9_FPHNS_MPEHNS,D_5_9_FPHNS_MPET,D_5_9_FPHNS_MPULFTW,D_5_9_FPHNS_MPULPTW,D_5_9_FPHNS_MPUT,D_5_9_FPHNS_MPTLF,D_5_9_FPHNS_MPNLF,D_5_9_FPHNS_MPLFSNS,D_5_9_FPHNS_T,D_5_9_FPET_MPEFT,D_5_9_FPET_MPEPT,D_5_9_FPET_MPEAW,D_5_9_FPET_MP_E_HNS,D_5_9_FPET_MPET,D_5_9_FPET_MPULFTW,D_5_9_FPET_MPULPTW,D_5_9_FPET_MPUT
SOSR501,12432,1723,304,72,14524,188,71,260,14788,733,24,15546,30332,3903,770,232,35235,251,67,322,35563,723,71,36349,8048,994,1072,63,10178,80,12,91,10268,199,23,10491,386,27,12,327,757,6,0,3,763,18,53,835,51196,6640,2163,697,60696,527,152,681,61375,1675,168,63222,535,88,10,8,648,52,10,64,707,66,8,779,1458,198,46,42,1742,63,26,90,1828,54,6,1893,1994,286,64,53,2390,110,38,147,2536,122,10,2670,53191,6930,2223,750,63086,636,189,831,63915,1798,180,65893,22887,3389,1182,631,28088,699,179,875,28963,2279,113,31354,155,26,3,173,351,8,0,8,356,21,282,668,76229,10342,3405,1555,91525,1340,366,1711,93238,4101,573,97915,19483,2492,392,121,22492,289,95,388,22879,1085,30,23995,35218,4022,788,251,40273,358,83,446,40718,940,70,41727,1768,240,233,25,2271,30,9,37,2310,73,11,2387,282,42,5,297,628,7,3,8,646,36,63,740,56760,6795,1418,694,65666,687,194,886
SOSR511,306,39,10,3,361,6,4,14,369,23,0,395,1027,121,47,7,1203,14,3,15,1221,26,0,1250,238,30,37,4,315,3,0,3,317,4,0,321,8,0,0,12,14,0,0,0,14,0,0,18,1580,187,96,21,1890,26,10,28,1926,59,4,1989,9,0,0,0,6,0,0,0,8,0,0,12,40,0,0,0,43,8,0,8,50,3,0,51,50,0,0,0,55,10,0,10,60,4,0,64,1630,189,98,26,1945,31,10,41,1984,60,4,2053,859,89,51,25,1026,18,4,22,1054,57,0,1116,0,3,0,9,10,0,0,0,10,0,8,12,2487,277,151,61,2980,53,14,62,3041,125,12,3176,542,77,16,0,632,5,4,14,641,40,0,684,1354,125,56,10,1537,8,4,5,1546,38,0,1585,56,4,14,4,77,0,0,0,77,3,0,85,7,0,0,6,16,0,0,0,16,3,5,23,1952,205,85,20,2264,13,7,21
SOSR512,521,74,23,5,620,12,0,8,632,39,0,672,1563,216,56,15,1842,10,0,13,1859,52,3,1908,312,47,37,11,411,0,0,5,414,12,0,419,13,6,0,18,39,0,0,0,39,0,0,34,2412,339,113,42,2910,19,4,24,2935,96,10,3044,11,0,0,0,15,6,0,6,14,3,0,20,48,5,7,4,58,0,0,0,64,0,0,64,62,5,7,4,77,5,0,7,82,4,0,84,2471,345,123,49,2988,22,6,28,3018,107,10,3126,1373,161,64,39,1633,33,14,46,1684,121,9,1810,12,0,0,3,13,0,0,0,15,3,32,50,3854,500,187,89,4631,58,20,77,4710,224,39,4981,1032,133,29,4,1194,11,3,12,1213,58,0,1272,1925,211,64,19,2224,17,7,23,2245,62,3,2302,91,15,12,5,118,0,0,0,118,4,0,123,20,0,0,17,30,0,0,0,33,5,0,37,3061,361,110,39,3566,27,13,37
SOSR513,569,47,21,16,651,4,0,4,657,28,4,692,1077,97,60,20,1251,6,0,11,1264,29,5,1291,303,23,42,0,371,3,0,3,371,13,0,389,17,3,0,23,40,0,0,0,40,0,5,49,1967,172,120,57,2312,11,0,15,2330,74,15,2415,13,0,0,0,14,0,0,0,15,0,0,15,37,7,3,6,50,6,0,3,59,0,0,59,51,3,7,6,66,4,0,8,76,0,0,71,2016,183,130,62,2381,21,3,28,2405,72,15,2492,908,88,66,42,1108,29,3,41,1148,104,0,1247,5,0,0,6,10,0,0,0,10,0,24,35,2936,264,198,111,3500,50,11,66,3563,176,37,3777,902,88,33,12,1034,16,4,24,1050,37,0,1090,1339,123,63,20,1552,6,0,11,1563,26,5,1588,88,5,21,0,119,0,0,0,119,7,0,121,25,3,0,16,41,0,0,0,43,0,3,43,2346,220,122,53,2737,25,8,33
SOSR514,92,29,3,4,123,0,0,0,126,5,0,136,376,56,9,5,443,6,0,6,451,14,0,461,70,11,21,0,104,0,0,0,104,6,0,104,7,0,0,0,6,0,0,0,6,0,0,8,540,96,35,7,684,9,0,7,686,24,0,707,6,0,0,0,6,0,0,0,9,0,0,9,9,4,0,0,10,0,0,0,10,0,0,10,13,4,0,0,17,0,0,0,20,0,0,20,558,100,35,7,695,8,0,6,703,24,0,730,282,46,18,11,357,15,0,13,366,41,3,410,0,0,0,0,4,0,0,0,4,0,3,8,836,146,55,21,1055,21,5,18,1076,65,5,1142,210,30,3,4,249,5,0,5,254,11,0,270,530,64,28,0,626,6,0,4,632,22,0,648,27,4,8,0,42,0,0,0,42,0,0,44,3,0,0,8,7,0,0,0,7,0,0,13,774,94,48,14,929,10,0,9
SOSR515,461,43,16,6,535,5,4,7,543,49,0,600,1071,135,57,14,1278,15,3,19,1301,48,0,1348,259,32,61,8,364,4,0,4,365,6,0,374,19,0,3,10,37,0,0,0,37,10,0,46,1819,213,140,38,2213,24,6,33,2244,119,0,2367,13,3,0,0,16,0,0,0,18,0,0,22,39,0,4,0,51,7,4,8,57,5,0,65,60,7,4,0,64,9,4,16,77,8,0,88,1876,218,140,42,2277,36,7,41,2323,119,0,2445,1054,142,88,37,1320,33,8,48,1364,158,6,1520,6,3,0,9,17,0,0,0,17,0,26,41,2934,360,235,87,3611,71,14,89,3706,280,34,4016,836,88,28,18,964,8,7,15,980,72,0,1054,1455,168,83,22,1724,15,3,19,1745,43,0,1790,79,8,29,0,115,0,0,0,114,0,0,121,18,0,0,19,35,0,0,0,35,4,0,43,2380,260,142,55,2838,28,9,39
SOSR521,142,15,4,0,164,6,0,6,164,22,0,188,311,49,19,12,382,3,0,5,389,12,0,402,81,10,20,0,116,0,0,0,116,0,0,117,0,0,0,8,13,0,0,0,13,6,0,15,540,73,41,15,666,5,3,6,679,40,0,720,3,0,0,0,3,3,0,3,10,0,0,14,9,0,0,0,9,0,0,0,13,0,0,18,20,0,0,0,20,6,0,6,25,0,0,26,553,73,41,15,690,9,3,14,700,42,0,739,375,47,25,21,472,24,5,32,501,134,9,642,0,0,0,0,3,0,0,0,3,0,4,9,935,122,69,35,1159,33,9,49,1207,177,9,1399,224,17,10,4,261,0,4,4,265,23,4,289,425,60,21,12,524,8,0,8,528,21,0,550,22,11,11,0,42,0,0,0,42,3,0,43,3,0,0,10,15,0,0,0,15,0,0,15,680,95,34,23,837,8,4,12
SOSR522,61,15,4,0,75,4,0,4,83,8,0,93,182,21,0,4,211,0,0,3,211,13,0,223,52,3,3,0,61,0,0,0,61,0,0,65,0,0,0,3,7,0,0,0,7,0,0,8,294,42,7,10,355,4,0,4,361,28,0,390,3,0,0,0,3,13,0,13,13,0,0,18,9,0,0,0,9,0,0,0,8,0,0,8,12,0,0,0,12,13,0,15,26,0,0,23,305,42,7,10,363,22,0,21,384,28,0,415,159,30,9,17,215,17,0,25,232,168,4,407,4,3,0,0,9,0,0,0,9,3,9,19,463,76,17,24,578,36,5,43,622,202,17,838,112,14,0,0,131,3,0,3,134,19,0,154,263,20,12,3,299,0,0,0,299,22,0,326,19,4,10,0,30,0,0,0,30,0,0,37,5,0,0,7,4,0,0,0,4,4,0,12,395,40,26,15,469,6,0,6
SOSR531,626,52,22,3,706,6,0,10,716,43,4,757,1793,198,58,19,2074,8,4,12,2081,31,6,2116,355,32,56,0,446,4,0,4,451,10,0,465,38,0,0,31,74,0,0,0,76,3,0,78,2810,286,144,61,3296,21,3,23,3319,87,7,3414,7,0,0,0,10,0,0,0,10,5,0,17,31,5,4,0,41,0,5,9,47,3,0,43,39,9,4,0,50,0,5,5,55,6,0,62,2852,287,144,55,3346,21,11,35,3376,97,7,3480,1307,147,88,38,1574,37,6,41,1616,180,0,1799,4,3,3,3,10,0,0,0,10,0,15,28,4169,433,234,95,4934,59,13,72,5005,278,21,5308,1273,135,24,8,1437,12,3,11,1450,62,0,1510,2684,287,73,39,3084,15,4,17,3101,73,3,3176,83,24,39,3,149,4,0,4,152,4,0,158,34,0,4,49,90,0,0,0,94,3,5,98,4083,439,140,103,4761,31,5,32
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
