SOSR_CODE_2021,F_AccomFoodS_Cert,F_AccomFoodS_ID_NS,F_AccomFoodS_ToT,F_TransPostWhse_PD,F_TransPostWhse_GD_GC,F_TransPostWhse_BD,F_TransPostWhse_AdD_D,F_TransPostWhse_Cert,F_TransPostWhse_ID_NS,F_TransPostWhse_ToT,F_InfoMedTelecom_PD,F_InfoMedTelecom_GD_GC,F_InfoMedTelecom_BD,F_InfoMedTelecom_AdD_D,F_InfoMedTelecom_Cert,F_InfoMedTelecom_ID_NS,F_InfoMedTelecom_ToT,F_FinInsurS_PD,F_FinInsurS_GD_GC,F_FinInsurS_BD,F_FinInsurS_AdD_D,F_FinInsurS_Cert,F_FinInsurS_ID_NS,F_FinInsurS_ToT,F_RentHirREserv_PD,F_RentHirREserv_GD_GC,F_RentHirREserv_BD,F_RentHirREserv_AdD_D,F_RentHirREserv_Cert,F_RentHirREserv_ID_NS,F_RentHirREserv_ToT,F_ProScieTechServ_PD,F_ProScieTechServ_GD_GC,F_ProScieTechServ_BD,F_ProScieTechServ_AdD_D,F_ProScieTechServ_Cert,F_ProScieTechServ_ID_NS,F_ProScieTechServ_ToT,F_AdminSupServ_PD,F_AdminSupServ_GD_GC,F_AdminSupServ_BD,F_AdminSupServ_AdD_D,F_AdminSupServ_Cert,F_AdminSupServ_ID_NS,F_AdminSupServ_ToT,F_PubAdmiSafety_PD,F_PubAdmiSafety_GD_GC,F_PubAdmiSafety_BD,F_PubAdmiSafety_AdD_D,F_PubAdmiSafety_Cert,F_PubAdmiSafety_ID_NS,F_PubAdmiSafety_ToT,F_EducTrain_PD,F_EducTrain_GD_GC,F_EducTrain_BD,F_EducTrain_AdD_D,F_EducTrain_Cert,F_EducTrain_ID_NS,F_EducTrain_ToT,F_HealthCareSocA_PD,F_HealthCareSocA_GD_GC,F_HealthCareSocA_BD,F_HealthCareSocA_AdD_D,F_HealthCareSocA_Cert,F_HealthCareSocA_ID_NS,F_HealthCareSocA_ToT,F_ArtRecServ_PD,F_ArtRecServ_GD_GC,F_ArtRecServ_BD,F_ArtRecServ_AdD_D,F_ArtRecServ_Cert,F_ArtRecServ_ID_NS,F_ArtRecServ_ToT,F_OthServ_PD,F_OthServ_GD_GC,F_OthServ_BD,F_OthServ_AdD_D,F_OthServ_Cert,F_OthServ_ID_NS,F_OthServ_ToT,F_ID_NS_PD,F_ID_NS_GD_GC,F_ID_NS_BD,F_ID_NS_AdD_D,F_ID_NS_Cert,F_ID_NS_ID_NS,F_ID_NS_ToT,F_ToT_PD,F_ToT_GD_GC,F_ToT_BD,F_ToT_AdD_D,F_ToT_Cert,F_ToT_ID_NS,F_ToT_ToT,P_AgriForestFish_PD,P_AgriForestFish_GD_GC,P_AgriForestFish_BD,P_AgriForestFish_AdD_D,P_AgriForestFish_Cert,P_AgriForestFish_ID_NS,P_AgriForestFish_ToT,P_Min_PD,P_Min_GD_GC,P_Min_BD,P_Min_AdD_D,P_Min_Cert,P_Min_ID_NS,P_Min_ToT,P_Mnfg_PD,P_Mnfg_GD_GC,P_Mnfg_BD,P_Mnfg_AdD_D,P_Mnfg_Cert,P_Mnfg_ID_NS,P_Mnfg_ToT,P_EGW_WS_PD,P_EGW_WS_GD_GC,P_EGW_WS_BD,P_EGW_WS_AdD_D,P_EGW_WS_Cert,P_EGW_WS_ID_NS,P_EGW_WS_ToT,P_Cnstn_PD,P_Cnstn_GD_GC,P_Cnstn_BD,P_Cnstn_AdD_D,P_Cnstn_Cert,P_Cnstn_ID_NS,P_Cnstn_ToT,P_WTrade_PD,P_WTrade_GD_GC,P_WTrade_BD,P_WTrade_AdD_D,P_WTrade_Cert,P_WTrade_ID_NS,P_WTrade_ToT,P_RTrade_PD,P_RTrade_GD_GC,P_RTrade_BD,P_RTrade_AdD_D,P_RTrade_Cert,P_RTrade_ID_NS,P_RTrade_ToT,P_AccomFoodS_PD,P_AccomFoodS_GD_GC,P_AccomFoodS_BD,P_AccomFoodS_AdD_D,P_AccomFoodS_Cert,P_AccomFoodS_ID_NS,P_AccomFoodS_ToT,P_TransPostWhse_PD,P_TransPostWhse_GD_GC,P_TransPostWhse_BD,P_TransPostWhse_AdD_D,P_TransPostWhse_Cert,P_TransPostWhse_ID_NS,P_TransPostWhse_ToT,P_InfoMedTelecom_PD,P_InfoMedTelecom_GD_GC,P_InfoMedTelecom_BD,P_InfoMedTelecom_AdD_D,P_InfoMedTelecom_Cert,P_InfoMedTelecom_ID_NS,P_InfoMedTelecom_ToT,P_FinInsurS_PD,P_FinInsurS_GD_GC,P_FinInsurS_BD,P_FinInsurS_AdD_D,P_FinInsurS_Cert,P_FinInsurS_ID_NS,P_FinInsurS_ToT,P_RentHirREserv_PD,P_RentHirREserv_GD_GC,P_RentHirREserv_BD,P_RentHirREserv_AdD_D,P_RentHirREserv_Cert,P_RentHirREserv_ID_NS,P_RentHirREserv_ToT,P_ProScieTechServ_PD,P_ProScieTechServ_GD_GC,P_ProScieTechServ_BD,P_ProScieTechServ_AdD_D,P_ProScieTechServ_Cert,P_ProScieTechServ_ID_NS,P_ProScieTechServ_ToT,P_AdminSupServ_PD,P_AdminSupServ_GD_GC,P_AdminSupServ_BD,P_AdminSupServ_AdD_D,P_AdminSupServ_Cert,P_AdminSupServ_ID_NS,P_AdminSupServ_ToT,P_PubAdmiSafety_PD,P_PubAdmiSafety_GD_GC,P_PubAdmiSafety_BD,P_PubAdmiSafety_AdD_D,P_PubAdmiSafety_Cert,P_PubAdmiSafety_ID_NS,P_PubAdmiSafety_ToT,P_EducTrain_PD
SOSR501,6262,729,16537,495,182,1752,1310,2310,278,6327,274,166,1097,365,417,66,2387,953,424,3648,2272,2310,354,9963,299,137,1565,1469,1869,336,5679,5081,1755,13984,3783,4153,630,29381,845,351,3202,2261,3556,488,10698,3155,1850,8975,3852,4582,606,23021,8436,7620,24047,7305,10452,1195,59054,11173,6098,39147,17098,20727,2787,97024,512,259,2249,1068,1709,167,5972,702,401,3017,3295,7063,505,14980,1032,318,3354,1898,2732,1732,11067,39481,21808,131632,61047,88899,12370,355238,313,96,1002,539,1149,166,3267,6479,1624,15701,6093,21518,1234,52648,2435,662,7915,5347,17878,1122,35365,1101,316,2635,1196,3063,191,8495,2452,752,10202,8320,38096,1869,61688,1297,356,4361,2537,7150,515,16213,3184,769,12688,7737,18186,1839,44409,1776,398,8663,6976,12480,1326,31622,2303,607,6846,5853,10831,1190,27626,716,282,2631,1159,1563,173,6519,2318,1003,8065,4315,3449,582,19739,712,269,3390,2627,3643,517,11156,13199,3500,34734,9056,8920,1559,70975,1632,559,5686,3843,7500,851,20073,6167,3282,16461,9010,12300,1295,48515,13614
SOSR511,370,24,606,5,4,22,36,92,7,159,0,0,18,9,29,0,62,0,0,36,56,72,4,175,3,4,17,28,110,12,170,27,17,166,89,147,10,460,7,3,46,52,156,8,272,34,34,169,132,266,13,647,132,258,781,279,593,38,2082,204,168,1171,599,1263,101,3510,0,5,25,23,72,10,142,15,13,69,102,329,17,547,11,6,36,38,108,61,265,516,571,3096,1905,4979,409,11480,14,6,43,44,143,19,265,51,23,220,229,1372,48,1942,76,30,325,241,1396,62,2123,23,6,50,79,359,17,532,36,18,175,262,1940,75,2514,6,3,31,52,242,8,340,25,16,226,231,1067,69,1630,18,8,156,130,572,39,934,25,12,81,108,479,42,748,4,5,41,27,62,3,144,7,6,64,107,101,12,296,3,3,32,58,174,16,283,52,42,362,185,315,40,996,13,3,68,73,289,14,466,75,63,302,253,533,30,1248,183
SOSR512,594,56,1140,8,7,53,62,161,12,300,8,8,29,19,28,0,87,8,11,39,75,114,17,261,3,4,23,57,157,26,281,61,46,280,162,236,26,816,7,17,80,98,255,24,471,67,57,277,238,348,38,1013,236,391,1290,425,848,62,3247,365,311,1744,1025,1586,157,5192,14,3,38,55,89,11,207,14,16,81,170,484,28,790,15,6,70,83,158,69,406,928,966,4780,3246,6925,691,17540,21,12,110,104,426,45,717,209,52,553,396,2712,115,4047,24,24,201,196,980,52,1477,7,4,29,63,303,11,414,15,12,160,324,2626,83,3225,8,12,80,83,556,15,746,51,34,283,334,1643,103,2449,44,21,337,353,1095,85,1933,27,21,146,207,864,53,1323,4,11,57,28,69,8,187,18,23,80,147,159,26,436,10,3,48,103,304,41,512,140,71,589,301,462,43,1609,15,18,106,153,522,39,844,130,106,501,506,909,76,2233,370
SOSR513,251,42,642,10,10,65,89,162,17,356,10,0,22,15,12,0,59,3,5,25,39,51,6,127,4,3,29,55,106,18,213,37,21,129,63,110,7,367,16,10,85,68,148,29,348,46,56,235,172,244,23,771,166,240,827,247,453,40,1978,215,213,943,488,645,88,2594,11,10,37,29,55,4,147,10,10,70,110,232,10,435,20,10,81,49,109,81,345,642,635,3197,1992,3633,475,10572,10,5,57,58,184,27,344,84,45,382,407,2461,91,3479,24,11,108,87,471,24,714,19,3,60,53,236,8,378,16,4,118,220,1615,83,2061,8,0,45,70,332,23,473,48,16,203,193,620,74,1151,43,6,267,235,500,62,1107,42,30,221,268,799,56,1418,5,5,43,24,43,4,120,12,8,52,49,66,6,191,6,3,49,77,205,24,362,64,34,249,125,235,18,727,16,11,115,112,334,41,631,95,89,429,369,552,48,1580,232
SOSR514,214,20,423,0,0,11,9,26,3,51,0,0,9,3,3,0,15,0,0,16,16,26,6,72,0,0,20,24,24,4,79,16,11,76,39,60,0,210,3,5,34,31,55,11,134,23,8,59,42,81,5,219,58,79,274,76,187,16,700,69,67,315,194,269,23,936,0,0,17,15,19,0,55,3,3,20,36,109,11,186,4,5,32,28,35,25,135,212,218,1209,786,1518,178,4119,0,0,56,36,56,8,151,11,10,79,68,513,19,701,23,19,176,77,307,14,621,3,3,13,19,176,4,220,5,9,66,102,641,26,843,0,0,16,26,75,4,126,8,3,130,87,312,35,583,25,15,143,143,376,36,736,3,5,24,24,127,9,197,5,3,12,4,11,0,40,4,5,31,30,28,7,104,4,0,37,33,47,9,130,41,19,154,74,102,3,393,4,5,57,39,136,8,246,35,19,91,83,181,15,422,78
SOSR515,369,51,737,5,3,55,57,143,13,271,0,5,11,3,16,0,37,0,3,22,47,68,9,150,3,0,25,51,76,12,165,34,22,148,76,166,24,470,9,0,72,99,215,25,427,45,45,253,192,358,23,923,140,249,987,307,615,61,2361,195,219,951,606,968,115,3050,12,4,35,30,68,7,156,5,11,58,102,290,18,487,11,7,56,50,125,75,324,565,627,3315,2258,4875,617,12268,22,6,193,130,529,79,967,79,33,300,355,2657,112,3529,21,21,224,151,788,98,1300,11,3,32,41,274,14,371,17,10,101,192,1644,65,2031,4,8,57,48,354,21,497,28,11,193,226,916,113,1490,39,11,220,197,650,70,1191,18,7,103,164,610,35,934,8,8,14,18,59,5,106,10,4,44,59,95,5,218,7,3,41,83,137,14,289,68,30,285,149,339,24,904,12,6,113,123,429,36,720,110,89,475,438,812,55,1977,194
SOSR521,153,29,310,9,0,16,16,39,7,83,0,0,6,5,5,0,23,0,3,4,10,15,4,42,0,0,4,13,30,5,52,12,3,36,28,43,5,125,3,3,17,28,61,11,127,18,16,95,76,144,14,351,61,102,370,90,230,35,881,55,47,303,197,309,41,949,3,3,14,6,15,5,47,0,3,17,31,104,8,160,7,5,27,16,57,30,142,205,212,1178,743,1658,248,4239,8,7,111,59,250,47,482,34,17,126,132,751,44,1111,7,9,53,55,351,26,500,5,0,10,12,87,8,111,4,7,39,72,571,27,719,0,0,32,16,148,6,206,15,0,79,65,267,39,466,11,10,76,82,252,39,470,9,4,29,52,183,15,294,3,3,5,7,23,0,40,0,3,11,21,22,4,59,0,0,13,18,54,10,86,22,9,69,50,86,11,248,6,5,27,42,122,22,230,35,27,164,173,343,32,774,89
SOSR522,87,7,159,0,4,15,17,26,8,63,0,0,0,0,0,0,4,0,0,5,7,13,0,18,0,6,3,3,5,0,6,7,5,16,11,13,0,52,0,0,13,10,32,8,65,6,0,41,45,78,4,181,42,51,199,58,140,20,512,20,27,118,101,152,18,446,0,0,8,4,20,3,43,0,0,13,7,39,5,74,5,0,12,5,21,8,53,113,102,581,367,833,113,2110,4,5,59,40,213,36,349,17,0,42,55,256,13,377,4,0,17,20,121,9,183,0,0,0,0,52,3,57,5,3,16,27,239,14,296,3,0,16,15,73,8,112,10,4,45,34,117,15,216,12,0,49,46,154,12,277,0,4,23,31,116,16,182,0,0,0,5,10,0,18,0,0,5,6,9,0,28,0,6,0,5,10,0,23,11,3,48,23,20,0,111,0,0,18,25,74,9,133,17,8,65,99,207,19,422,56
SOSR531,556,101,1202,13,8,78,115,219,37,455,4,3,21,16,25,3,73,19,6,82,98,97,19,324,6,16,68,100,127,21,331,103,61,471,190,311,35,1170,16,20,112,120,236,25,532,105,78,425,329,450,45,1433,270,449,1619,535,1025,117,4025,287,274,1543,916,1149,178,4341,22,4,107,61,143,20,359,24,13,111,167,436,41,799,30,17,168,126,265,174,777,1175,1209,6948,4436,7888,1260,22908,198,172,1972,1358,3653,517,7859,207,90,818,704,3744,198,5758,77,47,410,364,1506,97,2484,14,7,74,79,338,17,525,53,38,338,563,3301,170,4453,24,13,151,156,646,34,1033,47,28,366,362,1142,129,2083,52,28,423,338,968,163,1972,23,15,171,271,952,78,1511,4,5,58,40,88,10,198,24,17,159,155,138,32,528,10,15,103,164,265,34,594,237,102,928,372,560,73,2273,22,27,177,198,613,51,1091,164,116,652,616,1138,89,2783,375
SOSR579,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,3,9,9,0,23,0,0,7,0,14,5,27,4,0,8,11,36,3,57,0,0,0,0,3,0,4,0,0,0,0,8,0,5,0,0,0,0,21,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,12,3,9,5,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,0,4,0,0,0,0,0,0,0,0
