SOSR_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arrival_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,United_States_America_2016,United_States_America_2017,United_States_America_2018,United_States_America_2019,United_States_America_2020,United_States_America_2021,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arrival_NS,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_NS,Tot_Tot
SOSR501,7,5,52,399,2073,1784,9127,10262,1714,1241,1173,1478,530,165,488,30488,191,93,169,365,2207,651,560,503,60,61,62,54,29,5,102,5122,67,139,440,1451,2368,2302,4579,1775,345,381,374,412,310,51,243,15238,19,81,410,1563,3507,5003,15977,6592,876,715,842,940,505,257,403,37701,48,79,187,375,821,820,2359,1995,257,248,286,675,298,26,111,8590,0,0,3,17,236,355,664,1159,153,149,202,281,59,15,72,3362,4,4,34,192,734,828,2699,1736,424,337,357,370,197,71,231,8226,2134,6324,34406,27373,28794,18567,43122,22361,2100,1729,1723,1886,1076,389,3848,195840,31,84,431,775,956,1057,1940,1388,284,273,303,406,327,135,210,8594,5,0,25,1632,4595,2709,2795,2128,501,516,433,585,306,71,631,16942,831,1359,6608,7321,11111,14160,32109,18175,4002,3791,4214,5542,2349,535,2144,114247,6264,19616,57731,57939,89018,77705,194159,126662,20172,18296,20361,25422,11797,3346,14657,743151
SOSR511,0,0,0,15,44,60,327,294,48,44,44,46,29,3,23,982,9,4,0,9,36,9,10,13,0,0,0,0,0,0,3,91,3,5,5,9,12,13,42,14,6,4,4,0,4,0,3,116,0,5,20,46,66,117,706,301,20,48,36,44,20,7,21,1433,0,0,3,0,7,5,17,15,8,4,4,0,0,4,0,67,0,0,0,0,0,4,13,38,4,12,22,44,17,0,0,148,0,0,0,3,11,11,62,25,10,12,7,10,3,0,6,161,116,261,1207,785,622,335,828,384,43,19,23,47,26,6,134,4830,0,0,18,44,26,10,40,24,5,0,3,4,0,7,0,185,0,0,0,9,7,19,25,24,4,3,0,6,5,0,5,114,24,38,100,126,143,124,515,284,38,59,39,53,34,15,41,1639,266,670,1636,1384,1590,1168,3836,2448,308,347,341,418,204,75,418,15098
SOSR512,0,0,0,25,111,101,639,545,103,85,101,129,33,16,26,1916,9,9,6,11,10,6,11,8,3,0,0,0,0,0,5,76,0,3,13,25,16,20,20,12,0,0,0,0,0,0,0,116,3,7,25,36,69,126,673,364,21,61,48,66,48,19,16,1596,4,3,0,3,5,9,44,33,9,4,11,12,0,3,0,137,0,0,0,0,0,3,9,35,0,0,8,19,5,0,5,77,0,0,0,8,13,51,150,122,47,28,14,20,10,11,14,495,198,493,2076,1297,847,470,885,463,44,38,41,60,31,14,239,7191,4,0,27,48,40,36,57,46,7,12,3,13,10,0,9,313,0,0,0,12,28,33,32,62,13,8,10,15,8,0,19,230,42,78,195,168,203,173,765,465,100,96,136,143,90,80,68,2800,421,1036,2793,2220,2190,1811,5192,3642,534,534,619,732,345,218,678,22971
SOSR513,0,0,0,8,61,44,286,451,99,51,75,87,26,3,24,1219,4,0,0,4,17,4,7,12,0,0,0,0,0,0,0,52,0,0,8,19,25,16,30,0,0,0,11,8,0,0,4,115,0,0,3,20,39,89,466,212,22,9,16,45,21,12,14,969,0,0,0,0,9,8,42,41,9,3,6,15,4,0,0,140,0,0,0,4,0,0,10,39,0,4,0,12,0,0,0,71,0,0,0,3,15,29,93,90,22,16,22,30,11,0,9,349,18,111,525,424,550,389,1147,623,51,45,43,47,27,12,129,4137,0,3,3,16,18,22,47,28,3,12,12,14,4,0,5,174,0,0,0,4,4,0,18,36,11,12,4,11,6,4,3,124,9,15,58,98,127,146,544,308,63,72,74,123,64,21,63,1788,60,233,768,914,1386,1217,4151,2957,439,370,433,668,297,108,383,14375
SOSR514,0,0,0,8,17,10,79,77,9,14,6,3,10,4,7,241,12,0,5,0,6,0,3,3,0,0,0,0,0,0,3,35,0,0,4,4,10,6,9,4,0,0,0,0,0,0,3,38,0,0,4,27,49,31,66,37,8,3,4,10,0,0,0,241,0,0,0,0,0,0,4,6,0,0,0,3,0,0,0,27,0,0,0,0,0,0,11,21,8,3,0,10,0,0,0,50,0,0,0,0,3,4,24,3,4,0,0,3,9,0,4,48,42,90,451,319,268,154,285,164,26,6,22,25,15,0,57,1917,0,3,3,16,15,13,18,13,5,0,4,10,0,0,0,102,0,0,0,3,0,6,14,4,0,0,3,0,3,0,0,31,20,8,46,49,60,50,115,94,19,18,31,51,16,0,69,652,136,207,625,583,658,437,975,745,127,89,113,169,79,25,211,5175
SOSR515,0,0,0,8,44,31,250,418,111,77,92,117,23,15,30,1224,4,0,5,3,30,7,9,5,0,3,4,0,0,0,0,64,0,4,8,16,18,10,19,6,3,6,0,3,0,0,17,110,0,4,19,32,66,84,324,100,9,11,18,21,18,9,8,726,0,0,0,0,10,5,16,8,11,3,3,4,6,0,0,79,0,0,0,0,5,0,21,37,8,3,26,19,0,0,6,124,0,0,0,4,8,21,104,66,33,14,18,23,7,3,22,319,109,308,1654,1070,692,393,747,318,29,22,35,43,24,3,251,5700,0,0,28,39,24,43,58,18,3,8,14,15,12,13,4,287,0,0,0,4,13,12,40,26,13,10,7,8,5,0,9,141,22,48,171,136,186,137,466,291,74,57,67,122,92,85,83,2047,252,720,2255,1855,1802,1348,3293,2094,407,348,443,630,282,179,712,16625
SOSR521,0,0,0,7,17,21,97,164,42,38,41,41,30,0,14,510,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,14,0,0,3,11,3,0,0,0,0,0,0,0,0,0,3,24,0,0,5,9,29,25,129,55,12,3,9,10,12,12,10,309,0,0,0,0,3,6,5,3,0,0,3,0,0,0,0,16,0,0,0,0,0,0,8,8,0,0,18,20,7,0,0,60,0,0,0,6,3,11,23,13,4,10,6,7,0,0,6,95,53,147,657,426,258,162,307,137,8,9,13,21,7,0,103,2322,0,3,7,9,16,12,16,9,0,0,0,0,3,0,0,78,0,0,0,0,4,0,10,12,0,6,4,0,4,0,0,43,10,20,91,58,53,41,139,69,15,16,20,43,12,48,25,652,114,305,905,728,697,520,1079,736,131,112,156,190,102,71,263,6117
SOSR522,0,0,0,4,15,3,23,25,8,4,11,9,0,0,3,113,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,7,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,8,0,0,3,7,7,17,31,18,0,3,0,5,8,0,0,102,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,12,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,6,0,0,0,0,0,0,10,10,0,0,3,4,0,0,0,23,27,90,389,219,138,77,141,64,12,6,10,11,4,0,52,1245,0,0,6,0,0,3,7,11,3,0,0,3,0,0,4,43,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,15,9,9,32,22,23,20,40,28,8,3,15,20,4,0,15,251,56,160,508,362,353,241,406,287,74,36,62,82,23,13,135,2797
SOSR531,0,0,0,12,62,42,181,242,40,30,31,43,21,9,49,767,5,10,6,10,68,8,12,4,0,0,5,0,0,0,0,124,3,9,21,30,40,31,45,19,0,3,0,7,0,0,5,223,0,10,22,74,185,236,727,254,30,29,37,60,19,10,57,1752,5,5,5,4,13,4,11,6,0,0,0,4,0,0,24,76,0,0,0,0,4,3,14,18,3,5,16,27,5,0,12,97,0,0,3,13,17,23,69,57,9,10,14,19,16,0,12,264,168,587,3215,2164,1692,1161,2020,624,55,36,69,89,30,14,544,12458,3,10,60,90,64,63,116,69,9,3,10,13,12,0,14,541,0,0,0,18,116,57,41,44,4,12,6,5,7,10,98,418,35,107,436,369,452,366,691,300,45,55,94,232,70,81,312,3648,419,1434,4559,3794,4224,3093,5489,2582,344,325,471,766,273,179,1804,29754
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,21,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,6,3,0,0,3,3,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,0,0,0,0,3,0,0,25,0,0,4,7,14,19,46,20,0,5,6,8,3,0,16,148
