SOSR_CODE_2021,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Brazil_0_4,P_Brazil_5_14,P_Brazil_15_24,P_Brazil_25_44,P_Brazil_45_54,P_Brazil_55_64,P_Brazil_65_74,P_Brazil_75_84,P_Brazil_85ov,P_Brazil_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot
SOSR501,36,275,683,3707,2028,1557,1012,271,136,9696,6,84,194,618,469,551,429,257,107,2724,18,146,656,2015,1110,867,429,125,30,5391,243,2311,3812,17026,6070,4975,3631,2062,845,40977,1914,4268,4510,12596,4650,4091,3851,3386,2639,41905,61163,127538,121434,301635,133403,118041,95610,53346,24562,1036733,29,295,777,2946,703,395,171,51,9,5375,118109,216790,170165,306754,133785,110705,89049,44967,17804,1208128,21,215,225,1528,389,135,114,19,4,2665,7,16,47,1035,458,695,402,165,45,2863,28,188,208,3157,385,164,68,35,7,4250,12,74,93,523,283,204,147,30,11,1379,69,326,435,1929,917,779,449,173,58,5138,15,57,96,643,335,305,226,105,26,1807,99,1202,2890,12535,4344,3282,1911,560,288,27105,0,26,31,671,405,761,1120,768,389,4177,15,245,291,639,231,266,334,243,97,2366,388,5352,11421,31127,27994,35128,26091,18443,6412,162346,3,29,82,377,200,199,109,42,9,1046,23,136,220,1842,495,362,246,120,47,3502
SOSR511,0,4,3,38,15,7,4,0,0,77,0,0,0,12,10,18,7,10,3,63,0,7,28,78,42,39,24,4,4,229,5,42,23,191,105,87,50,39,12,552,90,170,167,452,207,208,190,162,110,1762,2183,5027,4218,9794,5044,4828,3978,2221,942,38239,0,0,0,12,3,0,0,0,0,9,4289,9290,7004,13810,6759,6277,5208,2672,911,56218,0,5,3,24,6,0,0,0,0,44,0,0,0,4,0,0,0,0,0,7,0,0,3,32,5,0,0,0,0,38,0,0,3,3,0,0,0,0,0,11,0,7,14,45,16,22,9,0,3,116,0,0,0,9,3,6,0,0,0,24,0,6,19,112,34,18,9,0,0,206,0,0,0,0,0,4,4,7,0,27,3,3,0,15,0,0,0,0,0,23,3,89,208,536,644,1025,800,591,192,4093,0,0,0,11,7,0,0,0,0,21,0,0,0,23,9,13,3,9,4,58
SOSR512,0,9,10,66,26,14,9,3,0,131,0,0,4,20,18,24,16,10,5,106,0,14,21,106,56,45,15,0,0,270,12,57,46,287,119,145,102,63,37,868,204,547,428,1081,480,478,402,283,179,4083,3478,7913,6534,14968,8081,7735,6500,3805,1776,60792,0,4,15,47,7,9,0,0,0,84,6543,13891,10951,20691,10934,10349,8704,4466,1864,88392,0,0,0,16,0,0,0,0,0,20,0,0,0,7,0,0,5,3,0,17,0,6,4,51,15,0,0,0,0,80,0,3,4,8,3,0,0,0,0,17,11,20,18,73,36,42,17,6,8,238,0,3,0,21,9,11,6,0,0,55,4,15,16,177,52,30,11,4,0,306,0,0,0,11,4,18,9,11,4,51,4,3,0,12,0,4,12,6,5,41,6,102,184,747,798,1387,1313,1137,420,6109,0,10,10,74,17,12,6,4,0,142,3,4,10,63,20,19,14,0,4,128
SOSR513,0,0,6,57,14,0,0,0,0,76,0,0,4,15,7,8,5,4,5,48,0,4,19,64,22,27,3,3,0,141,3,19,41,325,90,56,42,19,4,598,220,622,417,1480,533,365,159,97,35,3927,2603,5414,3503,11667,4315,3205,1774,860,300,33632,0,0,4,9,3,0,0,0,0,16,4845,8935,5264,13669,5322,3890,2131,949,305,45309,0,3,3,18,5,0,0,0,0,25,0,0,0,10,5,0,0,0,0,15,0,0,3,45,0,3,0,0,0,57,0,3,0,22,0,0,0,0,0,21,3,0,12,64,22,13,6,0,0,123,0,0,0,30,0,4,4,0,0,37,0,3,19,172,17,13,4,0,0,233,0,0,5,9,3,4,7,7,0,37,0,3,0,17,0,0,5,0,0,30,12,133,239,958,644,738,402,263,83,3471,0,4,8,25,17,5,5,0,0,60,0,0,21,85,3,9,0,0,0,124
SOSR514,0,5,0,8,3,4,0,0,0,21,0,0,0,3,0,11,0,10,0,28,0,0,0,11,8,3,10,9,0,34,0,8,11,100,30,30,25,10,16,223,54,157,100,294,143,121,105,81,46,1103,821,1995,1276,3761,1933,1797,1645,849,346,14412,0,0,0,5,3,0,0,0,0,5,1556,3571,2301,4881,2631,2364,2240,1018,344,20908,0,0,0,5,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,7,0,4,0,30,4,3,0,0,0,39,0,0,0,3,0,0,0,0,0,4,0,0,5,46,14,9,7,4,0,90,0,0,0,18,0,0,0,0,0,21,0,0,0,21,10,4,0,3,0,41,0,0,0,0,0,0,0,4,0,3,0,0,0,5,0,0,0,4,0,13,4,32,43,315,267,374,358,209,60,1667,0,0,0,0,0,3,0,0,0,4,0,0,0,67,10,11,4,0,0,93
SOSR515,0,0,6,53,8,7,0,0,0,80,0,3,0,15,11,15,12,9,0,65,0,9,15,50,30,19,16,0,0,139,10,32,44,272,93,110,84,46,12,697,245,645,554,1397,635,544,433,287,126,4870,2881,6142,4637,12260,5835,5868,4901,2538,1077,46132,0,8,26,69,21,17,4,0,0,149,5321,10770,7468,15903,7856,7613,6448,2990,1127,65508,0,0,0,7,9,0,0,0,0,15,0,0,0,0,3,3,5,0,0,18,0,8,0,27,6,0,0,3,0,43,0,0,0,13,4,5,3,0,0,24,3,5,4,68,26,26,19,5,0,154,0,0,0,18,7,3,0,0,0,34,0,9,17,108,31,17,3,0,0,185,0,0,0,8,6,7,16,4,0,48,3,3,0,7,0,0,3,4,0,18,4,53,136,685,674,1210,1050,806,251,4872,0,3,6,40,8,9,7,0,0,66,0,0,13,67,11,16,4,9,3,120
SOSR521,0,0,0,17,3,3,0,0,0,27,0,0,0,3,6,4,4,7,0,29,0,0,5,12,13,9,4,0,0,36,0,3,18,111,36,42,29,17,5,265,104,254,195,533,279,303,234,154,60,2125,1112,2302,1795,4605,2473,2706,2245,1169,436,18844,0,0,0,5,0,0,0,0,0,4,2071,4117,3002,6065,3320,3643,3131,1461,493,27316,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,4,5,6,0,0,0,0,15,0,0,0,3,0,0,0,0,0,8,0,4,3,14,12,10,11,0,0,56,0,0,0,10,0,0,4,0,0,11,0,4,3,15,12,0,0,0,0,39,0,0,0,5,0,3,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,18,42,253,308,527,470,310,87,2007,0,4,0,15,0,3,0,4,0,29,0,0,0,22,4,5,10,3,0,41
SOSR522,0,0,0,10,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,14,0,0,0,6,4,3,3,0,0,14,0,0,5,25,8,12,20,13,5,87,56,137,108,229,129,180,119,80,35,1083,633,1433,1197,2518,1262,1517,1225,648,201,10626,0,0,0,0,0,0,0,0,0,3,1192,2528,2033,3837,1939,2100,1785,848,239,16506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,3,4,0,0,23,0,0,0,3,0,0,0,0,0,3,0,0,6,10,3,0,0,0,0,17,0,0,0,0,0,0,7,3,0,16,0,0,0,3,0,0,0,0,0,4,0,12,34,129,131,277,273,194,38,1093,0,0,0,5,6,4,0,0,0,16,0,0,0,9,0,0,0,0,0,19
SOSR531,0,3,6,79,49,30,18,0,0,188,0,4,0,22,23,36,35,11,0,132,0,0,13,74,47,64,36,9,0,244,0,14,49,365,180,286,178,73,17,1166,221,735,695,1799,1117,1122,846,379,68,6975,3484,9280,7272,16619,11683,12660,8919,3563,805,74281,0,0,0,42,6,9,0,0,0,56,6696,17244,13478,25729,16991,17100,12672,4712,971,115588,0,0,0,22,4,3,0,0,0,33,0,0,0,18,4,9,4,5,0,33,0,0,0,57,11,0,4,0,0,71,0,0,0,10,0,5,0,0,0,16,0,18,20,109,52,82,41,9,0,339,0,0,0,17,10,5,7,0,0,37,0,4,7,128,56,31,15,5,0,261,0,0,3,12,11,25,39,39,14,137,0,0,0,6,0,8,11,3,0,31,4,140,376,1317,1921,3259,2297,1274,258,10841,0,0,4,49,20,9,5,0,0,90,0,8,20,139,29,32,21,16,0,261
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,8,0,0,0,0,19,0,0,13,28,9,3,4,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,15,91,31,16,5,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4
