SOSR_CODE_2021,F_Mgnt_Com_35_44,F_Mgnt_Com_45_54,F_Mgnt_Com_55_64,F_Mgnt_Com_65_74,F_Mgnt_Com_75_84,F_Mgnt_Com_85ov,F_Mgnt_Com_Tot,F_Society_Cult_15_24,F_Society_Cult_25_34,F_Society_Cult_35_44,F_Society_Cult_45_54,F_Society_Cult_55_64,F_Society_Cult_65_74,F_Society_Cult_75_84,F_Society_Cult_85ov,F_Society_Cult_Tot,F_Creative_Arts_15_24,F_Creative_Arts_25_34,F_Creative_Arts_35_44,F_Creative_Arts_45_54,F_Creative_Arts_55_64,F_Creative_Arts_65_74,F_Creative_Arts_75_84,F_Creative_Arts_85ov,F_Creative_Arts_Tot,F_Fd_Hosp_Psnl_Svcs_15_24,F_Fd_Hosp_Psnl_Svcs_25_34,F_Fd_Hosp_Psnl_Svcs_35_44,F_Fd_Hosp_Psnl_Svcs_45_54,F_Fd_Hosp_Psnl_Svcs_55_64,F_Fd_Hosp_Psnl_Svcs_65_74,F_Fd_Hosp_Psnl_Svcs_75_84,F_Fd_Hosp_Psnl_Svcs_85ov,F_Fd_Hosp_Psnl_Svcs_Tot,F_MixFld_Prgm_15_24,F_MixFld_Prgm_25_34,F_MixFld_Prgm_35_44,F_MixFld_Prgm_45_54,F_MixFld_Prgm_55_64,F_MixFld_Prgm_65_74,F_MixFld_Prgm_75_84,F_MixFld_Prgm_85ov,F_MixFld_Prgm_Tot,F_FldStd_InadDes_15_24,F_FldStd_InadDes_25_34,F_FldStd_InadDes_35_44,F_FldStd_InadDes_45_54,F_FldStd_InadDes_55_64,F_FldStd_InadDes_65_74,F_FldStd_InadDes_75_84,F_FldStd_InadDes_85ov,F_FldStd_InadDes_Tot,F_FldStd_NS_15_24,F_FldStd_NS_25_34,F_FldStd_NS_35_44,F_FldStd_NS_45_54,F_FldStd_NS_55_64,F_FldStd_NS_65_74,F_FldStd_NS_75_84,F_FldStd_NS_85ov,F_FldStd_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_NatPhyl_Scn_15_24,P_NatPhyl_Scn_25_34,P_NatPhyl_Scn_35_44,P_NatPhyl_Scn_45_54,P_NatPhyl_Scn_55_64,P_NatPhyl_Scn_65_74,P_NatPhyl_Scn_75_84,P_NatPhyl_Scn_85ov,P_NatPhyl_Scn_Tot,P_InfoTech_15_24,P_InfoTech_25_34,P_InfoTech_35_44,P_InfoTech_45_54,P_InfoTech_55_64,P_InfoTech_65_74,P_InfoTech_75_84,P_InfoTech_85ov,P_InfoTech_Tot,P_Eng_RelTec_15_24,P_Eng_RelTec_25_34,P_Eng_RelTec_35_44,P_Eng_RelTec_45_54,P_Eng_RelTec_55_64,P_Eng_RelTec_65_74,P_Eng_RelTec_75_84,P_Eng_RelTec_85ov,P_Eng_RelTec_Tot,P_ArchtBldng_15_24,P_ArchtBldng_25_34,P_ArchtBldng_35_44,P_ArchtBldng_45_54,P_ArchtBldng_55_64,P_ArchtBldng_65_74,P_ArchtBldng_75_84,P_ArchtBldng_85ov,P_ArchtBldng_Tot,P_Ag_Envir_Rltd_Sts_15_24,P_Ag_Envir_Rltd_Sts_25_34,P_Ag_Envir_Rltd_Sts_35_44,P_Ag_Envir_Rltd_Sts_45_54,P_Ag_Envir_Rltd_Sts_55_64,P_Ag_Envir_Rltd_Sts_65_74,P_Ag_Envir_Rltd_Sts_75_84,P_Ag_Envir_Rltd_Sts_85ov,P_Ag_Envir_Rltd_Sts_Tot,P_Health_15_24,P_Health_25_34,P_Health_35_44,P_Health_45_54,P_Health_55_64,P_Health_65_74,P_Health_75_84,P_Health_85ov,P_Health_Tot,P_Educ_15_24,P_Educ_25_34,P_Educ_35_44,P_Educ_45_54,P_Educ_55_64,P_Educ_65_74,P_Educ_75_84,P_Educ_85ov,P_Educ_Tot,P_Mgnt_Com_15_24,P_Mgnt_Com_25_34,P_Mgnt_Com_35_44,P_Mgnt_Com_45_54,P_Mgnt_Com_55_64,P_Mgnt_Com_65_74,P_Mgnt_Com_75_84,P_Mgnt_Com_85ov,P_Mgnt_Com_Tot,P_Society_Cult_15_24,P_Society_Cult_25_34,P_Society_Cult_35_44,P_Society_Cult_45_54,P_Society_Cult_55_64,P_Society_Cult_65_74,P_Society_Cult_75_84,P_Society_Cult_85ov,P_Society_Cult_Tot,P_Creative_Arts_15_24,P_Creative_Arts_25_34,P_Creative_Arts_35_44,P_Creative_Arts_45_54,P_Creative_Arts_55_64,P_Creative_Arts_65_74,P_Creative_Arts_75_84,P_Creative_Arts_85ov,P_Creative_Arts_Tot,P_Fd_Hosp_Psnl_Svcs_15_24,P_Fd_Hosp_Psnl_Svcs_25_34,P_Fd_Hosp_Psnl_Svcs_35_44,P_Fd_Hosp_Psnl_Svcs_45_54,P_Fd_Hosp_Psnl_Svcs_55_64,P_Fd_Hosp_Psnl_Svcs_65_74,P_Fd_Hosp_Psnl_Svcs_75_84,P_Fd_Hosp_Psnl_Svcs_85ov,P_Fd_Hosp_Psnl_Svcs_Tot,P_MixFld_Prgm_15_24,P_MixFld_Prgm_25_34,P_MixFld_Prgm_35_44,P_MixFld_Prgm_45_54,P_MixFld_Prgm_55_64,P_MixFld_Prgm_65_74,P_MixFld_Prgm_75_84,P_MixFld_Prgm_85ov,P_MixFld_Prgm_Tot,P_FldStd_InadDes_15_24,P_FldStd_InadDes_25_34,P_FldStd_InadDes_35_44,P_FldStd_InadDes_45_54,P_FldStd_InadDes_55_64,P_FldStd_InadDes_65_74,P_FldStd_InadDes_75_84,P_FldStd_InadDes_85ov,P_FldStd_InadDes_Tot,P_FldStd_NS_15_24,P_FldStd_NS_25_34,P_FldStd_NS_35_44,P_FldStd_NS_45_54,P_FldStd_NS_55_64,P_FldStd_NS_65_74,P_FldStd_NS_75_84,P_FldStd_NS_85ov,P_FldStd_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54
SOSR501,31344,24382,16192,9011,3592,1118,120146,7360,18453,19816,16299,12382,7462,2307,478,84554,3624,6290,5459,3271,1927,1232,602,206,22601,5055,9659,7703,5964,3738,2475,973,239,35808,332,169,101,88,113,99,49,26,966,575,1430,1646,1283,910,621,254,101,6821,6246,9606,8144,6532,5599,5689,5745,4840,52406,46797,121000,121539,95637,71427,46768,22250,9744,535158,3874,9185,9276,7460,5501,3670,1506,322,40790,2681,7605,10326,5610,3019,1135,219,18,30627,9976,36417,37864,31879,28399,21516,9995,2775,178814,3758,12345,10894,8870,7454,5495,2759,840,52416,1210,3293,3774,2980,2184,1304,608,180,15532,8733,29013,25048,20049,16843,11034,5270,1664,117649,4116,14256,16218,16509,15087,11724,5138,1354,84411,14671,41845,51468,41118,28385,17302,7091,1875,203746,11405,26510,27463,23028,17570,11540,3988,833,122348,6540,10472,8820,5227,3189,2198,930,288,37663,7005,14399,12516,9245,6079,3752,1570,354,54919,649,318,178,154,175,156,88,34,1754,1131,2981,3496,2954,2136,1388,699,237,15022,13460,22177,20096,16609,13298,11153,10094,7470,114353,89201,230803,237432,191705
SOSR511,851,680,556,310,112,26,3714,319,487,673,631,455,258,63,13,2896,90,124,94,72,57,41,20,11,503,203,388,292,246,158,111,46,4,1454,11,4,4,6,6,0,0,0,38,16,38,37,47,40,16,9,4,202,237,324,284,267,264,281,259,184,2112,1761,3501,3733,3355,2754,1822,832,339,18099,35,128,156,154,119,86,30,6,710,77,145,163,87,63,25,6,5,565,481,1318,1419,1316,1197,873,386,90,7083,167,466,421,336,327,237,116,28,2102,75,136,163,153,137,69,32,13,786,301,725,793,670,704,490,206,64,3950,187,448,651,781,649,482,186,45,3425,469,1058,1195,1024,846,512,188,36,5329,440,623,817,766,597,368,99,28,3744,143,173,151,108,84,53,30,11,754,252,521,443,375,259,163,65,10,2087,26,9,3,4,16,7,3,0,72,35,78,101,120,96,40,18,5,492,503,776,744,720,644,588,442,296,4716,3180,6617,7221,6620
SOSR512,1165,1077,872,491,179,54,5300,347,774,850,855,749,437,121,20,4153,118,165,182,137,118,65,45,11,840,330,540,443,419,203,138,57,15,2159,29,12,10,8,7,0,4,0,67,22,33,53,54,55,28,4,11,259,559,676,643,607,603,580,508,407,4586,2678,5219,5589,5334,4423,2973,1516,709,28433,92,271,336,221,173,111,53,16,1262,98,185,185,115,67,51,12,0,709,742,2071,1992,1897,1676,1225,554,155,10314,247,694,549,495,510,410,214,62,3178,176,283,328,346,295,208,93,29,1768,472,1142,1139,1144,1066,741,365,130,6188,205,746,994,1145,978,731,305,70,5178,678,1285,1629,1551,1307,793,310,80,7643,471,984,1095,1107,969,626,185,34,5471,188,245,279,197,170,112,53,17,1269,432,806,705,656,373,225,108,23,3330,45,30,12,5,14,3,3,6,119,53,81,135,146,119,73,32,14,660,1171,1555,1519,1422,1350,1130,915,605,9671,5078,10380,10902,10454
SOSR513,920,615,341,136,40,12,3212,173,536,549,381,296,123,28,0,2083,35,152,132,81,42,14,15,0,469,123,372,288,235,110,46,11,5,1182,7,7,3,3,0,0,0,0,18,17,34,51,34,29,7,6,4,180,522,932,773,619,408,208,153,80,3688,1498,4535,4226,2959,1902,841,399,121,16478,33,144,156,101,38,27,14,0,524,43,85,106,54,25,12,3,0,336,449,1702,1751,1300,837,400,130,30,6598,109,531,465,313,270,116,44,5,1862,57,161,200,149,102,33,27,3,730,167,802,720,508,437,184,84,16,2928,111,621,717,555,368,180,72,11,2642,330,1143,1326,916,526,230,72,13,4564,241,706,722,523,400,166,47,4,2801,64,218,182,112,64,32,26,6,700,174,490,426,352,194,62,20,5,1732,17,9,7,5,0,4,0,0,47,31,100,131,111,76,34,10,7,506,1186,1907,1737,1429,1030,462,297,123,8171,3035,8617,8651,6439
SOSR514,334,278,160,110,51,16,1283,60,162,229,194,163,107,35,3,953,24,69,90,63,33,39,18,4,338,52,136,132,107,65,34,4,3,535,3,3,0,0,0,0,0,0,11,0,11,27,17,14,9,0,0,74,136,155,190,164,140,137,131,100,1145,473,1170,1604,1306,977,787,384,158,6857,10,59,97,80,37,59,9,0,359,21,32,36,25,22,13,0,0,146,123,335,402,418,385,341,125,37,2170,46,175,216,152,143,89,28,10,868,25,68,132,94,55,37,23,0,437,59,194,241,223,245,197,103,19,1278,31,155,306,249,217,204,84,17,1258,128,361,461,392,254,192,94,24,1899,75,220,295,237,205,166,52,11,1263,31,88,119,88,51,46,22,4,448,85,208,233,202,109,62,14,3,911,6,8,0,0,6,0,0,0,21,7,26,42,38,24,25,12,0,170,311,381,414,397,315,283,251,159,2496,963,2309,2994,2588
SOSR515,868,653,515,311,113,27,3621,225,540,615,538,514,312,89,10,2837,69,136,115,93,75,56,26,10,578,190,457,332,259,160,118,41,5,1562,13,14,7,5,7,3,0,4,51,22,33,43,38,40,22,3,7,215,656,795,762,707,581,572,428,259,4770,2012,4395,4351,3687,3112,2270,1034,411,21253,62,171,199,151,110,87,30,6,816,64,95,94,63,40,42,5,0,398,511,1616,1563,1392,1332,921,392,91,7816,168,484,414,367,354,301,116,36,2239,148,283,360,300,233,132,65,16,1536,236,755,674,631,653,500,201,67,3717,189,626,751,769,672,501,168,47,3726,412,1056,1125,916,748,506,190,44,5000,307,717,781,704,679,417,140,10,3762,111,201,173,124,122,101,50,7,887,268,594,521,423,288,188,86,9,2370,31,25,9,5,13,3,4,4,91,40,93,107,113,86,58,29,12,541,1399,1719,1629,1612,1364,1184,817,429,10158,3949,8452,8390,7570
SOSR521,273,229,196,124,50,16,1250,78,187,196,196,249,155,21,6,1091,16,51,33,34,35,27,13,0,209,70,145,95,91,73,48,18,0,535,5,7,0,0,0,5,0,0,18,5,9,15,18,17,6,0,0,75,255,309,324,323,334,295,206,102,2141,697,1499,1498,1412,1434,1013,470,172,8187,11,54,62,69,41,32,11,3,284,18,26,42,24,20,12,0,0,143,167,515,527,521,556,396,164,37,2889,35,133,115,134,150,109,42,8,729,62,127,147,121,118,68,24,0,669,70,207,235,246,306,222,93,34,1414,53,237,264,262,270,213,73,13,1391,135,354,342,330,297,192,71,18,1739,108,240,266,254,296,203,44,14,1411,28,62,53,51,45,40,18,5,306,90,188,133,136,129,77,30,0,801,11,9,3,0,0,5,0,0,20,8,23,33,34,42,34,13,4,193,516,646,678,772,779,614,421,157,4589,1311,2824,2893,2949
SOSR522,138,112,88,67,29,4,604,40,99,86,89,122,60,14,0,508,4,25,18,16,12,16,8,0,97,26,55,54,43,29,28,11,0,245,4,0,0,0,0,0,0,0,8,0,3,6,4,4,4,0,0,30,166,144,145,148,210,164,116,48,1137,381,736,739,661,791,549,264,74,4191,12,39,35,27,21,12,12,0,160,6,14,13,11,14,7,0,0,69,76,246,221,241,282,258,89,16,1425,25,63,82,71,67,62,29,10,407,39,71,89,80,79,55,16,5,425,41,121,129,99,167,116,58,8,738,46,141,115,157,163,118,45,5,783,61,154,174,174,141,113,45,9,866,44,121,123,107,148,99,23,5,672,12,34,28,23,23,19,12,0,151,37,84,78,69,46,39,16,0,378,7,0,3,0,0,0,3,0,12,3,16,23,19,24,14,6,0,102,325,320,330,363,439,395,226,92,2493,735,1434,1437,1425
SOSR531,1402,1516,1303,636,181,30,6407,286,647,876,970,938,528,107,5,4354,136,215,241,226,198,131,48,4,1204,264,477,509,514,357,187,53,8,2366,20,6,6,8,12,7,0,0,58,15,37,82,83,88,43,14,0,362,905,946,1068,1229,1201,924,500,90,6873,2909,5356,7051,7898,7459,4617,1570,273,37138,101,283,437,463,383,288,74,6,2039,89,117,134,159,137,64,15,0,713,956,2483,2744,3115,3262,2196,739,88,15576,250,669,706,776,829,601,199,34,4065,469,696,1047,1100,918,600,191,34,5057,374,953,1123,1425,1720,1122,427,92,7227,241,657,1152,1502,1608,1293,361,58,6865,661,1264,1911,2247,1997,1131,343,59,9614,439,855,1091,1222,1251,785,194,18,5855,222,339,328,320,273,224,79,12,1811,365,659,722,757,559,302,105,8,3472,45,4,11,12,19,13,5,0,112,55,105,168,206,217,133,43,9,942,2353,3170,3306,3556,3187,2200,1102,222,19104,6605,12260,14884,16860
SOSR579,0,0,0,3,0,0,8,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,3,8,0,0,0,0,20,13,12,6,7,3,5,0,0,48,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,18,46,27,15,5,0,0,113,0,7,11,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,5,3,0,0,3,0,0,11,0,4,0,0,0,0,0,0,12,0,0,0,3,0,0,0,0,4,3,4,0,6,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,6,22,51,75,48,21,3,0,0,228,38,97,145,92
