SOSR_CODE_2021,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
SOSR501,196,2844,17,3061,54902,2686,60648,1353,2024,46,3424,57291,4100,64814,30131,3427,801,34367,99095,11496,144955,73646,2594,2094,78336,58594,10310,147237,43696,3049,1139,47883,74112,8289,130284,7850,8614,207,16682,88790,6170,111637,1379,13590,59,15030,67717,3960,86701,253,3510,22,3782,39397,3019,46197,36,183,0,219,13276,1884,15377,158531,39844,4390,202763,553177,51907,807849,302,4625,46,4981,50305,2613,57892,3349,3967,198,7511,52741,3283,63540,51081,6449,2508,60042,82637,8263,150941,89963,4649,5106,99719,44370,6604,150691,41298,8127,1867,51297,76865,5247,133403,3477,24132,284,27893,85778,4377,118041,955,23479,133,24569,67009,4037,95610,224,4260,26,4509,44870,3961,53346,35,249,0,281,20873,3408,24562,190695,79940,10170,280803,525435,41792,848032,498,7474,72,8041,105206,5293,118535,4706,5987,244,10933,110033,7380,128352,81215,9880,3313,94404,181729,19760,295897,163610,7246,7198,178051,102964,16914,297929,84991,11177,3004,99177,150972,13534,263686,11329,32748,494,44569,174564,10540,229678,2339,37074,191,39597,134722,7999,182320,477,7762,51,8293,84268,6984,99540,69,424,0,497
SOSR511,15,121,0,133,2060,126,2312,123,70,4,192,1596,165,1951,1324,121,50,1489,2541,532,4567,2529,100,114,2742,1618,520,4882,1381,144,40,1564,2760,429,4750,230,405,9,643,3577,338,4551,41,434,0,478,2974,244,3690,10,78,0,84,1687,125,1901,0,4,0,4,485,92,584,5643,1477,213,7332,19296,2567,29199,16,207,0,222,2003,105,2329,249,136,14,397,1381,103,1888,2165,197,167,2525,1946,289,4762,3093,170,244,3497,1320,220,5039,1303,389,79,1778,3052,221,5044,91,1085,16,1197,3418,211,4828,27,698,0,725,3040,206,3978,12,102,0,111,1932,173,2221,6,8,0,10,770,159,942,6963,2988,515,10470,18870,1689,31028,29,329,4,354,4065,226,4649,364,201,21,591,2981,272,3838,3486,317,216,4015,4481,826,9322,5615,272,352,6242,2938,735,9920,2685,538,123,3341,5810,649,9801,325,1494,23,1834,6993,550,9377,75,1129,3,1203,6016,448,7670,26,174,0,200,3616,298,4119,6,10,0,14
SOSR512,5,191,3,198,3190,309,3694,159,108,12,277,2629,333,3238,2029,195,72,2293,4177,951,7417,3474,154,130,3753,2768,879,7407,2042,209,67,2316,4518,772,7607,382,516,17,909,5940,650,7498,58,517,0,574,5086,438,6098,16,107,0,123,2953,278,3357,0,4,0,4,993,141,1143,8168,1996,292,10452,32255,4746,47455,27,309,4,335,2886,267,3487,363,209,24,603,2190,255,3044,3068,315,249,3631,3027,607,7268,4429,270,337,5030,2096,571,7697,1965,619,112,2695,4878,511,8081,163,1352,14,1530,5718,488,7735,37,933,6,982,5080,438,6500,11,142,0,148,3319,343,3805,0,10,0,13,1536,230,1776,10068,4151,749,14968,30723,3709,49404,31,490,3,528,6078,581,7185,531,313,31,877,4820,591,6283,5099,510,317,5924,7204,1555,14681,7898,421,463,8787,4869,1450,15102,4009,830,175,5014,9394,1282,15690,547,1867,31,2441,11655,1140,15229,95,1451,5,1555,10168,876,12592,23,246,0,272,6272,618,7165,6,15,0,23
SOSR513,18,102,0,119,1603,299,2021,86,64,4,161,1313,319,1796,1413,140,50,1606,2893,880,5376,2569,94,78,2748,2059,862,5664,1186,121,43,1350,2656,738,4739,173,247,0,428,2732,563,3721,18,163,0,181,1437,210,1823,4,33,0,43,669,108,814,0,3,0,0,176,26,207,5476,970,180,6626,15543,3990,26160,18,179,0,202,1351,262,1813,189,119,17,323,1111,258,1686,2220,225,179,2622,2555,852,6031,2929,186,233,3350,1583,696,5635,976,314,65,1354,2423,538,4315,72,531,5,605,2247,355,3205,5,258,4,266,1331,180,1774,0,53,0,56,709,102,860,0,3,0,5,254,42,300,6418,1864,495,8785,13554,3282,25619,39,282,5,322,2950,561,3837,278,183,20,482,2424,575,3483,3635,366,231,4226,5449,1729,11408,5502,285,312,6096,3645,1558,11301,2164,436,98,2696,5077,1273,9050,248,772,4,1034,4975,918,6923,21,423,4,449,2771,386,3599,8,89,0,98,1373,202,1677,4,6,0,7
SOSR514,0,40,0,48,731,103,876,34,13,0,43,510,65,616,417,43,10,470,934,188,1583,919,42,36,996,666,185,1850,606,47,27,680,941,215,1829,92,127,0,213,1314,140,1670,17,179,0,202,1331,128,1657,3,33,0,37,668,71,777,0,0,0,0,180,43,226,2093,520,75,2690,7267,1137,11094,8,65,0,65,603,75,744,53,26,7,83,385,54,533,668,83,48,795,720,119,1637,1236,77,98,1407,559,155,2123,564,119,39,723,1069,138,1933,40,345,0,387,1295,110,1797,12,292,0,303,1239,102,1645,0,39,0,46,705,98,849,0,5,0,5,275,65,346,2576,1050,191,3824,6856,922,11600,11,101,0,115,1333,171,1625,89,34,7,132,899,119,1148,1080,126,52,1264,1651,308,3227,2155,116,134,2409,1223,345,3973,1169,163,62,1401,2008,353,3760,125,471,3,608,2609,250,3470,27,471,4,504,2568,228,3298,7,75,0,84,1370,167,1624,0,5,0,5
SOSR515,12,139,5,152,2134,368,2657,124,82,10,219,1780,290,2289,1696,139,70,1898,3060,792,5755,2670,123,123,2911,2078,768,5755,1396,188,50,1637,3606,760,5998,291,375,13,672,4626,642,5946,39,348,3,386,4085,464,4934,10,63,0,76,2199,274,2547,0,7,0,9,616,129,755,6234,1461,267,7954,24187,4490,36634,26,254,15,289,1827,325,2441,313,157,17,487,1406,302,2191,2503,267,218,2992,2464,713,6169,3284,217,282,3782,1622,689,6095,1273,475,91,1833,3408,590,5835,101,943,18,1065,4316,484,5868,15,602,4,625,3867,402,4901,7,99,0,107,2140,288,2538,0,10,0,10,855,207,1077,7532,3018,635,11186,21916,4002,37107,37,393,17,438,3959,692,5095,443,237,26,704,3187,591,4481,4199,408,289,4885,5523,1505,11923,5957,337,401,6692,3701,1457,11851,2664,667,137,3465,7015,1346,11838,394,1318,29,1735,8947,1122,11810,58,947,7,1016,7957,867,9832,19,164,0,184,4337,564,5083,0,13,0,19
SOSR521,12,67,0,79,780,123,977,64,49,0,113,658,122,897,615,78,29,718,1057,300,2075,915,60,53,1024,819,292,2137,475,95,16,594,1541,382,2513,122,199,3,319,2187,350,2859,24,149,3,182,2006,237,2418,0,35,0,33,983,158,1177,0,0,0,0,269,50,320,2227,731,111,3066,10296,2011,15377,19,107,6,133,696,124,953,138,74,10,229,502,116,847,949,111,89,1146,865,261,2271,1166,118,115,1401,670,267,2332,444,245,30,715,1488,268,2473,48,386,11,444,1993,268,2706,14,293,5,310,1724,213,2245,0,41,0,41,956,169,1169,0,4,0,4,362,68,436,2777,1384,261,4425,9250,1754,15431,32,170,7,210,1470,244,1926,202,126,15,344,1162,243,1740,1561,190,122,1868,1921,560,4346,2079,178,169,2428,1494,563,4477,924,336,45,1305,3026,652,4984,170,579,10,765,4184,620,5562,37,449,3,486,3725,452,4668,0,79,3,78,1940,328,2347,0,8,0,10
SOSR522,10,81,0,91,445,90,632,62,75,10,139,362,53,557,356,81,47,480,633,152,1263,467,79,51,602,452,152,1202,255,75,17,346,825,178,1348,54,105,5,161,1188,189,1543,16,93,0,104,1161,169,1432,3,20,0,21,581,87,688,0,0,0,0,133,38,176,1214,596,133,1946,5786,1109,8847,19,106,3,129,365,82,577,120,78,28,225,329,66,612,518,79,94,695,479,121,1292,549,110,106,772,333,116,1218,227,166,29,420,714,125,1262,32,245,7,282,1076,164,1517,5,152,5,164,939,125,1225,3,28,4,34,524,89,648,0,3,3,7,151,48,201,1475,972,279,2724,4902,932,8560,34,184,7,228,813,170,1206,183,150,27,361,688,117,1168,873,156,138,1172,1112,267,2556,1018,189,157,1366,785,268,2419,481,242,49,767,1541,301,2606,78,348,10,441,2266,354,3061,17,244,5,269,2098,295,2656,7,50,4,54,1108,179,1336,0,10,3,8
SOSR531,26,211,0,234,3948,558,4741,102,151,16,267,3335,1046,4644,2040,206,74,2325,4828,2906,10059,4734,214,194,5142,3529,2820,11495,3345,378,112,3836,7429,2473,13733,665,986,30,1682,10859,1925,14468,110,1036,9,1153,8776,1116,11045,15,175,3,189,3814,499,4509,3,0,0,7,740,95,841,11040,3359,436,14835,47264,13438,75535,24,384,6,413,3322,453,4187,196,223,23,447,2250,381,3081,2795,327,210,3345,3091,881,7309,5412,312,427,6150,2209,948,9310,2853,877,144,3867,6755,1059,11683,271,2430,22,2726,8898,1040,12660,55,1545,14,1613,6558,749,8919,20,204,3,224,2991,354,3563,5,13,4,13,718,73,805,11630,6317,853,18793,36793,5939,61530,47,594,6,645,7268,1011,8927,296,372,38,710,5582,1428,7726,4842,538,290,5665,7917,3783,17368,10144,531,622,11296,5741,3766,20805,6196,1252,253,7707,14182,3530,25420,931,3414,57,4403,19760,2968,27127,167,2585,19,2765,15339,1864,19970,34,373,3,415,6805,856,8074,4,13,0,24
SOSR579,0,0,0,0,3,7,7,0,0,0,0,9,13,25,10,0,0,13,48,44,99,18,0,0,22,67,68,157,4,0,0,4,50,45,103,0,3,0,4,27,20,55,0,0,0,0,9,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,3,3,45,211,197,455,0,0,0,0,0,0,3,0,0,0,0,5,5,11,0,0,0,0,10,3,14,0,0,0,0,9,3,11,0,0,0,0,5,8,9,0,0,0,0,5,0,3,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,35,19,61,0,0,0,0,5,3,6,0,0,0,0,15,15,31,11,0,0,14,56,46,116,18,0,0,22,75,76,170,9,0,0,9,56,47,109,0,3,0,4,35,21,62,0,0,0,0,12,3,18,0,0,0,0,0,0,0,0,0,0,0
