SOSR_CODE_2021,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
SOSR501,23962,11652,12279,23933,11932,12373,24307,11926,12379,24300,11608,12090,23702,58880,61322,120199,11342,11871,23215,10939,11723,22663,10458,11386,21845,10222,10955,21174,9800,10782,20580,52759,56717,109480,10014,10777,20794,9357,10575,19934,8958,10265,19226,8876,9933,18803,8679,9584,18267,45889,51141,97023,8531,9192,17723,8250,9012,17263,7887,8915,16803,7904,8467,16373,8243,8884,17132,40821,44473,85295,6372,6851,13226,5960,6486,12454,5738,6326,12063,4880,5565,10444,4923,5477,10399,27877,30707,58584,18319,22639,40960,10012,14341,24348,4280,7578,11858,1008,2295,3299,84,343,433,1007026,1036733,2043762
SOSR511,911,480,464,943,449,493,939,445,456,903,462,503,967,2293,2368,4660,474,526,1002,461,488,952,466,480,949,412,540,958,444,421,862,2264,2459,4717,455,441,901,340,457,793,398,396,793,376,402,779,347,378,723,1914,2067,3984,364,417,778,341,398,739,367,365,731,349,352,702,363,374,735,1782,1909,3689,276,319,586,269,273,542,246,273,520,189,226,413,212,220,431,1189,1309,2492,713,913,1628,397,538,934,144,310,454,46,79,123,4,10,9,36962,38239,75196
SOSR512,1467,738,722,1457,777,766,1541,827,828,1658,738,795,1531,3792,3853,7649,823,857,1681,748,787,1539,736,763,1497,685,764,1447,709,709,1420,3697,3885,7585,658,722,1376,638,684,1325,622,654,1276,594,728,1321,605,681,1287,3116,3469,6582,610,625,1237,613,626,1236,556,591,1148,583,551,1134,620,634,1255,2986,3024,6008,424,445,864,423,440,868,404,453,855,348,400,746,384,425,810,1985,2168,4145,1376,1641,3014,758,1085,1840,310,528,840,68,145,213,6,23,29,59351,60792,120142
SOSR513,787,417,343,760,434,346,773,418,348,770,404,350,758,2079,1772,3849,392,316,704,352,322,675,288,276,563,293,261,557,313,263,582,1642,1436,3078,253,238,491,222,242,464,201,204,407,195,153,353,166,177,341,1042,1012,2057,173,174,346,145,128,271,166,151,317,142,157,300,158,153,305,782,760,1542,115,120,230,111,128,233,107,97,201,89,112,197,87,90,176,501,547,1042,318,320,635,143,191,336,50,81,135,11,17,30,0,3,3,34557,33632,68192
SOSR514,320,150,168,316,185,194,380,159,154,315,168,185,358,822,869,1689,204,177,377,166,183,345,155,196,352,148,206,359,176,162,337,849,927,1777,191,194,386,187,188,372,181,162,337,151,152,302,163,161,325,867,855,1728,166,170,336,149,169,315,178,146,333,142,131,272,148,166,317,787,788,1577,124,133,252,112,121,232,106,100,208,72,87,154,77,105,180,484,544,1028,288,307,598,136,207,349,69,103,172,16,30,43,0,3,3,14058,14412,28471
SOSR515,1220,585,591,1174,595,553,1146,612,593,1203,597,602,1199,3002,2942,5947,585,618,1215,534,572,1100,634,621,1257,614,549,1169,565,561,1127,2940,2922,5863,527,577,1105,515,538,1050,539,487,1027,492,504,994,507,515,1024,2583,2616,5205,512,488,998,469,437,909,494,453,942,444,471,910,442,431,867,2350,2281,4629,375,334,707,320,327,647,320,303,618,260,268,530,256,252,505,1530,1485,3010,1018,1061,2072,495,675,1170,223,282,504,33,97,130,3,16,20,46388,46132,92523
SOSR521,533,295,246,539,315,266,582,290,278,566,268,312,585,1445,1373,2813,314,273,591,269,260,531,289,290,582,257,268,530,287,237,521,1416,1332,2749,293,274,572,240,250,491,228,237,460,255,237,498,274,225,500,1294,1228,2523,238,217,448,242,211,451,217,216,430,219,194,416,215,186,401,1125,1014,2143,148,157,298,172,167,336,135,164,302,125,101,224,145,123,276,729,712,1438,449,457,909,216,267,485,83,131,216,18,31,49,0,3,7,19079,18844,37925
SOSR522,269,153,146,303,140,163,302,151,153,306,139,150,289,709,757,1470,188,145,332,150,159,309,156,167,327,163,131,293,180,164,339,837,756,1594,168,132,300,173,117,293,149,123,273,142,166,310,119,120,243,753,662,1416,167,134,298,144,121,267,116,96,212,114,96,211,139,112,245,682,563,1244,100,90,193,83,64,148,87,67,154,79,76,153,83,70,155,432,370,797,264,275,535,120,134,257,36,56,95,12,14,24,0,0,0,10961,10626,21588
SOSR531,2759,1422,1289,2712,1462,1315,2774,1560,1325,2883,1487,1306,2790,7438,6486,13924,1463,1334,2798,1468,1235,2705,1415,1267,2683,1322,1186,2509,1355,1153,2511,7027,6176,13210,1373,1191,2567,1276,1043,2313,1195,991,2189,1185,940,2125,1096,903,2001,6124,5063,11188,1103,856,1961,1004,778,1781,947,711,1662,931,752,1677,943,762,1701,4925,3860,8785,723,586,1316,693,516,1210,583,454,1038,530,412,939,477,387,863,3010,2350,5359,1502,1210,2712,615,537,1160,189,209,395,34,53,90,0,4,5,89366,74281,163652
SOSR579,4,10,0,10,0,0,0,11,0,11,4,0,4,26,0,26,11,0,12,10,0,10,6,3,7,5,0,8,0,0,0,27,3,34,4,0,4,0,0,4,5,0,3,0,0,0,5,0,3,9,3,13,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455,58,514
