SOSR_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
SOSR501,5033,7225,12264,2006,2540,4544,2324,6550,8878,2670,13066,15738,7676,29998,37670,9200,19920,29120,25206,13167,38373,23669,16375,40044,29028,19189,48220,33507,16270,49782,26940,14372,41310,28776,11197,39977,65158,19818,84969,51607,2508,54118,45469,5259,50722,29795,1085,30872,94027,7635,101664,51281,5448,56732,4758,5453,10213,538147,217069,755215
SOSR511,150,220,368,63,81,148,87,247,330,108,572,682,356,1393,1759,447,821,1267,1322,593,1908,1060,670,1734,1235,706,1941,1345,556,1899,1036,479,1510,1185,382,1566,2523,596,3118,1965,54,2023,1634,164,1801,911,31,941,2082,176,2258,2177,141,2313,169,245,415,19856,8126,27979
SOSR512,271,388,656,126,166,290,153,484,633,154,920,1080,532,2239,2772,642,1539,2186,1970,968,2939,1598,1144,2746,1850,1188,3043,2120,868,2991,1567,808,2369,1623,656,2277,3705,1164,4875,2905,107,3011,2439,269,2706,1493,53,1542,3590,331,3921,3233,258,3494,406,512,917,30377,14066,44443
SOSR513,111,150,266,40,62,101,52,152,201,82,328,410,173,530,710,210,350,555,468,246,719,452,319,775,550,445,999,631,434,1065,531,470,1006,664,460,1128,1824,918,2746,1460,94,1554,1627,299,1924,1059,60,1119,3492,442,3933,2087,184,2268,234,218,452,15765,6159,21923
SOSR514,52,94,151,22,40,65,35,113,154,47,228,281,156,623,772,166,326,495,506,215,717,418,237,658,504,304,808,569,201,770,401,150,556,431,113,552,877,214,1090,694,33,726,488,57,551,241,11,258,587,48,634,838,96,939,95,110,201,7150,3231,10381
SOSR515,200,285,489,90,132,219,125,375,501,156,723,876,475,1806,2273,487,1041,1530,1619,601,2219,1197,785,1984,1391,818,2210,1487,632,2117,1053,596,1655,1212,480,1699,2591,911,3502,2044,75,2113,1724,265,1985,991,38,1025,2433,267,2701,2800,177,2972,321,448,767,22399,10452,32849
SOSR521,97,149,243,73,59,126,76,208,290,79,347,433,212,894,1107,247,427,680,789,283,1070,598,394,988,593,333,926,634,285,924,430,257,683,482,218,701,1022,319,1342,704,31,734,582,67,653,317,9,330,711,95,809,1125,54,1178,184,251,440,8983,4677,13658
SOSR522,40,71,110,26,31,64,46,139,190,62,209,275,167,550,724,165,226,388,472,153,628,383,189,574,373,219,595,392,189,585,217,136,356,268,91,364,515,200,710,317,4,324,248,40,290,138,5,145,316,46,362,559,37,595,160,127,285,4880,2659,7539
SOSR531,515,493,1013,252,181,434,232,439,668,214,747,967,829,1705,2537,653,1008,1661,2126,749,2877,1875,1019,2893,2323,1071,3391,2571,741,3317,1809,657,2468,2052,497,2549,4249,775,5022,3432,54,3486,2812,187,3000,1897,32,1928,5425,320,5748,5472,199,5666,659,466,1129,39395,11339,50741
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOSR599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
