SOSR_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
SOSR501,18672,17173,35838,62096,58310,120412,14183,14097,28273,11790,11658,23452,88207,84225,172436,40209,37362,77573,14793,14574,29367,15414,15118,30535,70500,67148,137652,4769,4474,9247,3880,6507,10382,5942,3479,9419,6813,11730,18544,92,89,181,21494,26286,47776,22077,28276,50358,8885,11691,20578,3674,4604,8280,8700,14243,22936,103,126,223,43437,58933,102367,65054,85345,150395,3100,3369,6473,5204,8065,13265,100,92,196,8407,11530,19938,55039,45146,100184,305871,310569,616442
SOSR511,707,639,1346,2442,2215,4660,511,522,1024,468,395,862,3421,3132,6551,1797,1835,3627,546,558,1104,417,430,847,2750,2823,5573,141,143,283,81,199,279,308,179,487,219,469,688,5,3,7,756,990,1741,95,251,352,82,219,303,35,83,115,177,415,595,0,4,4,388,977,1366,1145,1970,3111,77,84,158,169,241,408,4,0,4,241,325,567,2743,1877,4621,11011,10765,21773
SOSR512,1048,1017,2066,3323,3019,6342,933,955,1883,696,763,1461,4967,4743,9709,2429,2300,4728,945,1056,1998,666,723,1393,4051,4084,8135,210,213,418,113,241,356,501,308,806,451,902,1353,10,6,11,1282,1660,2944,157,278,432,149,292,442,47,122,168,272,740,1012,3,3,8,633,1435,2066,1921,3102,5026,121,114,237,262,400,663,6,9,18,397,525,918,5314,4274,9583,17696,17741,35433
SOSR513,647,644,1287,2758,2725,5486,487,421,908,219,220,439,3468,3379,6849,1709,1621,3331,326,337,664,180,178,359,2217,2140,4361,96,90,182,71,99,169,208,160,369,284,570,857,7,6,12,669,926,1592,69,156,219,57,190,249,29,54,85,206,443,651,3,4,4,366,851,1208,1027,1780,2807,67,73,138,131,226,352,0,0,0,197,299,494,4693,3989,8686,12256,12225,24479
SOSR514,228,252,474,888,796,1681,337,309,647,89,111,198,1319,1215,2532,688,604,1289,189,201,394,77,111,186,952,916,1870,30,26,58,15,55,72,96,58,155,99,199,293,3,0,3,242,346,584,31,51,79,22,73,93,11,22,33,41,145,190,0,4,4,106,289,397,349,634,982,23,35,58,43,104,148,0,0,0,73,135,208,1300,1116,2416,4220,4261,8484
SOSR515,786,732,1521,3064,2785,5848,642,612,1255,312,326,643,4023,3730,7753,2217,1960,4175,360,379,740,251,298,548,2820,2645,5462,122,99,220,67,149,207,269,202,475,260,609,869,9,3,10,726,1052,1778,64,158,215,56,171,232,35,91,121,176,460,629,0,0,0,328,879,1200,1055,1930,2985,68,84,150,122,247,373,0,5,5,193,332,532,5354,4783,10138,14237,14155,28398
SOSR521,288,242,533,1193,1074,2267,185,186,372,122,120,247,1496,1382,2878,748,723,1472,107,116,221,126,149,271,980,990,1971,35,47,80,11,42,55,83,51,137,87,189,282,3,6,5,228,335,558,29,62,92,30,56,88,7,13,25,52,173,225,0,0,0,115,314,423,344,642,983,40,44,81,48,75,124,8,3,15,91,122,218,2312,2069,4383,5517,5449,10964
SOSR522,157,163,318,702,683,1381,155,136,285,71,82,156,925,896,1823,382,401,783,74,81,154,61,78,133,511,560,1068,23,36,58,8,19,23,48,24,76,40,85,123,0,0,0,119,159,284,10,25,38,13,24,44,7,10,19,23,71,89,0,0,0,53,135,191,176,297,476,11,11,20,9,39,54,0,0,3,23,57,78,1279,1121,2403,3072,3090,6161
SOSR531,1033,999,2029,4128,3678,7802,1025,1002,2026,1028,916,1943,6187,5598,11780,2742,2565,5305,882,901,1789,1275,1267,2543,4897,4738,9640,224,186,414,72,162,235,549,253,794,305,762,1066,6,9,16,1159,1361,2522,402,658,1067,109,297,405,90,170,268,261,722,978,5,0,4,864,1850,2714,2023,3219,5244,136,138,275,202,369,570,6,4,6,342,509,851,14257,6812,21075,28735,21876,50614
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,9,0,8,13,0,17,0,0,0,0,0,3,0,0,0,0,0,3,193,20,219,209,28,237
