SOSR_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOSR501,..,7315,9178,2456,2057,2295,1577,600,126,25603,..,3875,11707,9247,10433,18079,22926,18514,9799,104574,2070,3094,2560,1441,1324,1633,1488,786,371,14766,181747,113910,141124,143376,127025,111189,89026,48195,17495,973097,..,3346,89034,168678,151899,130741,105465,51620,10796,711576,..,17134,67021,37366,24941,16235,7385,2116,325,172522,..,1739,10520,20563,24385,14112,6192,3659,2427,83585,369346,..,..,..,..,..,..,..,..,369346,..,101843,..,..,..,..,..,..,..,101843,..,61135,33736,9980,6151,3251,694,20,0,114965,..,11421,8929,3201,3208,5615,5954,3547,2066,43942,..,5833,7447,2677,1628,1100,519,176,36,19422,..,15346,23036,7025,5215,5080,3445,1286,269,60708,..,7523,25665,23221,24262,33371,36440,26329,13243,190055,4186,5664,5332,3467,2833,2829,2448,1266,514,28538,373528,230983,270709,276180,244522,212331,168542,90020,29679,1896506
SOSR511,..,180,206,69,89,105,83,37,5,777,..,134,279,253,470,817,945,773,399,4069,96,143,103,59,69,102,90,40,17,716,6911,3962,4437,4798,4764,4372,3561,1966,662,35433,..,143,2772,5080,5148,4956,4178,2122,401,24801,..,972,2323,1263,992,777,346,92,9,6764,..,122,577,1059,976,372,194,127,84,3520,14121,..,..,..,..,..,..,..,..,14121,..,2833,..,..,..,..,..,..,..,2833,..,2380,747,312,188,112,31,0,0,3760,..,315,222,91,101,178,167,99,52,1223,..,249,214,109,68,39,18,7,3,708,..,365,478,190,209,222,166,55,7,1691,..,305,758,718,1028,1446,1467,1082,536,7337,227,265,218,154,135,181,164,68,28,1446,14342,7926,8320,8976,8847,8282,6731,3650,1125,68198
SOSR512,..,294,284,103,125,187,93,33,4,1132,..,297,521,385,819,1330,1567,1300,729,6952,191,219,160,120,159,236,197,97,32,1417,10530,5938,6560,7034,7419,6961,5685,3323,1192,54635,..,214,3995,7036,7545,7435,6429,3436,770,36859,..,1664,3657,2320,1899,1365,604,169,34,11705,..,181,811,1439,1427,703,307,218,119,5207,21169,..,..,..,..,..,..,..,..,21169,..,3815,..,..,..,..,..,..,..,3815,..,3593,1208,458,347,185,40,4,0,5838,..,649,336,175,206,317,322,186,92,2271,..,385,307,133,105,75,31,15,0,1045,..,646,755,302,303,375,191,79,15,2673,..,591,1271,1126,1753,2554,2622,1881,987,12771,373,420,377,278,322,413,374,171,56,2790,21546,12154,12703,13266,13905,13415,10918,6159,2069,106133
SOSR513,..,130,267,99,85,77,36,7,0,711,..,172,402,249,356,478,390,285,99,2435,142,148,171,96,96,91,63,17,8,827,7062,2958,5043,4846,3652,2717,1515,700,182,28681,..,91,2878,5046,3880,2959,1649,668,97,17272,..,838,3112,2048,1257,698,186,39,0,8192,..,102,478,757,615,294,135,69,32,2475,14198,..,..,..,..,..,..,..,..,14198,..,1866,..,..,..,..,..,..,..,1866,..,1673,516,190,105,45,8,0,0,2533,..,411,212,114,133,186,135,73,29,1300,..,200,253,83,75,51,8,0,0,670,..,274,571,239,224,189,96,21,5,1626,..,359,949,762,936,1076,716,453,146,5396,286,289,317,194,189,191,109,35,10,1614,14480,6101,9279,9443,7416,5692,3042,1359,324,57139
SOSR514,..,73,102,33,39,53,23,10,0,328,..,32,83,105,207,326,392,274,147,1566,61,65,58,47,35,46,35,19,13,371,2571,1128,1471,1916,1766,1588,1423,724,244,12835,..,34,746,1771,1668,1626,1692,812,126,8480,..,252,870,674,486,304,158,34,0,2779,..,15,164,367,415,157,75,45,37,1280,5169,..,..,..,..,..,..,..,..,5169,..,872,..,..,..,..,..,..,..,872,..,716,266,100,65,40,11,0,0,1205,..,112,57,29,27,65,58,38,19,407,..,79,110,52,28,23,9,0,0,294,..,152,281,94,106,100,48,21,3,819,..,81,192,275,415,596,697,398,202,2859,124,125,104,101,78,87,69,28,16,735,5292,2444,2790,3472,3280,2996,2822,1384,410,24899
SOSR515,..,155,252,66,94,131,90,25,8,831,..,196,388,304,524,914,1082,857,451,4723,156,173,174,106,122,194,148,70,24,1168,8020,3891,5238,5291,5085,5122,4252,2191,749,39840,..,180,3080,5173,5098,5407,4793,2368,468,26559,..,1107,3090,1993,1548,1188,565,155,24,9666,..,128,626,957,952,457,244,136,88,3586,16318,..,..,..,..,..,..,..,..,16318,..,2431,..,..,..,..,..,..,..,2431,..,2397,758,338,260,122,22,4,0,3897,..,456,237,132,167,265,223,122,58,1673,..,240,217,88,64,53,34,7,0,709,..,311,555,209,233,299,205,63,13,1896,..,428,969,829,1390,1923,2051,1349,638,9579,307,338,338,257,289,345,284,118,38,2320,16621,8008,9876,9969,9998,10052,8432,4325,1332,78621
SOSR521,..,35,82,16,63,65,41,24,4,322,..,76,152,119,242,457,462,384,163,2064,60,74,59,50,57,73,69,22,10,470,2995,1558,1902,2009,2127,2318,1926,989,288,16116,..,98,1036,1756,1904,2285,2206,1007,198,10488,..,407,1025,672,644,597,274,75,3,3708,..,62,281,438,407,213,136,99,27,1665,6113,..,..,..,..,..,..,..,..,6113,..,860,..,..,..,..,..,..,..,860,..,998,370,196,152,66,4,0,0,1793,..,284,147,89,113,144,127,55,29,991,..,63,65,40,30,38,21,3,0,259,..,86,149,76,109,153,104,41,8,721,..,176,336,323,615,1004,981,651,248,4333,144,143,124,108,125,142,128,45,15,974,6256,3172,3532,3707,4104,4646,3978,1978,528,31899
SOSR522,..,18,28,14,25,43,31,10,3,164,..,57,84,74,108,240,243,179,69,1063,46,50,42,30,37,54,51,29,4,336,1860,1044,1126,1096,1091,1305,1057,547,145,9282,..,117,617,911,978,1219,1201,604,118,5764,..,278,636,449,362,279,133,49,10,2192,..,64,194,234,214,156,70,39,21,981,3678,..,..,..,..,..,..,..,..,3678,..,428,..,..,..,..,..,..,..,428,..,643,232,115,79,26,6,0,0,1104,..,267,123,89,84,106,77,35,15,794,..,29,30,5,14,11,3,0,0,98,..,33,63,34,57,88,60,20,8,363,..,101,198,202,344,582,593,340,113,2479,93,103,90,60,83,104,94,40,9,665,3773,2071,2187,2091,2208,2566,2245,1133,292,18558
SOSR531,..,108,153,76,136,191,146,52,0,869,..,163,265,216,481,956,984,663,221,3948,202,276,212,139,193,311,235,96,34,1705,11480,5906,5770,8001,10132,10909,7738,3160,734,63828,..,193,3858,9333,12746,14609,11515,4491,616,57375,..,846,2864,2570,2911,2496,1125,260,22,13092,..,83,410,850,1021,620,350,253,146,3734,23525,..,..,..,..,..,..,..,..,23525,..,4871,..,..,..,..,..,..,..,4871,..,4602,1798,699,478,235,39,0,0,7852,..,548,239,150,207,382,494,369,235,2626,..,335,341,151,171,154,108,41,7,1327,..,219,391,215,300,426,353,126,8,2044,..,427,771,777,1539,2580,2554,1351,378,10373,408,576,452,363,455,604,525,197,65,3648,23936,12706,11120,15113,19836,22119,17057,7090,1481,130471
SOSR579,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3
