SOSR_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
SOSR501,1007026,1036733,2043762,64683,61163,125841,134500,127538,262039,60648,57892,118535,64814,63540,128352,144955,150941,295897,147237,150691,297929,130284,133403,263686,111637,118041,229678,86701,95610,182320,46197,53346,99540,15377,24562,39936,947764,998062,1945823,59268,38672,97941,18808,19070,37880,491,419,901,494,486,983,19792,19978,39768,598604,609524,1208128,357846,385306,743151,744077,760255,1504326,207247,230519,437765,833478,861960,1695439,18722,17424,36147,127480,120851,248336,46627,46806,93436,25220,28104,53322,32435,51854,84291,475352,520467,995822,74886,73449,148333,149056,148119,297176,32836,31777,64616,19211,23092,42305,5444,6891,12339,924591,973560,1898148,50953,51178,102130
SOSR511,36962,38239,75196,2348,2183,4533,5413,5027,10441,2312,2329,4649,1951,1888,3838,4567,4762,9322,4882,5039,9920,4750,5044,9801,4551,4828,9377,3690,3978,7670,1901,2221,4119,584,942,1523,33871,36166,70040,3087,2070,5157,1273,1331,2605,16,14,25,30,35,64,1314,1376,2691,27682,28540,56218,7161,7933,15098,31386,33008,64393,2890,3437,6335,31722,33506,65230,673,583,1257,5080,4741,9821,1567,1639,3210,305,444,750,635,1476,2107,11686,14441,26127,3632,3840,7471,8915,8368,17277,1820,1603,3414,878,902,1773,117,89,207,32727,35408,68136,2696,2007,4704
SOSR512,59351,60792,120142,3616,3478,7088,8281,7913,16200,3694,3487,7185,3238,3044,6283,7417,7268,14681,7407,7697,15102,7607,8081,15690,7498,7735,15229,6098,6500,12592,3357,3805,7165,1143,1776,2918,54389,57125,111513,4971,3668,8630,3682,3610,7292,45,45,92,75,53,129,3802,3710,7514,43785,44616,88392,10878,12092,22971,49308,51242,100551,4745,5222,9968,49627,51871,101495,916,889,1806,7503,7185,14686,2326,2326,4652,466,576,1040,1149,2474,3619,18721,22735,41455,5782,5999,11778,13612,12306,25920,2851,2508,5365,1777,1575,3356,282,245,533,51457,54550,106006,7492,6155,13651
SOSR513,34557,33632,68192,2837,2603,5432,5568,5414,10982,2021,1813,3837,1796,1686,3483,5376,6031,11408,5664,5635,11301,4739,4315,9050,3721,3205,6923,1823,1774,3599,814,860,1677,207,300,503,31984,31529,63515,2574,2101,4678,3817,4003,7818,149,119,268,238,236,473,4197,4365,8566,23081,22227,45309,6897,7477,14375,26302,25657,51958,3432,3862,7292,26872,26282,53150,677,647,1320,4779,4665,9446,1153,1123,2280,233,297,535,705,1491,2192,11046,13290,24334,3232,2800,6032,6041,4636,10672,1241,964,2197,552,503,1051,110,98,211,28843,29080,57930,12522,8511,21033
SOSR514,14058,14412,28471,898,821,1715,2074,1995,4067,876,744,1625,616,533,1148,1583,1637,3227,1850,2123,3973,1829,1933,3760,1670,1797,3470,1657,1645,3298,777,849,1624,226,346,567,12595,13368,25968,1463,1043,2507,545,537,1081,5,7,16,9,11,11,560,550,1111,10336,10571,20908,2440,2739,5175,11933,12329,24263,874,999,1875,11910,12385,24295,190,218,406,1875,1781,3656,570,494,1060,72,101,172,210,550,759,4596,5611,10209,1393,1339,2733,2839,2746,5589,662,547,1209,390,302,697,37,21,59,11990,12718,24709,1572,1513,3090
SOSR515,46388,46132,92523,3111,2881,5989,6642,6142,12788,2657,2441,5095,2289,2191,4481,5755,6169,11923,5755,6095,11851,5998,5835,11838,5946,5868,11810,4934,4901,9832,2547,2538,5083,755,1077,1831,42408,43074,85480,3976,3062,7042,3857,4067,7927,88,82,173,69,82,152,4018,4238,8252,33002,32500,65508,7859,8765,16625,37275,37350,74624,3653,3941,7598,37950,37977,75926,690,638,1328,5748,5303,11051,1534,1511,3043,267,321,592,637,1596,2233,13084,16055,29141,4431,4412,8841,10188,9007,19189,2446,1885,4322,1436,1213,2649,251,216,466,38800,39826,78626,11443,9242,20685
SOSR521,19079,18844,37925,1203,1112,2319,2504,2302,4806,977,953,1926,897,847,1740,2075,2271,4346,2137,2332,4477,2513,2473,4984,2859,2706,5562,2418,2245,4668,1177,1169,2347,320,436,754,17427,17601,35032,1651,1245,2894,2541,2762,5297,10,14,26,20,29,43,2572,2802,5368,13816,13502,27316,2895,3218,6117,15334,15035,30363,1512,1817,3333,15829,15657,31489,246,228,476,2163,1975,4131,511,543,1052,74,98,175,206,536,741,4970,6036,11003,1644,1765,3416,4699,4120,8817,1052,919,1972,805,623,1431,70,75,143,15759,16091,31852,5639,3959,9604
SOSR522,10961,10626,21588,685,633,1316,1432,1433,2865,632,577,1206,557,612,1168,1263,1292,2556,1202,1218,2419,1348,1262,2606,1543,1517,3061,1432,1225,2656,688,648,1336,176,201,375,9931,9837,19760,1034,788,1826,2680,2821,5497,14,11,22,12,25,37,2702,2856,5560,8402,8105,16506,1360,1439,2797,8008,7673,15679,1736,1903,3637,9270,9025,18298,133,144,279,1234,1237,2473,278,282,556,44,66,109,98,238,335,2734,3196,5936,1006,1094,2099,2723,2340,5054,658,509,1169,525,359,881,66,78,148,9230,9241,18468,3284,2514,5800
SOSR531,89366,74281,163652,3737,3484,7220,10087,9280,19368,4741,4187,8927,4644,3081,7726,10059,7309,17368,11495,9310,20805,13733,11683,25420,14468,12660,27127,11045,8919,19970,4509,3563,8074,841,805,1649,81729,69070,150795,7637,5214,12854,4765,3365,8134,58,25,84,109,40,143,4933,3431,8358,62603,52983,115588,15424,14330,29754,69826,62474,132299,5515,5178,10693,70755,63344,134102,887,866,1756,9060,8333,17391,2954,2866,5811,672,722,1392,901,2265,3170,29094,30817,59912,7759,6852,14609,20801,13663,34466,4006,2574,6582,2292,1334,3625,432,179,607,66460,63980,130438,51043,20059,71105
SOSR579,455,58,514,0,0,0,0,0,0,7,3,6,25,11,31,99,14,116,157,11,170,103,9,109,55,3,62,14,4,18,0,0,0,0,0,0,455,57,511,3,0,5,7,3,9,0,0,0,0,0,0,7,3,9,131,24,151,132,14,148,206,29,232,60,4,66,189,29,216,0,0,0,0,0,0,0,0,0,0,0,0,15,0,17,143,30,174,38,0,38,59,6,61,13,0,16,0,0,0,3,0,3,10,4,15,2846,390,3234
