SOSR_CODE_2021,A25_34_UOLSE_T_11_15,A25_34_UOLSE_T_16,A25_34_UOLSE_T_17,A25_34_UOLSE_T_18,A25_34_UOLSE_T_19,A25_34_UOLSE_T_20,A25_34_UOLSE_T_21,A25_34_UOLSE_T_YNS,A25_34_UOLSE_T_T,A25_34_L_PinE_NS_B_05,A25_34_L_PinE_NS_05_10,A25_34_L_PinE_NS_11_15,A25_34_L_PinE_NS_16,A25_34_L_PinE_NS_17,A25_34_L_PinE_NS_18,A25_34_L_PinE_NS_19,A25_34_L_PinE_NS_20,A25_34_L_PinE_NS_21,A25_34_L_PinE_NS_YNS,A25_34_L_PinE_NS_T,A25_34_T_B_05,A25_34_T_05_10,A25_34_T_11_15,A25_34_T_16,A25_34_T_17,A25_34_T_18,A25_34_T_19,A25_34_T_20,A25_34_T_21,A25_34_T_YNS,A25_34_T_T,A35_44_SEO_B_05,A35_44_SEO_05_10,A35_44_SEO_11_15,A35_44_SEO_16,A35_44_SEO_17,A35_44_SEO_18,A35_44_SEO_19,A35_44_SEO_20,A35_44_SEO_21,A35_44_SEO_YNS,A35_44_SEO_T,A35_44_UOLSE_VWW_B_05,A35_44_UOLSE_VWW_05_10,A35_44_UOLSE_VWW_11_15,A35_44_UOLSE_VWW_16,A35_44_UOLSE_VWW_17,A35_44_UOLSE_VWW_18,A35_44_UOLSE_VWW_19,A35_44_UOLSE_VWW_20,A35_44_UOLSE_VWW_21,A35_44_UOLSE_VWW_YNS,A35_44_UOLSE_VWW_T,A35_44_UOLSE_NWNAA_B_05,A35_44_UOLSE_NWNAA_05_10,A35_44_UOLSE_NWNAA_11_15,A35_44_UOLSE_NWNAA_16,A35_44_UOLSE_NWNAA_17,A35_44_UOLSE_NWNAA_18,A35_44_UOLSE_NWNAA_19,A35_44_UOLSE_NWNAA_20,A35_44_UOLSE_NWNAA_21,A35_44_UOLSE_NWNAA_YNS,A35_44_UOLSE_NWNAA_T,A35_44_UOLSE_PinE_NS_B_05,A35_44_UOLSE_PinE_NS_05_10,A35_44_UOLSE_PinE_NS_11_15,A35_44_UOLSE_PinE_NS_16,A35_44_UOLSE_PinE_NS_17,A35_44_UOLSE_PinE_NS_18,A35_44_UOLSE_PinE_NS_19,A35_44_UOLSE_PinE_NS_20,A35_44_UOLSE_PinE_NS_21,A35_44_UOLSE_PinE_NS_YNS,A35_44_UOLSE_PinE_NS_T,A35_44_UOLSE_T_B_05,A35_44_UOLSE_T_05_10,A35_44_UOLSE_T_11_15,A35_44_UOLSE_T_16,A35_44_UOLSE_T_17,A35_44_UOLSE_T_18,A35_44_UOLSE_T_19,A35_44_UOLSE_T_20,A35_44_UOLSE_T_21,A35_44_UOLSE_T_YNS,A35_44_UOLSE_T_T,A35_44_L_PinE_NS_B_05,A35_44_L_PinE_NS_05_10,A35_44_L_PinE_NS_11_15,A35_44_L_PinE_NS_16,A35_44_L_PinE_NS_17,A35_44_L_PinE_NS_18,A35_44_L_PinE_NS_19,A35_44_L_PinE_NS_20,A35_44_L_PinE_NS_21,A35_44_L_PinE_NS_YNS,A35_44_L_PinE_NS_T,A35_44_T_B_05,A35_44_T_05_10,A35_44_T_11_15,A35_44_T_16,A35_44_T_17,A35_44_T_18,A35_44_T_19,A35_44_T_20,A35_44_T_21,A35_44_T_YNS,A35_44_T_T,A45_54_SEO_B_05,A45_54_SEO_05_10,A45_54_SEO_11_15,A45_54_SEO_16,A45_54_SEO_17,A45_54_SEO_18,A45_54_SEO_19,A45_54_SEO_20,A45_54_SEO_21,A45_54_SEO_YNS,A45_54_SEO_T,A45_54_UOLSE_VWW_B_05,A45_54_UOLSE_VWW_05_10,A45_54_UOLSE_VWW_11_15,A45_54_UOLSE_VWW_16,A45_54_UOLSE_VWW_17,A45_54_UOLSE_VWW_18,A45_54_UOLSE_VWW_19,A45_54_UOLSE_VWW_20,A45_54_UOLSE_VWW_21,A45_54_UOLSE_VWW_YNS,A45_54_UOLSE_VWW_T,A45_54_UOLSE_NWNAA_B_05,A45_54_UOLSE_NWNAA_05_10,A45_54_UOLSE_NWNAA_11_15,A45_54_UOLSE_NWNAA_16,A45_54_UOLSE_NWNAA_17,A45_54_UOLSE_NWNAA_18,A45_54_UOLSE_NWNAA_19,A45_54_UOLSE_NWNAA_20,A45_54_UOLSE_NWNAA_21,A45_54_UOLSE_NWNAA_YNS,A45_54_UOLSE_NWNAA_T,A45_54_UOLSE_PinE_NS_B_05,A45_54_UOLSE_PinE_NS_05_10,A45_54_UOLSE_PinE_NS_11_15,A45_54_UOLSE_PinE_NS_16,A45_54_UOLSE_PinE_NS_17,A45_54_UOLSE_PinE_NS_18,A45_54_UOLSE_PinE_NS_19,A45_54_UOLSE_PinE_NS_20,A45_54_UOLSE_PinE_NS_21,A45_54_UOLSE_PinE_NS_YNS,A45_54_UOLSE_PinE_NS_T,A45_54_UOLSE_T_B_05,A45_54_UOLSE_T_05_10,A45_54_UOLSE_T_11_15,A45_54_UOLSE_T_16,A45_54_UOLSE_T_17,A45_54_UOLSE_T_18,A45_54_UOLSE_T_19,A45_54_UOLSE_T_20,A45_54_UOLSE_T_21,A45_54_UOLSE_T_YNS,A45_54_UOLSE_T_T,A45_54_L_PinE_NS_B_05,A45_54_L_PinE_NS_05_10,A45_54_L_PinE_NS_11_15,A45_54_L_PinE_NS_16,A45_54_L_PinE_NS_17,A45_54_L_PinE_NS_18,A45_54_L_PinE_NS_19,A45_54_L_PinE_NS_20,A45_54_L_PinE_NS_21,A45_54_L_PinE_NS_YNS,A45_54_L_PinE_NS_T,A45_54_T_B_05,A45_54_T_05_10,A45_54_T_11_15,A45_54_T_16,A45_54_T_17,A45_54_T_18,A45_54_T_19,A45_54_T_20,A45_54_T_21,A45_54_T_YNS,A45_54_T_T,A55_64_SEO_B_05,A55_64_SEO_05_10,A55_64_SEO_11_15,A55_64_SEO_16,A55_64_SEO_17,A55_64_SEO_18,A55_64_SEO_19,A55_64_SEO_20,A55_64_SEO_21,A55_64_SEO_YNS,A55_64_SEO_T,A55_64_UOLSE_VWW_B_05,A55_64_UOLSE_VWW_05_10,A55_64_UOLSE_VWW_11_15,A55_64_UOLSE_VWW_16
SOSR501,19898,5287,4963,6173,7393,2479,492,1033,69393,10,20,25,6,9,13,18,8,0,282,388,22635,24825,31567,6905,6502,7871,9477,3434,874,2194,116289,25774,14125,12388,1076,854,813,792,426,213,799,57259,16947,26700,20988,2738,2350,2322,2410,990,289,667,76398,641,2052,1905,389,377,370,425,179,58,153,6546,24,42,35,7,3,3,7,0,0,20,150,17608,28788,22930,3135,2729,2694,2840,1172,349,840,83098,25,34,22,7,3,0,3,3,0,193,296,43410,42947,35337,4214,3590,3510,3639,1596,564,1831,140646,41185,14505,7710,552,447,392,391,238,119,909,66446,18045,14619,8081,820,620,521,547,315,101,439,44108,2021,2325,1302,255,214,227,286,155,29,178,6995,35,25,13,4,0,0,6,4,0,13,111,20100,16975,9393,1077,834,746,842,477,130,632,51219,40,18,9,4,0,0,0,3,0,129,196,61329,31499,17119,1633,1283,1135,1234,716,248,1673,117860,61496,8002,2937,229,169,163,253,166,83,974,74467,18788,4846,1749,174
SOSR511,285,81,89,122,121,41,19,4,950,0,0,0,0,0,0,0,0,0,21,18,299,385,502,109,117,158,158,52,25,48,1854,503,350,230,17,10,15,15,11,3,28,1174,124,428,453,49,50,38,48,26,10,15,1239,4,16,23,4,7,7,8,3,0,0,59,0,0,4,0,0,0,0,0,0,0,6,132,441,475,53,57,48,52,25,10,15,1310,0,0,0,0,0,0,0,0,0,18,23,633,787,708,76,74,64,68,33,15,59,2510,1045,376,197,5,14,14,16,5,5,29,1702,162,318,183,12,26,0,22,6,5,5,737,8,18,14,0,0,0,3,0,0,0,49,0,5,0,0,0,0,0,0,0,0,0,167,339,192,10,27,4,21,6,5,5,788,0,0,0,0,0,0,0,0,0,21,21,1212,722,393,21,35,20,37,9,7,60,2511,1757,250,86,6,9,3,6,11,0,32,2159,207,113,31,5
SOSR512,509,108,102,150,207,83,37,15,1534,0,0,0,0,0,0,0,0,0,37,38,466,558,827,157,159,229,288,110,55,77,2938,712,497,392,37,29,26,35,22,10,41,1800,200,640,540,72,88,87,85,39,27,21,1796,12,23,36,9,3,10,5,8,3,6,110,0,0,0,0,0,0,0,0,0,0,6,210,669,581,79,95,94,85,53,36,20,1915,0,6,0,0,0,0,0,0,0,34,36,922,1161,972,116,117,119,120,76,43,100,3750,1496,424,230,11,19,11,12,10,3,42,2262,289,544,287,21,30,26,18,8,5,4,1231,20,33,30,7,0,3,0,3,4,3,109,0,0,0,0,0,0,0,0,0,0,6,300,581,320,26,35,29,21,14,9,7,1342,0,0,0,0,0,0,0,0,0,19,22,1797,1000,549,39,55,40,41,16,10,69,3616,2545,321,146,8,5,7,12,13,3,52,3118,281,160,86,5
SOSR513,346,118,80,129,212,84,26,34,1296,0,0,0,0,0,0,0,0,0,3,5,461,556,736,172,117,180,302,115,35,71,2735,662,546,440,30,26,20,25,22,0,44,1817,149,456,448,64,57,43,69,22,11,17,1341,4,12,10,3,3,7,7,0,0,0,48,0,4,0,0,0,0,0,0,0,0,6,159,470,458,66,63,49,74,24,7,18,1394,0,0,0,0,0,0,0,0,0,3,8,821,1014,899,98,92,72,97,45,15,69,3211,874,452,230,16,10,10,16,3,9,44,1669,201,314,183,17,10,12,21,8,7,10,786,3,18,9,6,0,3,7,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,204,333,191,21,10,16,24,12,7,12,833,0,0,0,0,0,0,0,0,0,4,6,1083,785,423,35,22,27,40,15,9,60,2504,1267,240,102,6,4,13,0,4,4,37,1684,194,127,54,6
SOSR514,105,24,35,45,70,24,5,24,382,0,0,0,0,0,0,0,0,0,0,5,98,87,210,55,48,71,110,32,7,38,758,258,152,108,8,4,5,0,4,0,9,547,42,123,125,17,12,6,3,0,0,4,334,0,10,3,0,0,0,0,0,0,11,23,0,0,0,0,0,0,0,0,0,0,0,42,130,128,19,12,8,3,0,0,14,363,0,0,0,0,0,0,0,0,0,0,0,295,283,238,21,16,8,8,5,0,25,903,410,97,58,4,5,3,4,3,0,14,598,55,54,34,3,0,0,5,0,0,0,157,0,6,3,0,0,0,0,0,0,9,18,0,0,0,0,0,0,0,0,0,0,0,55,62,37,4,0,0,5,0,0,14,176,0,0,0,0,0,0,0,0,0,0,0,464,157,90,9,5,3,7,8,0,28,770,643,45,25,5,0,4,0,4,0,17,738,51,20,8,0
SOSR515,268,96,93,143,235,86,59,32,1246,0,0,0,0,0,0,0,0,0,11,19,389,459,543,147,133,194,305,110,75,79,2430,577,365,264,21,25,21,20,13,8,39,1348,122,296,318,69,37,50,49,27,24,34,1027,5,27,25,5,8,10,8,5,3,6,103,0,0,0,0,0,0,0,0,0,3,5,122,328,342,76,40,60,56,30,33,46,1141,0,0,0,0,0,0,0,0,0,0,7,697,696,610,98,71,86,82,47,37,90,2501,1282,262,148,5,6,10,11,6,0,51,1783,174,239,147,18,10,16,11,10,5,16,653,9,39,33,7,0,3,0,6,0,6,106,0,5,0,0,0,0,0,0,0,0,3,186,281,179,23,15,19,21,10,4,18,761,3,0,0,0,0,0,0,0,0,5,6,1474,545,332,31,15,33,31,15,6,79,2558,2077,188,67,9,10,4,10,7,3,90,2468,220,105,25,5
SOSR521,94,25,14,57,69,31,30,10,398,0,0,0,0,0,0,0,0,0,0,0,138,108,193,55,31,77,97,42,30,19,790,200,131,103,6,12,7,3,9,0,11,490,32,90,122,17,19,20,19,12,8,4,351,0,0,3,0,0,4,0,4,0,0,13,0,0,0,0,0,0,0,0,0,0,5,37,91,123,17,18,23,22,14,9,11,368,0,0,0,0,0,0,0,0,0,0,0,237,222,229,22,31,32,29,27,10,22,855,539,120,51,3,0,5,3,0,0,36,762,48,66,61,9,11,11,5,0,3,0,213,0,3,8,0,0,0,0,0,3,0,19,0,3,0,0,0,0,0,0,0,0,3,51,74,65,9,11,10,11,0,8,3,236,0,0,0,0,0,0,0,0,0,0,0,591,191,112,12,14,15,12,3,7,38,998,933,59,36,3,0,0,4,0,0,42,1086,69,34,9,0
SOSR522,39,13,10,25,32,10,0,0,135,0,0,0,0,0,0,0,0,0,0,3,57,51,92,28,11,28,52,13,7,12,348,77,48,38,7,0,0,0,0,0,7,182,16,26,39,8,0,0,7,0,0,0,99,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,14,26,38,12,0,0,3,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,91,70,75,14,7,4,6,3,3,3,289,226,51,27,4,0,0,0,0,0,12,319,13,18,10,6,4,6,0,0,0,0,53,3,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,15,17,17,6,4,6,0,0,0,3,65,0,0,0,0,0,0,0,0,0,0,0,239,69,42,10,0,6,6,0,0,12,380,452,31,6,0,0,0,3,0,0,27,528,36,8,11,0
SOSR531,278,55,87,149,284,81,51,55,1266,0,0,0,0,0,0,5,3,0,232,240,593,472,649,117,135,243,415,115,70,355,3157,1176,607,369,33,26,18,29,15,6,72,2349,228,361,317,31,37,32,61,29,22,25,1154,10,11,16,0,4,6,7,4,9,5,72,0,0,0,0,0,0,0,0,0,0,12,239,376,339,37,42,42,73,30,27,31,1236,3,0,0,0,0,0,0,0,0,229,236,1419,986,709,63,66,58,105,49,31,334,3821,3003,686,245,12,15,22,24,7,5,130,4156,342,317,153,14,13,15,14,7,10,22,902,47,10,14,3,8,10,5,0,0,5,100,4,0,4,0,0,0,0,0,0,0,11,391,330,165,18,16,24,19,7,11,25,1014,17,4,0,0,0,0,0,0,0,142,164,3415,1022,413,34,34,48,44,15,9,297,5323,5407,454,138,13,5,11,14,8,7,201,6266,471,135,40,9
SOSR579,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,6,4,0,0,25,4,11,10,0,0,0,0,0,0,0,23,3,0,4,0,0,0,0,0,0,6,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,6,27,0,0,0,0,0,0,0,0,0,0,3,13,12,8,0,0,3,0,4,0,6,51,7,3,4,0,0,0,0,0,0,0,14,3,8,0,0,0,3,0,0,0,7,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,7,15,0,0,0,0,0,0,0,0,0,0,0,9,8,4,0,0,3,0,0,0,8,36,12,0,0,0,0,0,0,0,0,0,13,3,0,0,0
