SOSR_CODE_2021,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
SOSR501,38,14,8,34,0,47,3,22,19,592,11,787,5,11,0,6,0,13,0,23,6,130,3,203,3,12,3,7,0,20,7,86,6,208,5,358,3,6,0,12,0,33,0,92,11,190,0,345,9,21,0,18,8,68,11,200,18,477,4,823,18,53,3,36,4,137,17,366,43,534,16,1235,38,154,15,110,9,434,17,672,87,1065,18,2623,69,295,12,263,26,1190,40,892,112,1078,30,3995,151,599,27,707,76,2550,91,1272,196,1547,40,7249,434,962,60,2293,175,3773,146,1241,240,1426,52,10796,568,799,69,3264,287,3984,160,1004,268,1151,38,11581,1042,804,75,4265,402,3978,178,768,256,991,52,12814,5087,1617,236,11348,1213,8490,484,1452,554,1659,80,32211,6518,1315,273,13138,1453,3099,548,773,275,937,41,28371,7130,984,232,11041,1452,3924,446,623,274,664,29,26807,6789,615,185,7188,1147,1326,322,330,105,329,31,18367,22575,1740,509,21731,2942,9218,775,1093
SOSR511,0,0,0,0,0,3,0,0,0,8,0,12,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,13,0,21,0,0,0,0,0,3,0,7,0,16,0,36,0,3,0,0,0,12,0,15,3,35,0,77,5,3,0,7,0,29,0,20,3,49,0,118,8,16,0,28,4,77,4,28,9,53,0,228,10,30,6,78,9,131,4,58,10,54,0,386,16,26,3,128,7,157,11,24,12,28,0,417,35,21,3,180,16,155,10,28,10,27,0,496,152,57,14,482,54,339,12,41,24,37,0,1220,235,38,7,569,49,109,31,22,11,16,3,1081,271,35,11,437,44,112,23,15,15,15,0,972,225,12,5,246,22,38,18,7,4,4,6,575,507,27,12,437,66,161,27,15
SOSR512,0,0,0,0,0,5,0,4,0,16,0,31,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,3,0,4,0,7,0,14,0,0,0,0,0,0,0,7,0,0,0,8,0,0,0,0,0,3,0,7,0,15,0,27,0,0,0,0,0,5,0,20,0,15,0,43,3,5,0,3,0,15,0,20,3,44,8,104,6,12,0,15,0,36,0,37,0,60,0,174,10,25,0,34,3,100,6,49,8,75,0,314,29,58,6,119,8,193,6,82,6,78,0,584,31,37,3,201,18,201,15,46,16,55,0,615,56,29,10,257,19,177,14,40,19,36,0,659,259,87,9,691,78,440,30,54,30,52,7,1738,375,89,10,725,60,144,44,30,18,27,0,1529,422,51,14,562,65,182,33,23,15,14,5,1381,356,19,11,315,47,60,33,7,6,0,0,854,928,60,26,656,104,248,46,24
SOSR513,0,0,0,0,0,0,0,0,0,14,0,14,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,13,0,16,0,0,0,0,0,0,0,12,0,14,0,25,0,0,0,4,0,4,4,6,0,22,0,39,0,0,0,4,0,18,0,11,0,20,3,61,0,7,0,13,0,41,0,17,12,37,0,128,4,19,0,39,3,74,0,21,10,39,0,207,8,18,5,60,8,66,10,13,13,18,3,219,19,20,0,115,14,94,9,14,12,14,0,306,143,33,13,264,47,287,29,34,24,20,6,893,214,32,7,390,41,87,21,21,15,12,4,840,274,22,12,343,62,130,25,11,10,15,4,914,238,10,9,220,49,41,13,3,0,0,3,597,877,44,36,614,141,289,52,21
SOSR514,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,7,0,12,0,0,0,0,0,0,0,4,0,4,0,14,0,4,0,0,0,0,0,9,0,19,0,38,0,4,0,7,0,6,0,10,0,23,0,50,0,6,0,17,0,35,3,14,5,20,0,103,7,15,0,32,4,46,3,24,4,15,0,149,9,12,0,75,3,52,6,8,0,11,0,187,21,19,0,83,7,39,3,8,0,11,0,184,64,22,9,194,12,85,7,14,14,3,0,419,92,17,6,194,24,40,15,10,3,8,0,393,61,8,5,125,15,34,14,7,0,12,0,291,57,9,7,69,8,12,5,0,0,0,0,161,111,22,6,119,15,45,17,6
SOSR515,3,0,0,0,0,0,0,0,0,11,0,17,0,0,0,0,0,0,0,0,0,9,0,7,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,3,0,10,0,15,0,0,0,0,0,0,0,10,0,30,0,48,3,0,0,0,0,7,0,11,3,28,0,57,0,4,3,7,0,21,3,31,7,71,0,135,6,11,0,10,4,41,3,48,10,55,0,189,12,23,3,29,0,102,4,56,13,69,0,307,20,41,6,107,8,119,6,53,11,56,4,428,18,28,3,133,11,148,5,32,19,29,4,436,55,26,7,185,14,157,13,31,10,28,3,520,213,53,13,421,57,310,32,45,38,52,3,1242,256,49,27,512,64,108,31,24,7,21,3,1112,282,26,15,354,47,152,18,18,23,16,4,950,238,23,4,205,40,34,7,7,7,9,0,570,583,43,33,378,89,145,36,14
SOSR521,0,0,0,0,0,0,0,3,0,8,0,16,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,3,0,3,0,37,0,38,0,0,0,0,0,0,0,0,0,27,0,32,0,0,3,3,0,7,0,16,0,49,4,83,0,11,0,3,0,14,0,14,7,51,0,98,3,3,0,7,4,30,0,16,5,49,0,121,0,8,0,35,0,52,3,14,3,44,0,170,15,19,0,52,0,52,0,15,0,19,5,183,21,8,4,71,8,53,5,16,8,21,0,201,73,20,8,150,26,121,6,16,14,24,0,458,68,16,10,138,19,42,6,3,6,17,0,336,102,12,6,99,9,43,4,8,9,3,0,300,64,10,0,63,8,25,4,0,0,0,0,180,127,11,8,108,19,68,17,4
SOSR522,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,10,0,12,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,51,0,68,0,0,0,0,0,0,0,9,0,46,0,61,0,0,0,0,0,10,0,12,4,93,0,129,5,6,0,3,0,16,0,6,0,43,0,82,0,6,0,14,3,23,3,14,0,37,3,110,4,5,0,16,0,36,0,18,5,25,0,114,7,3,0,26,8,18,0,6,7,7,3,84,13,8,0,34,3,26,0,5,6,13,0,104,37,8,6,83,12,46,9,11,0,11,6,217,35,3,6,59,8,12,3,0,3,4,0,132,41,0,0,47,9,17,4,4,4,8,0,133,24,0,0,31,5,4,4,0,0,3,0,70,50,0,3,57,8,21,3,6
SOSR531,22,4,0,12,3,4,0,3,7,31,0,88,8,0,0,6,0,0,0,5,0,7,0,32,0,4,0,4,0,11,0,0,0,19,0,37,0,0,0,5,0,3,0,4,0,15,0,28,10,4,0,11,0,12,0,14,4,70,0,125,8,10,0,13,5,19,6,24,5,46,0,130,15,7,0,31,4,26,5,42,8,77,0,214,33,28,8,59,11,53,0,47,7,93,5,337,60,57,4,118,11,129,5,54,3,124,5,574,70,76,7,245,15,194,14,62,20,82,4,779,62,50,7,243,26,206,17,63,16,64,5,764,108,51,13,338,29,186,14,35,17,50,3,842,336,97,32,767,71,380,24,69,45,88,7,1917,428,85,32,787,79,196,50,33,17,49,4,1764,402,65,27,622,72,176,41,32,21,38,0,1504,397,30,21,429,42,90,17,17,19,12,0,1073,1140,88,52,1017,144,388,72,62
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
