SOSR_CODE_2021,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Samoa_0_4,P_Samoa_5_14,P_Samoa_15_24,P_Samoa_25_44,P_Samoa_45_54,P_Samoa_55_64,P_Samoa_65_74,P_Samoa_75_84,P_Samoa_85ov,P_Samoa_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOSR501,109,793,1078,4122,553,282,193,60,14,7203,0,64,205,379,478,218,75,15,3,1429,131,2889,5463,11770,5906,2728,1275,293,40,30488,6,80,104,1390,687,914,1268,361,315,5122,0,13,44,158,105,86,53,20,3,483,46,746,1486,4560,3794,4702,3920,2452,823,22530,74,906,1699,4700,2400,2426,2080,750,203,15238,154,2038,5147,12220,8177,5375,2956,1263,369,37701,43,493,914,3544,1407,898,782,394,111,8590,43,130,110,2479,268,150,146,30,6,3362,88,898,1361,3365,1424,682,341,61,13,8226,13,73,71,587,289,195,88,46,17,1375,208,932,1040,2818,1133,1125,894,354,90,8594,82,599,1200,5799,3656,3019,1845,507,235,16942,19,171,400,1316,1003,1096,905,564,191,5661,30,306,1273,3708,2224,1749,835,257,68,10442,479,4725,7455,31028,11544,9641,7092,4126,1435,77528,3963,8771,9564,30132,12035,9877,7732,6153,4261,92480,125841,262039,246891,593820,263686,229678,182320,99540,39936,2043762
SOSR511,3,20,9,56,0,5,3,0,0,92,0,6,5,16,13,10,3,0,0,44,12,99,143,413,196,69,42,3,0,982,0,0,0,25,7,18,19,9,10,91,0,0,0,7,4,0,0,0,0,11,0,9,18,57,67,126,105,63,18,455,0,7,9,36,14,19,20,7,0,116,3,102,204,403,333,211,105,48,18,1433,0,4,3,32,8,8,6,0,0,67,0,0,5,135,0,0,4,0,0,148,0,23,15,61,40,18,5,0,0,161,0,0,0,0,0,6,0,0,0,7,0,14,10,34,29,32,41,9,0,185,0,7,7,52,25,13,13,0,0,114,0,0,4,21,20,27,23,20,8,126,0,21,50,124,96,86,53,7,6,456,11,73,49,333,180,169,118,72,24,1030,162,378,356,1074,524,510,402,273,189,3881,4533,10441,8488,19244,9801,9377,7670,4119,1523,75196
SOSR512,4,11,13,73,11,9,6,0,0,125,6,25,38,60,47,13,9,0,0,192,14,189,282,780,364,181,87,14,3,1916,0,0,0,21,17,5,9,14,12,76,0,0,3,11,10,14,0,0,0,38,0,12,18,86,71,168,152,118,33,665,0,3,5,31,33,27,11,6,0,116,6,135,206,508,365,207,110,52,20,1596,4,14,19,55,30,3,9,3,0,137,0,5,4,65,0,4,0,0,0,77,8,86,76,171,91,53,14,0,0,495,0,0,0,13,0,0,0,0,0,17,0,25,26,91,40,54,53,23,9,313,0,9,21,104,45,19,20,11,0,230,0,0,4,37,41,48,39,20,7,198,0,31,47,200,123,92,34,8,3,547,20,105,104,563,274,247,189,147,67,1724,422,1109,894,2414,1135,1109,839,572,288,8775,7088,16200,13466,29789,15690,15229,12592,7165,2918,120142
SOSR513,0,4,0,43,7,5,0,0,0,63,0,3,6,15,14,3,3,0,0,45,3,120,160,532,231,129,41,0,0,1219,0,0,0,19,16,8,8,4,5,52,0,0,0,8,0,3,5,0,0,8,0,26,30,133,80,97,55,32,3,456,0,10,4,36,19,13,21,6,0,115,8,74,107,366,224,114,52,18,6,969,0,16,0,74,20,12,4,0,0,140,0,0,0,65,0,0,0,0,0,71,4,37,35,173,61,28,6,0,0,349,0,0,0,8,3,5,0,0,0,22,0,9,8,84,21,23,13,3,0,174,3,8,7,78,15,4,0,0,0,124,0,0,11,26,16,19,14,11,3,103,0,3,31,125,71,54,14,3,0,298,3,49,78,558,176,146,80,38,12,1141,507,1247,935,3091,1222,907,362,191,49,8510,5432,10982,7312,22704,9050,6923,3599,1677,503,68192
SOSR514,0,0,3,10,0,0,0,0,0,21,0,0,0,3,10,5,0,0,0,20,0,25,33,96,46,21,8,0,0,241,0,0,0,4,9,6,4,9,9,35,0,0,0,0,0,0,0,0,0,0,0,0,3,22,22,28,34,19,8,138,0,5,4,11,5,9,7,0,0,38,4,14,17,80,58,20,30,14,7,241,0,3,3,10,3,0,0,0,5,27,6,0,0,42,0,0,0,0,0,50,3,5,9,19,11,8,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,4,4,34,14,18,12,7,0,102,0,5,0,22,3,10,0,0,0,31,0,0,0,16,6,24,9,14,0,64,0,0,0,14,10,9,13,9,0,59,3,21,26,184,55,57,48,27,18,437,127,306,236,648,360,269,216,152,86,2390,1715,4067,2766,7193,3760,3470,3298,1624,567,28471
SOSR515,0,10,9,24,0,5,0,0,0,54,0,3,7,18,17,8,8,0,0,65,9,142,153,550,212,107,33,15,0,1224,0,0,0,21,10,8,11,4,7,64,0,0,0,12,5,0,0,0,0,17,0,0,18,80,66,119,139,81,30,542,3,3,14,33,22,15,19,3,0,110,8,35,68,237,164,111,68,31,8,726,0,4,4,49,9,10,4,3,0,79,5,4,0,109,3,4,0,0,0,124,3,43,57,111,64,37,9,0,0,319,0,0,0,3,3,0,0,3,0,7,7,16,12,85,60,47,40,20,0,287,0,9,8,80,19,18,4,0,0,141,0,3,0,31,20,37,21,13,4,136,4,7,28,96,59,45,31,7,0,268,16,50,89,553,182,191,177,112,28,1388,555,1373,1140,2939,1422,1253,945,555,218,10396,5989,12788,9582,23772,11838,11810,9832,5083,1831,92523
SOSR521,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,7,0,0,0,17,9,68,68,221,95,36,14,0,0,510,0,0,0,5,0,3,9,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,24,28,48,47,29,8,188,0,0,0,4,9,6,5,0,0,24,4,26,27,96,70,49,24,8,4,309,0,0,0,9,0,3,0,0,0,16,0,0,0,57,0,0,0,0,0,60,4,8,6,40,19,9,3,3,0,95,0,0,0,0,0,0,0,0,0,0,0,5,3,19,13,16,22,5,0,78,0,4,6,23,9,3,0,0,0,43,0,0,0,10,14,14,15,5,0,62,0,0,3,25,22,16,13,6,0,84,6,6,29,194,67,74,73,42,8,497,212,483,396,1112,672,701,497,308,111,4494,2319,4806,3665,8818,4984,5562,4668,2347,754,37925
SOSR522,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,8,0,11,6,50,15,20,9,0,0,113,0,0,0,3,4,5,4,0,0,7,0,0,0,0,0,0,4,0,0,5,0,0,4,14,10,30,30,18,6,107,0,0,0,0,3,3,4,0,0,8,0,3,8,29,18,22,15,7,4,102,0,0,0,6,0,0,0,0,0,12,0,0,0,6,0,0,0,0,0,6,0,8,3,8,4,4,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,3,13,10,10,7,0,0,43,0,0,0,11,3,0,0,0,0,15,0,0,0,8,3,0,8,6,3,26,0,0,0,5,5,10,7,0,0,25,0,8,4,56,19,26,38,22,10,183,112,274,216,506,288,365,280,174,62,2280,1316,2865,2376,4982,2606,3061,2656,1336,375,21588
SOSR531,0,3,5,36,8,3,5,0,0,58,0,0,4,19,49,25,13,0,0,110,4,62,74,352,148,97,25,8,0,767,0,0,0,24,22,11,42,10,3,124,0,0,0,15,5,0,0,0,0,20,0,10,31,159,190,313,219,100,14,1028,0,5,13,45,53,56,36,14,0,223,14,85,165,497,439,301,168,56,14,1752,0,0,4,35,11,11,7,7,0,76,0,0,6,84,5,7,0,0,0,97,7,31,20,92,67,29,13,0,0,264,0,0,0,10,7,4,0,0,0,14,3,27,32,116,71,127,111,36,8,541,3,7,23,160,108,70,43,3,0,418,0,4,5,41,40,84,70,25,5,277,0,4,32,150,114,138,84,15,3,544,4,31,116,881,383,588,413,182,38,2643,462,1529,1841,5475,3100,2888,1990,867,164,18313,7220,19368,16650,38177,25420,27127,19970,8074,1649,163652
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,9,0,0,0,0,21,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,5,0,0,0,16,0,0,21,119,47,23,3,0,0,215,0,0,42,284,109,62,18,0,0,514
