SOSR_CODE_2021,A_0_4_y_Indigenous_M,A_0_4_y_Indigenous_F,A_0_4_y_Indigenous_P,A_0_4_y_Non_Indigenous_M,A_0_4_y_Non_Indigenous_F,A_0_4_y_Non_Indigenous_P,A_0_4_y_Indig_stat_ns_M,A_0_4_y_Indig_stat_ns_F,A_0_4_y_Indig_stat_ns_P,A_0_4_y_Tot_M,A_0_4_y_Tot_F,A_0_4_y_Tot_P,A_5_9_y_Indigenous_M,A_5_9_y_Indigenous_F,A_5_9_y_Indigenous_P,A_5_9_y_Non_Indigenous_M,A_5_9_y_Non_Indigenous_F,A_5_9_y_Non_Indigenous_P,A_5_9_y_Indig_stat_ns_M,A_5_9_y_Indig_stat_ns_F,A_5_9_y_Indig_stat_ns_P,A_5_9_y_Tot_M,A_5_9_y_Tot_F,A_5_9_y_Tot_P,A_10_14_y_Indigenous_M,A_10_14_y_Indigenous_F,A_10_14_y_Indigenous_P,A_10_14_y_Non_Indig_M,A_10_14_y_Non_Indig_F,A_10_14_y_Non_Indig_P,A_10_14_y_Indig_stat_ns_M,A_10_14_y_Indig_stat_ns_F,A_10_14_y_Indig_stat_ns_P,A_10_14_y_Tot_M,A_10_14_y_Tot_F,A_10_14_y_Tot_P,A_15_19_y_Indigenous_M,A_15_19_y_Indigenous_F,A_15_19_y_Indigenous_P,A_15_19_y_Non_Indig_M,A_15_19_y_Non_Indig_F,A_15_19_y_Non_Indig_P,A_15_19_y_Indig_stat_ns_M,A_15_19_y_Indig_stat_ns_F,A_15_19_y_Indig_stat_ns_P,A_15_19_y_Tot_M,A_15_19_y_Tot_F,A_15_19_y_Tot_P,A_20_24_y_Indigenous_M,A_20_24_y_Indigenous_F,A_20_24_y_Indigenous_P,A_20_24_y_Non_Indig_M,A_20_24_y_Non_Indig_F,A_20_24_y_Non_Indig_P,A_20_24_y_Indig_stat_ns_M,A_20_24_y_Indig_stat_ns_F,A_20_24_y_Indig_stat_ns_P,A_20_24_y_Tot_M,A_20_24_y_Tot_F,A_20_24_y_Tot_P,A_25_29_y_Indigenous_M,A_25_29_y_Indigenous_F,A_25_29_y_Indigenous_P,A_25_29_y_Non_Indig_M,A_25_29_y_Non_Indig_F,A_25_29_y_Non_Indig_P,A_25_29_y_Indig_stat_ns_M,A_25_29_y_Indig_stat_ns_F,A_25_29_y_Indig_stat_ns_P,A_25_29_y_Tot_M,A_25_29_y_Tot_F,A_25_29_y_Tot_P,A_30_34_y_Indigenous_M,A_30_34_y_Indigenous_F,A_30_34_y_Indigenous_P,A_30_34_y_Non_Indig_M,A_30_34_y_Non_Indig_F,A_30_34_y_Non_Indig_P,A_30_34_y_Indig_stat_ns_M,A_30_34_y_Indig_stat_ns_F,A_30_34_y_Indig_stat_ns_P,A_30_34_y_Tot_M,A_30_34_y_Tot_F,A_30_34_y_Tot_P,A_35_39_y_Indigenous_M,A_35_39_y_Indigenous_F,A_35_39_y_Indigenous_P,A_35_39_y_Non_Indig_M,A_35_39_y_Non_Indig_F,A_35_39_y_Non_Indig_P,A_35_39_y_Indig_stat_ns_M,A_35_39_y_Indig_stat_ns_F,A_35_39_y_Indig_stat_ns_P,A_35_39_y_Tot_M,A_35_39_y_Tot_F,A_35_39_y_Tot_P,A_40_44_y_Indigenous_M,A_40_44_y_Indigenous_F,A_40_44_y_Indigenous_P,A_40_44_y_Non_Indig_M,A_40_44_y_Non_Indig_F,A_40_44_y_Non_Indig_P,A_40_44_y_Indig_stat_ns_M,A_40_44_y_Indig_stat_ns_F,A_40_44_y_Indig_stat_ns_P,A_40_44_y_Tot_M,A_40_44_y_Tot_F,A_40_44_y_Tot_P,A_45_49_y_Indigenous_M,A_45_49_y_Indigenous_F,A_45_49_y_Indigenous_P,A_45_49_y_Non_Indig_M,A_45_49_y_Non_Indig_F,A_45_49_y_Non_Indig_P,A_45_49_y_Indig_stat_ns_M,A_45_49_y_Indig_stat_ns_F,A_45_49_y_Indig_stat_ns_P,A_45_49_y_Tot_M,A_45_49_y_Tot_F,A_45_49_y_Tot_P,A_50_54_y_Indigenous_M,A_50_54_y_Indigenous_F,A_50_54_y_Indigenous_P,A_50_54_y_Non_Indig_M,A_50_54_y_Non_Indig_F,A_50_54_y_Non_Indig_P,A_50_54_y_Indig_stat_ns_M,A_50_54_y_Indig_stat_ns_F,A_50_54_y_Indig_stat_ns_P,A_50_54_y_Tot_M,A_50_54_y_Tot_F,A_50_54_y_Tot_P,A_55_59_y_Indigenous_M,A_55_59_y_Indigenous_F,A_55_59_y_Indigenous_P,A_55_59_y_Non_Indig_M,A_55_59_y_Non_Indig_F,A_55_59_y_Non_Indig_P,A_55_59_y_Indig_stat_ns_M,A_55_59_y_Indig_stat_ns_F,A_55_59_y_Indig_stat_ns_P,A_55_59_y_Tot_M,A_55_59_y_Tot_F,A_55_59_y_Tot_P,A_60_64_y_Indigenous_M,A_60_64_y_Indigenous_F,A_60_64_y_Indigenous_P,A_60_64_y_Non_Indig_M,A_60_64_y_Non_Indig_F,A_60_64_y_Non_Indig_P,A_60_64_y_Indig_stat_ns_M,A_60_64_y_Indig_stat_ns_F,A_60_64_y_Indig_stat_ns_P,A_60_64_y_Tot_M,A_60_64_y_Tot_F,A_60_64_y_Tot_P,A_65_y_ov_Indigenous_M,A_65_y_ov_Indigenous_F,A_65_y_ov_Indigenous_P,A_65_y_ov_Non_Indig_M,A_65_y_ov_Non_Indig_F,A_65_y_ov_Non_Indig_P,A_65_y_ov_Indig_stat_ns_M,A_65_y_ov_Indig_stat_ns_F,A_65_y_ov_Indig_stat_ns_P,A_65_y_ov_Tot_M,A_65_y_ov_Tot_F,A_65_y_ov_Tot_P,Tot_Indigenous_M,Tot_Indigenous_F,Tot_Indigenous_P,Tot_Non_Indigenous_M,Tot_Non_Indigenous_F,Tot_Non_Indigenous_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
SOSR501,2345,2173,4518,60305,57103,117406,2034,1884,3919,64683,61163,125841,2369,2142,4519,62883,60022,122904,2269,2221,4491,67523,64386,131907,2289,2242,4529,62465,58857,121326,2223,2058,4282,66977,63154,130133,2013,1914,3925,56686,54105,110791,1951,1871,3821,60648,57892,118535,1846,1771,3614,60016,59285,119301,2954,2483,5434,64814,63540,128352,1680,1717,3402,63807,65503,129311,4029,3297,7326,69516,70520,140036,1449,1471,2916,69445,75752,145195,4542,3207,7745,75433,80424,155860,1158,1196,2353,72830,76306,149137,4356,3087,7439,78342,80585,158927,936,971,1906,64110,66884,130996,3848,2247,6100,68897,70109,139005,916,975,1887,61335,64282,125619,3596,2285,5875,65843,67538,133387,796,960,1755,60191,62788,122975,3452,2120,5574,64439,65867,130302,695,799,1497,55164,58549,113713,3013,1968,4983,58880,61322,120199,511,605,1113,49856,54389,104244,2391,1735,4124,52759,56717,109480,797,1035,1832,141341,165560,306899,6141,6929,13074,148277,173521,321797,19792,19978,39768,940439,979372,1919812,46791,37389,84184,1007026,1036733,2043762
SOSR511,154,144,299,2117,1954,4075,75,83,159,2348,2183,4533,169,136,305,2410,2231,4638,106,73,177,2681,2440,5121,164,162,319,2471,2310,4782,107,111,213,2735,2584,5320,129,166,295,2098,2103,4198,84,71,153,2312,2329,4649,113,126,238,1731,1675,3408,111,92,203,1951,1888,3838,112,107,215,1898,1997,3897,158,130,285,2175,2225,4405,95,70,170,2154,2340,4497,140,113,256,2392,2532,4922,72,83,156,2229,2413,4646,157,88,244,2457,2589,5045,63,66,126,2213,2287,4499,160,96,255,2428,2449,4875,60,84,138,2169,2305,4472,157,84,243,2383,2473,4856,52,65,119,2164,2410,4571,148,102,247,2366,2574,4942,45,50,99,2090,2218,4308,153,101,252,2293,2368,4660,34,42,77,2101,2316,4418,125,101,224,2264,2459,4717,53,78,127,5783,6642,12427,345,414,757,6177,7135,13310,1314,1376,2691,33632,35207,68840,2007,1656,3666,36962,38239,75196
SOSR512,427,375,803,2958,2902,5858,225,202,429,3616,3478,7088,412,378,788,3347,3180,6522,279,286,558,4032,3846,7874,449,449,895,3516,3355,6873,290,266,554,4256,4070,8325,361,354,713,3115,2931,6052,212,206,418,3694,3487,7185,329,283,617,2677,2553,5236,229,214,436,3238,3044,6283,329,251,583,3065,2996,6064,329,267,599,3721,3521,7238,250,211,460,3143,3292,6438,297,248,545,3694,3746,7440,197,216,416,3273,3479,6756,307,277,583,3772,3976,7750,217,188,401,3095,3296,6389,327,237,561,3637,3722,7358,186,205,395,3264,3560,6825,319,212,524,3771,3976,7750,171,203,376,3368,3660,7028,301,239,545,3835,4104,7938,153,170,319,3348,3460,6810,296,220,513,3792,3853,7649,138,154,288,3288,3520,6804,281,208,493,3697,3885,7585,193,271,461,9747,11086,20830,662,731,1387,10599,12085,22683,3802,3710,7514,51202,53274,104482,4346,3811,8153,59351,60792,120142
SOSR513,508,441,952,2045,1935,3981,280,219,499,2837,2603,5432,533,453,988,2087,2101,4183,341,336,677,2961,2882,5852,478,497,979,1842,1752,3589,290,282,562,2604,2529,5135,405,384,793,1386,1235,2621,229,192,423,2021,1813,3837,312,309,619,1216,1158,2373,273,220,493,1796,1686,3483,275,362,632,1761,2008,3778,352,351,706,2391,2720,5114,341,336,684,2228,2575,4804,414,395,810,2985,3308,6293,275,282,556,2386,2559,4945,403,361,768,3068,3199,6270,234,265,493,2001,1901,3899,363,265,634,2597,2430,5025,188,219,402,1937,1781,3717,341,260,600,2464,2258,4721,183,217,402,1776,1601,3371,317,236,555,2275,2054,4328,166,199,366,1617,1377,2999,286,195,481,2079,1772,3849,113,159,276,1326,1133,2455,204,138,344,1642,1436,3078,176,230,410,2402,2456,4856,270,253,516,2849,2936,5781,4197,4365,8566,25996,25563,51561,4367,3702,8067,34557,33632,68192
SOSR514,73,51,124,753,706,1458,67,62,137,898,821,1715,77,79,156,890,855,1748,73,76,149,1037,1013,2048,65,70,129,898,843,1740,73,73,146,1035,983,2015,75,57,135,725,635,1357,73,59,131,876,744,1625,51,29,83,513,452,961,56,46,100,616,533,1148,28,33,59,615,629,1238,77,47,125,720,709,1423,26,28,58,762,836,1599,85,64,145,868,930,1800,24,28,55,781,978,1754,94,85,176,896,1084,1980,21,41,65,848,926,1777,89,65,153,959,1039,1992,27,30,55,834,930,1765,100,67,168,959,1027,1985,22,19,38,757,829,1590,88,63,150,870,908,1777,28,27,56,728,784,1515,70,58,124,822,869,1689,9,23,39,769,854,1624,70,48,113,849,927,1777,36,37,66,2442,2605,5050,180,192,376,2656,2833,5494,560,550,1111,12306,12862,25170,1189,1003,2190,14058,14412,28471
SOSR515,463,414,870,2341,2209,4556,308,258,565,3111,2881,5989,480,469,949,2539,2335,4875,361,339,699,3383,3139,6525,438,459,903,2468,2221,4691,354,327,681,3259,3003,6264,368,381,751,1991,1815,3800,298,246,548,2657,2441,5095,300,301,600,1731,1626,3353,264,273,537,2289,2191,4481,254,285,539,2112,2328,4439,343,309,649,2713,2917,5628,251,287,541,2391,2606,4998,394,356,749,3039,3251,6289,249,245,499,2376,2587,4963,397,346,745,3022,3180,6204,215,227,448,2190,2390,4579,328,293,621,2736,2908,5648,225,231,456,2354,2317,4678,351,278,629,2925,2833,5762,189,257,446,2522,2475,4989,369,273,643,3072,3005,6078,197,207,404,2493,2477,4968,312,260,575,3002,2942,5947,153,157,309,2485,2569,5050,303,199,502,2940,2922,5863,236,311,549,7349,7580,14937,647,617,1263,8232,8508,16743,4018,4238,8252,37347,37534,74878,5028,4367,9391,46388,46132,92523
SOSR521,274,246,519,826,757,1586,105,111,216,1203,1112,2319,275,245,513,869,779,1643,114,135,249,1255,1154,2412,279,237,527,828,780,1613,128,129,259,1242,1149,2393,229,258,488,669,610,1281,77,88,160,977,953,1926,186,228,409,607,523,1130,108,95,195,897,847,1740,186,210,398,691,730,1424,118,106,228,1001,1046,2050,152,187,336,785,896,1683,142,144,284,1078,1227,2299,139,193,335,816,902,1718,141,124,260,1094,1221,2315,141,177,313,780,815,1596,131,123,251,1047,1115,2165,158,144,301,827,836,1662,147,109,255,1128,1087,2212,143,189,336,1050,1064,2113,189,138,329,1382,1390,2773,129,164,293,1134,1075,2208,184,126,310,1445,1373,2813,111,108,221,1147,1099,2249,154,121,276,1416,1332,2749,176,221,401,3389,3283,6670,355,343,701,3920,3852,7768,2572,2802,5368,14419,14155,28579,2091,1886,3976,19079,18844,37925
SOSR522,282,253,530,350,333,685,48,50,98,685,633,1316,302,294,603,387,369,758,61,65,132,756,728,1484,247,298,545,367,360,722,66,48,115,675,704,1381,309,265,574,278,269,550,42,42,84,632,577,1206,238,260,499,286,306,589,37,53,84,557,612,1168,201,223,423,355,360,717,61,48,108,616,632,1250,209,212,418,380,406,789,54,47,106,646,667,1310,189,203,391,377,396,780,71,49,120,639,649,1289,158,182,337,356,344,702,55,39,94,561,572,1132,143,153,297,442,390,833,74,53,125,656,599,1251,115,147,260,492,467,962,83,54,137,695,661,1359,93,118,216,541,563,1106,67,79,147,709,757,1470,101,95,198,632,596,1228,98,69,173,837,756,1594,105,161,271,1962,1713,3676,229,188,425,2300,2073,4372,2702,2856,5560,7210,6876,14088,1043,893,1933,10961,10626,21588
SOSR531,299,279,580,3171,2968,6135,264,240,504,3737,3484,7220,370,303,667,4079,3645,7729,406,362,775,4857,4311,9166,391,386,776,4428,4172,8601,416,402,820,5234,4961,10197,430,360,787,3905,3491,7397,401,342,744,4741,4187,8927,449,229,673,3470,2506,5977,725,343,1067,4644,3081,7726,462,215,680,3429,2726,6160,878,384,1260,4775,3324,8097,506,250,757,3893,3307,7194,889,428,1321,5286,3987,9269,432,229,660,4377,3901,8271,912,422,1335,5718,4545,10269,357,214,572,4547,4100,8649,868,452,1317,5773,4765,10534,333,200,527,5215,4837,10054,896,502,1395,6441,5535,11975,260,212,465,6037,5432,11469,1000,504,1511,7297,6149,13444,206,173,376,6341,5782,12125,889,526,1421,7438,6486,13924,176,153,325,6125,5562,11685,727,465,1197,7027,6176,13210,259,247,496,14741,11991,26736,1404,1059,2459,16403,13292,29694,4933,3431,8358,73755,64418,138173,10679,6441,17116,89366,74281,163652
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,0,5,7,3,6,0,0,0,9,5,15,13,5,15,25,11,31,0,0,0,26,8,32,22,3,21,49,7,54,0,0,0,28,5,32,22,0,22,48,5,54,4,0,5,44,4,45,40,3,39,85,10,92,0,0,0,46,0,44,33,0,36,79,0,82,0,0,0,30,0,35,22,0,23,51,3,57,4,0,4,28,0,30,24,0,18,48,3,54,0,0,0,15,0,15,11,0,11,26,0,26,0,0,0,18,5,22,11,0,14,27,3,34,0,0,0,6,5,10,7,0,8,14,4,18,7,3,9,256,32,293,193,19,218,455,58,514
