SOSR_CODE_2021,F_ID_NS_0,F_ID_NS_1_19,F_ID_NS_20_29,F_ID_NS_30_34,F_ID_NS_35_39,F_ID_NS_40_44,F_ID_NS_45_49,F_ID_NS_50_over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_19,F_Tot_20_29,F_Tot_30_34,F_Tot_35_39,F_Tot_40_44,F_Tot_45_49,F_Tot_50_over,F_Tot_hours_NS,F_Tot_Tot,P_AgriForestFish_0,P_AgriForestFish_1_19,P_AgriForestFish_20_29,P_AgriForestFish_30_34,P_AgriForestFish_35_39,P_AgriForestFish_40_44,P_AgriForestFish_45_49,P_AgriForestFish_50_over,P_AgriForestFish_hours_NS,P_AgriForestFish_Tot,P_Min_0,P_Min_1_19,P_Min_20_29,P_Min_30_34,P_Min_35_39,P_Min_40_44,P_Min_45_49,P_Min_50_over,P_Min_hours_NS,P_Min_Tot,P_Mnfg_0,P_Mnfg_1_19,P_Mnfg_20_29,P_Mnfg_30_34,P_Mnfg_35_39,P_Mnfg_40_44,P_Mnfg_45_49,P_Mnfg_50_over,P_Mnfg_hours_NS,P_Mnfg_Tot,P_EGW_WS_0,P_EGW_WS_1_19,P_EGW_WS_20_29,P_EGW_WS_30_34,P_EGW_WS_35_39,P_EGW_WS_40_44,P_EGW_WS_45_49,P_EGW_WS_50_over,P_EGW_WS_hours_NS,P_EGW_WS_Tot,P_Cnstn_0,P_Cnstn_1_19,P_Cnstn_20_29,P_Cnstn_30_34,P_Cnstn_35_39,P_Cnstn_40_44,P_Cnstn_45_49,P_Cnstn_50_over,P_Cnstn_hours_NS,P_Cnstn_Tot,P_WTrade_0,P_WTrade_1_19,P_WTrade_20_29,P_WTrade_30_34,P_WTrade_35_39,P_WTrade_40_44,P_WTrade_45_49,P_WTrade_50_over,P_WTrade_hours_NS,P_WTrade_Tot,P_RTrade_0,P_RTrade_1_19,P_RTrade_20_29,P_RTrade_30_34,P_RTrade_35_39,P_RTrade_40_44,P_RTrade_45_49,P_RTrade_50_over,P_RTrade_hours_NS,P_RTrade_Tot,P_AccomFoodS_0,P_AccomFoodS_1_19,P_AccomFoodS_20_29,P_AccomFoodS_30_34,P_AccomFoodS_35_39,P_AccomFoodS_40_44,P_AccomFoodS_45_49,P_AccomFoodS_50_over,P_AccomFoodS_hours_NS,P_AccomFoodS_Tot,P_TransPostWhse_0,P_TransPostWhse_1_19,P_TransPostWhse_20_29,P_TransPostWhse_30_34,P_TransPostWhse_35_39,P_TransPostWhse_40_44,P_TransPostWhse_45_49,P_TransPostWhse_50_over,P_TransPostWhse_hours_NS,P_TransPostWhse_Tot,P_InfoMedTelecom_0,P_InfoMedTelecom_1_19,P_InfoMedTelecom_20_29,P_InfoMedTelecom_30_34,P_InfoMedTelecom_35_39,P_InfoMedTelecom_40_44,P_InfoMedTelecom_45_49,P_InfoMedTelecom_50_over,P_InfoMedTelecom_hours_NS,P_InfoMedTelecom_Tot,P_FinInsurS_0,P_FinInsurS_1_19,P_FinInsurS_20_29,P_FinInsurS_30_34,P_FinInsurS_35_39,P_FinInsurS_40_44,P_FinInsurS_45_49,P_FinInsurS_50_over,P_FinInsurS_hours_NS,P_FinInsurS_Tot,P_RentHirREserv_0,P_RentHirREserv_1_19,P_RentHirREserv_20_29,P_RentHirREserv_30_34,P_RentHirREserv_35_39,P_RentHirREserv_40_44,P_RentHirREserv_45_49,P_RentHirREserv_50_over,P_RentHirREserv_hours_NS,P_RentHirREserv_Tot,P_ProScieTechServ_0,P_ProScieTechServ_1_19,P_ProScieTechServ_20_29,P_ProScieTechServ_30_34,P_ProScieTechServ_35_39,P_ProScieTechServ_40_44,P_ProScieTechServ_45_49,P_ProScieTechServ_50_over,P_ProScieTechServ_hours_NS,P_ProScieTechServ_Tot,P_AdminSupServ_0,P_AdminSupServ_1_19,P_AdminSupServ_20_29,P_AdminSupServ_30_34,P_AdminSupServ_35_39,P_AdminSupServ_40_44,P_AdminSupServ_45_49,P_AdminSupServ_50_over,P_AdminSupServ_hours_NS,P_AdminSupServ_Tot,P_PubAdmiSafety_0,P_PubAdmiSafety_1_19,P_PubAdmiSafety_20_29,P_PubAdmiSafety_30_34,P_PubAdmiSafety_35_39,P_PubAdmiSafety_40_44,P_PubAdmiSafety_45_49,P_PubAdmiSafety_50_over,P_PubAdmiSafety_hours_NS,P_PubAdmiSafety_Tot,P_EducTrain_0,P_EducTrain_1_19,P_EducTrain_20_29,P_EducTrain_30_34,P_EducTrain_35_39,P_EducTrain_40_44,P_EducTrain_45_49,P_EducTrain_50_over,P_EducTrain_hours_NS,P_EducTrain_Tot,P_HealthCareSocA_0,P_HealthCareSocA_1_19,P_HealthCareSocA_20_29,P_HealthCareSocA_30_34,P_HealthCareSocA_35_39,P_HealthCareSocA_40_44,P_HealthCareSocA_45_49,P_HealthCareSocA_50_overr,P_HealthCareSocA_hours_NS,P_HealthCareSocA_Tot,P_ArtRecServ_0,P_ArtRecServ_1_19,P_ArtRecServ_20_29,P_ArtRecServ_30_34,P_ArtRecServ_35_39,P_ArtRecServ_40_44,P_ArtRecServ_45_49,P_ArtRecServ_50_over,P_ArtRecServ_hours_NS,P_ArtRecServ_Tot
SOSR501,624,3303,2536,1405,2756,2624,445,896,2972,17565,23735,99481,85503,51724,97367,74311,19794,34521,6533,492968,220,906,722,587,979,1246,372,958,91,6094,5724,1949,2220,1382,5789,12293,6698,30020,927,67009,1542,4042,3636,2458,13083,14197,5340,9073,351,53721,437,447,558,535,3299,3012,1039,1924,88,11339,2708,5794,5922,4909,12874,26281,8279,22046,1059,89882,740,1835,1830,1296,6015,7285,2286,4554,152,25998,3234,26510,16667,7679,15644,11391,3564,5976,793,91461,1988,24745,12182,5193,7687,6356,2160,5497,757,66560,2234,4164,4706,2950,7823,11207,4021,8562,606,46273,285,1223,895,568,2111,2193,525,975,57,8833,1063,1707,2420,1723,6334,7105,1719,3270,124,25457,403,1764,1606,999,3013,3404,1158,2727,115,15190,2508,7720,7233,5215,15912,23689,6192,12259,357,81083,1179,7098,5574,2581,5595,5186,1355,3193,341,32112,3514,4237,4736,3518,18664,15869,4352,5860,385,61143,3676,16724,13374,9030,17040,14944,5601,9793,493,90677,7717,22276,26297,19428,33315,20949,5099,9669,1103,145863,692,5591,2590,1547,2909,2527,693,1351,135,18023
SOSR511,16,97,62,42,55,54,14,39,91,469,930,3640,3051,1984,3229,2133,649,1155,214,16983,17,72,44,39,81,101,30,118,0,509,319,71,80,39,164,439,256,1284,46,2696,151,149,138,119,579,1074,462,562,15,3249,30,35,34,21,188,191,85,125,0,706,138,229,186,167,438,911,343,1345,38,3792,24,54,33,28,109,158,67,149,0,618,179,926,617,389,638,419,173,230,21,3595,95,948,403,178,262,203,59,154,31,2334,61,107,123,81,192,273,109,430,14,1389,4,46,15,13,54,37,21,19,0,221,17,47,53,35,103,98,30,63,5,448,18,49,52,23,117,72,29,71,0,433,38,169,137,92,211,271,75,204,3,1194,37,234,152,77,145,116,33,89,8,906,122,149,166,118,502,393,97,152,13,1709,133,512,497,370,520,443,186,290,17,2964,332,773,1018,784,1120,639,157,331,35,5189,11,115,47,41,54,33,8,27,4,337
SOSR512,43,175,113,71,87,111,23,49,139,805,1415,5387,4491,3045,5074,3795,1210,2398,361,27169,81,217,142,95,132,243,110,322,21,1371,522,214,201,81,243,638,647,3476,85,6105,84,178,144,99,364,535,432,547,17,2412,19,27,24,24,159,138,68,130,11,604,217,335,294,264,681,1249,477,1334,63,4909,38,74,77,49,186,339,159,354,6,1275,242,1523,1010,567,1087,743,275,393,37,5879,156,1499,782,412,593,474,159,350,65,4489,120,221,218,174,279,513,253,825,42,2648,11,53,28,20,66,56,19,37,0,297,31,50,69,55,156,150,52,76,0,629,32,69,69,48,175,150,48,177,4,776,68,274,219,188,401,392,123,380,18,2063,85,400,279,153,239,213,72,153,22,1615,227,237,178,142,809,891,203,328,17,3032,223,722,718,557,898,872,319,591,29,4934,450,1044,1265,1130,1809,1223,312,595,74,7905,25,185,94,52,77,55,24,35,3,541
SOSR513,26,94,63,43,98,52,23,62,129,579,959,2303,2011,1476,3158,2629,870,1875,290,15573,40,64,38,30,54,141,41,197,16,625,495,160,122,60,298,665,580,2235,90,4707,40,77,46,26,154,223,117,328,7,1016,27,18,20,24,94,133,67,187,4,562,104,173,150,129,296,669,305,1183,44,3047,36,38,29,26,115,171,110,234,4,770,104,631,369,218,473,364,132,239,21,2560,76,470,270,182,332,280,99,366,39,2115,144,143,126,96,326,476,184,847,40,2366,14,23,12,14,39,49,7,14,5,171,13,23,28,15,74,69,14,35,5,277,21,33,52,19,104,127,52,133,8,556,28,85,90,53,180,200,56,194,7,898,50,211,147,74,180,169,79,207,6,1131,160,122,103,93,557,581,182,294,26,2118,158,338,327,303,649,592,235,377,24,2997,274,396,495,493,1002,740,154,328,38,3918,18,86,53,20,55,52,16,38,4,345
SOSR514,7,53,43,15,26,17,7,17,40,224,384,1446,1192,720,935,781,218,416,91,6175,18,32,19,30,42,105,22,48,4,320,128,29,36,10,36,208,112,473,14,1044,63,73,89,67,192,256,76,114,8,932,7,9,12,10,76,86,32,51,6,294,68,97,89,79,184,304,91,283,16,1212,10,28,18,13,36,55,16,48,3,223,60,361,235,143,205,149,50,66,9,1282,59,430,252,147,171,181,59,131,16,1440,13,47,62,18,24,76,29,78,5,351,0,9,7,4,8,6,3,5,0,51,10,25,23,16,30,42,5,11,0,158,6,19,21,17,30,41,8,30,0,176,30,72,57,63,74,86,24,58,4,469,32,128,98,39,61,48,14,39,3,470,51,46,40,34,154,137,40,65,5,579,60,193,172,114,156,172,75,96,5,1038,108,240,298,189,248,156,32,95,17,1382,11,52,18,14,21,15,7,10,0,154
SOSR515,30,143,92,46,81,72,22,58,131,672,1206,3568,3006,2015,3358,2828,896,2043,361,19294,112,262,179,127,261,436,131,467,48,2031,622,172,163,53,298,547,613,2767,117,5349,97,208,169,119,619,472,210,376,40,2315,43,40,24,26,115,133,63,127,10,581,149,196,216,187,386,811,298,1007,59,3317,30,90,62,33,111,210,91,246,8,883,154,880,585,338,558,513,171,290,42,3530,109,705,379,218,327,283,109,319,45,2496,92,196,195,104,223,332,118,530,32,1825,5,22,23,15,24,29,8,14,3,152,29,43,41,29,68,80,18,40,0,361,12,63,24,33,85,85,30,107,6,449,52,160,121,80,196,253,74,168,10,1107,53,283,202,154,218,170,60,190,23,1356,201,188,195,146,685,851,205,335,20,2822,186,497,511,403,666,619,269,456,39,3643,331,668,738,640,1030,726,142,363,57,4683,27,99,65,33,66,66,13,41,12,411
SOSR521,29,48,31,18,37,30,8,29,67,301,470,1359,1097,680,1082,1009,333,801,172,7011,64,135,135,71,96,257,85,222,39,1102,210,70,64,23,67,166,168,982,40,1786,27,69,52,36,150,206,105,199,12,862,13,10,8,8,45,41,15,46,3,183,59,90,80,68,141,240,112,372,22,1197,12,29,26,12,44,128,42,95,0,387,50,285,153,99,172,132,54,140,15,1099,43,287,152,85,102,103,51,153,26,1008,42,102,91,31,59,94,46,197,28,690,4,5,12,4,16,12,0,11,0,53,4,19,20,8,26,20,10,3,0,100,8,20,21,3,33,22,7,21,0,131,16,67,38,29,50,61,11,57,8,329,25,119,72,44,53,54,21,68,6,466,83,79,66,65,309,374,86,160,15,1231,86,208,198,131,199,264,88,176,14,1364,109,235,250,198,314,220,55,125,27,1546,8,28,21,13,31,25,7,18,4,153
SOSR522,9,26,6,8,13,13,9,9,36,131,238,658,578,381,567,526,178,408,77,3609,56,81,68,80,77,167,65,201,14,807,75,29,18,8,30,61,49,326,12,607,23,19,14,17,68,68,32,70,6,311,0,3,6,5,20,26,13,22,3,93,37,32,35,43,57,111,40,149,6,510,15,14,0,9,12,87,32,35,3,214,24,83,88,45,78,70,28,96,10,521,24,109,85,53,86,62,35,113,9,584,22,70,49,22,28,72,30,133,6,420,0,4,0,0,8,8,0,0,5,29,4,10,8,9,10,8,0,4,0,47,0,6,9,4,10,0,4,9,0,40,10,27,13,6,13,31,9,26,0,138,18,57,39,13,29,28,13,46,6,245,41,52,53,47,189,218,59,96,5,756,39,122,136,122,127,155,60,129,12,893,55,122,114,89,156,111,23,59,6,732,7,34,28,5,15,21,4,3,4,127
SOSR531,83,282,190,106,120,159,37,102,279,1368,2092,7428,5979,3582,4609,4736,1429,4598,743,35194,644,1618,1398,941,988,2705,1192,6851,308,16645,950,311,230,87,376,680,555,5084,178,8460,168,411,313,233,673,830,362,866,36,3897,40,51,38,32,156,180,81,166,13,755,341,598,489,410,721,1550,497,2303,115,7014,73,163,164,108,218,443,192,433,28,1833,219,1258,825,404,611,529,191,509,62,4603,187,1264,569,287,330,377,141,743,73,3971,188,381,361,177,266,500,177,928,44,3038,12,48,30,15,34,69,14,45,3,272,32,94,99,66,143,165,30,108,9,744,29,116,83,58,126,148,51,237,8,858,114,411,357,270,326,532,171,525,29,2736,104,450,286,158,206,237,82,369,29,1921,272,342,349,227,1002,985,257,473,29,3944,355,1053,1002,631,854,861,366,663,55,5830,471,1185,1198,879,1100,748,174,380,68,6196,51,261,148,73,124,139,49,171,11,1032
SOSR579,0,0,0,0,0,0,0,0,0,5,4,3,0,0,0,0,0,16,0,29,0,0,0,0,0,4,0,36,5,41,4,0,0,0,5,0,4,62,0,74,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,9,0,5,0,0,0,0,0,0,0,34,0,38,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,0,4,0,0,0,0,0,31,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
