SOSR_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SOSR501,..,190056,190056,228914,19008,247920,118499,5376,123871,122607,1801,124404,47193,568,47760,20934,263,21196,538147,217069,755215
SOSR511,..,7338,7338,9284,633,9918,4046,107,4155,4096,28,4131,1682,6,1688,747,15,758,19856,8126,27979
SOSR512,..,12771,12771,14701,1044,15741,6117,199,6317,5796,40,5833,2522,10,2530,1243,3,1248,30377,14066,44443
SOSR513,..,5400,5400,6242,572,6810,3364,140,3501,3638,31,3675,1697,9,1703,824,8,830,15765,6159,21923
SOSR514,..,2859,2859,3398,258,3660,1445,71,1511,1474,40,1517,596,8,605,234,4,239,7150,3231,10381
SOSR515,..,9580,9580,10966,674,11639,4233,129,4363,4228,39,4267,1968,16,1985,1004,11,1014,22399,10452,32849
SOSR521,..,4335,4335,4629,298,4928,1665,26,1687,1504,19,1529,692,3,694,487,3,495,8983,4677,13658
SOSR522,..,2478,2478,2496,155,2653,759,23,776,750,4,756,458,0,460,413,0,413,4880,2659,7539
SOSR531,..,10371,10371,19573,811,20383,6774,103,6879,7206,20,7225,3825,7,3834,2014,24,2035,39395,11339,50741
SOSR579,..,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOSR599,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
