SOSR_CODE_2021,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
SOSR501,3064,2152,1694,407,708,151,8173,718,341,369,85,158,20,1688,1262,673,708,177,381,57,3255,1084,690,650,181,338,41,2980,1838,1337,1027,370,652,82,5303,2581,2246,1473,665,889,113,7965,3788,4235,2050,930,1208,166,12384,5139,6719,2580,1399,1491,249,17569,5997,9049,2569,1537,1368,221,20750,7142,11815,3240,1714,1365,222,25502,5466,10331,2519,1191,931,188,20633,8399,16064,4904,1730,1343,272,32711,3714,7844,2012,657,485,102,14820,2671,6234,1642,505,322,63,11438,5012,10843,3343,838,666,111,20814,6204,13484,4700,880,802,124,26198,2605,5523,2025,383,310,47,10890,2178,5149,1979,248,280,41,9876,3891,5601,2828,804,1011,202,14337,72749,120333,42310,14714,14712,2475,267291
SOSR511,115,53,32,17,18,0,232,42,11,12,0,5,0,77,77,32,21,8,13,4,145,40,40,21,13,24,3,133,89,60,45,21,30,0,244,132,130,51,46,40,0,417,230,244,70,78,56,10,683,283,368,119,106,66,11,955,275,531,131,85,56,16,1092,337,613,135,88,54,4,1234,197,375,95,40,22,6,736,288,547,175,56,41,3,1123,99,227,55,21,10,0,411,61,118,33,17,3,0,235,155,265,96,25,23,0,568,157,230,85,16,12,0,501,66,76,45,11,6,0,197,32,54,26,5,4,0,115,150,183,61,40,26,11,466,2814,4167,1309,682,513,74,9560
SOSR512,163,67,42,28,31,9,331,41,19,8,8,7,3,93,132,43,32,14,19,8,242,71,43,25,11,22,0,181,163,122,63,53,48,9,452,259,226,83,64,49,10,683,338,352,119,87,67,4,975,425,578,152,125,98,10,1387,402,678,152,105,67,9,1410,447,666,186,110,72,9,1489,256,513,114,55,33,6,986,408,720,213,83,55,5,1486,135,284,80,16,9,3,530,76,163,39,18,4,5,300,185,335,140,27,18,0,705,234,341,123,24,17,0,745,85,102,43,7,9,6,246,55,56,42,3,5,0,160,224,239,99,44,48,8,654,4101,5551,1759,877,672,90,13058
SOSR513,47,22,17,14,14,0,114,11,12,0,0,0,0,25,22,22,6,7,8,0,59,19,18,12,0,4,0,57,65,58,20,11,9,0,155,74,100,16,15,20,0,228,107,114,38,30,11,4,307,149,176,46,41,22,4,436,166,214,51,27,13,5,478,147,281,55,39,13,3,537,122,253,57,37,20,5,488,185,342,87,53,21,7,697,63,173,33,16,14,0,298,63,120,13,7,8,0,209,107,222,45,28,16,0,414,152,253,82,24,14,0,524,72,94,23,10,4,3,210,38,59,19,8,3,0,127,112,135,52,20,14,5,335,1715,2669,666,377,214,46,5690
SOSR514,37,16,11,5,5,4,80,12,7,0,0,6,3,33,25,14,3,4,12,0,61,34,12,10,7,17,0,74,57,36,21,18,17,0,147,69,69,18,28,35,0,212,84,107,28,22,20,0,266,77,134,27,27,15,6,294,84,140,26,16,18,0,290,96,190,32,38,10,0,367,55,139,20,15,6,0,239,80,157,36,28,8,0,309,23,88,14,7,0,0,129,16,53,9,3,0,0,86,52,84,16,10,5,0,171,46,98,25,9,9,0,180,16,24,10,0,0,0,55,15,18,3,0,0,0,42,60,43,28,18,8,0,162,941,1435,352,264,190,21,3196
SOSR515,117,61,30,16,14,5,239,37,13,14,4,7,0,73,77,43,12,10,17,4,169,84,46,20,10,27,3,194,134,130,50,31,41,9,394,203,193,49,50,45,4,551,240,304,79,69,51,9,745,252,366,92,76,59,7,858,235,340,93,50,30,5,753,246,379,93,56,31,0,809,129,266,56,29,19,0,495,247,417,116,42,23,3,849,102,172,34,14,12,6,337,43,106,25,13,0,0,180,146,196,64,16,7,3,428,138,182,58,13,18,0,406,49,53,30,7,3,0,142,52,32,18,0,0,0,105,143,134,56,25,15,3,373,2683,3431,987,526,421,59,8109
SOSR521,52,15,7,0,6,0,82,13,13,3,7,8,0,46,40,19,15,12,23,0,104,48,26,18,12,10,0,115,102,54,24,22,22,0,218,108,104,33,27,17,0,289,100,122,32,26,30,3,315,98,129,44,22,24,6,324,105,97,35,32,19,0,286,96,135,46,11,10,0,297,47,84,26,13,8,0,182,71,123,40,4,9,5,260,29,55,9,5,0,0,98,25,35,11,3,0,0,82,66,66,19,11,3,0,160,64,47,29,3,0,0,148,28,25,5,0,0,0,64,21,9,0,0,0,0,40,70,36,26,14,12,0,168,1187,1189,442,220,209,24,3271
SOSR522,19,3,3,6,3,0,35,22,6,0,4,0,0,33,30,19,13,7,9,0,80,36,23,8,0,5,0,75,52,49,12,13,8,0,129,34,26,16,11,9,0,94,37,54,11,18,7,0,131,57,59,15,9,5,0,146,36,49,7,3,0,0,102,24,48,18,10,4,0,105,28,23,8,0,3,0,64,31,50,11,3,5,0,101,9,13,5,0,0,0,27,4,7,3,3,0,0,21,20,21,8,8,0,0,51,23,23,15,0,5,0,62,13,9,3,0,0,0,22,10,3,4,0,0,0,17,45,26,11,6,3,0,88,518,513,176,91,77,6,1384
SOSR531,430,226,163,36,45,10,902,80,30,18,12,5,0,144,157,62,45,11,17,3,298,124,59,43,13,23,7,261,192,119,62,31,29,4,433,252,138,91,25,34,0,546,337,255,137,47,43,4,829,363,294,169,49,58,7,947,322,365,131,43,42,6,904,387,414,176,39,36,5,1057,257,387,147,27,24,0,840,535,665,291,49,51,10,1601,210,360,91,21,21,0,703,185,274,79,26,18,3,577,424,586,224,47,36,0,1308,678,872,358,56,49,3,2013,269,314,168,25,25,0,801,244,244,142,18,22,0,669,394,299,231,56,51,8,1045,5835,5970,2784,613,617,68,15893
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
