SOSR_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
SOSR501,37,1900,862,350,2262,0.8,1863,2.6
SOSR511,39,1625,769,320,2003,0.7,1598,2.5
SOSR512,40,1564,795,300,2032,0.7,1572,2.4
SOSR513,34,1842,1165,300,2711,0.8,2305,2.6
SOSR514,41,1517,742,300,1807,0.7,1418,2.4
SOSR515,39,1500,774,231,1958,0.8,1519,2.4
SOSR521,43,1300,660,200,1640,0.8,1292,2.3
SOSR522,41,1199,547,140,1314,0.8,1162,2.4
SOSR531,45,1950,838,245,2042,0.8,1725,2.6
SOSR579,40,1733,2123,0,1375,0.7,2250,1.7
SOSR599,40,0,420,0,0,0,0,0
