SOSR_CODE_2021,COB_Aus_Arth,COB_Aus_Asth,COB_Aus_Canc_rem,COB_Aus_Dem_Alzh,COB_Aus_Dia_ges_dia,COB_Aus_HD_HA_ang,COB_Aus_Kid_dis,COB_Aus_LC_COPD_emph,COB_Aus_MHC_dep_anx,COB_Aus_Stroke,COB_Aus_oth_LTHC,COB_Aus_no_LTHC,COB_AUS_LTHC_NS,COB_Aus_Tot,COB_Bo_Ocea_Ant_Arth,COB_Bo_Ocea_Ant_Asth,COB_Bo_Ocea_Ant_Can_rem,COB_Bo_Ocea_Ant_Dem_Alzh,COB_Bo_Ocea_Ant_Dia_ges_dia,COB_Bo_Ocea_Ant_HD_HA_ang,COB_Bo_Ocea_Ant_Kid_dis,COB_Bo_Ocea_Ant_LC_COPD_emph,COB_Bo_Ocea_Ant_MHC_dep_anx,COB_Bo_Ocea_Ant_Stroke,COB_Bo_Ocea_Ant_oth_LTHC,COB_Bo_Ocea_Ant_no_LTHC,COB_Bo_Ocea_Ant_LTHC_NS,COB_Bo_Ocea_Ant_Tot,COB_Bo_UK_CI_IM_Arth,COB_Bo_UK_CI_IM_Asth,COB_Bo_UK_CI_IM_Can_rem,COB_Bo_UK_CI_IM_Dem_Alzh,COB_Bo_UK_CI_IM_Dia_ges_dia,COB_Bo_UK_CI_IM_HD_HA_ang,COB_Bo_UK_CI_IM_Kid_dis,COB_Bo_UK_CI_IM_LC_COPD_emph,COB_Bo_UK_CI_IM_MHC_dep_anx,COB_Bo_UK_CI_IM_Stroke,COB_Bo_UK_CI_IM_oth_LTHC,COB_Bo_UK_CI_IM_no_LTHC,COB_Bo_UK_CI_IM_LTHC_NS,COB_Bo_UK_CI_IM_Tot,COB_Bo_NW_Eu_Arth,COB_Bo_NW_Eu_Asth,COB_Bo_NW_Eu_Can_rem,COB_Bo_NW_Eu_Dem_Alzh,COB_Bo_NW_Eu_Dia_ges_dia,COB_Bo_NW_Eu_HD_HA_ang,COB_Bo_NW_Eu_Kid_dis,COB_Bo_NW_Eu_LC_COPD_emph,COB_Bo_NW_Eu__MHC_Dep_anx,COB_Bo_NW_Eu_Stroke,COB_Bo_NW_Eu_oth_LTHC,COB_Bo_NW_Eu_no_LTHC,COB_Bo_NW_Eu_LTHC_NS,COB_Bo_NW_Eu_Tot,COB_Bo_SE_Eu_Asth,COB_Bo_SE_Eu_Arth,COB_Bo_SE_Eu_Can_rem,COB_Bo_SE_Eu_Dem_Alzh,COB_Bo_SE_Eu_Dia_ges_dia,COB_Bo_SE_Eu_HD_HA_ang,COB_Bo_SE_Eu_Kid_dis,COB_Bo_SE_Eu_LC_COPD_emph,COB_Bo_SE_Eu_MHC_Dep_anx,COB_Bo_SE_Eu_Stroke,COB_Bo_SE_Eu_oth_LTHC,COB_Bo_SE_Eu_no_LTHC,COB_Bo_SE_Eu_LTHC_NS,COB_Bo_SE_Eu_Tot,COB_Bo_NA_ME_Asth,COB_Bo_NA_ME_Arth,COB_Bo_NA_ME_Can_rem,COB_Bo_NA_ME_Dem_Alzh,COB_Bo_NA_ME_Dia_ges_dia,COB_Bo_NA_ME_HD_HA_ang,COB_Bo_NA_ME_Kid_dis,COB_Bo_NA_ME_LC_COPD_emph,COB_Bo_NA_ME_MHC_Dep_anx,COB_Bo_NA_ME_Stroke,COB_Bo_NA_ME_oth_LTHC,COB_Bo_NA_ME_no_LTHC,COB_Bo_NA_ME_LTHC_NS,COB_Bo_NA_ME_Tot,COB_Bo_SE_Asia_Arth,COB_Bo_SE_Asia_Asth,COB_Bo_SE_Asia_Can_rem,COB_Bo_SE_Asia_Dem_Alzh,COB_Bo_SE_Asia_Dia_ges_dia,COB_Bo_SE_Asia_HD_HA_ang,COB_Bo_SE_Asia_Kid_dis,COB_Bo_SE_Asia_LC_COPD_emph,COB_Bo_SE_Asia_MHC_Dep_anx,COB_Bo_SE_Asia_Stroke,COB_Bo_SE_Asia_oth_LTHC,COB_Bo_SE_Asia_no_LTHC,COB_Bo_SE_Asia_LTHC_NS,COB_Bo_SE_Asia_Tot,COB_Bo_NE_Asia_Arth,COB_Bo_NE_Asia_Asth,COB_Bo_NE_Asia_Can_rem,COB_Bo_NE_Asia_Dem_Alzh,COB_Bo_NE_Asia_Dia_ges_dia,COB_Bo_NE_Asia_HD_HA_ang,COB_Bo_NE_Asia_Kid_dis,COB_Bo_NE_Asia_LC_COPD_emph,COB_Bo_NE_Asia_MHC_Dep_anx,COB_Bo_NE_Asia_Stroke,COB_Bo_NE_Asia_oth_LTHC,COB_Bo_NE_Asia_no_LTHC,COB_Bo_NE_Asia_LTHC_NS,COB_Bo_NE_Asia_Tot,COB_Bo_SC_Asia_Arth,COB_Bo_SC_Asia_Asth,COB_Bo_SC_Asia_Can_rem,COB_Bo_SC_Asia_Dem_Alzh,COB_Bo_SC_Asia_Dia_ges_dia,COB_Bo_SC_Asia_HD_HA_ang,COB_Bo_SC_Asia_Kid_dis,COB_Bo_SC_Asia_LC_COPD_emph,COB_Bo_SC_Asia_MHC_Dep_anx,COB_Bo_SC_Asia_Stroke,COB_Bo_SC_Asia_oth_LTHC,COB_Bo_SC_Asia_no_LTHC,COB_Bo_SC_Asia_LTHC_NS,COB_Bo_SC_Asia_Tot,COB_Bo_Amer_Arth,COB_Bo_Amer_Asth,COB_Bo_Amer_Can_rem,COB_Bo_Amer_Dem_Alzh,COB_Bo_Amer_Dia_ges_dia,COB_Bo_Amer_HD_HA_ang,COB_Bo_Amer_Kid_dis,COB_Bo_Amer_LC_COPD_emph,COB_Bo_Amer_MHC_Dep_anx,COB_Bo_Amer_Stroke,COB_Bo_Amer_oth_LTHC,COB_Bo_Amer_no_LTHC,COB_Bo_Amer_LTHC_NS,COB_Bo_Amer_Tot,COB_Bo_SS_Afr_Arth,COB_Bo_SS_Afr_Asth,COB_Bo_SS_Afr_Can_rem,COB_Bo_SS_Afr_Dem_Alzh,COB_Bo_SS_Afr_Dia_ges_dia,COB_Bo_SS_Afr_HD_HA_ang,COB_Bo_SS_Afr_Kid_dis,COB_Bo_SS_Afr_LC_COPD_emph,COB_Bo_SS_Afr_MHC_Dep_anx,COB_Bo_SS_Afr_Stroke,COB_Bo_SS_Afr_oth_LTHC,COB_Bo_SS_Afr_no_LTHC,COB_Bo_SS_Afr_LTHC_NS,COB_Bo_SS_Afr_Tot,COB_Bo_Tot_ob_Arth,COB_Bo_Tot_ob_Asth,COB_Bo_Tot_ob_Can_rem,COB_Bo_Tot_ob_Dem_Alzh,COB_Bo_Tot_ob_Dia_ges_dia,COB_Bo_Tot_ob_HD_HA_ang,COB_Bo_Tot_ob_Kid_dis,COB_Bo_Tot_ob_LC_COPD_emph,COB_Bo_Tot_ob_MHC_Dep_anx,COB_Bo_Tot_ob_Stroke,COB_Bo_Tot_ob_oth_LTHC,COB_Bo_Tot_ob_no_LTHC,COB_Bo_Tot_ob_LTHC_NS,COB_Bo_Tot_ob_Tot,COB_COB_NS_Arth,COB_COB_NS_Asth,COB_COB_NS_Can_rem,COB_COB_NS_Dem_Alzh,COB_COB_NS_Dia_ges_dia,COB_COB_NS_HD_HA_ang,COB_COB_NS_Kid_dis,COB_COB_NS_LC_COPD_emph,COB_COB_NS__MHC_Dep_anx,COB_COB_NS_Stroke,COB_COB_NS_oth_LTHC,COB_COB_NS_no_LTHC,COB_COB_NS_LTHC_NS,COB_COB_NS_Tot,COB_Tot_Arth,COB_Tot_Asth,COB_Tot_Can_rem,COB_Tot_Dem_Alzh,COB_Tot_Dia_ges_dia,COB_Tot_HD_HA_ang,COB_Tot_Kid_dis,COB_Tot_LC_COPD_emph,COB_Tot_MHC_Dep_anx,COB_Tot_Stroke,COB_Tot_oth_LTHC,COB_Tot_no_LTHC,COB_Tot_LTHC_NS,COB_Tot_Tot,LFS_Emp_Arth,LFS_Emp_Asth,LFS_Emp_Can_rem,LFS_Emp_Dem_Alzh
SOSR501,86168,109061,31729,6727,42869,38416,8384,18198,125803,8753,97881,774797,48220,1208128,4742,5256,1817,240,2884,2376,425,1091,4725,505,4180,39253,2367,61014,28912,14946,10142,2668,13203,13295,2439,6630,18663,2974,19364,105843,6854,195840,4417,2229,1786,589,2088,2460,412,1030,2752,536,3481,26264,1152,41292,8001,2037,2613,1388,5314,4293,920,1253,3683,1096,5111,28845,1760,51532,1326,998,397,127,1444,715,210,170,1138,172,1719,18210,853,24802,5545,5496,2196,633,8179,3380,899,739,3910,831,8945,93939,3258,126712,901,770,576,118,1597,622,184,139,948,170,2333,40080,767,47457,3139,2332,923,353,5565,2292,476,503,1818,377,3842,74018,1986,91229,1737,1650,752,121,989,713,147,284,2142,168,2122,19804,663,27988,3922,3951,1718,289,3303,1997,411,614,4316,392,5112,52944,2002,73903,62643,39662,22922,6514,44563,32145,6524,12451,44088,7227,56211,499191,21668,741771,1983,903,630,541,1123,1028,279,504,1141,333,1007,5982,82463,93859,150792,149625,55273,13782,88559,71588,15191,31153,171025,16314,155098,1279967,152348,2043762,48480,79781,18372,242
SOSR511,5492,5476,1698,414,2708,2035,462,1038,6476,492,4708,33241,2851,56218,210,230,81,14,130,81,23,59,197,19,137,1461,121,2359,957,424,282,84,447,386,80,234,532,93,541,2284,208,4830,156,51,45,22,91,81,13,40,81,24,107,577,34,1045,130,20,50,27,90,82,19,26,40,19,71,335,31,675,11,5,5,0,17,5,5,4,12,0,9,182,18,245,59,60,19,3,104,36,9,6,39,7,91,1387,52,1769,5,11,3,0,8,4,5,0,3,0,17,518,20,580,29,18,5,0,46,12,10,0,8,0,32,742,24,892,37,31,11,0,24,16,0,8,35,3,40,305,14,462,137,155,56,14,93,69,4,22,153,17,181,1518,58,2207,1736,1004,564,168,1057,771,156,405,1102,188,1233,9308,586,15065,87,39,26,14,43,36,7,17,55,11,38,209,3463,3908,7317,6522,2284,596,3804,2838,629,1461,7631,694,5977,42762,6899,75196,2336,3084,686,22
SOSR512,8318,8397,2860,788,4574,3585,941,1725,9468,895,7094,52729,4554,88392,341,342,136,21,223,174,38,85,292,38,263,2724,204,4238,1522,590,493,192,705,672,129,354,808,175,886,3222,268,7191,242,85,83,39,126,115,20,56,117,34,143,909,52,1572,141,30,45,34,117,103,23,31,73,19,93,435,33,840,9,4,3,0,11,8,0,0,14,4,11,187,15,253,107,120,30,3,168,54,16,12,68,8,167,2724,135,3426,10,9,5,0,4,4,0,0,11,0,12,538,32,619,41,38,10,0,93,33,8,6,23,9,62,1048,36,1305,65,51,27,13,39,31,5,6,68,11,83,516,20,808,142,132,57,10,113,79,8,17,187,18,170,1898,74,2665,2625,1410,893,316,1598,1281,247,567,1641,303,1886,14208,868,22924,196,72,64,43,99,99,25,58,110,33,80,492,7857,8826,11137,9884,3815,1144,6262,4965,1214,2355,11221,1227,9058,67424,13283,120142,3503,4852,1204,13
SOSR513,2180,3619,815,173,1523,1053,315,528,3393,211,2659,31623,2105,45309,157,217,71,6,109,76,8,38,157,10,148,2020,116,2880,440,289,141,61,240,206,42,108,421,49,350,2468,151,4137,78,38,32,5,39,33,4,17,60,14,74,646,32,929,35,12,13,6,24,22,0,6,22,6,20,344,18,471,9,3,0,0,8,8,0,0,11,0,10,129,7,166,55,45,20,5,101,28,23,3,31,6,87,1866,69,2235,9,11,3,0,8,4,5,0,13,0,17,396,8,458,22,20,8,0,47,12,0,4,11,0,32,784,15,912,22,21,12,0,21,11,0,8,46,7,53,412,11,563,71,70,32,8,63,41,6,4,104,7,87,1187,45,1604,896,742,337,97,654,445,94,186,870,101,875,10243,457,14357,60,60,22,6,45,37,14,23,49,14,33,402,7906,8533,3139,4423,1165,275,2221,1540,428,742,4305,330,3567,42267,10472,68192,1499,2542,524,12
SOSR514,1920,1832,620,138,1000,789,178,387,2069,214,1562,13004,909,20908,67,61,29,6,41,35,10,17,56,8,58,506,24,792,342,133,106,38,150,134,19,72,200,46,190,999,55,1917,61,23,37,4,39,29,3,11,33,3,44,410,16,626,49,11,15,4,27,14,3,3,19,10,12,169,13,282,3,4,0,0,4,0,0,0,6,0,4,32,0,43,15,13,8,0,21,11,0,4,5,6,21,389,5,475,0,5,5,0,0,0,0,0,5,0,9,148,6,177,9,4,9,0,17,8,4,0,6,0,10,152,5,189,13,17,10,0,7,6,0,0,28,3,23,223,10,311,31,32,10,5,15,22,3,4,34,3,35,220,11,361,609,300,226,53,308,270,51,123,394,82,394,3252,146,5164,65,27,19,13,27,27,5,23,36,8,27,183,2066,2397,2595,2161,873,210,1339,1086,228,531,2497,300,1986,16439,3116,28471,720,1023,258,0
SOSR515,5976,5765,1903,401,3361,2624,647,1235,6317,570,4825,41041,2859,65508,283,285,97,12,178,142,37,86,243,29,161,2110,123,3221,1122,456,352,98,523,467,93,310,594,137,670,2634,231,5700,183,63,59,28,80,80,15,35,90,23,108,732,49,1267,135,47,41,21,97,76,25,24,54,21,75,384,36,770,11,10,3,0,11,6,0,4,3,0,11,127,10,168,69,79,27,3,114,31,13,3,50,13,124,1934,61,2389,11,7,0,0,13,0,0,0,16,0,16,377,9,434,27,11,9,4,41,12,0,8,11,7,26,545,30,672,52,36,11,4,33,23,10,7,39,9,47,421,19,624,82,85,38,3,55,34,4,17,92,10,87,947,37,1337,1971,1081,646,183,1145,873,200,495,1193,238,1316,10221,600,16585,227,109,73,47,134,111,32,46,116,40,98,829,8982,10433,8178,6952,2626,633,4643,3611,877,1779,7627,842,6242,52090,12442,92523,2560,3401,794,14
SOSR521,2810,2468,899,169,1707,1298,307,704,2598,295,1993,16495,1207,27316,113,98,39,9,64,44,12,33,99,12,78,714,51,1177,513,219,150,31,235,205,37,137,267,56,265,1038,80,2322,74,34,29,10,36,38,9,24,30,10,40,298,12,521,54,8,10,6,30,29,7,3,17,4,27,115,12,247,9,0,0,0,0,0,0,0,0,0,3,27,0,38,29,30,6,0,30,9,9,4,22,7,30,636,34,791,0,0,5,0,0,3,0,0,0,0,3,123,4,140,9,0,5,4,11,9,0,0,10,4,9,133,0,165,19,24,6,0,9,12,3,4,21,0,18,126,9,198,42,27,14,0,18,17,3,8,34,4,35,338,14,498,869,444,267,51,439,376,74,218,502,101,498,3549,211,6105,137,78,37,18,82,69,17,35,72,25,53,391,3768,4510,3814,2990,1201,241,2228,1740,395,960,3173,422,2547,20432,5192,37925,1167,1297,360,13
SOSR522,1551,1309,499,86,1228,828,187,398,1336,173,1217,10171,883,16506,54,51,22,0,28,20,5,18,43,8,45,318,21,546,260,93,79,25,117,132,24,68,139,38,139,569,39,1245,36,11,14,4,21,16,6,4,22,3,19,136,7,251,15,5,3,0,10,14,0,9,7,0,12,57,3,103,0,0,0,0,0,0,0,0,5,0,0,13,4,19,15,6,6,0,7,5,4,3,7,0,3,168,11,214,0,0,0,0,0,0,0,0,0,0,0,39,0,44,3,0,0,0,10,6,0,4,0,0,5,86,0,106,11,4,3,0,4,7,0,3,12,0,15,57,5,93,13,15,9,3,9,10,3,4,13,0,19,109,5,172,411,196,129,37,208,205,42,112,244,51,259,1551,93,2797,37,29,17,9,37,24,4,14,20,11,17,173,1985,2282,1998,1537,645,132,1472,1059,233,517,1606,238,1495,11896,2958,21588,579,644,193,3
SOSR531,9525,8898,3469,356,4636,4169,821,1689,8754,789,7610,74064,6741,115588,436,317,147,17,183,181,32,90,271,37,303,3032,323,4755,2140,926,730,109,817,845,143,400,1030,183,1117,6575,524,12458,326,131,126,27,147,181,23,80,164,35,208,1771,109,2815,243,51,57,21,154,158,31,46,85,42,140,890,85,1598,9,9,15,0,18,8,0,0,6,0,17,145,123,326,94,75,40,4,126,47,14,13,46,7,127,1719,206,2371,16,11,10,0,11,7,0,3,9,0,24,483,53,604,47,33,10,0,41,31,3,17,29,5,43,359,109,639,113,74,37,9,46,51,5,23,88,16,97,794,61,1227,230,175,105,16,122,94,14,33,173,19,184,1878,162,2892,3655,1799,1263,207,1664,1597,269,703,1899,342,2267,17638,1757,29675,291,132,114,24,140,135,31,87,148,32,145,1226,16410,18388,13471,10828,4841,582,6443,5901,1122,2486,10806,1168,10018,92926,24904,163652,5871,6099,2086,40
SOSR579,3,10,4,0,0,8,0,0,7,0,5,124,0,151,0,5,0,0,0,4,0,0,0,0,0,18,0,28,0,3,0,0,0,0,0,0,0,0,0,24,0,30,0,0,0,0,0,0,0,0,0,0,0,14,0,18,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,6,40,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,15,7,4,0,0,0,6,0,0,4,0,7,124,3,146,0,0,0,0,0,0,0,0,0,0,0,0,211,217,14,16,8,0,0,9,0,0,8,3,8,248,226,514,13,17,4,0
