SOSR_CODE_2021,M_AgriForestFish_0,M_AgriForestFish_1_19,M_AgriForestFish_20_29,M_AgriForestFish_30_34,M_AgriForestFish_35_39,M_AgriForestFish_40_44,M_AgriForestFish_45_49,M_AgriForestFish_50_over,M_AgriForestFish_hours_NS,M_AgriForestFish_Tot,M_Min_0,M_Min_1_19,M_Min_20_29,M_Min_30_34,M_Min_35_39,M_Min_40_44,M_Min_45_49,M_Min_50_over,M_Min_hours_NS,M_Min_Tot,M_Mnfg_0,M_Mnfg_1_19,M_Mnfg_20_29,M_Mnfg_30_34,M_Mnfg_35_39,M_Mnfg_40_44,M_Mnfg_45_49,M_Mnfg_50_over,M_Mnfg_hours_NS,M_Mnfg_Tot,M_EGW_WS_0,M_EGW_WS_1_19,M_EGW_WS_20_29,M_EGW_WS_30_34,M_EGW_WS_35_39,M_EGW_WS_40_44,M_EGW_WS_45_49,M_EGW_WS_50_over,M_EGW_WS_hours_NS,M_EGW_WS_Tot,M_Cnstn_0,M_Cnstn_1_19,M_Cnstn_20_29,M_Cnstn_30_34,M_Cnstn_35_39,M_Cnstn_40_44,M_Cnstn_45_49,M_Cnstn_50_over,M_Cnstn_hours_NS,M_Cnstn_Tot,M_WTrade_0,M_WTrade_1_19,M_WTrade_20_29,M_WTrade_30_34,M_WTrade_35_39,M_WTrade_40_44,M_WTrade_45_49,M_WTrade_50_over,M_WTrade_hours_NS,M_WTrade_Tot,M_RTrade_0,M_RTrade_1_19,M_RTrade_20_29,M_RTrade_30_34,M_RTrade_35_39,M_RTrade_40_44,M_RTrade_45_49,M_RTrade_50_over,M_RTrade_hours_NS,M_RTrade_Tot,M_AccomFoodS_0,M_AccomFoodS_1_19,M_AccomFoodS_20_29,M_AccomFoodS_30_34,M_AccomFoodS_35_39,M_AccomFoodS_40_44,M_AccomFoodS_45_49,M_AccomFoodS_50_over,M_AccomFoodS_hours_NS,M_AccomFoodS_Tot,M_TransPostWhse_0,M_TransPostWhse_1_19,M_TransPostWhse_20_29,M_TransPostWhse_30_34,M_TransPostWhse_35_39,M_TransPostWhse_40_44,M_TransPostWhse_45_49,M_TransPostWhse_50_over,M_TransPostWhse_hours_NS,M_TransPostWhse_Tot,M_InfoMedTelecom_0,M_InfoMedTelecom_1_19,M_InfoMedTelecom_20_29,M_InfoMedTelecom_30_34,M_InfoMedTelecom_35_39,M_InfoMedTelecom_40_44,M_InfoMedTelecom_45_49,M_InfoMedTelecom_50_over,M_InfoMedTelecom_hours_NS,M_InfoMedTelecom_Tot,M_FinInsurS_0,M_FinInsurS_1_19,M_FinInsurS_20_29,M_FinInsurS_30_34,M_FinInsurS_35_39,M_FinInsurS_40_44,M_FinInsurS_45_49,M_FinInsurS_50_over,M_FinInsurS_hours_NS,M_FinInsurS_Tot,M_RentHirREserv_0,M_RentHirREserv_1_19,M_RentHirREserv_20_29,M_RentHirREserv_30_34,M_RentHirREserv_35_39,M_RentHirREserv_40_44,M_RentHirREserv_45_49,M_RentHirREserv_50_over,M_RentHirREserv_hours_NS,M_RentHirREserv_Tot,M_ProScieTechServ_0,M_ProScieTechServ_1_19,M_ProScieTechServ_20_29,M_ProScieTechServ_30_34,M_ProScieTechServ_35_39,M_ProScieTechServ_40_44,M_ProScieTechServ_45_49,M_ProScieTechServ_50_over,M_ProScieTechServ_hours_NS,M_ProScieTechServ_Tot,M_AdminSupServ_0,M_AdminSupServ_1_19,M_AdminSupServ_20_29,M_AdminSupServ_30_34,M_AdminSupServ_35_39,M_AdminSupServ_40_44,M_AdminSupServ_45_49,M_AdminSupServ_50_over,M_AdminSupServ_hours_NS,M_AdminSupServ_Tot,M_PubAdmiSafety_0,M_PubAdmiSafety_1_19,M_PubAdmiSafety_20_29,M_PubAdmiSafety_30_34,M_PubAdmiSafety_35_39,M_PubAdmiSafety_40_44,M_PubAdmiSafety_45_49,M_PubAdmiSafety_50_over,M_PubAdmiSafety_hours_NS,M_PubAdmiSafety_Tot,M_EducTrain_0,M_EducTrain_1_19,M_EducTrain_20_29,M_EducTrain_30_34,M_EducTrain_35_39,M_EducTrain_40_44,M_EducTrain_44_49,M_EducTrain_50_over,M_EducTrain_hours_NS,M_EducTrain_Tot,M_HealthCareSocA_0,M_HealthCareSocA_1_19,M_HealthCareSocA_20_29,M_HealthCareSocA_30_34,M_HealthCareSocA_35_39,M_HealthCareSocA_40_44,M_HealthCareSocA_45_49,M_HealthCareSocA_50_over,M_HealthCareSocA_hours_NS,M_HealthCareSocA_Tot,M_ArtRecServ_0,M_ArtRecServ_1_19,M_ArtRecServ_20_29,M_ArtRecServ_30_34,M_ArtRecServ_35_39,M_ArtRecServ_40_44,M_ArtRecServ_45_49,M_ArtRecServ_50_over,M_ArtRecServ_hours_NS,M_ArtRecServ_Tot,M_OthServ_0,M_OthServ_1_19,M_OthServ_20_29,M_OthServ_30_34,M_OthServ_35_39,M_OthServ_40_44,M_OthServ_45_49,M_OthServ_50_over,M_OthServ_hours_NS,M_OthServ_Tot,M_ID_NS_0,M_ID_NS_1_19,M_ID_NS_20_29,M_ID_NS_30_34,M_ID_NS_35_39,M_ID_NS_40_44,M_ID_NS_45_49,M_ID_NS_50_over,M_ID_NS_hours_NS,M_ID_NS_Tot
SOSR501,136,402,356,276,560,831,277,790,56,3685,4502,1289,1170,622,3932,8759,5287,25655,773,51988,1040,1666,1510,1225,9614,11223,4581,8031,262,39152,261,239,223,246,2161,2217,835,1708,69,7958,2246,3534,3790,3714,10378,22655,7570,20681,934,75508,469,819,706,570,3901,5435,1868,4035,111,17915,1042,8877,5223,2623,7126,6746,2261,4377,345,38615,783,10223,4778,2020,3767,3524,1303,3485,348,30246,1579,2657,3051,2046,5669,8849,3488,7798,508,35653,125,576,390,288,1389,1570,377,741,30,5488,238,503,512,429,2691,3892,1021,2258,57,11597,127,638,523,334,1098,1705,743,1928,53,7159,974,2781,2230,1931,8780,16037,4302,9172,198,46400,515,2480,2195,1126,2656,3075,849,2164,172,15220,1532,1631,1355,1076,9211,10067,2871,4169,230,32147,631,3906,1960,1411,4933,5397,1821,3438,121,23622,996,3130,3213,2868,7763,6529,1854,3775,242,30366,274,2401,976,676,1590,1490,433,895,77,8819,478,1658,1506,1034,4067,5112,1831,3669,232,19575,823,2448,1766,1323,5477,7478,2050,4964,4280,30609
SOSR511,14,40,22,17,44,69,18,109,0,338,257,55,55,21,135,360,232,1140,39,2301,119,61,67,59,420,905,393,508,6,2538,24,19,15,10,149,162,81,114,0,577,113,122,114,118,353,805,314,1278,37,3255,20,17,14,14,75,121,51,136,0,438,41,241,150,101,232,221,104,151,12,1247,39,335,110,62,94,87,33,87,13,863,48,62,62,52,127,209,98,392,14,1068,0,20,10,3,31,25,11,12,0,112,5,8,3,5,35,40,17,42,0,159,11,14,11,3,30,33,19,42,0,172,15,52,35,24,96,192,59,153,3,620,22,62,42,35,65,67,19,68,4,370,59,40,49,32,222,245,57,95,3,807,20,65,48,44,135,136,49,95,6,598,52,82,122,110,216,174,49,122,3,924,3,34,5,11,19,16,5,15,0,121,28,50,38,31,131,174,77,170,4,709,41,63,29,23,125,151,71,176,129,808
SOSR512,61,118,91,70,101,204,98,296,13,1057,415,146,129,39,181,474,511,3001,74,4968,58,64,55,50,253,420,359,491,16,1760,16,19,9,18,136,113,58,123,8,494,185,181,184,193,571,1114,437,1251,57,4175,21,33,29,16,106,252,133,316,3,920,69,462,267,179,432,420,174,253,14,2276,57,528,235,132,245,238,88,189,29,1740,104,132,121,105,180,383,217,751,38,2026,7,22,9,8,37,25,12,30,0,155,13,6,14,9,46,64,26,43,0,222,13,22,16,15,30,72,24,126,4,324,18,82,68,63,155,242,79,270,14,994,50,116,94,68,103,107,47,96,8,689,116,91,58,43,376,584,131,244,12,1649,39,114,70,80,245,284,107,176,6,1113,66,154,152,169,380,312,90,160,12,1488,7,68,25,17,37,27,10,19,0,213,50,83,56,33,192,349,121,406,16,1304,58,98,78,63,148,216,91,287,219,1256
SOSR513,30,35,17,22,33,104,27,176,7,455,369,110,75,28,206,466,454,1879,78,3669,27,38,16,15,107,182,99,288,5,769,21,8,11,9,46,102,54,152,0,408,88,104,92,101,240,550,268,1086,39,2568,25,16,11,13,67,123,93,202,0,553,27,187,81,55,171,193,71,145,11,937,27,176,84,52,134,129,50,193,11,857,102,72,69,48,211,334,139,746,28,1746,3,9,3,9,22,28,9,6,0,84,4,0,0,3,21,19,6,20,0,79,6,7,10,4,30,48,37,88,0,232,12,22,21,20,71,120,34,131,5,426,25,55,47,20,81,74,44,130,5,478,81,37,11,29,232,348,130,214,22,1092,29,43,23,42,153,190,57,88,4,636,29,46,47,55,192,172,30,102,8,678,3,29,4,0,18,24,8,20,0,121,18,42,24,30,92,162,75,277,6,717,48,56,29,22,108,195,74,298,191,1017
SOSR514,9,14,10,19,28,96,21,49,3,246,118,21,26,5,28,163,100,426,14,910,37,34,33,30,118,201,65,97,9,615,7,0,5,4,66,76,27,48,3,238,62,51,55,67,160,281,85,272,18,1052,7,9,6,7,17,40,15,37,3,149,21,105,63,42,82,72,10,45,4,440,29,150,76,47,79,90,32,78,9,588,15,29,38,19,18,61,22,65,0,253,0,4,7,0,8,4,0,5,0,29,0,3,4,0,7,18,0,11,0,50,5,3,4,3,5,24,3,20,0,70,18,16,15,16,35,56,17,42,4,215,15,40,33,15,30,31,12,30,0,210,29,8,12,12,81,84,27,45,8,291,10,33,14,15,42,47,31,31,0,221,7,21,29,30,54,42,17,29,10,233,5,19,9,7,9,7,7,4,0,76,8,30,13,12,41,73,21,49,4,244,16,28,15,21,31,57,24,72,47,316
SOSR515,67,140,102,91,180,329,99,407,44,1465,485,124,103,24,211,409,494,2279,99,4231,64,89,86,74,459,362,165,327,33,1665,26,32,13,18,95,114,53,114,8,473,130,125,147,143,318,715,273,955,49,2848,25,46,18,18,69,155,73,219,6,626,40,272,115,88,199,282,87,172,15,1268,35,204,94,58,127,123,61,160,14,863,68,101,104,64,134,220,98,454,23,1274,0,7,5,8,11,23,8,10,0,89,0,3,4,3,13,35,14,26,0,103,3,18,3,4,22,28,15,81,0,176,19,45,27,18,80,153,42,118,4,515,32,78,63,53,82,83,39,111,9,562,101,58,41,36,359,538,151,237,12,1535,22,76,64,65,171,182,64,118,3,766,36,66,76,66,217,172,38,93,4,772,9,27,17,6,31,40,5,25,4,166,33,58,40,28,127,245,82,223,22,849,49,104,47,51,125,195,62,217,187,1034
SOSR521,40,75,63,42,57,194,68,195,31,768,170,52,47,11,47,123,131,842,36,1467,22,34,24,13,112,159,87,162,11,620,7,7,10,4,36,32,13,36,0,153,54,64,60,54,115,209,102,340,27,1018,8,14,11,5,26,87,31,86,0,271,12,80,25,21,53,52,28,87,5,363,14,80,39,21,36,40,18,68,18,323,26,55,41,22,47,74,41,175,19,484,0,0,0,0,3,7,0,7,0,27,0,8,0,4,4,8,0,3,0,27,3,4,0,0,3,14,0,17,0,47,6,19,11,8,27,35,10,40,3,156,13,35,23,25,28,29,16,43,3,210,36,21,22,25,165,235,60,107,9,679,13,20,20,10,38,82,24,35,0,244,14,26,35,24,73,46,17,32,9,278,9,12,3,4,11,18,7,14,0,78,9,12,13,9,42,75,32,72,6,273,39,32,19,11,49,66,33,95,99,443
SOSR522,37,45,34,52,60,141,56,181,14,622,55,23,14,7,18,39,27,280,12,479,16,10,7,5,42,52,20,62,0,213,0,4,7,0,14,27,6,22,3,84,24,20,26,33,47,100,39,138,6,442,12,3,0,4,3,63,20,33,0,143,11,13,15,15,27,32,13,46,5,176,11,25,24,19,41,32,17,52,3,217,9,30,27,12,13,52,14,114,0,279,0,0,0,0,3,8,0,0,0,14,0,8,0,0,6,0,0,0,0,10,0,0,3,0,4,3,4,9,0,23,5,11,0,0,9,20,0,19,0,71,9,19,10,5,13,15,8,39,0,115,17,22,13,19,113,146,44,75,8,460,0,15,26,19,25,52,17,40,4,196,8,15,16,6,25,25,14,13,0,128,3,6,0,0,5,10,4,5,0,48,6,10,15,9,26,43,15,45,3,166,15,17,14,6,28,36,13,34,67,236
SOSR531,403,606,619,474,559,1895,930,5624,198,11302,809,221,135,52,295,504,472,4399,144,7035,115,147,133,105,468,632,298,727,32,2657,33,31,16,24,117,139,64,147,7,578,281,340,293,300,581,1324,457,2128,96,5792,45,62,55,50,140,274,150,353,21,1150,66,358,177,94,227,254,101,309,22,1616,59,405,147,82,138,152,63,370,26,1448,140,179,168,100,166,371,140,810,31,2110,7,22,17,9,20,50,9,28,0,168,9,22,21,21,47,72,14,64,0,262,13,39,32,19,34,64,30,162,4,393,49,134,104,75,132,307,99,381,19,1293,41,148,110,72,100,137,60,254,19,948,126,115,78,49,486,600,174,331,20,1973,49,160,97,72,194,234,95,152,14,1065,56,135,113,98,174,145,57,90,9,872,26,74,44,25,68,74,27,99,0,433,59,100,82,75,222,381,147,433,20,1520,138,178,117,83,215,363,110,429,342,1973
SOSR579,0,0,0,0,0,0,0,28,5,32,4,0,0,0,5,0,4,59,0,77,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,30,0,40,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,25,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,31,0,36
