SOSR_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
SOSR501,120974,246123,148990,123372,127920,81572,70332,88524,16875,1024680
SOSR511,3023,5683,6448,4208,3979,3131,3555,4415,553,34998
SOSR512,5538,9043,10153,7132,6074,5015,5732,6442,859,55980
SOSR513,3650,5275,6712,3668,3933,2299,3428,3374,761,33096
SOSR514,1405,1890,2397,1579,1189,1135,1060,1754,208,12611
SOSR515,4076,5486,7664,4846,4235,2896,4925,5578,856,40565
SOSR521,1823,1888,2544,1784,1522,942,1964,2116,335,14926
SOSR522,1099,1006,1210,1009,761,440,936,1055,206,7723
SOSR531,18991,10329,12899,6510,7848,4167,8214,9320,1511,79789
SOSR579,9,33,83,9,10,0,31,98,6,277
SOSR599,107,257,272,223,150,77,213,292,33,1614
