SOSR_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOSR501,2002,4345,9896,8626,7402,5480,1771,241,15,39786,2189,4708,11490,11297,9435,6460,2044,447,95,48169,55204,94947,230057,236108,208557,152624,42173,4679,336,1024680
SOSR511,77,165,329,278,299,211,59,9,0,1428,87,121,277,286,226,191,65,11,6,1278,2450,2821,6793,7675,7685,5932,1487,136,12,34998
SOSR512,178,297,524,480,474,344,124,10,0,2435,164,192,399,402,410,322,126,32,7,2058,4008,4541,10678,11465,12161,9976,2813,306,31,55980
SOSR513,90,119,360,339,246,146,29,0,0,1329,96,160,386,396,302,203,54,14,3,1599,1814,2306,8142,8488,6688,4537,1024,89,8,33096
SOSR514,34,40,105,117,98,60,19,4,0,481,29,50,87,134,124,72,36,7,0,539,805,807,2308,3036,2856,2080,641,74,5,12611
SOSR515,128,178,365,293,295,229,56,6,0,1546,120,141,353,294,345,313,97,33,3,1704,2276,3003,8421,8599,8561,7250,2135,302,16,40565
SOSR521,35,46,103,95,108,90,28,0,0,497,55,56,116,122,142,153,66,19,6,743,727,991,2698,2886,3253,3205,998,146,17,14926
SOSR522,15,31,53,51,47,57,18,5,0,278,17,24,77,53,73,61,38,16,9,358,320,561,1446,1426,1605,1669,583,95,5,7723
SOSR531,230,242,417,522,578,534,166,12,0,2699,227,252,421,535,742,707,320,117,16,3337,4212,5141,11122,14540,18726,17795,6706,1400,147,79789
SOSR579,0,0,0,0,0,0,0,0,0,4,0,8,6,16,5,4,3,0,0,35,5,17,62,95,59,33,5,0,0,277
SOSR599,6,9,16,12,3,10,0,0,0,52,3,7,22,25,10,11,3,0,0,78,53,185,501,355,248,216,45,0,0,1614
