SOSR_CODE_2021,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_SAR_Ch_0_4,P_Hong_Kong_SAR_Ch_5_14,P_Hong_Kong_SAR_Ch_15_24,P_Hong_Kong_SAR_Ch_25_44,P_Hong_Kong_SAR_Ch_45_54,P_Hong_Kong_SAR_Ch_55_64,P_Hong_Kong_SAR_Ch_65_74,P_Hong_Kong_SAR_Ch_75_84,P_Hong_Kong_SAR_Ch_85ov,P_Hong_Kong_SAR_Ch_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_North_Macedonia_0_4,P_North_Macedonia_5_14,P_North_Macedonia_15_24,P_North_Macedonia_25_44,P_North_Macedonia_45_54,P_North_Macedonia_55_64,P_North_Macedonia_65_74,P_North_Macedonia_75_84,P_North_Macedonia_85ov,P_North_Macedonia_Tot
SOSR501,21,178,361,2274,1271,1132,1839,1285,336,8689,3,26,58,140,119,253,466,573,364,1999,64,345,759,2633,761,774,647,175,67,6221,469,3448,5129,32229,6225,4209,3476,2090,715,57989,134,683,1373,5682,2264,1183,1114,392,106,12937,22,323,524,3133,948,641,389,158,62,6198,15,250,377,1513,708,421,167,58,13,3524,61,855,901,7813,1876,1730,1543,973,345,16100,17,206,324,2410,965,1744,4241,3767,2426,16109,98,303,347,1819,1037,389,225,85,33,4341,54,344,425,3651,882,413,165,53,13,5998,3,45,63,317,231,228,179,65,12,1143,116,1303,3106,11070,4607,4251,4378,1780,434,31049,0,6,12,59,50,134,269,163,52,743,6,140,498,2140,563,666,538,245,111,4909,13,143,559,2836,1466,1557,1372,578,299,8838,14,112,728,3044,195,72,30,4,0,4201,31,141,242,866,702,714,1877,1520,663,6752,395,3590,5452,19622,10248,9991,5744,1772,339,57154,6,34,75,793,538,645,715,359,154,3318
SOSR511,0,3,8,38,23,41,80,50,14,260,0,0,0,3,4,3,6,9,3,25,0,6,3,27,4,7,0,0,0,48,5,58,25,362,58,30,24,18,8,586,0,9,18,73,15,6,7,0,0,132,0,5,0,30,5,0,0,0,0,46,0,7,4,20,6,5,0,0,0,43,6,18,30,110,55,34,43,17,4,326,0,0,6,23,16,27,100,89,67,325,0,8,0,28,20,4,0,0,0,63,0,3,12,87,12,0,0,0,0,116,0,0,0,15,6,11,7,5,0,45,0,9,11,86,34,25,19,14,0,194,0,0,0,0,0,8,4,6,0,18,0,0,3,24,6,9,10,8,3,59,0,3,4,25,7,8,6,4,0,51,0,4,7,53,0,0,0,0,0,62,0,6,0,20,36,34,89,61,22,275,17,143,208,698,430,427,261,65,19,2267,0,0,0,0,0,3,0,0,0,4
SOSR512,0,8,9,112,52,57,124,79,27,459,0,0,0,0,0,8,0,3,4,24,0,0,8,29,9,10,5,0,0,58,13,59,49,486,99,45,40,41,15,839,0,23,30,121,52,13,14,9,3,260,0,3,3,32,9,4,4,0,0,60,0,3,0,5,6,0,0,0,0,16,0,16,15,148,41,31,44,30,8,319,0,4,4,41,18,34,72,90,68,328,0,0,4,23,20,5,8,7,0,65,0,3,11,70,6,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,3,15,85,28,46,20,9,4,219,0,0,0,0,0,9,3,14,0,26,0,0,4,17,6,7,3,0,0,37,0,6,9,73,25,18,16,5,0,146,0,6,6,50,9,0,0,0,0,73,0,9,0,42,36,39,142,108,28,410,23,212,343,1186,678,765,412,133,30,3776,0,0,0,0,0,4,4,0,0,10
SOSR513,0,0,13,99,40,31,41,31,7,271,0,0,0,3,0,3,4,0,0,22,4,3,0,29,4,4,6,0,0,59,9,51,17,383,73,34,18,10,4,593,4,29,22,103,31,14,6,0,0,211,0,0,0,10,7,5,0,0,0,22,0,0,0,6,0,0,0,0,0,6,3,3,13,178,23,17,17,9,3,270,0,0,6,54,12,11,13,15,4,102,0,3,0,25,18,0,0,3,0,48,0,0,3,38,3,0,0,0,0,48,0,0,0,4,0,0,0,0,0,8,0,4,12,72,24,18,3,6,3,137,0,0,0,0,0,3,8,0,0,14,0,3,7,38,12,9,4,0,0,73,0,7,0,16,14,8,0,7,0,49,0,0,5,34,4,0,0,0,0,43,0,0,13,35,14,18,30,16,7,127,19,168,206,1022,513,483,197,40,7,2651,0,0,0,9,5,8,12,0,0,31
SOSR514,0,0,8,73,19,19,72,30,10,228,0,0,0,4,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,9,0,4,3,59,10,10,11,14,0,116,0,11,3,28,6,0,0,4,0,56,0,4,0,3,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,4,10,40,15,10,26,10,0,127,0,0,0,74,5,0,18,21,14,129,0,7,3,22,5,0,0,0,0,34,0,0,0,32,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,3,0,0,0,12,5,9,4,5,0,35,0,0,0,0,0,5,0,4,0,3,0,0,0,0,0,0,0,0,0,8,0,0,5,0,0,6,0,0,0,6,0,0,0,5,0,0,0,0,0,8,0,0,4,11,4,11,34,19,4,86,11,34,51,218,137,137,93,26,6,715,0,0,0,0,0,0,0,0,0,0
SOSR515,0,0,8,87,54,50,89,68,19,366,0,0,0,6,0,3,6,6,4,17,0,0,6,21,4,3,0,0,0,36,0,23,9,198,28,37,19,17,3,341,0,20,14,87,38,11,9,0,0,181,0,0,3,10,3,0,0,0,0,19,0,0,0,5,0,0,0,0,0,0,0,16,11,123,32,42,30,20,8,287,0,4,3,41,9,29,79,95,56,323,0,6,4,23,6,0,3,0,0,50,0,3,3,34,0,0,0,0,0,47,0,0,0,3,0,4,6,0,0,13,5,3,11,89,35,34,24,8,0,205,0,0,0,0,0,10,6,6,0,19,0,3,0,13,6,8,5,0,0,33,0,0,10,65,41,15,12,0,4,156,0,5,0,18,0,0,0,0,0,26,0,3,13,33,25,34,111,72,23,310,39,127,199,883,558,575,365,113,21,2862,0,0,0,0,3,3,8,10,7,27
SOSR521,0,0,4,37,19,15,52,39,9,165,0,0,0,0,3,0,0,0,0,7,0,0,0,10,3,5,0,0,0,15,3,6,6,67,14,15,3,10,0,128,0,0,0,21,5,7,3,0,0,45,0,0,0,6,0,0,0,0,0,11,0,0,0,0,3,0,0,0,0,3,0,9,4,59,12,16,12,13,0,115,0,0,0,12,3,11,19,22,20,91,0,0,0,8,5,0,5,0,0,14,0,0,0,10,5,0,0,0,0,14,0,0,0,4,0,0,0,0,0,4,0,0,9,19,4,9,7,6,0,53,0,0,0,0,0,0,3,0,0,11,0,0,0,4,0,3,0,0,0,8,0,0,0,0,0,3,4,0,0,10,0,0,0,4,0,0,0,0,0,6,0,0,0,15,11,19,40,26,6,123,4,20,48,283,226,267,165,40,5,1059,0,0,0,0,0,0,5,0,0,5
SOSR522,0,0,5,10,3,13,18,9,5,68,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,3,0,0,4,0,4,8,39,4,8,7,0,6,70,0,4,0,8,3,6,4,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,27,9,12,5,4,4,57,0,0,0,8,0,5,18,3,6,29,0,0,0,3,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,8,0,0,0,6,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,3,0,0,6,0,0,0,10,0,0,0,0,0,13,0,0,3,6,6,9,26,17,5,73,0,13,43,125,94,126,92,14,4,504,0,0,0,0,0,0,0,0,0,0
SOSR531,4,7,41,189,123,142,213,92,3,823,0,0,0,5,0,4,12,10,7,40,0,5,9,37,11,11,8,0,0,76,0,3,15,139,49,72,56,49,8,390,3,15,10,77,35,12,22,6,3,193,0,0,3,46,8,8,4,0,0,70,0,0,0,23,11,5,0,0,0,35,0,9,20,198,75,74,81,51,16,511,4,0,12,102,24,86,253,156,59,690,0,0,7,48,16,14,7,3,0,94,0,0,10,34,6,7,0,0,0,58,0,0,0,10,8,5,0,0,0,27,5,8,24,124,66,69,50,12,3,356,0,0,0,3,3,9,23,16,0,52,0,0,6,22,16,17,12,0,5,72,0,0,3,16,13,21,18,4,0,81,0,0,0,12,0,0,0,0,0,18,0,3,12,81,72,104,232,127,24,657,12,100,204,1138,937,1148,616,142,17,4309,0,0,0,5,0,9,5,8,6,29
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,19,5,6,0,0,0,27,0,0,0,0,0,0,0,0,0,0
