SOSR_CODE_2021,D_5_9_FPET_MPTLF,D_5_9_FPET_MPNLF,D_5_9_FPET_MPLFSNS,D_5_9_FPET_T,D_5_9_FPULFTW_MPEFT,D_5_9_FPULFTW_MPEPT,D_5_9_FPULFTW_MP_EAW,D_5_9_FPULFTW_MP_E_HNS,D_5_9_FPULFTW_MPET,D_5_9_FPULFTW_MPULFTW,D_5_9_FPULFTW_MPULPTW,D_5_9_FPULFTW_MPUT,D_5_9_FPULFTW_MPTLF,D_5_9_FPULFTW_MPNLF,D_5_9_FPULFTW_MPLFSNS,D_5_9_FPULFTW_T,D_5_9_FPULPTW_MPEFT,D_5_9_FPULPTW_MPEPT,D_5_9_FPULPTW_MPEAW,D_5_9_FPULPTW_MP_E_HNS,D_5_9_FPULPTW_MPET,D_5_9_FPULPTW_MPULFTW,D_5_9_FPULPTW_MPULPTW,D_5_9_FPULPTW_MPUT,D_5_9_FPULPTW_MPTLF,D_5_9_FPULPTW_MPNLF,D_5_9_FPULPTW_MPLFSNS,D_5_9_FPULPTW_T,D_5_9_FPUT_MPEFT,D_5_9_FPUT_MPEPT,D_5_9_FPUT_MPEAW,D_5_9_FPUT_MPEHNS,D_5_9_FPUT_MPET,D_5_9_FPUT_MPULFTW,D_5_9_FPUT_MPULPTW,D_5_9_FPUT_MPUT,D_5_9_FPUT_MPTLF,D_5_9_FPUT_MPNLF,D_5_9_FPUT_MPLFSNS,D_5_9_FPUT_T,D_5_9_FPTLF_MPEFT,D_5_9_FPTLF_MPEPT,D_5_9_FPTLF_MPEAW,D_5_9_FPTLF_MPEHNS,D_5_9_FPTLF_MPET,D_5_9_FPTLF_MPULFTW,D_5_9_FPTLF_MPULPTW,D_5_9_FPTLF_MPUT,D_5_9_FPTLF_MPTLF,D_5_9_FPTLF_MPNLF,D_5_9_FPTLF_MPLFSNS,D_5_9_FPTLF_T,D_5_9_FPNLF_MPEFT,D_5_9_FPNLF_MPEPT,D_5_9_FPNLF_MPEAW,D_5_9_FPNLF_MPEHNS,D_5_9_FPNLF_MPET,D_5_9_FPNLF_MPULFTW,D_5_9_FPNLF_MPULPTW,D_5_9_FPNLF_MPUT,D_5_9_FPNLF_MPTLF,D_5_9_FPNLF_MPNLF,D_5_9_FPNLF_MPLFSNS,D_5_9_FPNLF_T,D_5_9_FPLFSNS_MPEFT,D_5_9_FPLFSNS_MPEPT,D_5_9_FPLFSNS_MPEAW,D_5_9_FPLFSNS_MPEHNS,D_5_9_FPLFSNS_MPET,D_5_9_FPLFSNS_MPULFTW,D_5_9_FPLFSNS_MPULPTW,D_5_9_FPLFSNS_MPUT,D_5_9_FPLFSNS_MPTLF,D_5_9_FPLFSNS_MPNLF,D_5_9_FPLFSNS_MPLFSNS,D_5_9_FPLFSNS_T,D_5_9_FPT_MPEFT,D_5_9_FPT_MPEPT,D_5_9_FPT_MPEAW,D_5_9_FPT_MPEHNS,D_5_9_FPT_MPET,D_5_9_FPT_MPULFTW,D_5_9_FPT_MPULPTW,D_5_9_FPT_MPUT,D_5_9_FPT_MPTLF,D_5_9_FPT_MPNLF,D_5_9_FPT_MPLFSNS,D_5_9_FPT_T,D_10_12_FPEFT_MPEFT,D_10_12_FPEFT_MPEPT,D_10_12_FPEFT_MPEAW,D_10_12_FPEFT_MPEHNS,D_10_12_FPEFT_MPET,D_10_12_FPEFT_MPULFTW,D_10_12_FPEFT_MPULPTW,D_10_12_FPEFT_MPUT,D_10_12_FPEFT_MPTLF,D_10_12_FPEFT_MPNLF,D_10_12_FPEFT_MPLFSNS,D_10_12_FPEFT_T,D_10_12_FPEPT_MPEFT,D_10_12_FPEPT_MPEPT,D_10_12_FPEPT_MPEAW,D_10_12_FPEPT_MPEHNS,D_10_12_FPEPT_MPET,D_10_12_FPEPT_MPULFTW,D_10_12_FPEPT_MPULPTW,D_10_12_FPEPT_MPUT,D_10_12_FPEPT_MPTLF,D_10_12_FPEPT_MPNLF,D_10_12_FPEPT_MPLFSNS,D_10_12_FPEPT_T,D_10_12_FPEAW_MPEFT,D_10_12_FPEAW_MPEPT,D_10_12_FPEAW_MPEAW,D_10_12_FPEAW_MPEHNS,D_10_12_FPEAW_MPET,D_10_12_FPEAW_MPULFTW,D_10_12_FPEAW_MPULPTW,D_10_12_FPEAW_MPUT,D_10_12_FPEAW_MPTLF,D_10_12_FPEAW_MPNLF,D_10_12_FPEAW_MPLFSNS,D_10_12_FPEAW_T,D_10_12_FPHNS_MPEFT,D_10_12_FPHNS_MPEPT,D_10_12_FPHNS_MPEAW,D_10_12_FPHNS_MPEHNS,D_10_12_FPHNS_MPET,D_10_12_FPHNS_MPULFTW,D_10_12_FPHNS_MPULPTW,D_10_12_FPHNS_MPUT,D_10_12_FPHNS_MPTLF,D_10_12_FPHNS_MPNLF,D_10_12_FPHNS_MPLFSNS,D_10_12_FPHNS_T,D_10_12_FPET_MPEFT,D_10_12_FPET_MPEPT,D_10_12_FPET_MPEAW,D_10_12_FPET_MPEHNS,D_10_12_FPET_MPET,D_10_12_FPET_MPULFTW,D_10_12_FPET_MPULPTW,D_10_12_FPET_MPUT,D_10_12_FPET_MPTLF,D_10_12_FPET_MPNLF,D_10_12_FPET_MPLFSNS,D_10_12_FPET_T,D_10_12_FPULFTW_MPEFT,D_10_12_FPULFTW_MPEPT,D_10_12_FPULFTW_MPEAW,D_10_12_FPULFTW_MPEHNS,D_10_12_FPULFTW_MPET,D_10_12_FPULFTW_MPULFTW,D_10_12_FPULFTW_MPULPTW,D_10_12_FPULFTW_MPUT,D_10_12_FPULFTW_MPTLF,D_10_12_FPULFTW_MPNLF,D_10_12_FPULFTW_MPLFSNS,D_10_12_FPULFTW_T,D_10_12_FPULPTW_MPEFT,D_10_12_FPULPTW_MPEPT,D_10_12_FPULPTW_MPEAW,D_10_12_FPULPTW_MPEHNS,D_10_12_FPULPTW_MPET,D_10_12_FPULPTW_MPULFTW,D_10_12_FPULPTW_MPULPTW,D_10_12_FPULPTW_MPUT,D_10_12_FPULPTW_MPTLF,D_10_12_FPULPTW_MPNLF,D_10_12_FPULPTW_MPLFSNS,D_10_12_FPULPTW_T,D_10_12_FPUT_MPEFT,D_10_12_FPUT_MPEPT,D_10_12_FPUT_MPEAW,D_10_12_FPUT_MPEHNS,D_10_12_FPUT_MPET,D_10_12_FPUT_MPULFTW,D_10_12_FPUT_MPULPTW,D_10_12_FPUT_MPUT,D_10_12_FPUT_MPTLF,D_10_12_FPUT_MPNLF,D_10_12_FPUT_MPLFSNS,D_10_12_FPUT_T,D_10_12_FPTLF_MPEFT,D_10_12_FPTLF_MPEPT,D_10_12_FPTLF_MPEAW,D_10_12_FPTLF_MPEHNS,D_10_12_FPTLF_MPET,D_10_12_FPTLF_MPULFTW,D_10_12_FPTLF_MPULPTW,D_10_12_FPTLF_MPUT,D_10_12_FPTLF_MPTLF,D_10_12_FPTLF_MPNLF,D_10_12_FPTLF_MPLFSNS,D_10_12_FPTLF_T,D_10_12_FPNLF_MPEFT,D_10_12_FPNLF_MPEPT,D_10_12_FPNLF_MPEAW,D_10_12_FPNLF_MPEHNS
SOSR501,66553,2131,169,68852,621,108,14,15,751,78,10,85,843,59,0,907,1771,238,67,40,2124,92,21,118,2244,89,15,2341,2391,347,78,53,2873,170,33,208,3079,143,15,3241,59147,7142,1498,749,68541,863,224,1094,69633,2272,185,72094,16666,2454,581,483,20175,519,130,646,20829,2175,86,23089,143,28,0,163,336,4,0,4,342,13,277,634,75954,9624,2078,1398,89051,1393,353,1745,90801,4463,554,95813,13856,1657,289,70,15862,212,70,290,16155,778,23,16947,19428,2221,409,151,22211,266,44,311,22519,542,39,23096,582,83,111,16,794,10,0,9,806,32,6,842,139,17,0,158,309,5,0,10,320,18,46,387,34000,3977,811,391,39179,502,115,618,39797,1366,101,41273,353,74,10,6,435,58,5,68,501,49,0,547,883,130,26,18,1063,53,19,68,1130,61,4,1194,1234,202,35,27,1495,112,24,137,1630,110,4,1744,35230,4179,845,423,40678,612,141,757,41433,1476,108,43011,7902,1142,299,217
SOSR511,2285,86,11,2374,5,3,0,0,11,6,0,6,16,3,0,13,59,7,5,0,69,0,0,0,72,5,0,74,70,3,5,0,75,10,0,10,90,4,0,94,2022,209,92,20,2337,22,7,28,2371,89,11,2463,637,63,30,17,747,21,4,23,778,83,0,859,0,0,0,3,10,0,0,0,10,0,16,17,2663,273,122,39,3096,42,13,58,3156,170,19,3343,466,57,6,4,533,3,4,3,542,26,0,564,756,67,32,12,867,12,3,16,883,39,0,923,18,5,5,4,32,0,0,0,34,0,0,35,3,0,0,9,11,0,0,0,11,0,0,12,1246,131,42,22,1443,17,3,23,1468,60,3,1529,8,0,0,0,8,4,0,4,15,4,0,18,20,0,0,0,20,0,0,0,22,0,0,22,30,0,0,0,30,10,0,10,34,4,0,43,1273,131,42,22,1470,26,3,31,1503,63,3,1570,240,44,16,3
SOSR512,3606,128,5,3740,21,0,0,0,19,8,0,8,22,6,0,25,33,11,0,0,44,3,0,0,49,3,0,53,50,11,3,0,63,9,0,8,76,8,0,80,3110,366,112,38,3630,36,16,45,3675,141,5,3825,770,107,34,26,941,28,5,32,975,116,3,1098,9,0,0,7,21,0,0,0,21,0,28,39,3893,478,143,69,4587,59,17,80,4664,257,36,4957,852,97,17,8,977,6,3,14,987,34,0,1025,989,139,37,7,1186,12,5,16,1202,44,0,1250,47,10,7,0,58,0,0,0,58,10,0,67,3,0,0,6,16,0,0,0,16,3,0,18,1890,247,65,27,2233,26,5,32,2263,89,3,2356,3,0,0,0,8,0,0,0,5,0,0,9,24,10,0,3,37,0,0,0,38,4,0,35,23,8,0,3,36,0,3,5,40,7,0,46,1917,258,66,26,2269,25,11,34,2304,97,3,2404,334,41,19,17
SOSR513,2774,71,8,2852,22,0,0,0,27,0,0,0,32,0,0,32,36,5,7,0,48,7,0,7,54,0,0,55,57,9,11,0,73,7,0,7,81,0,0,85,2406,225,129,53,2815,33,8,41,2859,71,12,2938,527,63,35,42,668,24,8,34,702,86,0,788,5,0,0,9,14,0,0,0,14,0,14,27,2937,289,167,99,3488,60,21,77,3571,157,27,3749,610,45,20,10,688,9,0,7,704,22,0,725,632,59,36,11,736,6,0,6,740,21,0,762,30,0,18,0,48,0,0,0,48,0,0,49,18,0,0,7,20,0,0,0,20,0,0,26,1285,105,66,32,1493,16,0,13,1509,46,0,1554,10,0,0,0,10,8,0,8,13,0,0,13,15,4,0,0,21,0,0,0,20,0,0,20,30,4,0,0,31,6,0,6,39,0,0,39,1315,103,70,31,1523,20,0,22,1542,46,0,1590,222,22,23,10
SOSR514,936,39,0,973,4,3,0,0,7,0,0,0,8,0,0,8,15,3,0,0,18,0,0,0,18,0,0,18,22,3,3,0,26,0,0,0,30,0,0,30,794,104,47,14,957,10,0,12,967,37,0,1000,150,17,11,6,186,10,0,10,197,48,3,247,3,0,0,0,3,0,0,0,3,0,0,8,946,118,58,22,1146,17,0,20,1166,82,6,1260,133,25,4,0,169,3,0,3,172,8,0,177,300,44,20,5,369,0,0,3,373,12,0,391,15,0,3,0,24,0,0,0,24,0,0,24,0,0,0,0,7,0,0,0,7,0,0,5,454,74,27,11,565,7,0,9,568,19,0,589,0,0,0,0,4,0,0,0,4,0,0,4,12,0,3,0,11,0,0,0,11,0,0,11,12,0,4,0,13,0,0,0,13,0,0,13,458,78,29,11,571,7,0,9,577,21,0,607,72,11,0,3
SOSR515,2878,120,8,3004,15,3,0,0,19,0,0,0,26,3,0,22,40,7,0,0,54,5,5,13,67,4,0,67,58,8,0,0,74,8,5,17,85,9,0,93,2441,268,142,60,2912,37,16,54,2963,124,8,3096,572,79,51,25,716,38,8,45,761,120,3,884,12,9,0,0,16,0,0,0,16,0,16,40,3020,348,194,81,3644,71,19,97,3742,247,24,4014,549,67,28,9,655,5,3,8,660,46,3,710,735,84,40,9,869,11,0,9,880,33,0,912,47,7,19,0,66,0,0,0,71,0,0,72,10,0,0,17,26,0,0,0,26,4,0,37,1346,160,86,33,1621,18,4,18,1639,80,3,1721,5,4,0,0,14,0,0,0,14,0,0,13,19,6,5,0,26,6,3,5,32,7,0,37,21,12,5,0,39,6,3,5,42,6,0,47,1369,169,83,35,1661,17,6,25,1686,86,3,1774,237,34,24,14
SOSR521,850,48,4,901,3,0,0,0,6,3,0,3,8,0,0,8,12,0,0,0,12,3,0,3,15,0,7,19,22,0,0,0,23,7,0,7,26,0,7,27,699,95,41,23,853,14,4,17,873,48,4,930,208,31,16,13,265,20,4,28,290,124,8,418,3,0,0,0,6,0,0,0,6,3,14,22,908,127,54,39,1128,34,8,41,1173,174,17,1368,159,22,10,0,190,0,4,4,190,17,0,208,234,44,6,6,288,3,0,3,288,20,0,313,10,0,3,0,15,0,0,0,15,0,0,15,6,0,5,4,11,0,0,0,11,0,0,11,401,69,17,15,500,3,4,5,507,41,0,549,5,0,0,0,0,3,0,3,5,0,0,6,3,4,0,0,3,4,0,8,11,0,0,12,3,4,0,0,10,5,0,5,16,4,0,16,408,70,20,15,511,13,3,12,527,41,3,565,97,18,8,6
SOSR522,480,43,0,524,7,0,0,0,7,5,0,5,18,0,0,21,5,0,0,0,4,5,5,11,15,3,0,17,11,0,0,0,14,9,5,15,31,3,0,36,405,43,26,16,488,16,5,22,512,51,0,562,104,27,11,3,147,14,6,15,167,133,0,303,4,0,0,0,3,0,0,0,3,3,17,20,511,71,32,17,640,33,10,44,680,186,13,881,90,13,6,4,110,0,0,0,108,10,0,119,134,17,0,0,151,7,0,7,155,14,0,173,5,3,0,0,5,0,0,0,5,0,0,5,0,0,0,3,4,0,0,0,4,0,0,5,227,35,9,8,273,9,0,9,279,24,0,303,6,0,0,0,6,8,0,8,17,0,0,17,7,0,0,0,4,0,0,0,4,0,0,7,9,0,0,0,9,8,0,12,18,0,0,23,230,30,9,5,276,17,0,20,301,27,0,327,43,21,7,3
SOSR531,4790,149,7,4945,11,7,0,0,18,6,0,6,22,11,0,32,45,5,6,0,57,10,0,14,69,3,0,72,59,12,4,0,77,10,0,12,94,12,0,100,4138,449,148,102,4834,38,10,51,4880,157,7,5046,984,118,52,43,1198,29,3,34,1229,198,0,1423,8,0,0,4,9,0,0,0,9,3,33,43,5126,569,195,142,6043,70,15,78,6125,355,36,6518,1134,125,27,5,1290,5,0,7,1298,44,0,1339,1671,201,46,19,1941,9,0,8,1948,63,0,2017,57,12,23,0,88,0,0,0,89,0,0,91,10,0,0,29,40,0,0,0,40,3,7,46,2876,337,100,52,3355,18,0,16,3372,111,7,3495,14,3,0,0,17,4,0,4,20,4,0,26,28,0,0,0,25,6,0,6,32,0,0,34,38,7,0,0,42,9,0,8,54,5,0,63,2909,343,98,52,3402,21,6,27,3432,119,7,3556,469,73,23,18
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
