SOSR_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
SOSR501,39645,41531,23074,14642,19395,10409,6112,154814,11824,11042,6147,4031,5108,2136,1033,41318,12525,11671,6139,3961,4640,1860,963,41751,41513,39557,23818,15529,18579,6874,3195,149058,437,441,265,157,77,25,16,1415,105948,104240,59444,38312,47798,21308,11311,388355,2565,4551,3436,2586,3741,1909,1344,20129,1997,2965,2048,1466,1760,639,349,11224,1317,2224,1526,1197,1444,520,326,8562,7510,11194,7635,5668,6418,1785,1000,41204,488,546,327,169,124,42,21,1713,13875,21474,14976,11075,13496,4890,3044,82833,119817,125718,74414,49390,61289,26197,14355,471189
SOSR511,605,635,440,288,355,57,24,2405,333,301,170,118,131,18,10,1078,339,358,186,121,155,13,7,1183,2210,2472,1391,965,1178,108,48,8376,10,22,10,6,0,0,0,54,3495,3784,2204,1505,1826,208,87,13096,56,62,53,46,72,9,4,302,72,114,67,53,56,9,0,377,49,90,49,43,67,4,0,320,552,782,562,406,434,42,9,2786,22,16,10,14,0,0,0,71,756,1064,747,565,637,64,15,3850,4249,4849,2953,2067,2461,269,98,16945
SOSR512,825,957,566,394,453,72,37,3297,414,455,274,151,219,25,3,1539,571,538,289,194,220,16,0,1837,3578,3554,2141,1486,1592,137,30,12517,22,28,13,3,5,0,0,68,5408,5530,3286,2229,2482,243,74,19252,47,103,81,50,85,10,3,388,91,129,111,68,77,7,7,496,60,109,95,75,92,9,0,428,816,1231,867,649,652,45,16,4272,36,57,23,21,8,0,0,153,1056,1624,1175,857,921,72,25,5729,6462,7156,4463,3086,3405,321,95,24983
SOSR513,791,788,426,261,335,56,22,2679,366,325,150,86,79,12,0,1014,491,488,204,108,101,8,0,1398,2440,2502,1361,828,721,38,19,7908,31,33,6,8,4,0,0,80,4124,4129,2146,1291,1236,121,38,13085,51,72,59,43,56,10,5,304,45,75,41,27,33,0,0,217,46,77,45,42,33,4,4,250,436,645,415,296,288,17,9,2103,29,41,22,6,11,0,0,112,606,912,584,410,414,40,18,2983,4727,5035,2732,1702,1655,154,54,16063
SOSR514,176,170,100,65,76,5,0,592,129,141,87,44,60,0,0,463,153,194,98,54,45,5,5,552,829,925,535,337,357,35,5,3029,8,3,3,3,0,0,0,21,1298,1438,823,506,541,45,12,4659,4,22,10,9,19,8,0,71,7,42,39,29,25,5,0,151,16,30,28,18,19,0,0,120,175,289,200,144,186,8,0,1004,11,17,7,12,5,0,0,47,218,404,286,203,257,16,4,1393,1523,1835,1106,708,797,63,13,6046
SOSR515,586,577,333,200,275,24,17,2013,351,360,201,130,128,11,9,1186,468,455,228,135,127,21,0,1433,3007,3092,1687,1070,1050,109,20,10032,23,36,22,19,12,0,0,113,4441,4514,2473,1563,1589,159,46,14775,30,55,38,36,52,7,3,221,56,115,77,46,51,0,0,351,48,79,52,36,52,8,0,275,587,910,605,429,408,32,14,2974,42,49,29,26,5,0,0,149,763,1206,800,562,571,48,14,3969,5199,5717,3268,2126,2163,208,59,18745
SOSR521,173,182,101,62,88,5,8,612,130,124,67,43,49,8,3,418,184,140,67,40,44,4,0,476,1056,1052,653,374,353,26,3,3519,7,21,16,4,0,0,0,56,1542,1520,901,529,535,48,15,5090,8,12,14,5,6,3,0,55,24,32,17,17,18,6,0,115,13,26,20,18,14,0,0,94,351,452,325,204,198,8,0,1549,24,18,16,14,0,0,0,71,422,542,396,260,244,16,5,1879,1967,2068,1295,788,778,63,17,6970
SOSR522,48,60,24,11,22,6,6,186,45,49,23,20,13,0,0,151,73,72,37,18,19,0,0,223,710,750,446,250,201,18,7,2385,11,12,8,3,3,0,0,35,883,951,543,311,258,27,9,2977,8,3,4,0,7,0,0,12,14,25,11,8,5,3,0,66,0,18,10,7,6,4,0,49,242,320,175,127,90,10,4,966,8,15,6,8,4,0,0,36,263,374,207,145,111,19,6,1129,1151,1322,750,452,367,45,13,4104
SOSR531,401,527,445,304,427,126,81,2313,402,530,381,275,335,59,35,2007,681,778,486,293,350,77,34,2698,4288,5310,3421,2058,2158,386,169,17792,29,42,28,20,9,3,0,140,5802,7188,4766,2951,3277,644,314,24949,30,52,50,35,42,0,9,227,46,99,64,59,62,12,3,345,44,72,54,33,56,10,0,270,466,702,540,361,367,51,15,2509,27,40,21,23,7,0,0,111,613,959,729,513,526,72,30,3456,6419,8151,5496,3465,3804,716,348,28403
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
