SOSR_CODE_2021,M_Mng_0,M_Mng_1_19,M_Mng_20_29,M_Mng_30_34,M_Mng_35_39,M_Mng_40_44,M_Mng_45_49,M_Mng_50_over,M_Mng_hours_NS,M_Mng_Tot,M_Pro_0,M_Pro_1_19,M_Pro_20_29,M_Pro_30_34,M_Pro_35_39,M_Pro_40_44,M_Pro_45_49,M_Pro_50_over,M_Pro_hours_NS,M_Pro_Tot,M_TTW_0,M_TTW_1_19,M_TTW_20_29,M_TTW_30_34,M_TTW_35_39,M_TTW_40_44,M_TTW_45_49,M_TTW_50_over,M_TTW_hours_NS,M_TTW_Tot,M_CPS_0,M_CPS_1_19,M_CPS_20_29,M_CPS_30_34,M_CPS_35_39,M_CPS_40_44,M_CPS_45_49,M_CPS_50_over,M_CPS_hours_NS,M_CPS_Tot,M_CA_0,M_CA_1_19,M_CA_20_29,M_CA_30_34,M_CA_35_39,M_CA_40_44,M_CA_45_49,M_CA_50_over,M_CA_hours_NS,M_CA_Tot,M_Sal_0,M_Sal_1_19,M_Sal_20_29,M_Sal_30_34,M_Sal_35_39,M_Sal_40_44,M_Sal_45_49,M_Sal_50_over,M_Sal_hours_NS,M_Sal_Tot,M_MOD_0,M_MOD_1_19,M_MOD_20_29,M_MOD_30_34,M_MOD_35_39,M_MOD_40_44,M_MOD_45_49,M_MOD_50_over,M_MOD_hours_NS,M_MOD_Tot,M_Lab_0,M_Lab_1_19,M_Lab_20_29,M_Lab_30_34,M_Lab_35_39,M_Lab_40_44,M_Lab_45_49,M_Lab_50_over,M_Lab_hours_NS,M_Lab_Tot,M_ID_NS_0,M_ID_NS_1_19,M_ID_NS_20_29,M_ID_NS_30_34,M_ID_NS_35_39,M_ID_NS_40_44,M_ID_NS_45_49,M_ID_NS_50_over,M_ID_NS_hours_NS,M_ID_NS_Tot,M_Tot_0,M_Tot_1_19,M_Tot_20_29,M_Tot_30_34,M_Tot_35_39,M_Tot_40_44,M_Tot_45_49,M_Tot_50_over,M_Tot_hours_NS,M_Tot_Tot,F_Mng_0,F_Mng_1_19,F_Mng_20_29,F_Mng_30_34,F_Mng_35_39,F_Mng_40_44,F_Mng_45_49,F_Mng_50_over,F_Mng_hours_NS,F_Mng_Tot,F_Pro_0,F_Pro_1_19,F_Pro_20_29,F_Pro_30_34,F_Pro_35_39,F_Pro_40_44,F_Pro_45_49,F_Pro_50_over,F_Pro_hours_NS,F_Pro_Tot,F_TTW_0,F_TTW_1_19,F_TTW_20_29,F_TTW_30_34,F_TTW_35_39,F_TTW_40_44,F_TTW_45_49,F_TTW_50_over,F_TTW_hours_NS,F_TTW_Tot,F_CPS_0,F_CPS_1_19,F_CPS_20_29,F_CPS_30_34,F_CPS_35_39,F_CPS_40_44,F_CPS_45_49,F_CPS_50_over,F_CPS_hours_NS,F_CPS_Tot,F_CA_0,F_CA_1_19,F_CA_20_29,F_CA_30_34,F_CA_35_39,F_CA_40_44,F_CA_45_49,F_CA_50_over,F_CA_hours_NS,F_CA_Tot,F_Sal_0,F_Sal_1_19,F_Sal_20_29,F_Sal_30_34,F_Sal_35_39,F_Sal_40_44,F_Sal_45_49,F_Sal_50_over,F_Sal_hours_NS,F_Sal_Tot,F_MOD_0,F_MOD_1_19,F_MOD_20_29,F_MOD_30_34,F_MOD_35_39,F_MOD_40_44,F_MOD_45_49,F_MOD_50_over,F_MOD_hours_NS,F_MOD_Tot,F_Lab_0,F_Lab_1_19,F_Lab_20_29,F_Lab_30_34,F_Lab_35_39,F_Lab_40_44,F_Lab_45_49,F_Lab_50_over,F_Lab_hours_NS,F_Lab_Tot,F_ID_NS_0,F_ID_NS_1_19,F_ID_NS_20_29,F_ID_NS_30_34,F_ID_NS_35_39,F_ID_NS_40_44,F_ID_NS_45_49,F_ID_NS_50_over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_19,F_Tot_20_29,F_Tot_30_34,F_Tot_35_39,F_Tot_40_44,F_Tot_45_49,F_Tot_50_over,F_Tot_hours_NS,F_Tot_Tot
SOSR501,1555,2537,2671,2308,11170,21008,8867,23936,503,74556,2873,6975,5674,5240,22942,35731,10237,20590,726,110981,4941,5797,6208,5365,23722,33509,11529,30092,1897,123062,1518,7270,4701,2628,4689,6924,2357,3989,540,34610,941,2277,1907,1284,8670,8735,2613,4372,203,30998,729,8433,4178,1893,4835,5145,1599,3291,329,30429,3480,4596,4389,2949,10673,11053,5075,17905,1268,61386,2367,13180,7203,3789,8619,8680,2798,7964,1038,55633,384,795,498,394,1449,1804,551,1596,2584,10055,18780,51852,37428,25848,96770,132591,45626,113730,9084,531710,1888,3277,4455,3832,10585,11147,3904,7025,297,46414,7731,17352,19879,14829,27464,26946,7767,12366,808,135147,1224,4651,4354,2682,5861,3981,982,1877,314,25932,4251,24430,20355,11581,14200,7258,1700,3761,1222,88759,4115,15329,16503,9931,25758,16865,3457,4245,730,96928,2119,20456,11036,4440,6738,3723,885,1193,552,51142,697,1360,1140,668,1581,1073,397,1878,153,8945,1335,11732,7109,3366,4024,2432,545,1790,549,32881,378,887,679,392,1156,881,154,383,1901,6813,23735,99481,85503,51724,97367,74311,19794,34521,6533,492968
SOSR511,65,47,50,39,211,467,238,664,10,1786,70,117,124,117,420,651,213,433,15,2156,290,210,175,150,821,1456,566,1691,69,5428,50,122,110,79,119,171,52,115,14,831,33,40,49,44,153,171,69,146,4,705,30,263,116,75,172,152,54,97,9,974,230,162,140,100,349,593,353,1174,53,3150,130,464,230,167,439,470,200,504,40,2649,17,20,8,7,38,70,23,80,77,341,925,1445,994,784,2717,4195,1766,4914,280,18015,38,89,124,108,299,256,116,204,7,1235,216,508,532,456,660,621,205,316,15,3529,65,189,164,107,232,129,44,80,12,1018,177,817,811,515,565,248,62,144,45,3382,162,555,566,352,865,512,90,159,18,3276,120,801,441,231,300,145,41,59,23,2162,41,42,62,19,45,50,21,109,10,406,93,618,330,179,232,149,58,86,31,1766,15,29,20,10,41,25,9,10,49,208,930,3640,3051,1984,3229,2133,649,1155,214,16983
SOSR512,109,128,103,91,370,765,367,1271,25,3237,134,220,195,176,610,873,365,779,22,3371,407,330,359,299,1232,1978,968,2898,144,8609,104,229,170,135,233,473,134,233,20,1727,30,86,57,56,210,223,95,194,4,948,45,424,211,130,291,288,115,174,19,1711,362,276,240,156,397,637,505,2211,93,4874,185,794,388,301,552,596,239,647,95,3805,39,42,25,18,60,79,37,112,122,528,1414,2531,1745,1359,3956,5909,2824,8522,550,28812,101,176,217,177,485,525,185,400,23,2301,355,706,735,656,1073,1058,390,660,35,5668,79,251,227,180,327,241,73,169,9,1547,251,1238,1115,790,924,528,167,309,85,5398,265,788,784,572,1339,861,199,273,38,5124,158,1143,666,331,556,262,66,100,23,3306,64,96,82,39,68,97,76,317,17,857,105,942,626,278,258,189,58,144,41,2636,29,42,36,15,45,36,10,24,94,331,1415,5387,4491,3045,5074,3795,1210,2398,361,27169
SOSR513,75,49,43,42,247,452,248,890,25,2068,95,73,63,82,381,567,169,470,20,1910,326,213,163,140,635,1218,646,2299,120,5761,69,101,56,53,151,258,89,176,19,963,17,36,24,28,158,158,84,194,5,710,27,173,58,38,123,142,54,116,11,747,214,135,97,67,263,351,287,1407,62,2888,112,290,171,100,237,324,144,558,51,1980,26,29,14,10,35,84,35,145,112,502,960,1096,682,569,2220,3562,1753,6248,427,17522,73,95,119,103,350,347,133,347,12,1577,278,280,358,336,702,716,244,426,26,3372,73,105,105,77,159,162,74,177,16,952,170,524,446,346,547,353,93,186,50,2701,159,378,433,291,844,648,167,268,32,3222,73,477,249,142,291,156,50,77,21,1545,58,43,35,24,57,65,58,186,11,539,67,366,255,137,169,147,46,177,25,1394,12,27,15,11,33,32,6,28,95,259,959,2303,2011,1476,3158,2629,870,1875,290,15573
SOSR514,28,38,45,39,99,170,84,252,6,764,43,45,47,52,125,178,73,142,8,718,141,96,99,96,336,550,173,477,30,1990,23,73,46,26,38,75,22,44,4,349,11,15,24,10,32,48,11,24,0,171,15,102,40,28,53,58,12,27,7,341,77,53,51,33,87,210,100,287,14,905,60,189,127,80,165,209,53,150,24,1062,3,16,10,6,11,23,11,29,31,132,408,621,476,364,942,1520,544,1437,125,6436,36,70,63,70,105,140,58,86,5,637,96,202,181,145,178,192,64,105,4,1169,26,71,74,43,77,56,21,31,7,410,76,318,290,180,157,96,23,58,19,1232,58,234,212,115,212,120,23,35,7,1014,39,259,184,86,108,76,13,17,7,793,12,16,17,9,15,40,5,50,0,152,36,260,160,68,75,50,9,35,8,695,9,17,4,3,13,4,0,5,28,78,384,1446,1192,720,935,781,218,416,91,6175
SOSR515,95,114,86,82,277,529,223,879,37,2316,104,118,107,98,369,486,178,439,24,1934,363,255,251,230,869,1482,675,2084,124,6330,71,148,99,78,166,343,106,203,19,1231,35,59,44,19,145,162,80,120,13,676,22,238,82,65,125,182,73,106,17,916,357,217,185,102,447,528,368,1798,88,4079,170,505,301,223,574,611,205,584,101,3266,38,29,16,19,56,78,35,127,127,527,1258,1687,1168,922,3027,4394,1937,6345,538,21270,92,143,148,119,321,388,148,380,28,1764,235,410,435,396,649,707,246,450,31,3559,98,209,200,138,242,181,64,181,11,1337,217,802,737,503,581,405,99,217,58,3612,211,594,573,361,840,601,138,211,30,3560,105,597,422,202,314,181,60,78,30,1983,101,75,72,28,86,73,73,326,13,846,114,701,397,240,304,260,62,167,63,2307,27,44,26,24,28,40,10,27,105,328,1206,3568,3006,2015,3358,2828,896,2043,361,19294
SOSR521,53,55,49,36,89,220,116,437,22,1078,22,46,33,28,123,194,63,175,15,694,120,106,105,85,266,455,231,701,56,2115,39,45,31,25,61,124,33,94,17,467,9,25,19,14,46,50,24,59,6,240,10,66,26,17,41,56,14,53,3,286,145,116,73,32,178,246,132,706,46,1675,69,177,113,68,165,216,80,211,50,1147,25,19,10,3,18,25,14,32,68,209,493,646,458,309,983,1590,707,2451,270,7915,50,61,59,68,109,138,66,183,9,743,82,153,140,108,197,254,67,180,11,1198,23,81,73,41,90,51,22,47,11,429,89,284,255,182,203,155,43,80,36,1320,83,227,226,113,255,226,60,78,16,1285,43,203,126,69,95,53,11,33,10,655,32,35,30,9,21,29,22,113,3,294,58,315,183,84,100,101,32,69,22,965,16,13,8,0,16,12,5,13,50,127,470,1359,1097,680,1082,1009,333,801,172,7011
SOSR522,40,38,29,24,59,143,58,285,8,673,22,18,12,24,42,120,24,94,7,365,54,52,55,50,145,221,83,306,25,982,16,15,40,20,44,65,19,44,6,265,4,20,9,3,26,28,12,18,0,119,3,19,5,7,14,33,14,29,4,129,58,52,46,33,102,131,71,304,13,808,28,89,61,49,89,137,48,112,22,635,9,14,4,3,13,21,3,14,52,136,235,302,257,218,529,889,336,1201,141,4113,29,30,34,35,78,68,36,116,0,425,42,78,97,55,99,128,44,91,8,642,11,35,30,22,37,35,8,34,4,225,58,155,136,105,126,88,23,46,20,751,40,123,102,66,128,105,28,37,6,646,17,75,74,25,44,35,8,18,5,309,12,15,11,10,19,14,12,38,0,132,17,136,87,56,39,43,19,23,6,418,12,7,8,4,4,4,5,3,27,75,238,658,578,381,567,526,178,408,77,3609
SOSR531,429,579,568,443,712,2086,991,6538,209,12547,214,316,246,198,523,902,342,1018,37,3806,655,553,506,429,1346,2228,910,3964,191,10771,122,240,138,89,153,313,123,269,27,1469,39,92,76,47,180,221,93,250,8,1011,55,341,154,86,175,212,75,228,22,1360,634,405,319,202,574,915,501,3320,135,7003,281,886,517,362,636,963,422,1505,151,5722,74,68,47,36,74,125,30,198,251,905,2504,3473,2564,1894,4383,7982,3487,17293,1017,44592,317,752,814,550,624,1182,409,1678,124,6447,487,1032,1058,732,953,1091,365,752,50,6518,127,418,352,227,308,277,85,298,34,2127,318,1351,1111,643,668,467,113,282,81,5038,327,1498,1284,744,1226,989,209,491,72,6830,149,1005,586,263,315,242,67,136,51,2810,133,141,157,57,96,116,55,420,34,1212,174,1154,565,327,375,322,115,489,79,3600,56,66,57,38,44,48,17,62,222,606,2092,7428,5979,3582,4609,4736,1429,4598,743,35194
SOSR579,0,0,0,0,0,0,0,7,0,9,0,0,0,0,0,0,0,27,0,32,3,6,0,0,0,0,0,68,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,23,0,25,3,5,0,0,0,0,4,68,5,86,0,0,0,0,0,0,0,7,0,12,9,11,5,0,4,4,9,198,5,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,11,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,15,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,16,0,29
