SOSR_CODE_2021,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_North_Macedonia_0_4,F_North_Macedonia_5_14,F_North_Macedonia_15_24,F_North_Macedonia_25_44,F_North_Macedonia_45_54,F_North_Macedonia_55_64,F_North_Macedonia_65_74,F_North_Macedonia_75_84,F_North_Macedonia_85ov,F_North_Macedonia_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Samoa_0_4,F_Samoa_5_14,F_Samoa_15_24,F_Samoa_25_44,F_Samoa_45_54,F_Samoa_55_64,F_Samoa_65_74,F_Samoa_75_84,F_Samoa_85ov,F_Samoa_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
SOSR501,0,4,8,29,23,68,131,64,28,360,3,82,254,1088,271,331,288,132,62,2517,5,73,292,1481,758,831,781,298,194,4714,8,60,376,1468,77,47,16,4,0,2052,17,55,111,453,320,361,934,767,410,3437,174,1696,2729,9345,4919,4846,2683,869,191,27454,3,12,43,424,265,343,327,187,87,1702,41,402,279,1579,209,129,97,29,3,2759,0,31,107,211,245,127,43,13,0,775,67,1383,2759,7135,3220,1829,1037,240,36,17699,4,39,52,801,397,540,682,205,233,2960,0,6,20,52,44,41,26,15,0,204,24,336,674,2261,1858,2369,2025,1255,506,11302,34,425,890,2584,1262,1414,1192,418,124,8341,73,1042,2513,6285,4277,2681,1516,713,252,19354,23,237,426,1693,636,469,403,210,64,4160,25,65,57,1685,174,109,97,11,4,2217,47,417,727,2596,1265,617,293,52,10,6026,6,34,25,284,139,81,41,16,9,645,92,464,495,1622,558,508,409,153,44,4367
SOSR511,0,0,0,0,0,4,0,4,0,8,0,0,3,7,3,7,10,0,0,30,0,0,0,13,0,0,4,4,0,31,0,3,0,24,0,0,0,0,0,32,0,0,0,8,17,18,42,31,16,134,3,73,102,353,215,189,125,26,8,1091,0,0,0,0,0,0,0,0,0,3,0,5,0,27,0,0,0,0,0,39,0,3,5,3,7,9,3,0,0,30,4,41,73,263,109,53,36,4,0,592,0,0,0,18,5,11,11,4,6,57,0,0,0,3,0,0,0,0,0,0,0,3,8,29,31,59,52,31,14,219,0,3,10,27,8,7,10,0,0,68,0,49,92,227,180,92,64,23,11,744,0,0,0,19,11,3,6,0,0,38,0,0,5,84,0,0,0,0,0,98,0,15,3,51,38,14,5,0,0,128,0,0,0,3,0,6,0,0,0,6,0,8,4,20,15,16,20,7,0,90
SOSR512,0,0,0,0,0,0,0,6,0,9,0,0,0,11,6,3,0,0,0,19,0,0,0,36,17,10,9,0,0,75,0,0,3,26,0,0,0,0,0,33,0,8,0,26,24,10,77,58,19,212,12,90,170,603,304,363,181,61,13,1807,0,0,0,0,0,0,0,0,0,3,0,7,3,26,3,6,3,0,0,56,0,17,17,27,25,10,0,0,0,95,8,96,140,442,201,134,83,19,0,1124,0,0,0,10,8,4,7,9,7,41,0,0,0,7,3,7,0,0,0,21,0,8,15,44,38,83,72,64,18,341,0,0,3,20,16,14,3,4,0,70,6,67,105,272,185,109,53,32,10,837,0,5,5,22,11,7,6,0,0,61,0,0,0,44,0,4,0,0,0,50,7,50,30,142,90,50,12,0,0,379,0,0,0,3,0,0,0,0,0,0,0,7,14,55,17,28,35,10,4,168
SOSR513,0,0,0,0,0,4,4,0,0,7,0,0,0,19,0,0,4,0,0,26,0,3,0,13,6,0,0,3,0,22,0,0,4,14,0,0,0,0,0,21,0,0,9,18,6,8,11,10,6,65,8,81,112,493,234,203,96,19,7,1249,0,0,0,5,5,9,3,0,0,16,0,3,0,14,3,0,0,0,0,24,0,0,0,7,6,0,0,0,0,13,3,50,76,326,116,79,28,4,0,682,0,0,0,10,12,0,5,0,0,27,0,0,0,4,0,0,0,0,0,8,0,13,11,75,36,39,28,15,4,228,0,0,4,22,12,9,11,0,0,60,5,38,52,193,115,57,27,5,3,506,0,7,0,41,8,4,0,0,0,58,0,0,0,44,0,0,0,0,0,46,5,23,14,155,64,23,9,0,0,284,0,0,0,0,0,0,0,0,0,5,0,3,3,59,10,12,6,0,0,103
SOSR514,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,9,0,0,0,6,0,0,0,0,0,3,0,0,4,8,6,3,12,9,3,39,10,21,33,115,54,72,38,9,3,355,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,9,0,0,0,0,4,0,0,0,0,6,0,18,8,65,24,15,11,0,0,147,0,0,0,4,0,0,0,0,10,18,0,0,0,0,0,0,0,0,0,0,0,0,4,8,8,18,12,11,3,70,0,0,0,10,0,8,3,0,0,23,4,5,7,37,25,12,19,10,6,131,0,3,0,5,0,0,0,0,5,14,0,0,0,32,0,0,0,0,0,31,3,0,0,18,11,8,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,23,9,5,4,3,0,51
SOSR515,0,0,0,0,0,4,0,0,0,10,0,0,4,9,0,8,0,0,0,18,0,0,3,30,20,11,9,0,6,77,0,3,0,10,0,0,0,0,0,9,0,0,4,19,19,14,51,35,8,158,23,63,117,443,264,271,178,46,12,1415,0,0,0,0,0,5,4,3,0,16,0,7,3,6,0,0,0,0,0,24,0,0,4,7,11,0,6,0,0,23,8,82,74,309,123,76,26,13,0,712,0,0,0,12,7,4,6,0,3,37,0,0,0,0,0,0,0,0,0,6,0,0,9,44,39,66,77,45,15,297,0,3,3,16,7,15,9,4,0,63,3,24,30,125,78,52,30,8,5,368,0,0,3,20,0,3,0,0,0,34,5,0,0,86,3,4,0,0,0,88,0,23,25,93,61,32,9,0,0,247,0,0,0,0,0,0,0,0,0,6,3,10,8,50,30,31,26,9,0,153
SOSR521,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,7,4,9,22,11,4,59,4,10,33,138,110,123,68,14,0,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,3,0,0,0,11,3,26,26,135,48,35,14,0,0,287,0,0,0,5,0,0,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,27,28,17,7,103,0,0,0,0,5,5,0,0,0,13,0,11,15,64,34,26,7,3,0,166,0,0,0,3,0,0,0,0,0,12,0,0,0,43,0,0,0,0,0,43,0,5,4,32,16,7,3,0,0,75,0,0,0,0,0,0,0,0,0,0,0,5,3,12,10,14,14,0,0,45
SOSR522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,4,0,0,0,0,0,4,0,0,0,8,12,7,16,6,0,41,0,5,20,64,40,67,51,9,0,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,11,6,29,11,15,9,0,0,73,0,0,0,3,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,12,15,11,0,46,0,0,0,0,0,0,4,0,0,6,0,3,10,18,10,6,8,5,0,54,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,7,0,3,4,8,4,4,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,5,0,0,0,23
SOSR531,0,0,0,0,0,4,6,0,0,16,0,0,4,13,4,8,3,0,0,30,0,0,0,5,5,15,10,5,0,32,0,0,0,0,0,0,0,0,0,0,0,0,6,49,33,45,102,50,12,310,6,58,80,463,397,498,222,53,12,1780,0,0,0,0,0,0,0,3,0,8,0,4,0,9,0,5,0,0,0,22,0,0,5,8,19,10,7,0,0,51,3,36,28,162,81,71,20,9,0,406,0,0,0,18,15,6,22,11,0,69,0,0,0,0,0,0,0,0,0,3,0,7,14,86,97,166,110,46,3,536,0,0,3,33,29,36,19,8,0,121,3,40,74,222,235,140,75,29,9,834,0,0,0,11,3,3,0,5,0,25,0,0,0,61,0,8,0,0,0,69,5,10,11,83,65,27,13,0,0,221,0,0,0,3,0,0,0,0,0,7,4,20,16,71,43,59,55,17,4,276
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
