SOSR_CODE_2021,M_PoDe_PoDe_NFD_Mng,M_PoDe_PoDe_NFD_Pro,M_PoDe_PoDe_NFD_TTW,M_PoDe_PoDe_NFD_CPS,M_PoDe_PoDe_NFD_CA,M_PoDe_PoDe_NFD_Sal,M_PoDe_PoDe_NFD_MOD,M_PoDe_PoDe_NFD_Lab,M_PoDe_PoDe_NFD_IDNS,M_PoDe_PoDe_NFD_Tot,M_PoDe_DoctDe_Mng,M_PoDe_DoctDe_Pro,M_PoDe_DoctDe_TTW,M_PoDe_DoctDe_CPS,M_PoDe_DoctDe_CA,M_PoDe_DoctDe_Sal,M_PoDe_DoctDe_MOD,M_PoDe_DoctDe_Lab,M_PoDe_DoctDe_IDNS,M_PoDe_DoctDe_Tot,M_PoDe_MasDe_Mng,M_PoDe_MasDe_Pro,M_PoDe_MasDe_TTW,M_PoDe_MasDe_CPS,M_PoDe_MasDe_CA,M_PoDe_MasDe_Sal,M_PoDe_MasDe_MOD,M_PoDe_MasDe_Lab,M_PoDe_MasDe_IDNS,M_PoDe_MasDe_Tot,M_GrDiGrCer_GrDiGrCerNFD_Mng,M_GrDiGrCer_GrDiGrCerNFD_Pro,M_GrDiGrCer_GrDiGrCerNFD_TTW,M_GrDiGrCer_GrDiGrCerNFD_CPS,M_GrDiGrCer_GrDiGrCerNFD_CA,M_GrDiGrCer_GrDiGrCerNFD_Sal,M_GrDiGrCer_GrDiGrCerNFD_MOD,M_GrDiGrCer_GrDiGrCerNFD_Lab,M_GrDiGrCer_GrDiGrCerNFD_IDNS,M_GrDiGrCer_GrDiGrCerNFD_Tot,M_GrDi_GrCer_GrDi_Mng,M_GrDi_GrCer_GrDi_Pro,M_GrDi_GrCer_GrDi_TTW,M_GrDi_GrCer_GrDi_CPS,M_GrDi_GrCer_GrDi_CA,M_GrDi_GrCer_GrDi_Sal,M_GrDi_GrCer_GrDi_MOD,M_GrDi_GrCer_GrDi_Lab,M_GrDi_GrCer_GrDi_IDNS,M_GrDi_GrCer_GrDi_Tot,M_GrDi_GrCer_GradCer_Mng,M_GrDi_GrCer_GradCer_Pro,M_GrDi_GrCer_GradCer_TTW,M_GrDi_GrCer_GradCer_CPS,M_GrDi_GrCer_GradCer_CA,M_GrDi_GrCer_GradCer_Sal,M_GrDi_GrCer_GradCer_MOD,M_GrDi_GrCer_GradCer_Lab,M_GrDi_GrCer_GradCer_IDNS,M_GrDi_GrCer_GradCer_Tot,M_BaDe_BaDe_Mng,M_BaDe_BaDe_Pro,M_BaDe_BaDe_TTW,M_BaDe_BaDe_CPS,M_BaDe_BaDe_CA,M_BaDe_BaDe_Sal,M_BaDe_BaDe_MOD,M_BaDe_BaDe_Lab,M_BaDe_BaDe_IDNS,M_BaDe_BaDe_Tot,M_AdvDi_Di_AdvDi_Di_NFD_Mng,M_AdvDi_Di_AdvDi_Di_NFD_Pro,M_AdvDi_Di_AdvDi_Di_NFD_TTW,M_AdvDi_Di_AdvDi_Di_NFD_CPS,M_AdvDi_Di_AdvDi_Di_NFD_CA,M_AdvDi_Di_AdvDi_Di_NFD_Sal,M_AdvDi_Di_AdvDi_Di_NFD_MOD,M_AdvDi_Di_AdvDi_Di_NFD_Lab,M_AdvDi_Di_AdvDi_Di_NFD_IDNS,M_AdvDi_Di_AdvDi_Di_NFD_Tot,M_AdvDi_Di_AdvDi_AsDe_Mng,M_AdvDi_Di_AdvDi_AsDe_Pro,M_AdvDi_Di_AdvDi_AsDe_TTW,M_AdvDi_Di_AdvDi_AsDe_CPS,M_AdvDi_Di_AdvDi_AsDe_CA,M_AdvDi_Di_AdvDi_AsDe_Sal,M_AdvDi_Di_AdvDi_AsDe_MOD,M_AdvDi_Di_AdvDi_AsDe_Lab,M_AdvDi_Di_AdvDi_AsDe_IDNS,M_AdvDi_Di_AdvDi_AsDe_Tot,M_AdvDi_Di_Dip_Mng,M_AdvDi_Di_Dip_Pro,M_AdvDi_Di_Dip_TTW,M_AdvDi_Di_Dip_CPS,M_AdvDi_Di_Dip_CA,M_AdvDi_Di_Dip_Sal,M_AdvDi_Di_Dip_MOD,M_AdvDi_Di_Dip_Lab,M_AdvDi_Di_Dip_IDNS,M_AdvDi_Di_Dip_Tot,M_Cert_CertIII_IV_Mng,M_Cert_CertIII_IV_Pro,M_Cert_CertIII_IV_TTW,M_Cert_CertIII_IV_CPS,M_Cert_CertIII_IV_CA,M_Cert_CertIII_IV_Sal,M_Cert_CertIII_IV_MOD,M_Cert_CertIII_IV_Lab,M_Cert_CertIII_IV_IDNS,M_Cert_CertIII_IV_Tot,M_Cert_CertI_II_Mng,M_Cert_CertI_II_Pro,M_Cert_CertI_II_TTW,M_Cert_CertI_II_CPS,M_Cert_CertI_II_CA,M_Cert_CertI_II_Sal,M_Cert_CertI_II_MOD,M_Cert_CertI_II_Lab,M_Cert_CertI_II_IDNS,M_Cert_CertI_II_Tot,M_Cert_Cert_nfd_Mng,M_Cert_Cert_nfd_Pro,M_Cert_Cert_nfd_TTW,M_Cert_Cert_nfd_CPS,M_Cert_Cert_nfd_CA,M_Cert_Cert_nfd_Sal,M_Cert_Cert_nfd_MOD,M_Cert_Cert_nfd_Lab,M_Cert_Cert_nfd_IDNS,M_Cert_Cert_nfd_Tot,M_LE_ID_Mng,M_LE_ID_Pro,M_LE_ID_TTW,M_LE_ID_CPS,M_LE_ID_CA,M_LE_ID_Sal,M_LE_ID_MOD,M_LE_ID_Lab,M_LE_ID_IDNS,M_LE_ID_Tot,M_LE_NS_Mng,M_LE_NS_Pro,M_LE_NS_TTW,M_LE_NS_CPS,M_LE_NS_CA,M_LE_NS_Sal,M_LE_NS_MOD,M_LE_NS_Lab,M_LE_NS_IDNS,M_LE_NS_Tot,M_Tot_Mng,M_Tot_Pro,M_Tot_TTW,M_Tot_CPS,M_Tot_CA,M_Tot_Sal,M_Tot_MOD,M_Tot_Lab,M_Tot_IDNS,M_Tot_Tot,F_PoDe_PoDe_NFD_Mng,F_PoDe_PoDe_NFD_Pro,F_PoDe_PoDe_NFD_TTW,F_PoDe_PoDe_NFD_CPS,F_PoDe_PoDe_NFD_CA,F_PoDe_PoDe_NFD_Sal,F_PoDe_PoDe_NFD_MOD,F_PoDe_PoDe_NFD_Lab,F_PoDe_PoDe_NFD_IDNS,F_PoDe_PoDe_NFD_Tot,F_PoDe_DoctDe_Mng,F_PoDe_DoctDe_Pro,F_PoDe_DoctDe_TTW,F_PoDe_DoctDe_CPS,F_PoDe_DoctDe_CA,F_PoDe_DoctDe_Sal,F_PoDe_DoctDe_MOD,F_PoDe_DoctDe_Lab,F_PoDe_DoctDe_IDNS,F_PoDe_DoctDe_Tot,F_PoDe_MasDe_Mng,F_PoDe_MasDe_Pro,F_PoDe_MasDe_TTW,F_PoDe_MasDe_CPS,F_PoDe_MasDe_CA,F_PoDe_MasDe_Sal,F_PoDe_MasDe_MOD,F_PoDe_MasDe_Lab,F_PoDe_MasDe_IDNS,F_PoDe_MasDe_Tot,F_GrDiGrCer_GrDiGrCerNFD_Mng,F_GrDiGrCer_GrDiGrCerNFD_Pro,F_GrDiGrCer_GrDiGrCerNFD_TTW,F_GrDiGrCer_GrDiGrCerNFD_CPS,F_GrDiGrCer_GrDiGrCerNFD_CA,F_GrDiGrCer_GrDiGrCerNFD_Sal,F_GrDiGrCer_GrDiGrCerNFD_MOD,F_GrDiGrCer_GrDiGrCerNFD_Lab,F_GrDiGrCer_GrDiGrCerNFD_IDNS,F_GrDiGrCer_GrDiGrCerNFD_Tot
SOSR501,146,365,24,24,36,7,11,11,7,627,899,6001,130,78,124,41,51,53,59,7435,7976,17360,1547,1262,2104,925,1217,1025,402,33808,270,652,47,48,80,32,37,22,26,1223,1697,4716,354,365,462,131,165,171,61,8121,702,994,132,229,207,45,49,33,26,2422,20205,53252,8300,5934,7377,3983,4558,4124,1257,108984,44,43,90,46,15,14,30,41,7,338,4439,4846,4478,1787,1470,942,1605,1154,292,21018,6097,5459,7864,3561,2379,1829,3019,2233,420,32867,13357,6303,67941,7373,5610,4513,14820,11741,2405,134065,487,304,1355,919,440,830,1187,1745,76,7347,974,657,1369,752,476,512,1062,871,98,6769,695,1041,822,305,261,171,462,422,96,4271,853,991,1470,592,403,406,1062,971,1250,7987,58836,102988,95918,23275,21433,14389,29345,24618,6479,377274,135,808,24,47,90,22,5,5,4,1138,565,5000,91,104,242,42,7,26,47,6133,4601,18285,857,2611,3460,1124,171,803,299,32215,243,1098,24,124,157,38,12,34,23,1756
SOSR511,3,8,0,0,0,0,0,0,0,13,12,70,0,0,3,0,0,0,0,91,91,219,24,14,15,7,14,9,3,401,3,7,0,0,0,0,0,0,0,18,23,117,6,7,5,8,3,3,0,167,22,28,8,0,7,3,0,0,0,62,290,941,167,101,86,47,77,94,14,1822,0,0,3,0,0,0,0,0,0,7,105,103,125,38,30,21,56,26,7,518,179,179,232,83,56,44,80,60,12,921,475,256,3657,280,220,189,994,669,128,6862,18,9,89,29,12,47,81,95,3,382,24,19,56,22,7,28,52,38,9,249,13,24,22,9,9,0,22,12,0,103,32,25,53,10,6,19,66,44,39,292,1299,1995,4444,581,465,403,1450,1052,215,11897,4,23,0,0,0,0,0,0,0,30,10,66,0,0,0,0,0,0,0,75,44,265,9,33,40,12,0,9,0,415,0,22,0,0,3,0,0,0,0,27
SOSR512,0,16,0,0,0,0,0,0,0,14,18,122,0,0,0,0,0,3,0,142,143,385,20,32,21,11,20,10,7,651,6,20,0,0,0,0,0,0,0,27,43,157,8,17,10,5,5,8,3,267,28,38,7,11,0,4,0,0,0,85,440,1437,239,165,105,61,117,91,17,2677,5,4,6,0,0,0,3,0,0,12,187,223,145,78,41,36,79,51,15,861,275,222,319,169,68,66,104,114,22,1358,946,359,5695,527,284,351,1401,933,175,10671,50,30,120,66,29,99,120,161,7,673,61,23,60,42,14,25,89,69,7,392,26,20,35,6,7,8,16,25,7,153,36,44,85,33,5,23,91,80,62,455,2255,3089,6727,1162,590,687,2062,1548,317,18440,8,34,4,0,0,0,0,0,3,47,4,87,3,5,4,0,0,4,0,108,115,515,10,45,61,18,3,10,0,778,8,35,0,3,3,0,0,0,0,52
SOSR513,0,4,0,0,0,0,0,0,0,6,10,44,0,0,5,0,0,0,0,61,104,195,35,14,25,4,7,12,5,401,0,8,0,0,0,0,0,0,0,18,29,93,6,13,8,6,7,4,0,167,26,24,12,9,0,0,0,3,0,69,325,736,215,105,98,41,59,77,18,1669,0,0,3,0,0,0,0,0,0,11,114,127,139,55,33,19,40,35,14,574,193,139,261,120,58,37,72,47,21,946,637,309,3887,247,210,138,905,571,179,7083,18,14,74,27,18,30,45,62,6,301,38,37,43,14,14,12,49,32,0,247,10,18,31,11,6,0,14,21,5,111,37,24,78,20,9,11,68,54,69,367,1552,1760,4766,642,476,306,1275,917,326,12019,5,15,3,0,0,0,0,0,0,25,10,48,0,0,11,0,0,0,0,67,98,334,18,27,38,19,6,7,0,552,0,24,0,0,3,0,0,0,0,35
SOSR514,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,29,32,76,6,3,4,4,4,10,0,137,0,0,0,0,0,0,0,0,0,3,6,43,0,3,0,5,0,0,0,56,9,9,0,6,0,0,0,0,0,25,144,331,89,37,25,21,34,64,7,739,0,0,0,0,0,0,0,0,0,0,44,39,34,15,9,10,14,23,4,189,63,45,90,32,10,15,18,36,3,309,185,58,1290,96,49,58,286,248,52,2324,8,6,30,7,10,9,13,38,3,118,14,8,18,9,8,13,26,17,0,113,6,0,10,0,0,0,4,10,5,34,19,7,18,9,0,8,22,13,12,101,524,647,1588,223,108,148,418,457,78,4187,3,0,0,0,0,0,0,0,0,7,0,16,0,0,0,0,0,0,0,16,15,117,4,24,17,4,0,4,0,187,0,4,0,0,0,0,0,0,0,8
SOSR515,3,3,0,0,0,0,0,0,0,5,13,44,4,0,0,0,0,0,0,69,81,153,28,21,21,4,5,20,4,334,0,9,0,0,0,0,0,0,0,12,32,97,11,14,5,0,3,5,0,178,17,15,3,13,5,0,0,7,0,57,348,781,162,136,69,33,75,143,27,1764,0,4,5,0,0,0,0,0,0,11,100,102,109,63,30,22,51,49,6,527,158,136,202,129,43,34,92,76,10,879,678,284,4214,358,215,180,1218,740,162,8039,23,25,79,36,13,41,88,104,9,408,36,19,54,21,5,18,64,64,4,288,15,10,17,7,0,4,13,30,4,98,37,23,77,34,8,24,94,112,64,461,1531,1706,4959,827,415,372,1712,1329,292,13135,3,12,0,0,0,0,0,4,0,21,7,33,0,0,8,0,0,0,0,54,85,292,13,37,34,12,0,16,7,493,0,28,0,0,0,0,0,0,3,38
SOSR521,0,0,0,0,0,0,0,0,0,4,0,11,0,0,0,0,0,0,0,24,39,54,5,8,3,0,0,0,0,113,3,0,0,0,0,0,0,0,0,6,14,27,0,4,0,0,4,0,0,54,0,3,4,6,0,0,0,0,0,21,139,260,56,40,16,12,23,41,0,585,0,0,0,0,0,0,0,0,0,3,59,44,34,31,12,4,31,9,4,223,68,51,64,61,11,11,28,16,13,317,273,88,1351,112,79,64,443,282,63,2755,7,8,22,24,3,17,19,34,3,140,18,10,12,6,8,8,17,23,3,107,7,0,7,6,0,0,3,6,4,36,15,13,37,15,3,8,55,34,29,220,643,585,1591,303,145,129,631,453,124,4605,0,4,0,0,0,0,0,0,0,9,3,19,0,0,3,0,0,0,0,26,35,92,0,19,10,9,0,4,0,168,0,7,0,0,0,0,0,0,0,7
SOSR522,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,13,21,25,0,0,5,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,17,0,4,3,0,0,3,0,27,3,3,0,0,0,0,0,0,0,10,80,136,18,22,11,9,7,14,0,304,0,0,0,0,0,0,0,0,0,5,20,20,26,14,6,4,5,6,0,100,41,18,30,28,6,5,19,16,0,170,166,51,606,58,27,29,207,156,32,1323,11,6,14,4,0,3,16,18,5,80,10,14,7,6,0,0,9,16,4,64,0,0,5,0,0,0,6,4,0,26,14,7,17,10,0,3,24,17,15,105,380,301,720,149,63,56,301,254,59,2278,0,3,0,0,0,0,0,0,0,3,0,17,0,4,0,0,0,0,0,19,15,51,0,9,10,0,0,4,0,88,4,5,0,0,0,0,0,0,0,9
SOSR531,6,5,0,0,0,0,0,0,0,13,56,104,4,3,4,0,0,5,3,184,231,308,39,18,12,8,26,22,7,662,19,18,3,0,0,0,0,6,0,37,96,153,12,12,5,0,5,14,3,308,32,38,3,12,0,0,3,0,0,95,1464,1608,296,155,132,92,168,263,40,4219,4,0,5,4,0,0,5,3,0,23,573,268,266,93,75,58,124,120,22,1594,627,261,387,136,68,66,174,163,30,1905,2789,511,6956,419,275,251,2069,1414,272,14960,122,29,127,36,23,48,150,176,5,710,213,38,91,40,12,39,117,104,12,664,87,34,43,8,11,7,33,45,0,273,255,45,144,39,12,37,163,152,91,944,6565,3425,8383,964,639,609,3036,2478,494,26595,16,39,0,4,5,0,0,0,0,63,42,150,4,5,10,3,0,4,0,227,192,510,18,44,72,15,8,21,8,888,17,42,0,4,0,0,0,0,6,66
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,5,0,0,0,0,13,0,33,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,10,0,0,6,0,0,0,0,3,0,15,4,6,41,0,0,0,13,15,3,100,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,0,4,4,34,59,0,3,0,20,49,12,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
