SOSR_CODE_2021,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
SOSR501,33,20,12,20,0,34,4,69,18,3884,51,4158,12,28,0,3,0,15,0,146,19,1276,18,1519,4,30,0,5,0,17,4,250,29,843,12,1200,4,7,0,4,0,14,3,189,19,626,4,872,12,99,3,18,0,52,4,478,37,3655,41,4405,15,138,4,42,4,138,16,820,65,2165,27,3444,32,351,17,88,10,433,43,1514,139,15146,166,17944,89,624,22,224,20,915,54,1962,165,8666,82,12813,174,1163,42,672,51,1872,84,1965,204,7937,76,14228,596,1542,66,2133,111,2215,147,1788,214,7041,102,15960,671,866,38,2470,133,2122,124,1021,166,2107,31,9741,1652,835,69,2961,183,1934,132,855,193,2361,30,11201,7818,1346,164,6212,568,3871,278,1223,362,2628,63,24535,8196,800,195,5287,583,1268,274,595,142,1250,30,18627,7291,488,186,3435,501,1405,174,426,131,833,39,14910,5597,289,124,1735,373,398,114,178,41,388,8,9259,12372,844,298,4287,834,2871,251,928
SOSR511,3,0,0,0,0,0,0,0,0,117,3,124,3,0,0,0,0,0,0,6,0,37,0,49,0,0,0,0,0,0,0,10,6,31,0,48,0,0,0,0,0,0,0,4,0,29,0,37,0,6,0,3,0,0,0,19,0,170,3,206,0,6,0,0,0,13,0,43,0,85,0,157,0,16,0,4,0,16,4,70,15,829,10,963,5,20,0,4,0,30,0,88,6,446,5,599,7,45,0,30,0,77,0,90,16,363,0,629,36,44,4,93,5,86,5,78,7,317,8,672,34,29,0,88,9,87,11,41,5,69,0,378,81,20,0,125,7,98,5,26,9,105,0,485,301,47,15,262,26,175,15,43,22,98,4,1003,270,33,5,270,18,44,11,18,4,37,0,719,251,14,16,167,21,49,13,10,5,28,0,568,163,4,8,54,12,19,3,3,0,5,0,267,302,18,5,121,23,66,8,20
SOSR512,3,0,0,3,0,0,3,0,0,167,4,190,0,0,0,0,0,0,0,9,0,82,0,96,0,5,0,0,0,0,0,17,0,56,0,79,0,0,0,0,0,0,0,12,0,33,0,46,3,9,0,0,0,7,0,25,4,246,3,295,0,8,0,0,0,10,0,66,9,157,5,248,3,17,3,10,5,36,0,132,12,1214,24,1465,4,54,4,12,0,66,0,136,14,603,14,914,21,78,3,45,0,130,3,148,17,514,6,982,68,112,9,160,11,112,9,151,15,473,4,1124,56,60,12,156,16,114,16,55,13,124,4,619,117,44,8,187,11,128,11,37,12,154,0,710,505,82,18,418,40,232,27,62,21,142,6,1560,513,44,18,349,35,65,25,24,7,60,3,1146,401,36,13,229,38,75,18,13,13,49,4,882,313,18,3,84,17,30,9,15,0,19,6,510,617,33,13,212,48,106,20,16
SOSR513,0,0,0,0,0,0,0,0,0,58,3,68,0,0,0,0,0,0,0,4,0,17,0,21,0,0,0,0,0,0,0,0,0,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,4,0,5,0,56,0,67,0,6,0,3,0,8,0,18,0,40,0,69,0,5,0,0,0,9,0,27,3,250,0,301,3,16,0,0,0,14,0,31,3,124,0,193,8,6,0,9,0,41,0,32,3,118,5,231,18,26,0,38,0,49,0,20,3,96,3,250,19,5,0,35,0,51,3,12,0,28,0,157,51,16,0,63,3,44,0,14,0,26,3,223,295,28,9,156,17,98,10,26,12,32,0,686,289,24,10,156,22,38,7,13,3,13,0,574,355,15,4,125,32,54,17,6,4,14,0,621,268,6,13,67,15,21,4,0,4,6,0,404,687,19,28,156,63,77,17,13
SOSR514,0,0,0,0,0,0,0,0,0,40,0,40,0,0,0,0,0,0,0,0,0,24,0,22,0,0,0,0,0,0,0,3,0,17,0,20,0,0,0,0,0,0,0,10,0,16,0,21,0,3,0,0,0,0,0,12,0,69,0,93,0,3,0,0,0,4,0,15,0,41,0,67,0,0,0,3,0,3,0,32,0,320,9,371,0,12,0,3,0,13,0,37,6,138,3,225,3,26,0,15,0,23,8,39,3,129,3,255,10,33,5,42,5,34,0,35,6,125,0,294,12,15,0,26,3,25,5,14,4,32,0,132,32,11,3,50,7,35,4,14,3,46,0,203,96,29,7,106,8,50,7,12,7,35,0,351,100,9,7,76,10,16,3,7,3,23,0,254,64,9,0,29,11,14,0,0,0,14,0,147,37,0,0,17,0,3,4,0,4,0,0,70,64,13,5,47,4,16,4,7
SOSR515,4,5,0,4,0,0,0,0,3,129,3,149,0,0,0,0,0,3,0,5,4,56,0,65,0,3,0,0,0,3,0,15,0,46,0,59,0,0,0,0,0,6,0,13,4,34,0,51,0,8,0,6,0,5,3,18,0,230,4,279,0,10,0,0,0,3,0,38,12,118,7,185,6,13,3,13,0,26,4,76,10,1054,20,1221,5,31,0,14,0,45,5,110,9,460,9,700,33,58,4,41,3,94,3,80,17,376,12,723,48,78,3,120,8,96,10,72,13,311,9,767,47,37,0,106,8,87,3,33,12,82,0,406,93,40,12,128,9,82,8,25,13,89,0,492,357,58,22,274,34,187,23,35,24,98,6,1114,374,29,16,225,44,54,24,13,4,38,0,824,314,20,13,145,29,58,13,13,10,34,3,650,214,17,7,86,20,11,7,3,0,6,0,378,473,34,24,135,44,78,10,13
SOSR521,3,0,0,0,0,0,0,3,0,67,0,76,3,0,0,0,0,0,0,5,0,36,0,39,0,0,0,0,0,0,0,10,0,16,0,24,0,0,0,0,0,0,0,4,0,20,0,26,0,3,0,0,0,0,0,4,0,108,5,134,3,0,0,0,0,5,0,18,0,61,0,90,7,8,0,3,0,14,0,54,4,465,8,569,4,15,0,14,0,30,0,48,7,194,3,310,12,21,0,10,0,50,4,33,9,156,0,300,20,22,5,62,7,38,8,37,13,153,3,360,15,0,3,34,0,52,6,13,3,26,0,157,38,23,9,53,3,47,6,18,3,33,0,225,140,34,5,105,12,82,7,16,9,34,0,456,132,14,13,89,10,25,11,6,8,16,0,321,101,7,9,58,13,36,6,5,4,15,0,258,82,7,0,15,5,0,0,0,0,0,0,117,119,17,9,41,13,38,5,3
SOSR522,0,0,0,0,0,0,0,0,0,31,0,34,0,0,0,0,0,0,0,0,0,14,0,16,0,0,0,0,0,0,0,5,0,16,0,18,0,0,0,0,0,0,0,3,0,14,0,20,4,0,0,0,0,0,0,10,0,92,4,115,0,4,0,0,0,8,0,7,0,35,0,60,0,3,0,5,0,8,0,30,3,263,3,314,4,13,4,4,0,18,0,32,3,138,7,225,13,18,0,12,0,27,0,29,4,67,0,170,23,16,0,30,4,19,0,17,9,71,4,193,3,3,0,17,0,22,0,4,7,14,0,82,28,7,3,25,5,15,0,10,4,23,0,121,86,11,5,48,11,33,7,5,0,23,0,229,74,5,0,41,8,13,5,4,3,12,0,159,53,0,6,20,3,5,3,0,6,6,0,104,39,0,0,6,0,0,0,0,5,0,0,56,65,8,3,18,5,26,0,5
SOSR531,55,17,5,19,0,12,0,5,10,301,5,433,19,5,0,3,3,3,0,17,3,151,4,222,6,4,4,5,0,11,0,17,0,90,0,142,4,0,0,4,0,7,0,14,0,68,0,106,35,38,0,27,0,24,5,75,14,429,9,663,5,16,4,18,0,31,0,97,3,190,0,362,55,81,4,45,0,57,3,154,20,1423,15,1865,98,94,10,63,4,103,12,205,25,690,7,1311,111,178,20,121,14,222,16,202,31,588,10,1515,184,179,14,239,22,199,24,206,29,526,6,1638,111,93,6,215,9,197,21,87,13,145,6,906,250,107,32,268,22,158,15,74,30,179,5,1131,602,166,34,568,65,322,37,120,59,209,7,2193,553,89,33,467,67,107,29,58,15,113,3,1536,539,60,17,312,53,118,22,36,14,72,0,1241,369,37,19,172,33,35,16,3,3,38,4,729,808,101,42,391,73,220,38,56
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
