SOSR_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SOSR501,387885,246891,295897,297929,263686,229678,182320,99540,39936,2043762
SOSR511,14972,8488,9322,9920,9801,9377,7670,4119,1523,75196
SOSR512,23290,13466,14681,15102,15690,15229,12592,7165,2918,120142
SOSR513,16415,7312,11408,11301,9050,6923,3599,1677,503,68192
SOSR514,5782,2766,3227,3973,3760,3470,3298,1624,567,28471
SOSR515,18781,9582,11923,11851,11838,11810,9832,5083,1831,92523
SOSR521,7118,3665,4346,4477,4984,5562,4668,2347,754,37925
SOSR522,4182,2376,2556,2419,2606,3061,2656,1336,375,21588
SOSR531,26586,16650,17368,20805,25420,27127,19970,8074,1649,163652
SOSR579,0,42,116,170,109,62,18,0,0,514
SOSR599,772,820,1512,1543,1313,1144,758,155,30,8055
