SOSR_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
SOSR501,179831,24086,8407,1342,147,213814,275929,28092,10814,104,157,315082,69228,28259,26315,105,134,124036,7019,8671,2800,7,26,18516,1186,1982,1002,4,18,4185,33366,10386,6195,107,69,50123,3762,1268,767,348,34,6184,581,371,175,8,0,1142,115147,50936,37254,579,279,204186,5859,5015,2087,62,29,13052,6122,1861,853,111,133,9079,582882,109986,59408,2198,744,755215
SOSR511,7162,645,87,150,9,8056,10919,399,54,12,17,11395,3043,791,257,11,5,4104,367,494,39,0,0,904,54,165,75,0,0,298,1635,300,57,3,0,1999,135,56,9,38,0,244,29,15,3,0,0,50,5270,1817,438,52,14,7594,268,238,22,5,8,540,252,106,14,20,8,399,23878,3206,610,238,50,27979
SOSR512,12326,825,57,252,17,13478,15051,609,45,18,12,15734,4843,1483,190,3,9,6529,1221,781,57,0,14,2068,185,320,13,0,4,523,2914,410,41,10,16,3381,548,196,16,128,7,899,42,40,0,4,0,92,9751,3227,324,153,43,13496,520,358,16,34,0,936,577,175,21,14,13,800,38228,5195,461,473,88,44443
SOSR513,2871,235,53,139,20,3319,6271,329,40,32,3,6671,2668,797,417,20,17,3913,1335,476,74,3,10,1900,131,60,31,3,0,232,1064,187,54,16,15,1343,2408,445,225,71,20,3176,39,15,0,0,0,57,7650,1977,809,114,63,10612,631,127,52,27,23,860,312,94,16,16,16,455,17733,2764,967,328,127,21923
SOSR514,3294,133,27,32,3,3496,3727,155,8,0,11,3906,1008,131,38,0,6,1189,263,135,26,0,0,422,24,10,3,0,0,40,754,74,10,0,0,839,94,10,3,18,6,130,6,0,4,0,0,11,2149,361,87,25,12,2632,93,20,12,4,3,135,183,23,4,0,8,217,9451,689,141,60,37,10381
SOSR515,9068,316,15,326,36,9756,9603,122,16,40,13,9801,2878,478,134,5,5,3500,1450,515,68,0,7,2043,397,180,80,4,3,660,2125,193,21,38,15,2393,2500,283,37,106,29,2954,60,16,8,0,0,81,9411,1674,338,154,64,11635,676,203,12,33,32,953,499,105,15,68,17,702,29247,2415,397,623,159,32849
SOSR521,4398,47,9,139,44,4644,3903,30,9,23,0,3968,680,65,28,5,0,779,792,171,24,3,8,999,265,92,17,10,3,392,1055,51,25,12,4,1152,497,52,5,36,11,610,32,9,4,0,0,36,3319,440,106,65,29,3972,546,45,7,20,8,628,370,31,21,23,11,450,12540,589,153,267,100,13658
SOSR522,2441,24,0,81,15,2571,1698,8,8,19,3,1734,260,8,0,0,0,274,764,67,9,0,9,845,445,36,20,4,3,503,473,13,0,7,0,495,335,36,9,33,20,424,31,6,0,5,0,38,2313,159,40,43,32,2588,371,25,9,13,16,432,166,11,4,20,17,214,6988,233,55,174,83,7539
SOSR531,21009,117,42,800,215,22187,16966,105,25,139,99,17338,1333,15,4,25,5,1389,469,18,3,5,6,505,481,19,10,13,10,535,3071,23,17,64,48,3237,1099,10,12,204,66,1394,51,5,0,4,5,59,6505,99,52,321,144,7116,2817,27,33,115,112,3105,802,8,7,111,64,990,48095,357,163,1485,635,50741
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
