SOSR_CODE_2021,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_UOLSE_VWorW,FOL_IAL_Tot_UOLSE_NWorNAA,FOL_IAL_Tot_UOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_UOLSE_VWorW,FOL_Italian_UOLSE_NWorNAA,FOL_Italian_UOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japan_SEO,FOL_Japan_UOLSE_VWorW,FOL_Japan_UOLSE_NWorNAA,FOL_Japan_UOLSE_Tot,FOL_Japan_NS,FOL_Japan_Tot,FOL_Khmer_SEO,FOL_Khmer_UOLSE_VWorW,FOL_Khmer_UOLSE_NWorNAA,FOL_Khmer_UOLSE_Tot,FOL_Khmer_NS,FOL_Khmer_Tot,FOL_Korean_SEO,FOL_Korean_UOLSE_VWorW,FOL_Korean_UOLSE_NWorNAA,FOL_Korean_UOLSE_Tot,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedon_SEO,FOL_Macedon_UOLSE_VWorW,FOL_Macedon_UOLSE_NWorNAA,FOL_Macedon_UOLSE_Tot,FOL_Macedon_NS,FOL_Macedon_Tot,FOL_Malayalam_SEO,FOL_Malayalam_UOLSE_VWorW,FOL_Malayalam_UOLSE_NWorNAA,FOL_Malayalam_UOLSE_Tot,FOL_Malayalam_NS,FOL_Malayalam_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_UOLSE_VWorW,FOL_Persian_ED_UOLSE_NWorNAA,FOL_Persian_ED_UOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_UOLSE_VWorW,FOL_Polish_UOLSE_NWorNAA,FOL_Polish_UOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Portuguese_SEO,FOL_Portuguese_UOLSE_VWorW,FOL_Portuguese_UOLSE_NWorNAA,FOL_Portuguese_UOLSE_Tot,FOL_Portuguese_NS,FOL_Portuguese_Tot,FOL_Russian_SEO,FOL_Russian_UOLSE_VWorW,FOL_Russian_UOLSE_NWorNAA,FOL_Russian_UOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_UOLSE_VWorW,FOL_Samoan_UOLSE_NWorNAA,FOL_Samoan_UOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_UOLSE_VWorW,FOL_Serbian_UOLSE_NWorNAA,FOL_Serbian_UOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipin_SEO,FOL_SAL_Filipin_UOLSE_VWorW,FOL_SAL_Filipin_UOLSE_NWorNAA,FOL_SAL_Filipin_UOLSE_Tot,FOL_SAL_Filipin_NS,FOL_SAL_Filipin_Tot,FOL_SAL_Indon_SEO,FOL_SAL_Indon_UOLSE_VWorW,FOL_SAL_Indon_UOLSE_NWorNAA,FOL_SAL_Indon_UOLSE_Tot,FOL_SAL_Indon_NS,FOL_SAL_Indon_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_UOLSE_VWorW,FOL_SAL_Tagalog_UOLSE_NWorNAA,FOL_SAL_Tagalog_UOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_UOLSE_VWorW,FOL_SAL_Oth_UOLSE_NWorNAA,FOL_SAL_Oth_UOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_UOLSE_VWorW,FOL_SAL_Tot_UOLSE_NWorNAA,FOL_SAL_Tot_UOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_UOLSE_VWorW,FOL_Spanish_UOLSE_NWorNAA,FOL_Spanish_UOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_UOLSE_VWorW,FOL_Tamil_UOLSE_NWorNAA,FOL_Tamil_UOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_UOLSE_VWorW,FOL_Thai_UOLSE_NWorNAA,FOL_Thai_UOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_UOLSE_VWorW,FOL_Turkish_UOLSE_NWorNAA,FOL_Turkish_UOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_UOLSE_VWorW,FOL_Vietnamese_UOLSE_NWorNAA,FOL_Vietnamese_UOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_UOLSE_VWorW,FOL_Oth_UOLSE_NWorNAA,FOL_Oth_UOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_UOLSE_VWorW,FOL_Tot_UOLSE_NWorNAA,FOL_Tot_UOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LUatH_NS_SEO,F_LUatH_NS_UOLSE_VWorW,F_LUatH_NS_UOLSE_NWorNAA,F_LUatH_NS_UOLSE_Tot,F_LUatH_NS_NS,F_LUatH_NS_Tot,F_Tot_SEO,F_Tot_UOLSE_VWorW,F_Tot_UOLSE_NWorNAA,F_Tot_UOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_UOLSE_VWorW,PSEO_UOLSE_NWorNAA,PSEO_UOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_UOLSE_VWorW,POL_Afrikaans_UOLSE_NWorNAA,POL_Afrikaans_UOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_UOLSE_VWorW,POL_Arabic_UOLSE_NWorNAA,POL_Arabic_UOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_UOLSE_VWorW,POL_AIndLng_UOLSE_NWorNAA,POL_AIndLng_UOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Canton_SEO,POL_CL_Canton_UOLSE_VWorW,POL_CL_Canton_UOLSE_NWorNAA,POL_CL_Canton_UOLSE_Tot,POL_CL_Canton_NS,POL_CL_Canton_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_UOLSE_VWorW,POL_CL_Mandarin_UOLSE_NWorNAA,POL_CL_Mandarin_UOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot
SOSR501,6,1293,..,28212,2684,30898,317,31210,..,10591,1355,11947,97,12039,..,2880,446,3325,21,3341,..,603,262,867,6,871,..,2556,886,3440,23,3459,..,2469,420,2893,18,2914,..,4114,264,4371,44,4413,..,3082,549,3627,24,3656,..,2632,273,2906,19,2930,..,3650,429,4076,39,4116,..,1912,226,2141,11,2150,..,337,17,360,0,359,..,2345,406,2751,10,2760,..,5357,157,5515,41,5554,..,5940,616,6551,59,6616,..,7681,294,7975,41,8015,..,4055,304,4362,35,4395,..,23032,1371,24402,174,24573,..,5656,565,6218,64,6286,..,3822,319,4137,36,4174,..,3767,698,4464,21,4490,..,721,213,935,7,944,..,7795,3800,11596,78,11673,..,32257,5385,37649,662,38309,..,197322,30969,228297,2226,230519,..,5059,777,5843,40114,45954,760255,202383,31750,234135,42344,1036733,1504326,..,..,..,..,1504326,..,11170,164,11329,62,11398,..,13246,2047,15291,110,15400,..,1779,48,1828,26,1856,..,15231,3737,18964,151,19118,..,38350,10541,48891,479,49372
SOSR511,0,14,..,271,26,295,3,296,..,220,33,253,7,257,..,42,4,49,0,47,..,4,0,4,0,4,..,44,19,57,0,57,..,5,0,5,0,5,..,102,11,112,0,112,..,19,3,23,0,23,..,58,5,64,0,64,..,34,0,36,0,36,..,50,11,58,0,58,..,5,0,3,0,3,..,10,0,10,0,10,..,174,0,181,5,183,..,65,6,71,0,69,..,251,6,258,0,258,..,110,3,112,3,118,..,605,22,625,13,632,..,75,4,75,0,81,..,30,0,30,0,30,..,82,15,98,0,98,..,6,0,6,0,6,..,44,32,81,0,82,..,495,47,538,16,559,..,3047,350,3399,43,3437,..,134,7,142,1653,1789,33008,3178,357,3539,1696,38239,64393,..,..,..,..,64393,..,642,9,647,4,655,..,146,15,159,0,158,..,106,3,111,0,111,..,76,15,99,3,97,..,355,145,498,4,503
SOSR512,0,23,..,365,41,403,4,404,..,203,19,222,4,227,..,42,7,48,0,48,..,8,0,9,0,9,..,27,9,36,0,37,..,14,0,10,0,10,..,100,8,102,3,104,..,26,0,29,0,29,..,31,0,34,0,38,..,50,10,55,3,58,..,34,3,40,0,40,..,36,0,42,0,42,..,7,0,7,0,7,..,351,9,359,0,362,..,132,3,137,0,138,..,418,15,431,3,439,..,232,40,269,4,273,..,1131,73,1204,10,1212,..,80,3,85,0,88,..,37,0,38,0,38,..,245,40,284,0,288,..,10,0,10,0,10,..,121,52,174,0,173,..,1033,135,1171,17,1190,..,4676,498,5175,55,5222,..,280,36,311,4015,4328,51242,4952,533,5482,4064,60792,100551,..,..,..,..,100551,..,836,13,851,3,856,..,102,5,106,0,106,..,338,15,355,6,360,..,86,36,119,0,119,..,354,94,446,3,448
SOSR513,0,19,..,293,30,324,6,328,..,84,3,84,0,84,..,38,7,44,0,44,..,4,3,8,0,8,..,27,0,31,0,31,..,18,0,17,0,17,..,23,5,29,0,29,..,9,0,11,0,11,..,27,0,28,0,34,..,51,0,56,0,56,..,25,0,25,0,25,..,16,0,16,0,16,..,14,3,13,0,13,..,238,10,244,0,244,..,90,3,96,0,96,..,275,15,289,9,296,..,171,20,183,0,186,..,762,48,810,6,817,..,133,5,139,0,143,..,27,4,29,0,29,..,231,26,258,0,255,..,4,3,15,0,15,..,67,11,81,0,81,..,904,54,957,19,975,..,3543,275,3819,39,3862,..,289,23,313,3802,4110,25657,3831,296,4131,3841,33632,51958,..,..,..,..,51958,..,438,7,448,0,448,..,85,7,95,0,95,..,827,30,854,9,865,..,107,12,118,0,119,..,262,56,312,5,321
SOSR514,0,0,..,34,8,44,0,44,..,63,4,66,0,67,..,26,4,28,0,28,..,3,0,3,0,3,..,19,5,22,0,22,..,0,0,0,0,0,..,12,5,14,0,20,..,0,0,0,0,0,..,29,3,33,0,33,..,29,6,34,0,34,..,5,0,7,0,7,..,0,0,0,0,0,..,3,5,5,0,5,..,45,0,44,0,50,..,26,0,28,6,31,..,59,3,61,0,61,..,22,0,22,0,22,..,142,11,150,5,159,..,62,0,65,0,65,..,5,0,5,0,5,..,22,3,31,0,31,..,0,0,0,0,0,..,11,6,18,0,18,..,140,16,156,3,164,..,890,93,987,15,999,..,39,0,43,1037,1080,12329,932,103,1028,1050,14412,24263,..,..,..,..,24263,..,60,0,61,0,61,..,7,4,14,0,14,..,43,0,48,0,49,..,28,9,33,0,33,..,62,21,83,0,83
SOSR515,0,0,..,118,13,132,3,137,..,214,25,233,0,240,..,35,4,36,0,36,..,17,6,20,0,20,..,18,5,27,0,27,..,18,4,22,0,22,..,51,0,53,0,49,..,13,4,16,0,16,..,41,3,43,0,43,..,46,5,52,0,56,..,17,0,20,0,20,..,6,0,6,0,3,..,15,0,15,0,15,..,255,9,259,7,262,..,76,12,85,0,85,..,241,11,250,0,249,..,149,40,187,3,187,..,716,66,784,7,790,..,66,5,71,0,79,..,25,0,19,0,19,..,129,36,170,4,172,..,0,0,0,0,0,..,61,28,91,0,91,..,1141,151,1290,29,1323,..,3446,432,3875,67,3941,..,222,85,302,4547,4847,37350,3664,512,4181,4610,46132,74624,..,..,..,..,74624,..,314,0,309,0,316,..,65,14,77,3,79,..,1026,38,1064,26,1091,..,61,19,74,0,74,..,290,85,373,5,381
SOSR521,0,0,..,31,3,32,0,30,..,40,0,44,0,46,..,9,0,6,0,6,..,6,0,3,0,3,..,11,0,11,0,11,..,0,0,0,0,0,..,26,4,27,0,27,..,4,0,4,0,4,..,10,0,13,0,13,..,16,0,16,0,16,..,11,0,14,0,14,..,4,0,4,0,4,..,0,0,0,0,0,..,92,3,100,6,106,..,14,0,17,0,17,..,91,0,91,0,91,..,25,0,25,0,25,..,226,5,231,6,241,..,32,0,35,0,35,..,4,0,4,0,4,..,51,8,58,0,58,..,0,0,0,0,0,..,22,8,27,0,27,..,872,64,939,21,960,..,1631,141,1773,41,1817,..,83,10,90,1913,2001,15035,1711,152,1867,1950,18844,30363,..,..,..,..,30363,..,130,3,133,0,136,..,12,0,20,5,23,..,1300,84,1388,47,1433,..,13,3,17,0,17,..,72,40,114,5,116
SOSR522,0,0,..,21,4,26,0,26,..,16,0,21,0,21,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,10,0,14,0,14,..,0,0,0,0,0,..,0,0,3,0,3,..,5,0,5,0,5,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,3,..,17,0,17,0,17,..,8,0,8,0,8,..,26,0,27,5,31,..,11,0,11,0,11,..,61,0,58,5,61,..,6,0,6,0,6,..,0,0,0,0,0,..,12,3,10,0,10,..,0,0,0,0,0,..,3,0,7,0,7,..,1447,122,1573,40,1612,..,1707,150,1853,42,1903,..,42,14,60,1001,1056,7673,1754,155,1912,1041,10626,15679,..,..,..,..,15679,..,42,0,42,0,42,..,11,0,10,0,10,..,2665,261,2927,79,3006,..,5,0,5,0,5,..,33,3,38,0,38
SOSR531,0,6,..,74,13,84,0,84,..,408,29,443,5,449,..,53,7,60,0,60,..,7,0,4,0,4,..,19,3,20,0,20,..,31,3,33,0,33,..,4,0,5,0,5,..,4,0,6,0,6,..,56,3,57,0,57,..,66,3,70,3,75,..,21,0,20,0,20,..,3,0,3,0,3,..,24,6,22,0,22,..,76,4,84,0,82,..,62,3,63,0,63,..,107,0,107,0,111,..,80,13,96,0,94,..,320,24,347,5,351,..,148,4,150,0,154,..,6,0,6,0,6,..,146,32,177,0,183,..,4,0,6,0,6,..,111,87,205,5,208,..,1833,119,1950,44,1996,..,4672,422,5094,77,5178,..,210,15,226,6410,6634,62474,4883,440,5316,6492,74281,132299,..,..,..,..,132299,..,783,15,799,3,799,..,83,10,96,0,97,..,2460,177,2642,56,2697,..,69,15,85,0,85,..,373,78,455,8,461
SOSR579,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,19,25,29,7,0,7,19,58,232,..,..,..,..,232,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0
