SA1_CODE_2021,P_400_499_15_19_yr,P_400_499_20_24_yr,P_400_499_25_34_yr,P_400_499_35_44_yr,P_400_499_45_54_yr,P_400_499_55_64_yr,P_400_499_65_74_yr,P_400_499_75_84_yr,P_400_499_85_yr_over,P_400_499_Tot,P_500_649_15_19_yr,P_500_649_20_24_yr,P_500_649_25_34_yr,P_500_649_35_44_yr,P_500_649_45_54_yr,P_500_649_55_64_yr,P_500_649_65_74_yr,P_500_649_75_84_yr,P_500_649_85_yr_over,P_500_649_Tot,P_650_799_15_19_yr,P_650_799_20_24_yr,P_650_799_25_34_yr,P_650_799_35_44_yr,P_650_799_45_54_yr,P_650_799_55_64_yr,P_650_799_65_74_yr,P_650_799_75_84_yr,P_650_799_85_yr_over,P_650_799_Tot,P_800_999_15_19_yr,P_800_999_20_24_yr,P_800_999_25_34_yr,P_800_999_35_44_yr,P_800_999_45_54_yr,P_800_999_55_64_yr,P_800_999_65_74_yr,P_800_999_75_84_yr,P_800_999_85_yr_over,P_800_999_Tot,P_1000_1249_15_19_yr,P_1000_1249_20_24_yr,P_1000_1249_25_34_yr,P_1000_1249_35_44_yr,P_1000_1249_45_54_yr,P_1000_1249_55_64_yr,P_1000_1249_65_74_yr,P_1000_1249_75_84_yr,P_1000_1249_85_yr_over,P_1000_1249_Tot,P_1250_1499_15_19_yr,P_1250_1499_20_24_yr,P_1250_1499_25_34_yr,P_1250_1499_35_44_yr,P_1250_1499_45_54_yr,P_1250_1499_55_64_yr,P_1250_1499_65_74_yr,P_1250_1499_75_84_yr,P_1250_1499_85_yr_over,P_1250_1499_Tot,P_1500_1749_15_19_yr,P_1500_1749_20_24_yr,P_1500_1749_25_34_yr,P_1500_1749_35_44_yr,P_1500_1749_45_54_yr,P_1500_1749_55_64_yr,P_1500_1749_65_74_yr,P_1500_1749_75_84_yr,P_1500_1749_85_yr_over,P_1500_1749_Tot,P_1750_1999_15_19_yr,P_1750_1999_20_24_yr,P_1750_1999_25_34_yr,P_1750_1999_35_44_yr,P_1750_1999_45_54_yr,P_1750_1999_55_64_yr,P_1750_1999_65_74_yr,P_1750_1999_75_84_yr,P_1750_1999_85_yr_over,P_1750_1999_Tot,P_2000_2999_15_19_yr,P_2000_2999_20_24_yr,P_2000_2999_25_34_yr,P_2000_2999_35_44_yr,P_2000_2999_45_54_yr,P_2000_2999_55_64_yr,P_2000_2999_65_74_yr,P_2000_2999_75_84_yr,P_2000_2999_85_yr_over,P_2000_2999_Tot,P_3000_3499_15_19_yr,P_3000_3499_20_24_yr,P_3000_3499_25_34_yr,P_3000_3499_35_44_yr,P_3000_3499_45_54_yr,P_3000_3499_55_64_yr,P_3000_3499_65_74_yr,P_3000_3499_75_84_yr,P_3000_3499_85_yr_over,P_3000_3499_Tot,P_3500_more_15_19_yr,P_3500_more_20_24_yr,P_3500_more_25_34_yr,P_3500_more_35_44_yr,P_3500_more_45_54_yr,P_3500_more_55_64_yr,P_3500_more_65_74_yr,P_3500_more_75_84_yr,P_3500_more_85_yr_over,P_3500_more_Tot,P_Personal_inc_ns_15_19_yr,P_Personal_inc_ns_20_24_yr,P_Personal_inc_ns_25_34_yr,P_Personal_inc_ns_35_44_yr,P_Personal_inc_ns_45_54_yr,P_Personal_inc_ns_55_64_yr,P_Personal_inc_ns_65_74_yr,P_Personal_inc_ns_75_84_yr,P_Personal_inc_ns_85_yr_over,P_Personal_inc_ns_Tot,P_OS_vis_15_19_yr,P_OS_vis_20_24_yr,P_OS_vis_25_34_yr,P_OS_vis_35_44_yr,P_OS_vis_45_54_yr,P_OS_vis_55_64_yr,P_OS_vis_65_74_yr,P_OS_vis_75_84_yr,P_OS_vis_85_yr_over,P_OS_vis_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
50101100101,0,0,0,4,3,3,9,0,0,25,5,4,0,0,3,3,0,0,5,23,0,0,5,3,5,4,7,0,0,27,0,0,4,3,5,5,4,3,0,28,0,0,5,8,11,5,5,3,0,33,0,0,4,0,3,0,5,0,0,16,0,0,0,3,0,3,4,0,0,16,0,0,0,3,4,0,0,0,0,9,0,0,4,6,5,9,0,3,0,25,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,6,6,0,0,13,0,0,9,11,6,10,4,6,0,43,0,0,0,0,0,0,0,0,0,0,26,10,42,49,53,71,49,21,3,322
50101100102,4,3,8,12,8,7,10,9,0,56,6,0,7,27,13,5,13,0,5,75,0,5,12,18,13,7,7,3,0,67,0,10,14,15,24,17,4,3,0,75,0,0,11,38,21,14,4,0,0,97,0,0,11,20,17,9,3,0,0,53,0,0,7,30,15,9,3,0,0,64,0,0,9,24,15,0,0,0,0,47,0,0,12,45,22,20,0,0,0,107,0,0,3,13,9,0,0,0,0,24,0,0,4,7,4,3,0,0,0,20,0,4,10,27,9,6,3,0,0,66,0,0,6,0,0,0,0,0,0,6,61,23,124,316,182,112,81,26,9,938
50101100103,0,0,4,3,3,6,22,16,13,71,0,0,0,0,3,9,13,20,12,65,0,0,4,6,7,6,13,5,7,44,0,0,0,0,0,9,4,0,0,19,0,0,4,0,0,8,7,6,0,21,0,0,0,4,4,3,0,0,0,16,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,4,0,0,0,3,4,3,0,4,0,16,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,7,10,5,4,45,0,0,0,0,0,0,0,0,0,0,6,9,16,26,42,70,112,79,52,421
50101100104,0,0,3,4,0,5,12,7,3,43,0,4,4,0,12,9,12,13,4,53,0,0,3,6,7,9,7,3,3,38,0,0,3,3,0,8,11,0,6,27,0,0,7,8,4,11,5,0,0,33,0,0,4,0,6,3,4,0,0,22,0,0,4,3,6,6,3,0,0,15,0,0,0,4,5,4,0,0,0,3,0,0,3,0,3,9,0,0,0,13,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,0,6,6,6,33,0,3,3,5,0,0,4,0,0,13,13,17,44,44,52,79,107,63,27,434
50101100105,0,0,0,6,9,10,21,3,3,43,5,0,0,6,3,3,10,5,0,23,0,0,0,0,0,4,8,3,0,19,0,0,3,4,3,3,11,0,3,21,0,3,0,0,5,0,3,0,0,16,0,0,0,0,4,0,3,0,0,12,0,0,5,0,0,0,0,0,0,12,0,0,0,0,4,0,0,0,0,9,0,0,3,3,0,4,5,0,0,17,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,5,3,0,4,11,0,0,3,0,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,8,5,16,24,34,46,84,17,18,262
50101100106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
50101100107,0,0,4,0,4,10,15,5,0,46,0,0,0,0,0,8,10,6,0,28,0,0,0,3,0,11,4,0,0,24,0,0,8,8,8,7,4,0,0,41,0,0,0,3,7,5,4,0,0,16,0,0,6,5,0,3,0,0,0,12,0,0,0,0,3,5,4,0,0,10,0,0,0,5,5,3,0,3,0,13,0,0,0,5,0,0,0,0,0,8,0,0,0,6,4,0,0,0,0,4,0,0,0,0,4,0,5,0,0,6,4,0,7,0,3,11,0,5,0,25,0,0,4,0,0,0,0,0,0,3,12,4,33,45,50,89,70,33,9,346
50101100108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
50101100109,3,4,0,4,7,11,5,5,0,36,0,10,3,3,6,7,11,6,0,46,0,3,9,5,7,19,15,3,0,59,0,3,3,5,13,10,3,0,0,45,0,0,5,10,11,8,5,0,0,33,0,3,4,7,8,6,4,3,0,30,0,0,0,3,7,0,0,3,0,17,0,0,3,0,4,0,4,0,0,15,0,0,4,3,6,3,0,0,0,23,0,0,4,0,0,0,0,0,0,9,0,0,0,3,3,6,0,0,0,12,0,0,0,9,10,10,3,3,0,39,0,0,0,0,0,0,0,0,0,0,26,22,47,72,94,98,85,25,0,464
50101100110,0,0,0,0,5,3,4,0,0,18,0,0,4,0,0,4,3,3,0,17,0,3,4,3,4,5,3,0,0,20,0,3,0,3,0,4,0,5,0,17,0,0,7,0,4,0,0,0,0,24,0,0,0,3,3,3,3,0,0,19,0,0,0,0,0,5,0,0,0,8,0,0,0,5,0,5,0,0,0,9,0,0,5,0,0,5,0,0,0,13,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,6,4,0,0,15,0,0,0,0,0,0,0,0,0,0,3,12,34,29,36,52,35,11,3,218
50101100111,0,0,4,9,8,8,3,4,0,36,4,0,3,7,4,6,3,3,0,29,0,0,10,7,0,3,6,5,0,36,0,0,13,13,3,9,4,3,0,41,0,0,9,14,5,11,8,0,0,41,0,0,8,4,6,12,0,0,0,35,0,0,3,10,6,4,0,0,0,22,0,0,0,6,5,6,7,0,0,26,0,0,3,13,9,3,5,0,0,34,0,0,0,7,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,10,4,0,3,12,4,12,0,0,0,35,0,0,0,0,0,0,0,0,0,3,25,8,62,110,60,97,57,21,4,442
50101100112,0,0,9,3,3,8,8,3,0,39,0,0,3,8,5,8,3,0,0,38,0,0,0,3,0,6,4,0,0,22,0,0,3,9,4,16,0,3,0,36,0,0,3,4,3,8,3,0,0,29,0,0,5,6,4,7,3,4,0,33,0,0,3,6,5,3,0,0,0,20,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,4,4,0,0,21,0,0,0,0,0,0,3,0,0,4,0,0,0,4,4,0,0,0,0,8,0,0,3,10,7,5,4,9,0,37,0,0,0,0,0,0,0,0,0,0,19,9,48,66,53,80,52,33,3,360
50101100113,0,0,0,0,3,5,11,8,0,34,0,0,0,0,6,0,4,0,0,19,0,0,7,0,6,9,4,0,0,23,0,3,0,4,6,9,4,0,0,14,0,0,0,0,0,3,4,0,0,15,0,0,3,0,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,3,4,0,0,9,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,6,4,0,19,0,0,0,0,0,0,0,0,0,0,6,4,12,21,34,46,57,25,6,209
