SA1_CODE_2021,Tot_Mgr,Tot_Pfn,Tot_Tch_trwk,Tot_Co_Pswk,Tot_Cl_Adwk,Tot_Sal,Tot_MchOp,Tot_Lab,Tot_Inad_ns,Tot_To
50101100101,60,30,25,15,17,16,9,37,9,216
50101100102,83,164,119,88,69,54,38,60,7,670
50101100103,26,11,26,12,14,6,6,17,6,123
50101100104,26,18,28,25,12,22,14,33,4,185
50101100105,21,19,25,10,12,12,0,15,0,121
50101100106,0,0,0,0,0,0,0,0,0,0
50101100107,51,15,19,17,12,14,5,37,10,179
50101100108,0,0,0,0,0,0,0,0,0,0
50101100109,66,49,42,37,24,12,20,50,0,304
50101100110,33,23,20,13,12,5,6,23,3,137
50101100111,37,54,54,29,29,35,17,34,3,296
50101100112,57,41,31,22,26,15,7,16,6,224
50101100113,13,11,14,14,12,16,5,18,0,97
50101100114,32,45,54,28,42,23,27,47,5,297
50101100115,70,17,27,19,20,14,11,27,4,200
50101100116,0,0,0,0,0,0,0,0,0,0
50101100301,17,30,19,16,7,8,0,10,4,110
50101100302,22,25,34,21,22,19,0,18,5,157
50101100303,30,23,17,18,17,8,8,25,0,149
50101100304,35,12,17,11,12,10,13,13,4,133
50101100305,46,25,11,15,7,11,7,27,0,156
50101100306,68,33,40,21,22,23,20,27,0,262
50101100307,33,42,24,12,14,3,4,21,7,160
50101100308,26,38,28,18,14,12,4,31,3,191
50101100310,42,43,30,16,30,27,8,29,0,231
50101100311,25,33,29,12,15,11,3,15,5,158
50101100312,18,25,28,16,15,17,6,20,5,158
50101100313,25,25,23,35,14,8,8,18,6,156
50101100314,39,38,16,10,18,9,4,11,0,151
50101100315,83,65,32,18,28,18,9,29,0,290
50101100316,25,56,25,16,11,15,9,15,0,180
50101100317,45,72,37,24,31,26,12,26,5,278
50101100319,35,34,16,17,13,15,3,16,0,144
50101100320,47,95,58,37,23,14,8,28,8,306
50101100321,33,64,42,20,20,20,9,25,11,240
50101100322,28,39,15,13,24,14,0,15,0,147
50101100323,20,24,17,17,10,5,5,8,0,107
50101100324,29,65,32,18,18,10,3,25,5,206
50101100325,42,61,87,30,27,32,10,39,6,339
50101100326,30,47,47,24,25,27,8,24,3,236
