SA1_CODE_2021,Neg_Nil_Inc_Family_hholds,Neg_Nil_Inc_Non_fam_household,Neg_Nil_Inc_Tot,1_149_Family_hholds,1_149_NonFamHholds,1_149_Tot,150_299_Family_hholds,150_299_NonFamHholds,150_299_Tot,300_399_Family_hholds,300_399_NonFamHholds,300_399_Tot,400_499_Family_hholds,400_499_NonFamHholds,400_499_Tot,500_649_Family_hholds,500_649_NonFamHholds,500_649_Tot,650_799_Family_hholds,650_799_NonFamHholds,650_799_Tot,800_999_Family_hholds,800_999_NonFamHholds,800_999_Tot,1000_1249_Family_hholds,1000_1249_NonFamHholds,1000_1249_Tot,1250_1499_Family_hholds,1250_1499_NonFamHholds,1250_1499_Tot,1500_1749_Family_hholds,1500_1749_NonFamHholds,1500_1749_Tot,1750_1999_Family_hholds,1750_1999_NonFamHholds,1750_1999_Tot,2000_2499_Family_hholds,2000_2499_NonFamHholds,2000_2499_Tot,2500_2999_Family_hholds,2500_2999_NonFamHholds,2500_2999_Tot,3000_3499_Family_hholds,3000_3499_NonFamHholds,3000_3499_Tot,3500_3999_Family_hholds,3500_3999_NonFamHholds,3500_3999_Tot,4000orMore_Family_hholds,4000orMore_NonFamHholds,4000orMore_Tot,Part_Inc_st_Family_hholds,Part_Inc_st_NonFamHholds,Part_Inc_stated_Tot,All_Inc_NS_Family_hh,All_Inc_NS_NonFamily_hh,All_Inc_NS_Tot,Tot_Family_hholds,Tot_NonFamHholds,Tot_Tot
50101100101,0,0,0,0,0,0,0,0,0,0,6,6,0,11,7,0,3,3,0,6,9,0,3,11,4,4,12,3,0,3,9,0,16,4,0,10,5,4,13,12,0,9,3,0,9,5,0,5,14,5,16,7,0,7,0,0,0,88,43,133
50101100102,0,0,0,0,0,0,0,0,0,0,3,3,0,11,11,7,5,17,5,6,12,19,4,25,17,8,18,31,8,41,19,4,27,20,6,26,49,12,65,50,0,50,35,0,37,18,0,18,39,6,45,45,3,52,0,0,0,371,77,445
50101100103,3,3,3,0,0,0,5,3,9,0,3,4,6,32,40,5,23,28,24,6,31,6,8,12,11,0,10,16,10,24,9,3,10,0,0,8,3,10,10,5,0,5,0,0,0,0,0,4,0,0,0,13,0,13,3,11,14,115,107,229
50101100104,0,9,9,0,5,6,0,6,3,4,8,11,3,15,19,4,8,10,21,9,28,16,6,23,10,9,15,11,4,16,7,12,14,5,3,12,11,9,19,6,3,8,4,0,4,0,0,5,3,0,8,15,5,17,0,9,14,118,113,236
50101100105,0,0,8,0,0,3,0,3,3,0,0,0,0,18,20,0,4,6,8,0,11,6,3,12,9,7,16,6,0,6,3,0,3,6,0,6,5,7,5,3,0,8,8,4,8,0,0,0,3,8,14,8,0,4,0,0,0,80,62,141
50101100106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50101100107,0,6,5,3,3,4,0,0,0,0,0,4,5,19,24,0,9,7,11,8,23,13,6,18,12,0,17,10,5,17,9,0,9,9,0,10,5,0,8,7,0,7,10,0,8,4,0,4,5,7,3,14,0,18,3,8,5,122,69,190
50101100108,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
50101100109,0,7,7,0,0,0,0,0,0,3,9,7,3,5,8,3,5,7,5,11,15,7,3,11,16,4,28,20,5,24,8,0,10,9,0,9,17,6,16,8,0,12,8,0,7,5,0,5,10,7,18,19,0,19,0,3,7,148,68,211
50101100110,0,0,0,0,0,0,3,0,4,0,3,3,0,10,11,4,0,3,8,4,10,4,0,4,3,5,12,4,3,13,3,3,8,3,0,5,4,0,8,3,0,3,7,0,4,3,0,3,0,0,3,7,3,13,0,0,0,63,46,113
