SA1_CODE_2021,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
50101100101,48,1679,855,310,1978,0.8,1739,2.4
50101100102,36,2000,938,440,2259,0.8,2133,2.9
50101100103,67,1273,507,255,933,0.6,745,1.7
50101100104,59,1609,575,280,1199,0.7,949,1.9
50101100105,61,1950,586,325,1303,0.6,1080,2
50101100106,71,0,824,125,0,0.4,350,1.5
50101100107,56,1176,553,260,1273,0.8,977,2.1
50101100108,40,0,274,300,0,1,549,2
50101100109,49,1733,727,250,1478,0.9,1328,2.4
50101100110,49,1814,705,250,1416,0.8,1226,2.1
50101100111,41,1948,859,300,2050,0.9,1948,2.6
50101100112,44,1950,803,340,1765,0.8,1449,2.4
50101100113,57,1647,531,250,1300,0.8,969,2.1
50101100114,40,1745,783,390,1885,0.8,1659,2.7
50101100115,47,1755,715,320,1821,0.8,1318,2.4
50101100116,0,0,0,0,0,0,0,0
50101100301,57,2167,821,430,1642,0.7,1458,2.1
50101100302,40,2000,804,465,2295,0.7,1906,2.9
50101100303,54,2489,618,260,1833,0.8,1073,2.2
50101100304,41,1300,744,200,1924,0.8,1718,2.8
50101100305,48,1733,845,216,2113,0.8,1731,2.6
50101100306,42,2100,730,300,1958,0.9,1800,2.8
50101100307,46,2500,967,656,2446,0.9,2326,2.8
50101100308,50,2167,861,425,2017,0.8,2013,2.7
50101100310,49,2200,929,450,2333,0.7,2150,2.4
50101100311,41,2200,905,470,2403,0.8,2211,2.9
50101100312,51,1947,782,405,1886,0.7,1649,2.3
50101100313,37,1330,881,425,1593,0.7,1458,2.3
50101100314,42,2438,913,370,2027,0.8,1645,2.5
50101100315,45,2470,989,300,2421,0.8,2225,2.6
50101100316,47,2275,1019,600,2463,0.8,2291,2.7
50101100317,46,2270,993,554,2537,0.9,2446,2.7
50101100319,56,2134,1028,423,1812,0.6,1517,2.2
50101100320,42,1950,829,460,2015,0.7,1735,2.5
50101100321,39,2400,946,560,2567,0.8,2352,3.2
50101100322,51,4767,1148,460,3124,0.7,1792,2.4
50101100323,40,2058,869,445,2437,0.8,2150,3
50101100324,47,2167,883,400,2267,0.8,2118,2.8
50101100325,37,1863,915,450,2073,0.7,1899,2.7
