SA2_CODE_2021,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
501011001,13,8,0,3,6,0,28,3,0,0,0,0,0,0,8,3,0,0,0,0,11,4,5,0,0,0,0,8,10,5,0,0,0,0,21,13,7,3,0,4,0,26,10,18,4,0,0,0,30,16,21,0,7,0,0,48,18,27,0,6,6,0,49,15,31,11,10,0,0,65,16,27,4,3,0,0,52,21,50,4,0,0,0,77,10,24,0,0,0,0,36,0,19,0,4,0,0,21,15,30,8,3,0,0,57,16,30,6,3,0,0,56,6,10,8,0,0,0,20,3,9,0,0,0,0,9,14,9,4,0,0,0,37,219,326,60,36,16,0,664
501011003,25,8,12,6,5,0,49,13,3,0,0,0,0,20,10,4,0,4,0,0,21,8,12,0,0,3,0,20,11,6,6,6,6,0,38,17,19,5,3,7,0,51,22,17,9,3,5,0,53,31,23,8,12,5,0,75,21,41,5,11,4,0,78,41,65,8,6,9,0,132,24,66,6,4,0,0,107,40,81,19,8,3,0,150,12,54,8,4,0,0,82,15,46,6,3,0,0,73,33,49,9,6,0,0,92,36,91,16,7,3,0,157,22,22,9,0,0,0,58,21,39,9,0,0,0,64,19,29,12,9,3,0,73,421,672,150,86,52,4,1384
501011004,14,4,4,0,0,0,30,3,5,0,0,0,0,5,9,4,0,0,3,0,12,3,8,6,4,0,0,17,10,14,8,3,3,0,38,14,14,0,7,5,0,45,23,33,3,10,6,0,81,27,63,9,12,9,0,123,33,54,3,10,4,0,107,46,77,11,19,3,0,156,17,51,3,5,5,0,84,24,56,18,15,0,0,114,12,37,0,0,0,0,52,3,20,6,0,0,0,31,24,50,11,0,3,0,89,20,52,10,0,0,0,93,10,14,7,0,3,0,29,4,10,0,0,0,0,22,24,21,7,9,4,0,69,324,592,120,100,52,3,1195
501011293,19,6,7,4,0,0,28,6,0,0,0,0,0,8,8,4,4,0,5,0,21,10,0,4,0,0,0,12,12,5,0,5,0,0,28,12,15,5,0,3,0,41,23,25,7,5,4,0,57,26,31,13,4,3,0,82,38,51,11,11,7,0,113,42,45,21,12,4,0,127,30,49,13,8,4,0,96,45,53,18,6,5,0,125,8,25,8,6,4,0,54,11,18,0,4,0,0,35,26,30,13,5,5,0,68,29,32,16,3,3,0,76,11,7,5,0,0,0,22,7,8,4,0,0,0,17,19,14,7,4,4,0,48,375,410,161,74,44,4,1064
501011294,24,15,8,3,4,0,49,13,5,0,6,0,0,21,27,13,3,0,5,0,46,12,3,4,0,3,0,25,26,16,12,8,8,0,69,34,20,12,10,9,4,87,40,40,12,3,19,0,115,59,83,21,22,14,0,191,59,84,24,28,8,0,212,79,120,28,20,13,0,260,50,95,31,12,7,3,203,72,156,36,13,8,0,287,34,67,21,3,0,0,134,7,44,3,4,0,0,61,32,79,25,6,6,0,150,37,67,25,4,3,0,131,14,23,11,0,3,0,50,10,10,6,4,0,0,25,38,32,20,10,5,0,103,674,970,303,150,107,14,2220
501021005,27,15,9,8,4,0,62,9,5,0,0,0,0,17,18,12,4,0,0,0,44,16,10,3,3,3,0,40,24,15,13,0,9,0,63,35,29,17,12,14,0,102,65,69,9,14,12,0,171,80,101,34,13,17,4,250,77,177,36,24,13,3,327,107,226,46,26,13,0,418,55,136,21,15,3,0,238,91,199,56,18,9,0,374,38,99,13,11,0,0,162,19,48,18,12,0,0,92,46,90,24,6,10,0,176,45,81,17,7,3,0,156,24,29,5,6,0,0,65,11,17,6,0,0,0,41,52,56,23,8,10,0,148,840,1417,376,169,122,15,2938
501021007,9,0,6,0,0,0,18,7,0,0,0,0,0,7,3,0,6,0,0,0,13,6,0,3,3,0,0,9,12,6,4,0,0,0,24,9,19,3,4,10,0,38,16,21,9,10,4,0,54,21,35,11,16,9,0,84,17,44,6,7,0,0,69,33,43,12,3,5,0,98,10,26,8,4,5,0,53,16,34,15,3,5,0,82,15,18,5,0,0,0,38,12,8,0,0,0,0,17,10,20,0,3,0,0,34,18,16,10,0,0,0,39,5,12,3,0,0,0,22,5,6,4,0,0,0,14,12,12,6,0,4,0,27,246,303,99,53,36,4,742
501021008,7,4,3,0,5,0,16,0,0,0,0,0,0,9,7,0,0,0,3,0,13,3,0,0,0,0,0,9,14,5,7,6,7,0,35,15,9,4,5,7,0,36,26,25,5,15,8,6,84,22,33,16,10,8,3,84,22,39,10,5,4,0,84,21,35,8,9,3,0,68,4,15,7,5,0,0,27,15,19,14,4,6,0,50,4,8,0,0,0,0,13,5,7,0,0,0,0,8,7,6,0,0,0,0,18,3,5,3,0,0,0,13,4,0,0,0,0,0,10,3,6,0,0,0,0,6,8,5,4,3,0,0,18,188,207,81,63,39,4,591
501021009,11,6,0,4,0,0,23,3,0,0,0,7,0,7,10,9,8,0,6,0,33,13,0,0,3,6,0,31,23,16,7,5,8,0,58,33,25,10,16,11,0,94,27,50,11,12,9,0,110,32,40,16,6,7,0,98,29,30,15,8,6,0,88,21,47,17,3,0,0,87,5,35,13,4,4,0,56,25,44,13,4,3,0,80,4,9,5,0,0,0,27,0,3,3,0,0,0,9,7,18,5,0,0,0,32,10,14,8,0,0,0,39,10,13,4,0,0,0,24,3,0,0,0,0,0,8,24,14,12,6,3,0,68,302,369,149,65,72,7,959
501021010,6,4,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,11,0,4,4,0,0,0,4,6,0,0,3,0,0,7,7,7,5,0,0,0,21,14,14,4,0,0,0,34,17,17,0,0,0,0,35,20,16,3,0,0,0,44,9,28,7,0,0,0,51,8,13,3,0,0,0,29,16,23,7,0,6,0,57,7,10,0,0,0,0,17,6,4,0,0,0,0,9,10,20,5,0,0,0,40,17,21,5,0,6,0,42,0,8,0,0,0,0,12,3,7,4,0,0,0,17,10,7,6,0,0,0,21,160,201,57,19,16,0,458
