SA2_CODE_2021,M_Ptn_in_RM_0_14,M_Ptn_in_RM_15_24,M_Ptn_in_RM_25_34,M_Ptn_in_RM_35_44,M_Ptn_in_RM_45_54,M_Ptn_in_RM_55_64,M_Ptn_in_RM_65_74,M_Ptn_in_RM_75_84,M_Ptn_in_RM_85ov,M_Ptn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ptn_in_RM_0_14,F_Ptn_in_RM_15_24,F_Ptn_in_RM_25_34,F_Ptn_in_RM_35_44,F_Ptn_in_RM_45_54,F_Ptn_in_RM_55_64,F_Ptn_in_RM_65_74,F_Ptn_in_RM_75_84,F_Ptn_in_RM_85ov,F_Ptn_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
505011075,..,0,99,412,571,640,580,220,44,2562,..,9,69,65,59,35,27,6,0,273,..,0,0,10,30,16,8,3,4,78,976,..,..,..,..,..,..,..,..,976,..,416,..,..,..,..,..,..,..,416,..,229,157,36,23,9,0,0,0,447,..,21,12,0,4,6,0,0,0,54,..,0,11,5,0,0,0,0,0,21,..,17,14,13,7,5,3,0,0,60,..,14,23,27,42,43,39,26,16,229,3,6,16,4,9,10,10,0,0,58,978,726,401,575,740,763,673,255,61,5172,..,7,151,513,617,662,507,157,24,2638,..,24,89,72,51,35,18,0,0,290,..,0,22,56,92,77,24,9,5,276,984,..,..,..,..,..,..,..,..,984,..,437,..,..,..,..,..,..,..,437,..,137,91,10,8,6,3,0,0,254,..,12,7,3,3,8,20,13,8,74,..,5,11,5,0,0,0,0,0,21
505011076,..,0,93,377,749,690,357,105,12,2380,..,14,41,43,52,46,22,0,0,219,..,0,6,9,10,15,5,0,0,41,915,..,..,..,..,..,..,..,..,915,..,426,..,..,..,..,..,..,..,426,..,253,124,24,11,4,0,0,0,416,..,3,7,0,5,3,3,0,3,27,..,0,6,6,5,3,0,0,0,20,..,4,8,0,0,0,0,0,0,22,..,5,4,12,21,17,20,5,3,90,3,12,10,0,4,8,6,0,0,42,918,724,300,471,857,782,411,113,19,4595,..,5,145,497,806,682,284,58,6,2490,..,16,55,45,59,33,19,0,0,225,..,4,4,34,57,31,11,0,4,150,844,..,..,..,..,..,..,..,..,844,..,429,..,..,..,..,..,..,..,429,..,205,85,13,3,0,0,0,0,315,..,16,9,0,0,4,12,23,11,73,..,10,0,0,0,3,0,0,0,18
505011077,..,3,198,434,448,562,459,197,42,2347,..,60,226,112,84,56,22,4,0,564,..,0,3,30,42,27,11,0,0,120,1068,..,..,..,..,..,..,..,..,1068,..,290,..,..,..,..,..,..,..,290,..,255,146,39,23,5,3,0,0,471,..,37,31,6,6,5,6,4,5,100,..,26,31,20,9,8,0,3,0,106,..,148,129,51,26,34,14,4,0,400,..,46,143,96,87,119,94,56,20,659,9,21,18,17,12,7,10,5,0,102,1078,877,934,817,742,825,617,275,64,6228,..,12,296,501,508,600,401,134,22,2477,..,90,238,123,84,45,21,5,0,599,..,11,56,122,123,83,24,18,9,445,925,..,..,..,..,..,..,..,..,925,..,297,..,..,..,..,..,..,..,297,..,156,90,20,8,9,4,0,0,278,..,28,15,3,5,21,25,21,13,132,..,29,22,7,7,6,0,0,0,71
505011078,..,0,125,569,501,550,663,218,82,2704,..,10,122,113,74,61,31,7,0,417,..,0,3,18,36,24,10,6,3,96,1220,..,..,..,..,..,..,..,..,1220,..,341,..,..,..,..,..,..,..,341,..,281,165,63,27,10,0,0,0,550,..,25,16,6,8,13,11,5,0,84,..,6,12,3,0,0,0,0,0,28,..,12,32,10,3,8,8,3,0,78,..,10,26,45,51,65,101,42,32,379,5,15,15,6,6,4,7,5,0,65,1221,703,518,837,716,737,827,280,127,5961,..,9,194,622,569,635,551,178,48,2808,..,27,158,115,78,54,19,10,0,457,..,3,22,85,114,72,23,16,21,356,1156,..,..,..,..,..,..,..,..,1156,..,384,..,..,..,..,..,..,..,384,..,148,84,25,10,13,0,0,0,295,..,13,5,6,7,21,50,9,15,126,..,11,7,5,0,6,0,0,0,29
505011079,..,0,99,447,560,551,498,234,45,2432,..,16,125,100,95,57,28,6,6,444,..,0,0,10,26,25,9,7,0,71,1038,..,..,..,..,..,..,..,..,1038,..,356,..,..,..,..,..,..,..,356,..,253,127,38,18,9,0,0,0,448,..,21,9,0,3,3,4,3,5,53,..,24,14,8,0,3,0,0,0,48,..,25,31,15,12,7,5,0,0,100,..,7,30,33,43,55,56,28,12,269,10,11,11,9,7,10,9,3,0,64,1044,716,452,661,760,714,617,283,66,5320,..,0,169,518,610,553,470,160,23,2511,..,35,156,107,89,56,33,3,0,474,..,3,17,54,85,46,20,11,8,260,965,..,..,..,..,..,..,..,..,965,..,412,..,..,..,..,..,..,..,412,..,164,80,17,14,8,3,0,0,282,..,19,7,4,5,13,17,18,12,100,..,12,6,4,0,6,0,0,0,24
505011080,..,0,58,280,444,462,380,120,36,1781,..,13,44,46,49,44,19,5,0,224,..,3,0,5,21,12,11,0,0,53,719,..,..,..,..,..,..,..,..,719,..,297,..,..,..,..,..,..,..,297,..,236,122,35,19,8,0,0,0,415,..,9,7,4,0,3,7,3,0,40,..,12,10,5,4,0,0,0,0,30,..,4,17,13,6,9,7,6,0,60,..,3,8,14,13,16,47,15,6,135,10,6,9,0,4,4,3,3,0,49,728,586,284,405,573,553,468,154,45,3794,..,3,108,357,494,459,328,107,14,1874,..,17,64,49,53,40,18,0,0,237,..,3,14,36,58,37,17,7,7,180,647,..,..,..,..,..,..,..,..,647,..,277,..,..,..,..,..,..,..,277,..,148,86,12,10,4,5,0,0,260,..,10,10,0,4,12,13,18,18,81,..,13,3,5,0,0,0,0,0,18
505011081,..,0,135,376,318,249,288,127,22,1519,..,17,172,119,64,44,13,3,0,428,..,0,4,19,33,20,4,11,0,88,909,..,..,..,..,..,..,..,..,909,..,208,..,..,..,..,..,..,..,208,..,157,83,40,24,4,0,0,0,307,..,20,12,7,14,0,9,0,0,62,..,6,14,4,4,0,0,0,0,30,..,12,30,10,9,11,10,3,0,98,..,6,37,55,47,59,55,39,15,308,10,7,9,11,6,9,5,0,0,58,920,436,494,643,517,399,381,194,38,4025,..,3,201,427,317,279,267,92,12,1596,..,25,216,118,56,39,12,0,0,471,..,4,29,68,101,60,26,20,6,311,867,..,..,..,..,..,..,..,..,867,..,183,..,..,..,..,..,..,..,183,..,84,50,23,7,12,0,0,0,166,..,22,10,5,0,20,27,8,9,97,..,15,5,0,3,0,0,0,0,20
505011082,..,0,56,371,536,516,559,255,40,2336,..,11,58,49,49,38,21,8,0,239,..,0,0,6,22,13,3,3,3,57,884,..,..,..,..,..,..,..,..,884,..,336,..,..,..,..,..,..,..,336,..,203,119,36,17,12,5,0,0,392,..,20,4,8,9,3,8,5,0,46,..,6,7,0,0,0,0,0,0,21,..,10,14,0,8,10,0,0,0,45,..,8,11,14,26,37,68,40,22,233,6,11,6,4,9,0,9,0,3,55,888,606,279,491,677,630,669,316,78,4639,..,0,120,430,566,566,511,170,30,2401,..,13,74,60,49,39,20,7,0,257,..,0,10,44,51,44,24,8,8,193,902,..,..,..,..,..,..,..,..,902,..,351,..,..,..,..,..,..,..,351,..,142,71,16,10,8,0,0,0,253,..,12,7,10,0,5,16,12,6,75,..,3,6,0,3,0,0,0,0,16
505011083,..,0,88,373,480,583,463,150,42,2178,..,7,68,71,52,34,16,3,0,248,..,0,9,14,25,18,7,0,3,72,855,..,..,..,..,..,..,..,..,855,..,342,..,..,..,..,..,..,..,342,..,268,126,29,13,7,0,0,0,433,..,10,10,3,3,4,3,0,12,46,..,10,6,4,0,5,0,0,0,19,..,8,14,3,4,6,6,0,0,44,..,11,12,22,27,38,33,17,18,169,8,17,4,8,0,6,6,0,0,61,863,671,328,530,596,699,531,173,68,4463,..,4,143,451,516,646,369,105,20,2247,..,18,74,73,55,36,13,6,0,278,..,0,16,58,98,53,21,7,14,268,821,..,..,..,..,..,..,..,..,821,..,336,..,..,..,..,..,..,..,336,..,189,86,14,6,6,7,0,0,308,..,7,7,0,3,7,18,15,12,76,..,3,0,0,0,3,0,0,0,18
505021084,..,6,320,651,504,383,451,380,110,2809,..,32,287,185,75,51,26,4,0,662,..,3,6,34,64,33,21,6,9,169,1328,..,..,..,..,..,..,..,..,1328,..,315,..,..,..,..,..,..,..,315,..,225,152,78,78,35,0,0,0,572,..,42,52,14,15,10,16,6,3,163,..,24,36,9,10,6,0,0,0,90,..,36,101,46,31,23,15,5,0,249,..,16,125,135,140,152,124,85,53,827,15,21,21,18,13,3,5,5,4,104,1348,714,1101,1166,918,701,664,499,176,7285,..,24,474,688,475,422,484,279,42,2878,..,56,338,147,77,47,14,7,0,687,..,0,51,131,161,93,54,41,26,567,1253,..,..,..,..,..,..,..,..,1253,..,346,..,..,..,..,..,..,..,346,..,160,92,30,22,17,0,0,0,321,..,35,33,9,9,28,27,29,10,180,..,22,28,7,6,0,0,0,0,61
