SA2_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
511021276,2057,1901,3958,755,593,1351,197,332,531,89,80,169,73,40,115,1106,1055,2162,554,524,1083,6.5,3.9,5.2,53.8,55.4,54.6,50.3,53.3,51.7,28,34,60,19,31,49,92,208,298,96,118,209,455,192,650,36,43,76,31,30,56,517,268,787,1682,1575,3252,325,318,645,1128,1020,2147,746,754,1509
511021277,1975,1863,3840,936,621,1561,210,490,700,142,97,237,44,21,64,1332,1229,2561,415,444,859,3,1.7,2.4,67.3,66,66.7,65.3,64.8,65.1,33,76,106,6,45,51,178,327,511,144,162,306,635,246,881,29,46,75,27,33,63,687,327,1017,1592,1464,3051,487,524,1011,971,850,1826,1000,1019,2022
511031278,3109,2501,5607,1452,799,2250,235,522,756,126,77,200,91,63,160,1900,1461,3359,699,664,1364,4.8,4.5,4.7,61.1,58.4,59.9,58.1,55.8,57.1,25,19,47,10,29,35,91,134,230,80,166,250,847,385,1236,52,62,116,36,45,75,935,487,1425,2473,2215,4686,542,460,1002,1565,1359,2929,1255,1127,2381
511031279,5435,4922,10353,3266,1883,5150,448,1113,1561,258,201,452,144,104,247,4117,3296,7415,772,1179,1946,3.5,3,3.3,75.7,67.1,71.6,73.1,65,69.2,159,155,311,40,91,127,425,651,1077,287,392,678,1678,685,2357,89,128,215,57,96,154,1820,906,2725,4903,4546,9456,1284,1165,2450,3013,2721,5734,2726,2581,5312
511031280,3370,3270,6631,2159,1330,3490,261,750,1005,142,156,295,71,65,131,2622,2302,4929,500,760,1268,2.6,2.8,2.7,77.9,70.5,74.3,75.9,68.5,72.3,133,137,270,40,98,141,340,542,882,182,291,475,1151,433,1581,47,92,142,50,67,116,1246,595,1846,3189,3099,6285,871,838,1700,1880,1748,3629,1871,1891,3759
511031281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511031282,2018,1592,3609,803,408,1210,131,243,374,99,67,170,60,42,103,1094,760,1858,423,483,905,5.6,5.4,5.5,54.3,47.9,51.5,51.3,45.3,48.7,20,13,34,10,17,29,67,82,152,52,80,133,462,187,647,25,38,59,12,23,40,499,244,740,1414,1189,2600,384,326,710,953,751,1710,742,673,1406
511031283,2571,1513,4082,874,362,1235,103,155,263,111,52,158,84,50,136,1173,617,1794,511,597,1107,7.2,8.2,7.6,45.6,41,43.9,42.3,37.6,40.6,26,13,41,7,21,31,100,88,194,95,76,169,408,117,524,33,24,56,16,16,31,462,163,619,1610,1214,2824,403,301,704,1128,878,2007,773,552,1323
511031284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511041285,4837,5253,10084,1712,1131,2847,606,1173,1785,193,165,356,208,145,351,2718,2618,5335,1550,2113,3663,7.6,5.6,6.6,56.2,49.9,52.9,51.9,47.1,49.4,105,96,195,43,115,158,290,587,883,276,483,757,1262,663,1930,100,151,251,54,88,146,1416,906,2321,4180,4522,8705,856,963,1816,2775,2930,5701,2004,2285,4287
511041286,3153,3006,6161,1213,668,1884,358,783,1143,136,118,256,144,105,255,1857,1671,3528,930,1024,1951,8,6.2,7.1,58.9,55.5,57.3,54.2,52.1,53.2,16,34,48,16,47,63,94,226,316,126,252,376,935,481,1419,60,98,157,40,59,95,1035,636,1668,2927,2925,5848,364,401,760,2116,2065,4179,979,1083,2063
511041287,3229,3328,6556,1583,913,2501,343,951,1294,148,147,296,89,72,160,2164,2086,4254,769,992,1759,4.1,3.4,3.8,67,62.7,64.8,64.3,60.5,62.4,33,59,99,25,82,109,166,419,584,212,353,567,1031,551,1582,59,110,173,50,77,126,1134,746,1884,3248,3263,6515,563,632,1192,2101,2088,4189,1477,1569,3043
511041288,3885,4161,8048,1988,1182,3174,479,1277,1760,145,152,295,96,89,185,2716,2697,5416,893,1233,2129,3.6,3.4,3.5,69.9,64.8,67.3,67.4,62.6,64.9,103,118,215,49,146,192,322,613,942,324,412,736,1158,667,1824,74,130,203,47,94,141,1283,888,2170,3919,4147,8065,734,776,1508,2570,2727,5296,1802,1946,3749
511041289,1559,1564,3126,517,294,809,157,368,521,79,58,130,29,32,58,780,737,1520,583,667,1255,3.9,3.9,3.9,49.9,47.3,48.6,48,45.5,46.7,10,18,24,3,28,30,61,131,190,79,148,226,441,192,630,23,39,69,17,19,35,480,256,737,1378,1428,2810,199,224,416,1028,1016,2041,501,581,1081
511041290,1706,1001,2710,627,266,890,87,85,170,64,45,108,38,25,61,812,416,1233,297,293,584,4.3,5.8,4.8,47.7,41.4,45.4,45.6,39,43.2,20,20,42,9,6,16,69,91,162,68,52,116,328,88,419,15,23,43,12,19,25,354,129,486,989,675,1662,263,168,438,641,398,1038,540,378,923
511041291,1783,1455,3238,785,337,1123,107,319,423,64,50,115,42,28,73,1002,738,1736,442,468,916,4.3,4.1,4.2,56.1,50.6,53.6,53.6,48.6,51.4,19,19,38,6,42,47,76,147,222,75,104,177,398,166,561,17,35,55,29,33,60,439,231,673,1454,1220,2672,231,209,435,1079,882,1957,508,474,977
511041292,2488,2256,4742,916,480,1401,297,536,825,120,91,213,74,42,114,1405,1150,2548,721,805,1528,5.3,3.6,4.5,56.4,50.8,53.8,53.5,49,51.3,17,33,47,12,39,51,117,258,371,111,189,301,624,271,891,30,35,71,37,39,73,687,345,1032,2174,1987,4161,336,303,643,1672,1508,3173,725,683,1407
597979799,455,61,516,221,27,243,14,4,18,17,4,14,3,0,3,252,29,277,12,9,18,1.2,0,1.1,54.6,50.8,54.2,53.9,50.8,53.6,5,0,3,3,0,3,36,9,39,24,7,35,100,3,100,3,3,4,8,0,7,110,7,117,200,24,229,55,10,71,123,16,139,137,24,163
599999499,4247,3030,7285,572,341,915,210,274,484,116,96,212,227,160,392,1125,875,2000,990,967,1955,20.3,18.4,0,26.5,28.8,0,21.1,23.5,0,64,90,148,29,49,77,227,340,563,143,190,335,662,286,946,39,49,85,26,42,66,726,376,1105,650,443,1089,1743,1662,3403,365,234,595,1901,1766,3664
