SA2_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
501011001,0,0,0,0,0,0,0,5,4,48,73,0,126,8,6,12,135,35,4,172
501011003,0,4,0,0,0,4,0,0,9,90,134,16,235,3,4,3,243,72,5,320
501011004,0,0,0,0,0,0,0,3,6,133,167,24,318,5,5,7,330,90,4,418
501011293,0,0,0,0,0,0,0,5,5,117,116,8,240,6,11,11,253,140,5,394
501011294,0,3,0,0,0,3,0,0,8,240,271,25,538,10,10,19,560,218,3,777
501021005,0,0,0,0,0,0,4,0,4,261,218,29,509,13,21,34,540,219,0,767
501021007,0,0,0,0,0,0,0,0,3,56,72,11,134,9,5,11,143,75,4,220
501021008,3,3,0,0,0,3,4,0,8,99,97,20,212,5,13,17,234,210,4,446
501021009,0,0,0,0,0,0,5,0,10,79,85,13,172,18,17,30,203,185,3,390
501021010,0,0,0,0,0,0,0,0,4,31,29,3,59,0,0,3,65,26,0,90
501021011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501021012,0,3,0,0,0,3,3,0,9,178,139,19,338,13,6,24,363,132,5,497
501021014,3,3,0,0,0,3,4,3,9,98,85,9,189,6,9,15,207,146,3,363
501021015,0,0,0,0,0,0,0,4,4,102,105,14,219,9,9,21,240,142,8,391
501021016,0,0,0,0,0,0,0,5,4,32,29,5,68,3,6,11,83,58,0,144
501021251,0,0,0,0,0,0,0,5,6,170,125,21,315,12,14,23,337,131,5,470
501021252,0,0,0,0,0,0,0,0,0,31,16,4,47,0,4,6,49,29,0,76
501021253,0,0,0,0,0,0,3,0,3,188,142,17,344,4,7,19,360,162,5,528
501021254,0,0,0,0,0,4,0,0,4,81,87,14,187,10,14,26,216,165,0,384
501031017,0,0,0,0,0,0,3,3,5,53,58,3,118,0,5,7,127,83,6,207
501031018,0,0,0,0,0,0,0,3,3,32,56,7,99,3,3,4,101,91,0,195
501031019,0,0,0,0,0,0,5,0,5,56,57,10,113,9,7,13,126,84,0,210
501031020,0,0,0,0,0,0,0,0,0,44,41,7,82,0,0,7,87,45,0,137
502011021,0,4,0,0,0,4,5,0,10,81,87,10,174,23,14,31,201,117,3,320
502011022,0,6,0,0,0,3,0,7,6,119,119,15,247,11,10,26,272,152,7,426
502011023,0,5,0,0,0,5,0,3,8,109,149,25,280,25,18,38,323,263,3,585
502011024,0,0,0,0,0,0,5,9,10,243,227,36,507,19,28,45,553,285,11,849
502011025,4,4,0,0,0,7,4,5,8,131,122,20,272,32,29,61,330,273,4,610
502011026,0,0,0,0,0,0,0,3,3,74,62,16,154,3,14,15,179,107,3,287
502011027,4,3,0,0,0,3,4,4,6,294,246,31,567,15,20,41,609,292,9,912
502011028,0,0,0,0,0,0,3,11,10,126,129,15,277,19,31,48,324,271,17,611
502011029,0,0,0,0,0,0,0,3,3,122,110,6,248,11,11,25,267,178,4,455
503011030,0,0,0,0,0,0,0,0,0,51,35,0,88,0,0,0,87,59,0,142
503011031,0,0,0,0,0,0,0,3,3,124,96,8,227,9,9,18,245,99,6,348
503011032,0,0,0,0,0,0,0,0,0,82,66,5,146,8,3,8,160,52,0,210
503011033,0,0,0,0,0,0,0,0,3,87,59,6,150,3,4,6,156,62,0,223
503011034,0,0,0,0,0,0,0,0,0,94,98,9,194,3,5,10,210,93,4,303
503011035,0,0,0,0,0,0,0,0,0,159,109,15,282,11,8,20,298,117,0,422
503011036,0,0,0,0,0,0,0,0,0,119,74,8,202,8,3,8,215,73,4,292
503021037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503021038,0,0,0,0,0,0,0,0,3,167,96,5,271,0,4,5,279,96,0,375
503021039,0,0,0,0,0,0,0,0,0,194,115,17,334,13,10,24,354,148,0,503
503021040,0,0,0,0,0,0,0,0,0,115,67,6,188,3,8,10,196,82,4,283
503021042,3,4,0,0,0,4,0,0,6,240,142,10,393,15,11,26,422,124,0,543
503021043,0,0,0,0,0,0,0,0,3,217,134,12,373,9,11,16,387,146,4,541
503021295,0,0,0,0,0,0,0,4,4,109,43,3,154,0,6,9,163,91,0,256
503021296,0,0,0,0,0,0,0,0,0,100,57,18,175,7,3,15,190,80,0,268
503021297,0,0,0,0,0,0,0,3,3,86,42,5,130,0,0,4,134,62,8,204
504011044,0,6,0,0,0,6,0,4,6,249,173,16,439,19,20,33,476,237,8,718
504011045,4,4,0,0,0,4,5,3,12,329,212,41,577,27,27,53,639,332,7,973
504011046,0,4,0,0,0,4,6,0,6,157,106,15,278,14,9,18,299,121,5,421
504011047,0,0,0,0,0,0,5,9,8,316,242,31,589,24,29,53,636,412,14,1065
504011048,0,0,0,0,0,0,0,0,3,115,79,8,204,6,12,15,221,118,4,340
504021049,0,0,0,0,0,0,0,0,0,39,25,0,72,3,0,3,73,31,0,105
504021050,0,0,0,0,0,0,0,0,0,87,51,4,141,3,4,9,147,73,5,222
504021051,0,0,0,0,0,0,0,3,0,85,40,16,143,3,4,10,152,62,4,219
504021052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504021053,0,5,0,0,0,5,0,4,5,180,112,19,311,12,7,16,327,145,4,472
504021054,0,0,0,0,0,0,4,6,12,210,154,22,380,17,20,35,422,258,7,686
504031055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504031056,5,5,0,0,0,5,0,10,17,317,228,36,584,19,19,39,623,332,14,964
504031057,0,5,0,0,0,5,0,8,14,295,222,31,550,21,17,37,585,325,12,927
504031058,0,0,0,0,0,0,0,0,4,96,55,4,153,3,0,7,168,63,4,233
504031060,0,0,0,0,0,0,0,0,0,16,17,5,31,0,6,4,39,27,0,63
504031061,0,0,0,0,0,0,0,0,3,83,50,4,138,4,0,11,143,52,0,203
504031062,0,4,0,0,0,4,4,3,9,188,111,21,320,8,18,25,346,223,8,575
504031063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504031064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504031065,0,0,0,0,0,0,0,4,4,90,74,11,179,8,8,11,186,137,4,327
504031066,0,3,0,0,0,3,0,0,7,210,154,21,382,19,24,41,427,222,8,649
504031067,0,3,0,0,0,3,0,3,8,140,102,11,259,14,14,29,288,142,3,433
504031068,0,0,0,0,0,0,0,3,8,165,124,24,307,4,4,12,322,117,6,441
504031069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504031298,6,4,0,0,0,4,0,5,5,319,187,31,536,16,13,31,567,166,4,740
504031299,0,0,0,0,0,0,0,3,4,157,96,20,267,9,5,14,281,89,4,375
504031300,6,3,0,0,0,3,3,3,15,346,223,35,611,28,28,60,666,302,8,979
505011070,0,0,0,0,0,0,3,0,5,196,145,11,360,11,15,24,383,170,6,556
