SA2_CODE_2021,M_Tot_0,M_Tot_1_19,M_Tot_20_29,M_Tot_30_34,M_Tot_35_39,M_Tot_40_44,M_Tot_45_49,M_Tot_50_over,M_Tot_hours_NS,M_Tot_Tot,F_AgriForestFish_0,F_AgriForestFish_1_19,F_AgriForestFish_20_29,F_AgriForestFish_30_34,F_AgriForestFish_35_39,F_AgriForestFish_40_44,F_AgriForestFish_45_49,F_AgriForestFish_50_over,F_AgriForestFish_hours_NS,F_AgriForestFish_Tot,F_Min_0,F_Min_1_19,F_Min_20_29,F_Min_30_34,F_Min_35_39,F_Min_40_44,F_Min_45_49,F_Min_50_over,F_Min_hours_NS,F_Min_Tot,F_Mnfg_0,F_Mnfg_1_19,F_Mnfg_20_29,F_Mnfg_30_34,F_Mnfg_35_39,F_Mnfg_40_44,F_Mnfg_45_49,F_Mnfg_50_over,F_Mnfg_hours_NS,F_Mnfg_Tot,F_EGW_WS_0,F_EGW_WS_1_19,F_EGW_WS_20_29,F_EGW_WS_30_34,F_EGW_WS_35_39,F_EGW_WS_40_44,F_EGW_WS_45_49,F_EGW_WS_50_over,F_EGW_WS_hours_NS,F_EGW_WS_Tot,F_Cnstn_0,F_Cnstn_1_19,F_Cnstn_20_29,F_Cnstn_30_34,F_Cnstn_35_39,F_Cnstn_40_44,F_Cnstn_45_49,F_Cnstn_50_over,F_Cnstn_hours_NS,F_Cnstn_Tot,F_WTrade_0,F_WTrade_1_19,F_WTrade_20_29,F_WTrade_30_34,F_WTrade_35_39,F_WTrade_40_44,F_WTrade_45_49,F_WTrade_50_over,F_WTrade_hours_NS,F_WTrade_Tot,F_RTrade_0,F_RTrade_1_19,F_RTrade_20_29,F_RTrade_30_34,F_RTrade_35_39,F_RTrade_40_44,F_RTrade_45_49,F_RTrade_50_over,F_RTrade_hours_NS,F_RTrade_Tot,F_AccomFoodS_0,F_AccomFoodS_1_19,F_AccomFoodS_20_29,F_AccomFoodS_30_34,F_AccomFoodS_35_39,F_AccomFoodS_40_44,F_AccomFoodS_45_49,F_AccomFoodS_50_over,F_AccomFoodS_hours_NS,F_AccomFoodS_Tot,F_TransPostWhse_0,F_TransPostWhse_1_19,F_TransPostWhse_20_29,F_TransPostWhse_30_34,F_TransPostWhse_35_39,F_TransPostWhse_40_44,F_TransPostWhse_45_49,F_TransPostWhse_50_over,F_TransPostWhse_hours_NS,F_TransPostWhse_Tot,F_InfoMedTelecom_0,F_InfoMedTelecom_1_19,F_InfoMedTelecom_20_29,F_InfoMedTelecom_30_34,F_InfoMedTelecom_35_39,F_InfoMedTelecom_40_44,F_InfoMedTelecom_45_49,F_InfoMedTelecom_50_over,F_InfoMedTelecom_hours_NS,F_InfoMedTelecom_Tot,F_FinInsurS_0,F_FinInsurS_1_19,F_FinInsurS_20_29,F_FinInsurS_30_34,F_FinInsurS_35_39,F_FinInsurS_40_44,F_FinInsurS_45_49,F_FinInsurS_50_over,F_FinInsurS_hours_NS,F_FinInsurS_Tot,F_RentHirREserv_0,F_RentHirREserv_1_19,F_RentHirREserv_20_29,F_RentHirREserv_30_34,F_RentHirREserv_35_39,F_RentHirREserv_40_44,F_RentHirREserv_45_49,F_RentHirREserv_50_over,F_RentHirREserv_hours_NS,F_RentHirREserv_Tot,F_ProScieTechServ_0,F_ProScieTechServ_1_19,F_ProScieTechServ_20_29,F_ProScieTechServ_30_34,F_ProScieTechServ_35_39,F_ProScieTechServ_40_44,F_ProScieTechServ_45_49,F_ProScieTechServ_50_over,F_ProScieTechServ_hours_NS,F_ProScieTechServ_Tot,F_AdminSupServ_0,F_AdminSupServ_1_19,F_AdminSupServ_20_29,F_AdminSupServ_30_34,F_AdminSupServ_35_39,F_AdminSupServ_40_44,F_AdminSupServ_45_49,F_AdminSupServ_50_over,F_AdminSupServ_hours_NS,F_AdminSupServ_Tot,F_PubAdmiSafety_0,F_PubAdmiSafety_1_19,F_PubAdmiSafety_20_29,F_PubAdmiSafety_30_34,F_PubAdmiSafety_35_39,F_PubAdmiSafety_40_44,F_PubAdmiSafety_45_49,F_PubAdmiSafety_50_over,F_PubAdmiSafety_hours_NS,F_PubAdmiSafety_Tot,F_EducTrain_0,F_EducTrain_1_19,F_EducTrain_20_29,F_EducTrain_30_34,F_EducTrain_35_39,F_EducTrain_40_44,F_EducTrain_45_49,F_EducTrain_50_over,F_EducTrain_hours_NS,F_EducTrain_Tot,F_HealthCareSocA_0,F_HealthCareSocA_1_19,F_HealthCareSocA_20_29,F_HealthCareSocA_30_34,F_HealthCareSocA_35_39,F_HealthCareSocA_40_44,F_HealthCareSocA_45_49,F_HealthCareSocA_50_over,F_HealthCareSocA_hours_NS,F_HealthCareSocA_Tot,F_ArtRecServ_0,F_ArtRecServ_1_19,F_ArtRecServ_20_29,F_ArtRecServ_30_34,F_ArtRecServ_35_39,F_ArtRecServ_40_44,F_ArtRecServ_45_49,F_ArtRecServ_50_over,F_ArtRecServ_hours_NS,F_ArtRecServ_Tot,F_OthServ_0,F_OthServ_1_19,F_OthServ_20_29,F_OthServ_30_34,F_OthServ_35_39,F_OthServ_40_44,F_OthServ_45_49,F_OthServ_50_over,F_OthServ_hours_NS,F_OthServ_Tot
501011001,109,168,145,110,195,289,102,423,33,1568,11,31,21,18,9,17,6,19,4,133,0,0,6,4,0,6,0,9,0,24,7,17,25,7,22,8,0,5,0,111,0,3,0,0,0,0,0,0,0,3,0,6,7,7,3,5,3,0,0,39,0,3,3,0,0,3,0,0,0,19,10,67,44,22,18,11,10,7,5,187,13,65,39,20,17,16,5,15,4,189,0,5,8,0,0,5,0,0,0,17,0,0,4,0,0,0,0,0,0,7,0,4,3,0,3,5,0,0,0,20,0,4,0,3,4,6,0,0,0,26,0,18,8,12,9,10,7,4,0,64,5,26,16,7,6,4,3,0,0,70,6,9,10,5,11,0,4,0,0,47,10,41,35,16,26,17,15,26,3,188,19,60,65,28,16,20,10,5,0,227,4,10,0,0,0,3,0,0,0,20,0,19,12,6,0,8,0,0,0,53
501011003,220,333,252,201,379,610,217,728,64,3019,10,27,25,11,11,14,15,15,5,127,9,4,4,0,4,5,4,27,0,52,11,34,36,29,25,28,6,12,0,180,0,3,0,0,0,4,0,0,0,10,6,30,29,18,15,16,0,9,7,117,0,11,9,3,12,3,0,3,0,38,16,80,61,31,41,33,12,11,0,288,20,147,77,46,53,43,15,18,9,432,6,6,4,5,4,0,0,0,0,32,0,3,0,3,0,3,0,0,0,9,3,12,8,5,4,6,0,0,0,47,4,22,8,11,14,5,6,11,0,78,12,37,31,25,19,24,9,9,0,164,8,51,37,18,10,17,6,11,6,149,10,16,12,0,14,10,4,0,0,76,29,76,63,39,38,48,14,27,0,329,47,99,112,60,66,43,10,16,3,458,4,17,13,6,10,10,0,0,0,60,3,28,25,8,17,12,5,0,0,110
501011004,190,302,238,198,404,591,189,510,56,2675,0,8,5,0,13,11,6,3,0,47,9,0,3,0,0,3,0,13,0,33,23,26,28,24,44,38,4,11,0,194,0,0,0,0,0,0,0,0,0,0,9,14,10,0,8,12,0,6,0,57,0,11,6,0,3,3,0,6,0,32,12,104,72,52,42,27,12,7,0,340,22,105,79,50,38,50,10,27,6,392,0,11,10,3,0,6,0,3,0,29,0,4,3,0,0,0,0,0,0,7,0,5,5,4,5,5,3,3,0,32,0,4,3,4,11,8,3,3,0,47,8,32,19,22,13,11,0,11,0,119,6,41,28,11,20,7,3,5,3,124,9,18,7,15,20,12,7,5,0,97,29,64,74,37,34,55,31,31,3,358,51,99,90,60,56,28,9,8,0,410,0,16,6,6,7,6,3,3,0,45,5,24,8,12,12,8,9,6,4,78
501011293,116,229,158,117,301,480,183,536,40,2171,3,9,4,0,4,5,0,0,0,27,7,0,0,0,0,0,0,11,0,30,3,19,7,10,6,6,4,4,0,61,0,0,0,0,3,0,0,0,0,8,5,20,3,3,11,17,0,8,0,59,0,0,7,0,4,3,0,0,0,17,24,100,70,31,52,28,12,10,0,318,11,95,54,24,25,20,9,15,8,266,0,6,18,5,5,11,3,4,0,47,0,3,4,6,3,4,0,0,0,14,0,3,10,6,11,8,0,3,0,48,0,5,4,3,14,8,5,7,0,40,0,16,20,11,16,9,3,4,0,79,0,30,21,9,14,12,0,4,0,96,0,9,4,9,22,19,7,3,0,66,14,62,57,33,50,41,18,21,0,297,17,78,101,82,95,76,13,31,5,485,5,4,4,0,0,5,0,0,0,18,3,21,17,17,20,14,5,6,0,101
501011294,273,477,321,252,646,888,370,1053,58,4327,4,20,21,7,3,11,3,6,0,80,13,3,8,0,6,4,4,31,0,67,7,22,34,17,24,23,4,14,0,129,0,0,0,0,3,0,5,0,0,15,0,30,19,16,24,15,0,8,0,128,3,5,9,7,8,8,3,0,0,48,32,179,144,72,100,42,13,25,0,606,24,211,118,57,84,51,9,24,11,589,0,16,13,8,14,12,5,0,0,66,4,6,0,4,4,6,0,0,0,25,0,9,8,10,12,6,3,4,0,63,0,7,11,7,32,12,6,3,0,74,6,40,29,32,33,21,4,9,0,179,14,75,46,17,25,20,9,15,5,220,12,22,25,11,54,43,6,0,0,177,33,89,112,82,84,89,27,57,0,578,76,162,194,178,185,95,34,37,5,961,0,28,6,0,7,3,3,3,0,56,9,57,31,19,29,20,6,8,0,187
501021005,241,343,220,183,667,1110,456,1463,65,4747,0,16,9,7,15,3,0,0,0,48,13,5,9,6,7,31,9,38,0,127,12,28,22,14,44,56,23,11,5,214,7,3,4,0,14,5,4,3,0,39,10,33,13,9,21,43,17,17,0,153,0,10,5,4,8,12,9,5,0,53,39,191,116,86,88,52,24,18,0,612,8,166,72,23,22,26,6,14,4,333,4,17,16,8,24,20,3,14,0,100,0,3,0,3,0,4,0,0,0,12,0,13,14,3,18,15,5,6,0,74,3,6,10,9,26,12,0,8,0,72,12,41,23,22,30,18,4,12,3,161,3,36,22,12,21,18,3,0,3,133,21,23,23,25,67,37,10,10,0,222,39,122,122,87,110,76,44,53,3,657,65,177,225,161,205,105,31,38,8,1022,5,21,12,8,4,4,0,0,0,52,15,60,32,22,22,20,7,8,0,186
501021007,87,113,77,55,178,283,119,406,34,1341,11,15,17,12,5,10,4,11,0,85,4,3,3,0,0,8,0,16,0,30,0,8,6,5,7,9,0,0,0,37,0,3,0,0,0,3,0,0,0,13,0,4,3,6,10,7,0,7,3,36,0,7,3,0,0,0,0,3,0,15,8,43,31,17,25,21,0,4,3,152,9,28,21,6,3,4,0,6,0,79,4,6,7,4,3,8,0,0,0,31,0,0,4,0,0,0,0,0,0,4,0,4,0,3,0,0,0,0,0,15,4,0,5,0,0,3,0,0,0,19,4,12,9,5,3,10,0,8,0,50,0,15,5,8,9,5,0,0,0,45,3,9,7,9,19,16,3,3,0,71,16,23,39,27,18,24,5,13,6,166,22,54,57,57,49,37,8,21,3,303,0,9,8,5,3,0,0,3,0,26,0,16,12,6,4,3,0,3,0,51
501021008,65,127,90,67,236,319,115,297,33,1349,0,0,3,0,6,7,0,0,0,11,9,0,0,0,0,3,0,8,0,28,0,12,9,4,13,14,5,3,0,64,0,6,5,0,4,0,0,0,0,12,4,10,3,3,8,12,0,4,0,39,0,0,0,0,5,4,0,0,0,13,18,64,49,16,40,17,0,3,0,200,5,56,35,20,13,16,0,7,4,161,4,5,3,9,4,0,0,0,0,22,0,3,0,0,5,0,0,0,0,6,0,0,4,0,0,4,0,3,0,11,0,0,0,0,4,0,0,0,0,10,5,6,9,7,11,8,0,5,0,43,0,17,6,6,7,9,0,0,0,39,6,9,12,0,18,16,0,3,0,71,3,31,29,12,29,14,11,9,0,139,27,55,69,48,91,40,10,15,0,359,4,5,5,4,6,0,0,0,0,18,0,11,12,3,20,3,0,9,0,58
501021009,118,147,102,68,219,479,198,438,51,1811,0,6,0,0,0,0,0,0,0,17,4,0,0,3,0,45,8,17,0,87,4,5,5,4,10,19,6,8,0,57,0,6,4,0,15,10,0,8,5,45,3,10,0,0,9,4,0,8,0,37,0,0,5,0,3,0,0,0,0,10,10,76,50,17,43,16,6,9,0,230,9,79,43,19,10,13,0,17,0,184,0,9,11,0,5,3,0,11,3,35,0,0,5,0,3,0,0,0,0,3,4,8,4,4,5,4,0,0,0,27,0,0,0,0,5,0,0,0,0,6,0,3,5,3,3,3,5,0,0,29,0,25,10,9,3,0,0,0,0,54,6,6,11,6,22,12,3,5,0,78,23,48,58,31,37,26,3,22,4,251,15,66,95,42,43,25,0,18,6,320,0,8,4,0,0,0,0,0,5,10,4,28,14,4,11,0,4,4,0,76
501021010,57,67,48,32,97,194,92,283,23,899,3,15,10,4,6,12,0,4,0,57,0,0,3,0,5,0,0,7,0,14,3,6,7,4,4,14,0,8,0,48,0,0,4,0,5,6,0,0,0,9,3,10,12,4,0,8,0,0,0,38,0,0,3,0,4,5,0,0,0,12,5,20,19,6,10,7,0,3,0,66,5,19,9,6,5,0,0,4,0,53,0,3,7,6,5,0,6,3,0,26,0,0,0,0,0,0,0,0,0,5,0,4,0,0,4,3,4,0,0,9,0,6,3,4,4,3,0,0,0,14,0,9,3,6,4,3,0,0,0,28,0,3,5,0,0,0,0,6,0,15,6,0,10,10,11,8,0,6,0,43,6,18,16,16,11,15,3,14,0,104,10,35,22,31,26,13,6,12,0,151,0,3,0,0,0,0,0,0,0,13,0,15,4,0,3,6,0,6,0,39
501021011,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501021012,167,220,162,121,445,722,310,854,47,3041,0,4,0,0,8,3,0,0,0,24,6,0,3,4,3,15,0,34,0,71,8,16,12,5,29,30,12,9,4,129,0,4,0,0,9,4,0,0,0,27,4,23,13,5,16,12,3,7,0,89,0,8,5,3,6,0,3,0,0,20,24,140,95,52,77,29,6,25,6,446,10,92,39,17,38,15,5,10,0,216,3,9,13,3,9,14,3,6,0,63,4,5,3,0,6,0,5,0,0,22,3,10,11,4,13,11,0,4,0,52,0,8,9,5,13,13,4,3,0,56,0,18,17,10,20,13,4,6,0,88,3,27,22,11,13,0,9,3,0,81,11,22,25,11,35,21,5,11,3,145,18,64,69,55,47,49,16,21,0,348,43,106,143,115,120,75,15,21,0,654,0,11,10,5,4,0,0,0,0,36,3,43,19,12,15,3,0,9,0,115
501021014,120,222,120,87,351,487,220,704,57,2362,8,34,24,13,43,20,6,37,0,185,9,0,6,0,5,8,6,24,0,62,13,31,21,12,76,56,20,13,0,249,0,0,0,0,4,0,0,0,3,12,0,15,7,3,6,11,0,12,0,62,0,7,0,0,9,0,6,0,0,25,9,51,49,16,22,20,0,6,4,189,7,52,26,10,10,7,6,5,5,124,0,6,0,0,7,5,3,9,0,38,0,0,0,0,0,0,0,0,0,0,0,3,10,3,0,3,0,8,0,25,0,3,4,0,7,8,0,0,0,16,3,8,6,8,8,9,0,11,0,46,5,16,10,3,8,6,0,3,0,49,3,9,10,7,21,20,0,8,0,88,7,52,72,31,44,43,14,26,3,286,29,69,72,60,68,45,6,10,4,367,5,6,9,0,6,0,0,4,0,26,0,25,9,11,8,4,0,4,0,67
501021015,98,140,120,87,278,388,179,418,25,1739,0,6,4,0,6,8,0,0,0,20,3,0,0,0,5,10,0,7,3,29,7,10,4,5,21,18,10,6,0,79,0,0,3,0,5,8,0,0,0,17,0,12,0,13,9,9,0,10,0,49,0,5,0,0,3,6,0,0,0,17,18,48,43,36,57,26,8,3,0,240,7,49,34,13,28,7,3,13,3,168,0,11,9,0,4,8,0,3,0,36,0,4,0,0,3,0,0,0,0,8,0,3,4,0,7,7,3,0,0,34,0,0,3,0,4,5,0,0,0,18,0,7,6,5,13,3,0,0,0,43,0,22,14,7,10,4,3,4,0,62,3,13,4,10,27,11,0,8,0,77,9,47,20,31,36,22,8,19,0,199,29,74,81,51,78,38,7,24,9,382,0,6,0,7,5,4,0,0,0,24,0,17,16,7,25,6,0,3,0,79
501021016,78,82,42,38,151,147,75,310,40,967,0,7,14,3,3,3,0,5,0,39,10,6,4,0,3,4,0,18,0,51,4,9,3,4,16,3,6,10,0,52,0,0,0,0,0,0,0,0,0,5,0,6,3,4,4,6,3,6,0,36,0,0,0,0,0,0,0,0,0,3,0,33,24,15,8,6,3,4,0,94,3,17,7,9,0,0,0,3,0,45,5,7,9,0,0,3,0,4,0,24,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,4,0,13,0,0,0,0,3,0,0,0,0,11,0,0,3,6,5,0,0,3,0,23,0,12,4,0,0,0,0,5,0,26,4,15,6,8,12,3,4,3,0,54,4,18,21,11,16,15,5,10,0,93,11,34,24,29,21,11,0,0,3,148,0,5,3,3,0,0,0,3,0,16,0,9,9,4,4,0,4,0,0,26
501021251,117,183,117,96,375,608,245,690,39,2480,0,5,5,3,10,5,0,0,0,26,7,3,5,0,0,5,8,17,0,47,0,3,5,6,22,20,3,4,0,65,0,0,9,3,8,0,0,0,0,16,3,11,9,4,11,17,0,15,0,73,4,3,7,0,0,6,0,0,0,21,13,97,66,35,61,22,8,8,0,307,6,82,26,18,17,22,4,7,4,182,0,5,3,3,3,7,0,7,0,29,0,0,0,5,3,3,3,0,0,12,5,3,6,7,9,9,0,6,0,45,0,0,5,3,11,6,0,0,0,33,0,16,14,9,25,17,3,0,0,83,4,25,13,9,12,7,0,8,3,78,3,11,15,8,51,20,10,9,0,129,16,64,63,50,55,51,20,35,5,353,53,101,131,115,163,83,16,50,4,723,0,18,11,5,3,0,0,0,0,41,3,21,17,10,25,13,9,3,0,107
