SA2_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
501011001,..,9,18,3,3,9,5,0,4,50,..,0,15,24,33,81,79,59,44,323,5,9,13,10,13,23,14,8,3,94,523,175,239,461,382,463,375,169,73,2858,..,4,130,480,406,501,507,227,42,2298,..,20,140,177,138,117,51,16,0,656,..,0,19,55,60,26,7,9,5,175,1077,..,..,..,..,..,..,..,..,1077,..,145,..,..,..,..,..,..,..,145,..,113,33,23,22,7,4,0,0,195,..,9,3,7,7,18,10,9,4,65,..,14,19,7,7,9,0,0,0,51,..,8,35,10,16,20,15,0,4,108,..,14,38,47,82,151,149,95,63,638,23,26,15,22,34,39,22,13,0,192,1095,357,428,825,759,878,764,364,128,5598
501011003,..,26,50,11,11,14,3,4,0,112,..,19,27,33,60,75,120,82,28,441,21,21,25,18,15,26,15,6,0,154,1083,368,498,837,773,706,630,278,67,5236,..,5,271,944,923,918,896,371,62,4388,..,36,308,259,198,137,81,19,3,1050,..,3,13,85,140,45,17,15,4,317,2180,..,..,..,..,..,..,..,..,2180,..,383,..,..,..,..,..,..,..,383,..,216,77,33,20,8,0,0,0,356,..,25,16,7,8,12,21,14,10,107,..,29,43,16,8,7,3,0,0,102,..,51,85,29,28,28,12,12,0,246,..,23,52,74,131,139,215,121,47,797,36,46,39,40,36,55,39,13,0,304,2221,821,899,1479,1491,1357,1294,565,122,10242
501011004,..,29,55,18,20,19,7,0,5,152,..,5,24,30,53,93,110,63,27,412,25,24,19,27,13,19,19,7,8,155,967,336,523,835,691,534,408,161,59,4516,..,3,269,737,717,529,464,158,35,2908,..,48,330,322,234,145,44,7,0,1134,..,0,22,141,151,63,23,11,10,425,1947,..,..,..,..,..,..,..,..,1947,..,337,..,..,..,..,..,..,..,337,..,208,68,31,12,7,0,0,0,332,..,29,10,12,8,16,20,12,3,109,..,31,61,32,13,3,7,0,0,145,..,62,169,51,46,51,19,6,0,402,..,20,59,88,120,176,189,85,43,786,44,29,37,56,31,31,36,10,3,281,1988,780,1025,1463,1331,1030,798,284,98,8794
501011293,..,8,29,10,4,11,12,3,0,71,..,12,21,23,57,110,148,105,62,551,8,15,15,9,14,22,16,14,0,117,736,399,410,518,654,622,614,339,105,4407,..,0,248,532,688,696,781,395,64,3398,..,78,216,141,151,105,67,24,3,793,..,14,50,99,129,54,24,25,11,397,1489,..,..,..,..,..,..,..,..,1489,..,320,..,..,..,..,..,..,..,320,..,278,101,25,29,15,3,0,0,455,..,42,25,9,9,26,31,13,10,157,..,26,25,8,14,0,3,0,0,74,..,34,65,21,21,32,14,4,0,191,..,24,59,76,111,180,238,161,84,934,27,34,33,29,30,37,27,20,3,233,1514,843,819,937,1184,1136,1187,648,172,8438
501011294,..,26,41,17,27,33,14,3,0,176,..,20,49,52,112,219,318,288,188,1237,19,34,23,14,22,36,30,13,6,196,1703,833,867,1192,1250,1173,1190,681,284,9169,..,17,556,1239,1296,1260,1394,787,171,6721,..,165,454,386,302,218,141,28,6,1699,..,13,95,231,256,106,36,18,17,778,3421,..,..,..,..,..,..,..,..,3421,..,698,..,..,..,..,..,..,..,698,..,559,177,49,46,23,3,0,0,857,..,60,27,16,17,36,46,22,14,243,..,70,48,20,8,15,6,0,0,164,..,58,87,36,55,72,33,15,10,360,..,46,120,144,230,350,487,381,240,1992,31,49,48,36,46,61,60,27,8,370,3450,1732,1621,2157,2248,2143,2203,1276,463,17300
501021005,..,16,24,15,18,19,12,3,0,112,..,17,27,27,74,147,178,131,71,671,25,37,17,12,21,25,31,10,0,191,1993,1010,1095,1327,1179,1157,873,421,106,9168,..,29,855,1566,1444,1452,1149,530,65,7095,..,208,595,338,245,209,87,22,0,1698,..,28,130,256,211,72,37,22,10,770,4150,..,..,..,..,..,..,..,..,4150,..,813,..,..,..,..,..,..,..,813,..,632,152,83,40,15,0,0,0,925,..,78,38,16,18,43,45,26,14,283,..,67,43,27,13,11,3,5,0,166,..,47,67,30,39,42,30,9,0,264,..,51,114,118,161,237,270,187,89,1229,56,71,39,36,43,54,58,18,0,382,4205,2030,2038,2476,2223,2127,1683,812,179,17777
501021007,..,4,6,5,8,8,4,3,0,37,..,13,4,12,24,49,50,44,21,219,0,10,4,9,10,10,7,0,0,51,496,249,231,334,383,403,292,128,34,2551,..,6,156,333,424,469,390,155,23,1963,..,53,122,107,119,107,46,11,0,563,..,8,30,68,56,26,18,13,3,222,986,..,..,..,..,..,..,..,..,986,..,189,..,..,..,..,..,..,..,189,..,158,47,30,18,18,0,0,0,273,..,20,4,3,0,24,8,9,4,72,..,11,8,7,3,8,0,0,0,41,..,11,15,6,16,16,14,4,0,93,..,18,21,38,49,82,103,67,22,410,17,16,11,12,13,19,14,9,0,101,1001,486,418,599,704,759,601,269,61,4901
501021008,..,35,38,7,8,18,14,6,0,123,..,13,45,37,82,122,115,73,45,533,3,11,11,6,7,11,16,3,0,66,508,354,410,381,405,410,333,182,70,3048,..,25,194,273,283,341,287,161,47,1606,..,122,189,96,78,68,29,6,4,594,..,19,71,131,117,46,25,21,16,443,1013,..,..,..,..,..,..,..,..,1013,..,190,..,..,..,..,..,..,..,190,..,172,68,29,27,19,7,0,0,322,..,30,27,13,11,14,21,13,0,130,..,19,24,11,15,3,8,0,0,75,..,69,80,13,27,45,25,12,0,264,..,33,94,114,152,225,195,108,52,978,23,18,28,9,9,19,24,8,0,139,1033,701,770,702,716,778,610,332,118,5755
501021009,..,10,9,7,16,14,11,0,0,65,..,12,26,29,72,128,112,101,45,523,21,24,20,8,13,14,11,5,9,121,686,392,435,456,560,582,503,245,76,3929,..,16,203,407,515,648,639,289,34,2750,..,94,259,169,157,101,62,12,0,858,..,11,82,109,94,42,28,16,13,389,1407,..,..,..,..,..,..,..,..,1407,..,273,..,..,..,..,..,..,..,273,..,285,103,42,28,15,9,0,0,484,..,44,26,5,16,30,30,12,5,159,..,24,19,15,3,3,0,0,0,69,..,28,26,21,28,33,16,9,4,161,..,31,64,84,150,260,259,150,72,1065,49,55,41,23,22,31,27,12,8,261,1462,847,820,878,1019,1167,1075,501,131,7882
501021010,..,0,0,0,0,4,5,0,0,12,..,4,3,12,8,28,18,21,8,96,0,3,0,0,0,6,0,0,0,15,269,150,124,194,229,244,143,81,17,1450,..,6,109,218,319,311,245,98,18,1319,..,19,67,66,54,51,26,9,0,292,..,0,11,17,33,8,7,8,0,93,568,..,..,..,..,..,..,..,..,568,..,115,..,..,..,..,..,..,..,115,..,109,36,13,13,9,4,0,0,182,..,10,4,4,0,5,4,4,8,38,..,10,3,5,4,4,0,0,0,20,..,0,0,3,3,9,8,0,0,27,..,6,16,18,35,65,58,35,8,250,0,11,3,3,0,7,4,0,0,34,576,299,249,349,456,464,354,158,43,2947
