SA2_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
501011001,46,1816,705,300,1693,0.8,1370,2.4
501011003,43,1993,880,420,2130,0.8,1823,2.6
501011004,40,1700,851,380,1986,0.8,1678,2.6
501011293,46,1733,717,360,1759,0.7,1381,2.4
501011294,45,1733,701,350,1740,0.7,1351,2.4
501021005,38,1733,798,350,2144,0.7,1910,2.7
501021007,45,1625,741,330,1885,0.7,1551,2.5
501021008,39,1300,619,280,1451,0.7,1122,2.2
501021009,44,1300,591,250,1618,0.7,1234,2.3
501021010,46,1750,830,260,2254,0.7,1883,2.5
501021011,53,0,1062,669,2499,0.9,966,1.4
501021012,39,1651,774,350,2063,0.7,1738,2.6
501021014,44,1690,724,280,1874,0.8,1498,2.5
501021015,41,1506,723,300,1703,0.7,1358,2.3
501021016,48,1625,620,260,1701,0.7,1312,2.4
501021251,34,1733,885,350,2286,0.8,2066,2.9
501021252,46,2080,865,400,2494,0.7,2342,2.9
501021253,46,1625,830,310,2085,0.7,1487,2.1
501021254,39,1300,598,250,1420,0.7,1133,2.3
501031017,50,1327,639,260,1619,0.7,1230,2.3
501031018,49,1562,658,290,1688,0.7,1332,2.4
501031019,43,1300,698,240,1685,0.7,1271,2.3
501031020,53,1300,626,240,1441,0.7,1112,2.2
502011021,45,1842,637,350,1712,0.7,1436,2.6
502011022,49,1733,647,320,1660,0.7,1294,2.3
502011023,47,1387,540,295,1341,0.7,1004,2.3
502011024,49,1733,662,350,1784,0.7,1377,2.4
502011025,49,1300,573,270,1279,0.7,901,1.9
502011026,49,1799,639,320,1687,0.7,1348,2.4
502011027,36,1837,772,350,2119,0.7,1861,2.8
502011028,51,1500,543,280,1385,0.7,1034,2.2
502011029,42,1733,610,300,1710,0.8,1337,2.6
503011030,47,4000,1228,750,4592,0.7,3700,2.8
503011031,44,2800,1115,460,3154,0.8,2068,2.2
503011032,44,3925,1458,550,4593,0.8,3351,2.5
503011033,42,3250,1215,600,4270,0.8,3570,3
503011034,42,3033,1079,310,3806,0.8,2303,2.4
503011035,37,3521,920,450,3768,0.8,2610,2.6
503011036,42,3250,1178,450,4110,0.8,3167,2.7
503021037,61,9999,2150,1000,4874,0.8,4799,2.2
503021038,37,2383,1280,425,3367,0.9,2632,2.4
503021039,38,2200,1118,340,3117,0.8,2079,2.2
503021040,38,2492,1149,400,3171,0.8,2328,2.3
503021042,41,2585,1203,405,3239,0.9,2143,2.1
503021043,36,2167,1055,300,2802,0.9,2012,2.3
503021295,35,1950,1175,410,2572,1,2009,1.9
503021296,33,1900,1156,380,2610,1,1893,1.9
503021297,33,1840,1176,410,2535,1,1966,1.7
504011044,40,1801,872,330,2278,0.7,1738,2.4
504011045,39,2000,964,350,2585,0.8,2011,2.4
504011046,36,1733,1050,300,2386,0.8,1623,1.9
504011047,39,1733,737,360,1902,0.7,1583,2.5
504011048,45,1907,715,350,2037,0.7,1632,2.6
504021049,39,1920,807,367,2252,0.7,1959,2.6
504021050,45,2015,915,400,2638,0.7,2286,2.7
504021051,41,1973,830,315,2337,0.7,1861,2.6
504021052,62,1517,424,0,1374,0.7,1374,2.5
504021053,44,2000,820,380,2291,0.7,2013,2.7
504021054,42,1733,740,300,1902,0.7,1453,2.4
504031055,39,0,762,295,1999,1,1375,2.3
504031056,37,1703,715,350,1914,0.8,1725,2.9
504031057,34,1765,778,350,1974,0.8,1791,2.9
504031058,38,1950,869,350,2105,0.7,1912,2.8
504031060,47,2300,917,350,2551,0.8,2449,2.9
504031061,37,2000,1017,390,2440,0.7,2107,2.6
504031062,35,1820,827,325,2106,0.8,1812,2.7
504031063,43,0,1350,775,7000,1.2,1749,1.4
504031064,70,0,1249,0,2250,0.6,2250,2
504031065,41,1625,732,320,1917,0.7,1502,2.5
504031066,40,1600,749,300,1800,0.7,1300,2
504031067,36,1723,827,330,2094,0.7,1802,2.7
504031068,36,2167,940,370,2405,0.8,2218,3
504031069,84,0,450,0,0,1,450,1
504031298,31,1950,1028,380,2296,0.8,2136,2.9
